SearchBayesianSkopt: New best config found. Config 0: {'topK': 412, 'shrink': 1797, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3677941832883396, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0371084, PRECISION: 0.0061531, PRECISION_RECALL_MIN_DEN: 0.0205103, RECALL: 0.0205103, MAP: 0.0083926, MRR: 0.0242980, NDCG: 0.0156250, F1: 0.0094663, HIT_RATE: 0.0615309, ARHR: 0.0247380, RMSE: 0.9886345, NOVELTY: 0.0050406, AVERAGE_POPULARITY: 0.1798508, DIVERSITY_MEAN_INTER_LIST: 0.9935695, DIVERSITY_HERFINDAHL: 0.9993508, COVERAGE_ITEM: 0.6283320, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2526106, SHANNON_ENTROPY: 11.6965114, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 41, 'shrink': 1902, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.20804992540247086, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0199015, PRECISION: 0.0035337, PRECISION_RECALL_MIN_DEN: 0.0117790, RECALL: 0.0117790, MAP: 0.0046753, MRR: 0.0135275, NDCG: 0.0087912, F1: 0.0054365, HIT_RATE: 0.0353370, ARHR: 0.0137768, RMSE: 0.9996249, NOVELTY: 0.0052924, AVERAGE_POPULARITY: 0.1110349, DIVERSITY_MEAN_INTER_LIST: 0.9966586, DIVERSITY_HERFINDAHL: 0.9996597, COVERAGE_ITEM: 0.7410111, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3648812, SHANNON_ENTROPY: 12.5455236, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 233, 'shrink': 1096, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.024507063307466, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0373178, PRECISION: 0.0062272, PRECISION_RECALL_MIN_DEN: 0.0207574, RECALL: 0.0207574, MAP: 0.0086158, MRR: 0.0250271, NDCG: 0.0159412, F1: 0.0095803, HIT_RATE: 0.0622722, ARHR: 0.0254372, RMSE: 0.9837427, NOVELTY: 0.0048744, AVERAGE_POPULARITY: 0.1835534, DIVERSITY_MEAN_INTER_LIST: 0.9932294, DIVERSITY_HERFINDAHL: 0.9993168, COVERAGE_ITEM: 0.6368208, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2571964, SHANNON_ENTROPY: 11.7056586, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 83, 'shrink': 1852, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.2545612802064446, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0397511, PRECISION: 0.0065917, PRECISION_RECALL_MIN_DEN: 0.0219724, RECALL: 0.0219724, MAP: 0.0094147, MRR: 0.0271393, NDCG: 0.0171553, F1: 0.0101411, HIT_RATE: 0.0659171, ARHR: 0.0276917, RMSE: 0.9924578, NOVELTY: 0.0055955, AVERAGE_POPULARITY: 0.2069735, DIVERSITY_MEAN_INTER_LIST: 0.9923816, DIVERSITY_HERFINDAHL: 0.9992320, COVERAGE_ITEM: 0.7379292, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2693712, SHANNON_ENTROPY: 11.8461273, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 113, 'shrink': 1955, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0851337062372446, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0410292, PRECISION: 0.0068265, PRECISION_RECALL_MIN_DEN: 0.0227549, RECALL: 0.0227549, MAP: 0.0094907, MRR: 0.0272929, NDCG: 0.0174856, F1: 0.0105023, HIT_RATE: 0.0682647, ARHR: 0.0278825, RMSE: 0.9919914, NOVELTY: 0.0056442, AVERAGE_POPULARITY: 0.2084069, DIVERSITY_MEAN_INTER_LIST: 0.9922703, DIVERSITY_HERFINDAHL: 0.9992209, COVERAGE_ITEM: 0.7393890, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2594852, SHANNON_ENTROPY: 11.7858956, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0388686, PRECISION: 0.0066597, PRECISION_RECALL_MIN_DEN: 0.0221989, RECALL: 0.0221989, MAP: 0.0089224, MRR: 0.0256788, NDCG: 0.0166943, F1: 0.0102456, HIT_RATE: 0.0665967, ARHR: 0.0262230, RMSE: 0.9790052, NOVELTY: 0.0058156, AVERAGE_POPULARITY: 0.1832679, DIVERSITY_MEAN_INTER_LIST: 0.9933982, DIVERSITY_HERFINDAHL: 0.9993337, COVERAGE_ITEM: 0.7082995, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2402853, SHANNON_ENTROPY: 11.7219912, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 494, 'shrink': 1116, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9316365563686098, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0233066, PRECISION: 0.0041577, PRECISION_RECALL_MIN_DEN: 0.0138589, RECALL: 0.0138589, MAP: 0.0051260, MRR: 0.0147821, NDCG: 0.0099525, F1: 0.0063964, HIT_RATE: 0.0415766, ARHR: 0.0150800, RMSE: 0.9972497, NOVELTY: 0.0059968, AVERAGE_POPULARITY: 0.1208019, DIVERSITY_MEAN_INTER_LIST: 0.9926726, DIVERSITY_HERFINDAHL: 0.9992611, COVERAGE_ITEM: 0.6895377, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2409565, SHANNON_ENTROPY: 11.6694898, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0310602, PRECISION: 0.0050102, PRECISION_RECALL_MIN_DEN: 0.0167006, RECALL: 0.0167006, MAP: 0.0075123, MRR: 0.0217463, NDCG: 0.0134403, F1: 0.0077080, HIT_RATE: 0.0501019, ARHR: 0.0221416, RMSE: 0.9950723, NOVELTY: 0.0049242, AVERAGE_POPULARITY: 0.1545522, DIVERSITY_MEAN_INTER_LIST: 0.9924486, DIVERSITY_HERFINDAHL: 0.9992387, COVERAGE_ITEM: 0.6692079, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2870001, SHANNON_ENTROPY: 11.8907585, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 499, 'shrink': 1942, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.09716554654204249, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0375447, PRECISION: 0.0063014, PRECISION_RECALL_MIN_DEN: 0.0210045, RECALL: 0.0210045, MAP: 0.0085706, MRR: 0.0247783, NDCG: 0.0159574, F1: 0.0096944, HIT_RATE: 0.0630135, ARHR: 0.0252451, RMSE: 0.9891514, NOVELTY: 0.0050807, AVERAGE_POPULARITY: 0.1805283, DIVERSITY_MEAN_INTER_LIST: 0.9936385, DIVERSITY_HERFINDAHL: 0.9993577, COVERAGE_ITEM: 0.6233577, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2520504, SHANNON_ENTROPY: 11.6902366, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0414320, PRECISION: 0.0070427, PRECISION_RECALL_MIN_DEN: 0.0234756, RECALL: 0.0234756, MAP: 0.0093170, MRR: 0.0268545, NDCG: 0.0175447, F1: 0.0108349, HIT_RATE: 0.0704269, ARHR: 0.0274028, RMSE: 0.9789661, NOVELTY: 0.0061027, AVERAGE_POPULARITY: 0.1942143, DIVERSITY_MEAN_INTER_LIST: 0.9934145, DIVERSITY_HERFINDAHL: 0.9993353, COVERAGE_ITEM: 0.6965126, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2378231, SHANNON_ENTROPY: 11.6874947, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 10, 'shrink': 1002, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.04805758020279073, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0217150, PRECISION: 0.0038982, PRECISION_RECALL_MIN_DEN: 0.0129940, RECALL: 0.0129940, MAP: 0.0047457, MRR: 0.0137946, NDCG: 0.0092781, F1: 0.0059972, HIT_RATE: 0.0389819, ARHR: 0.0140158, RMSE: 0.9997356, NOVELTY: 0.0065211, AVERAGE_POPULARITY: 0.0856143, DIVERSITY_MEAN_INTER_LIST: 0.9951389, DIVERSITY_HERFINDAHL: 0.9995077, COVERAGE_ITEM: 0.7324142, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3975463, SHANNON_ENTROPY: 12.5994569, 
