SearchBayesianSkopt: New best config found. Config 0: {'topK': 412, 'shrink': 1797, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0246413, PRECISION: 0.0041700, PRECISION_RECALL_MIN_DEN: 0.0139000, RECALL: 0.0139000, MAP: 0.0054090, MRR: 0.0157926, NDCG: 0.0103132, F1: 0.0064154, HIT_RATE: 0.0417001, ARHR: 0.0160099, RMSE: 0.9984800, NOVELTY: 0.0060415, AVERAGE_POPULARITY: 0.1195220, DIVERSITY_MEAN_INTER_LIST: 0.9934987, DIVERSITY_HERFINDAHL: 0.9993437, COVERAGE_ITEM: 0.6954312, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2546855, SHANNON_ENTROPY: 11.7983226, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 344, 'shrink': 1465, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0243774, PRECISION: 0.0042503, PRECISION_RECALL_MIN_DEN: 0.0141677, RECALL: 0.0141677, MAP: 0.0055654, MRR: 0.0162209, NDCG: 0.0105412, F1: 0.0065390, HIT_RATE: 0.0425032, ARHR: 0.0164586, RMSE: 0.9983032, NOVELTY: 0.0059614, AVERAGE_POPULARITY: 0.1233091, DIVERSITY_MEAN_INTER_LIST: 0.9937098, DIVERSITY_HERFINDAHL: 0.9993648, COVERAGE_ITEM: 0.6951609, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2618060, SHANNON_ENTROPY: 11.8515442, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 159, 'shrink': 1915, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0246554, PRECISION: 0.0041268, PRECISION_RECALL_MIN_DEN: 0.0137559, RECALL: 0.0137559, MAP: 0.0055292, MRR: 0.0161803, NDCG: 0.0103949, F1: 0.0063489, HIT_RATE: 0.0412677, ARHR: 0.0163839, RMSE: 0.9991153, NOVELTY: 0.0056736, AVERAGE_POPULARITY: 0.1289927, DIVERSITY_MEAN_INTER_LIST: 0.9953205, DIVERSITY_HERFINDAHL: 0.9995259, COVERAGE_ITEM: 0.7121384, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2966700, SHANNON_ENTROPY: 12.1404237, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 233, 'shrink': 1096, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0244223, PRECISION: 0.0042936, PRECISION_RECALL_MIN_DEN: 0.0143119, RECALL: 0.0143119, MAP: 0.0053554, MRR: 0.0156872, NDCG: 0.0103822, F1: 0.0066055, HIT_RATE: 0.0429357, ARHR: 0.0158733, RMSE: 0.9981100, NOVELTY: 0.0058243, AVERAGE_POPULARITY: 0.1270328, DIVERSITY_MEAN_INTER_LIST: 0.9946082, DIVERSITY_HERFINDAHL: 0.9994547, COVERAGE_ITEM: 0.7047310, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2775800, SHANNON_ENTROPY: 11.9936975, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 259, 'shrink': 1528, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0242457, PRECISION: 0.0042256, PRECISION_RECALL_MIN_DEN: 0.0140854, RECALL: 0.0140854, MAP: 0.0054498, MRR: 0.0158297, NDCG: 0.0103874, F1: 0.0065009, HIT_RATE: 0.0422561, ARHR: 0.0160895, RMSE: 0.9985699, NOVELTY: 0.0058666, AVERAGE_POPULARITY: 0.1260060, DIVERSITY_MEAN_INTER_LIST: 0.9940346, DIVERSITY_HERFINDAHL: 0.9993973, COVERAGE_ITEM: 0.7033252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2736517, SHANNON_ENTROPY: 11.9419931, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 6, 'shrink': 1003, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0222386, PRECISION: 0.0039105, PRECISION_RECALL_MIN_DEN: 0.0130352, RECALL: 0.0130352, MAP: 0.0049829, MRR: 0.0145047, NDCG: 0.0095492, F1: 0.0060162, HIT_RATE: 0.0391055, ARHR: 0.0147235, RMSE: 0.9998088, NOVELTY: 0.0068510, AVERAGE_POPULARITY: 0.0794519, DIVERSITY_MEAN_INTER_LIST: 0.9886684, DIVERSITY_HERFINDAHL: 0.9988607, COVERAGE_ITEM: 0.7182482, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3719214, SHANNON_ENTROPY: 12.2947762, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0223529, PRECISION: 0.0040712, PRECISION_RECALL_MIN_DEN: 0.0135706, RECALL: 0.0135706, MAP: 0.0050143, MRR: 0.0144661, NDCG: 0.0097287, F1: 0.0062633, HIT_RATE: 0.0407117, ARHR: 0.0147546, RMSE: 0.9985272, NOVELTY: 0.0061108, AVERAGE_POPULARITY: 0.1164283, DIVERSITY_MEAN_INTER_LIST: 0.9930159, DIVERSITY_HERFINDAHL: 0.9992955, COVERAGE_ITEM: 0.6942958, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2501826, SHANNON_ENTROPY: 11.7446787, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 494, 'shrink': 1009, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0226283, PRECISION: 0.0040773, PRECISION_RECALL_MIN_DEN: 0.0135912, RECALL: 0.0135912, MAP: 0.0051597, MRR: 0.0149092, NDCG: 0.0098942, F1: 0.0062728, HIT_RATE: 0.0407735, ARHR: 0.0151942, RMSE: 0.9971061, NOVELTY: 0.0061078, AVERAGE_POPULARITY: 0.1165603, DIVERSITY_MEAN_INTER_LIST: 0.9929647, DIVERSITY_HERFINDAHL: 0.9992903, COVERAGE_ITEM: 0.6932144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2498725, SHANNON_ENTROPY: 11.7398986, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 13, 'shrink': 1993, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0210663, PRECISION: 0.0039167, PRECISION_RECALL_MIN_DEN: 0.0130557, RECALL: 0.0130557, MAP: 0.0048017, MRR: 0.0140038, NDCG: 0.0093435, F1: 0.0060257, HIT_RATE: 0.0391672, ARHR: 0.0142044, RMSE: 0.9998421, NOVELTY: 0.0062558, AVERAGE_POPULARITY: 0.0897421, DIVERSITY_MEAN_INTER_LIST: 0.9963190, DIVERSITY_HERFINDAHL: 0.9996257, COVERAGE_ITEM: 0.7400378, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4012134, SHANNON_ENTROPY: 12.6681241, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 12, 'shrink': 1009, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0199929, PRECISION: 0.0036696, PRECISION_RECALL_MIN_DEN: 0.0122320, RECALL: 0.0122320, MAP: 0.0043263, MRR: 0.0126770, NDCG: 0.0085908, F1: 0.0056456, HIT_RATE: 0.0366961, ARHR: 0.0128279, RMSE: 0.9997085, NOVELTY: 0.0063265, AVERAGE_POPULARITY: 0.0869319, DIVERSITY_MEAN_INTER_LIST: 0.9960640, DIVERSITY_HERFINDAHL: 0.9996002, COVERAGE_ITEM: 0.7379832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4000135, SHANNON_ENTROPY: 12.6520996, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 499, 'shrink': 1991, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0229986, PRECISION: 0.0041329, PRECISION_RECALL_MIN_DEN: 0.0137765, RECALL: 0.0137765, MAP: 0.0050781, MRR: 0.0147232, NDCG: 0.0098812, F1: 0.0063584, HIT_RATE: 0.0413295, ARHR: 0.0149787, RMSE: 0.9985217, NOVELTY: 0.0061106, AVERAGE_POPULARITY: 0.1164307, DIVERSITY_MEAN_INTER_LIST: 0.9929997, DIVERSITY_HERFINDAHL: 0.9992938, COVERAGE_ITEM: 0.6938091, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2500411, SHANNON_ENTROPY: 11.7422249, 
