SearchBayesianSkopt: New best config found. Config 0: {'topK': 412, 'shrink': 1797, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0244521, PRECISION: 0.0041700, PRECISION_RECALL_MIN_DEN: 0.0139000, RECALL: 0.0139000, MAP: 0.0054361, MRR: 0.0158697, NDCG: 0.0103349, F1: 0.0064154, HIT_RATE: 0.0417001, ARHR: 0.0160890, RMSE: 0.9984774, NOVELTY: 0.0060470, AVERAGE_POPULARITY: 0.1194079, DIVERSITY_MEAN_INTER_LIST: 0.9935247, DIVERSITY_HERFINDAHL: 0.9993463, COVERAGE_ITEM: 0.6944580, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2556470, SHANNON_ENTROPY: 11.8029234, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 344, 'shrink': 1465, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0241771, PRECISION: 0.0042318, PRECISION_RECALL_MIN_DEN: 0.0141060, RECALL: 0.0141060, MAP: 0.0055009, MRR: 0.0160218, NDCG: 0.0104501, F1: 0.0065104, HIT_RATE: 0.0423179, ARHR: 0.0162622, RMSE: 0.9982996, NOVELTY: 0.0059687, AVERAGE_POPULARITY: 0.1229477, DIVERSITY_MEAN_INTER_LIST: 0.9937497, DIVERSITY_HERFINDAHL: 0.9993688, COVERAGE_ITEM: 0.6948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2634711, SHANNON_ENTROPY: 11.8610213, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 159, 'shrink': 1915, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0245593, PRECISION: 0.0040773, PRECISION_RECALL_MIN_DEN: 0.0135912, RECALL: 0.0135912, MAP: 0.0055282, MRR: 0.0161583, NDCG: 0.0103390, F1: 0.0062728, HIT_RATE: 0.0407735, ARHR: 0.0163715, RMSE: 0.9991138, NOVELTY: 0.0056782, AVERAGE_POPULARITY: 0.1288296, DIVERSITY_MEAN_INTER_LIST: 0.9953362, DIVERSITY_HERFINDAHL: 0.9995275, COVERAGE_ITEM: 0.7107867, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2977434, SHANNON_ENTROPY: 12.1439726, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 233, 'shrink': 1096, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0246544, PRECISION: 0.0042380, PRECISION_RECALL_MIN_DEN: 0.0141266, RECALL: 0.0141266, MAP: 0.0053426, MRR: 0.0156230, NDCG: 0.0103149, F1: 0.0065200, HIT_RATE: 0.0423797, ARHR: 0.0158220, RMSE: 0.9981047, NOVELTY: 0.0058321, AVERAGE_POPULARITY: 0.1267995, DIVERSITY_MEAN_INTER_LIST: 0.9946188, DIVERSITY_HERFINDAHL: 0.9994557, COVERAGE_ITEM: 0.7027845, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2785818, SHANNON_ENTROPY: 11.9960606, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 259, 'shrink': 1528, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0248086, PRECISION: 0.0042565, PRECISION_RECALL_MIN_DEN: 0.0141883, RECALL: 0.0141883, MAP: 0.0055828, MRR: 0.0162290, NDCG: 0.0105697, F1: 0.0065485, HIT_RATE: 0.0425650, ARHR: 0.0164887, RMSE: 0.9985670, NOVELTY: 0.0058742, AVERAGE_POPULARITY: 0.1258811, DIVERSITY_MEAN_INTER_LIST: 0.9940642, DIVERSITY_HERFINDAHL: 0.9994003, COVERAGE_ITEM: 0.7028386, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2741523, SHANNON_ENTROPY: 11.9457254, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 6, 'shrink': 1003, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0222661, PRECISION: 0.0039167, PRECISION_RECALL_MIN_DEN: 0.0130557, RECALL: 0.0130557, MAP: 0.0049863, MRR: 0.0145150, NDCG: 0.0095595, F1: 0.0060257, HIT_RATE: 0.0391672, ARHR: 0.0147338, RMSE: 0.9998081, NOVELTY: 0.0068516, AVERAGE_POPULARITY: 0.0794441, DIVERSITY_MEAN_INTER_LIST: 0.9886689, DIVERSITY_HERFINDAHL: 0.9988608, COVERAGE_ITEM: 0.7182482, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3719029, SHANNON_ENTROPY: 12.2947793, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0226807, PRECISION: 0.0040712, PRECISION_RECALL_MIN_DEN: 0.0135706, RECALL: 0.0135706, MAP: 0.0050524, MRR: 0.0146014, NDCG: 0.0097781, F1: 0.0062633, HIT_RATE: 0.0407117, ARHR: 0.0148793, RMSE: 0.9985249, NOVELTY: 0.0061160, AVERAGE_POPULARITY: 0.1162601, DIVERSITY_MEAN_INTER_LIST: 0.9930118, DIVERSITY_HERFINDAHL: 0.9992950, COVERAGE_ITEM: 0.6940795, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2507826, SHANNON_ENTROPY: 11.7458742, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0226875, PRECISION: 0.0040712, PRECISION_RECALL_MIN_DEN: 0.0135706, RECALL: 0.0135706, MAP: 0.0050531, MRR: 0.0146034, NDCG: 0.0097790, F1: 0.0062633, HIT_RATE: 0.0407117, ARHR: 0.0148814, RMSE: 0.9970601, NOVELTY: 0.0061160, AVERAGE_POPULARITY: 0.1162612, DIVERSITY_MEAN_INTER_LIST: 0.9930122, DIVERSITY_HERFINDAHL: 0.9992951, COVERAGE_ITEM: 0.6940254, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2507777, SHANNON_ENTROPY: 11.7458405, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 13, 'shrink': 1993, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0210594, PRECISION: 0.0039105, PRECISION_RECALL_MIN_DEN: 0.0130352, RECALL: 0.0130352, MAP: 0.0048058, MRR: 0.0140161, NDCG: 0.0093412, F1: 0.0060162, HIT_RATE: 0.0391055, ARHR: 0.0142167, RMSE: 0.9998418, NOVELTY: 0.0062602, AVERAGE_POPULARITY: 0.0896668, DIVERSITY_MEAN_INTER_LIST: 0.9963238, DIVERSITY_HERFINDAHL: 0.9996262, COVERAGE_ITEM: 0.7401460, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4013142, SHANNON_ENTROPY: 12.6691384, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 12, 'shrink': 1009, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0199929, PRECISION: 0.0036820, PRECISION_RECALL_MIN_DEN: 0.0122732, RECALL: 0.0122732, MAP: 0.0043265, MRR: 0.0126776, NDCG: 0.0086032, F1: 0.0056646, HIT_RATE: 0.0368197, ARHR: 0.0128285, RMSE: 0.9997075, NOVELTY: 0.0063300, AVERAGE_POPULARITY: 0.0868804, DIVERSITY_MEAN_INTER_LIST: 0.9960683, DIVERSITY_HERFINDAHL: 0.9996007, COVERAGE_ITEM: 0.7381454, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4000238, SHANNON_ENTROPY: 12.6528745, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 499, 'shrink': 1991, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0230994, PRECISION: 0.0041144, PRECISION_RECALL_MIN_DEN: 0.0137147, RECALL: 0.0137147, MAP: 0.0051000, MRR: 0.0147770, NDCG: 0.0098841, F1: 0.0063299, HIT_RATE: 0.0411441, ARHR: 0.0150385, RMSE: 0.9985194, NOVELTY: 0.0061140, AVERAGE_POPULARITY: 0.1162766, DIVERSITY_MEAN_INTER_LIST: 0.9930064, DIVERSITY_HERFINDAHL: 0.9992945, COVERAGE_ITEM: 0.6937010, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2507717, SHANNON_ENTROPY: 11.7459296, 
