SearchBayesianSkopt: New best config found. Config 0: {'topK': 970, 'shrink': 775, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8651230387103195, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0378798, PRECISION: 0.0064064, PRECISION_RECALL_MIN_DEN: 0.0213546, RECALL: 0.0213546, MAP: 0.0086945, MRR: 0.0250437, NDCG: 0.0161882, F1: 0.0098560, HIT_RATE: 0.0640638, ARHR: 0.0255636, RMSE: 0.9712481, NOVELTY: 0.0059067, AVERAGE_POPULARITY: 0.1732836, DIVERSITY_MEAN_INTER_LIST: 0.9941249, DIVERSITY_HERFINDAHL: 0.9994063, COVERAGE_ITEM: 0.7063531, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2443193, SHANNON_ENTROPY: 11.8083290, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 250, 'shrink': 320, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6757563433336083, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0367523, PRECISION: 0.0061963, PRECISION_RECALL_MIN_DEN: 0.0206544, RECALL: 0.0206544, MAP: 0.0083810, MRR: 0.0242665, NDCG: 0.0156485, F1: 0.0095328, HIT_RATE: 0.0619633, ARHR: 0.0247047, RMSE: 0.9523477, NOVELTY: 0.0048768, AVERAGE_POPULARITY: 0.1684623, DIVERSITY_MEAN_INTER_LIST: 0.9938131, DIVERSITY_HERFINDAHL: 0.9993752, COVERAGE_ITEM: 0.6409840, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2664537, SHANNON_ENTROPY: 11.7982476, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 451, 'shrink': 158, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.05829654641006489, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0243096, PRECISION: 0.0042318, PRECISION_RECALL_MIN_DEN: 0.0141060, RECALL: 0.0141060, MAP: 0.0054455, MRR: 0.0157044, NDCG: 0.0103749, F1: 0.0065104, HIT_RATE: 0.0423179, ARHR: 0.0160204, RMSE: 0.9826408, NOVELTY: 0.0060736, AVERAGE_POPULARITY: 0.1180824, DIVERSITY_MEAN_INTER_LIST: 0.9930984, DIVERSITY_HERFINDAHL: 0.9993037, COVERAGE_ITEM: 0.6914842, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2519462, SHANNON_ENTROPY: 11.7552525, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 789, 'shrink': 710, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.9954136098627802, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0231577, PRECISION: 0.0041577, PRECISION_RECALL_MIN_DEN: 0.0138589, RECALL: 0.0138589, MAP: 0.0049119, MRR: 0.0142348, NDCG: 0.0097383, F1: 0.0063964, HIT_RATE: 0.0415766, ARHR: 0.0144853, RMSE: 0.9950406, NOVELTY: 0.0062597, AVERAGE_POPULARITY: 0.1051254, DIVERSITY_MEAN_INTER_LIST: 0.9938268, DIVERSITY_HERFINDAHL: 0.9993765, COVERAGE_ITEM: 0.6843471, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2479457, SHANNON_ENTROPY: 11.7686362, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 357, 'shrink': 761, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6880179487944855, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0245460, PRECISION: 0.0043059, PRECISION_RECALL_MIN_DEN: 0.0143531, RECALL: 0.0143531, MAP: 0.0054266, MRR: 0.0157012, NDCG: 0.0104427, F1: 0.0066245, HIT_RATE: 0.0430592, ARHR: 0.0159874, RMSE: 0.9965401, NOVELTY: 0.0059190, AVERAGE_POPULARITY: 0.1256752, DIVERSITY_MEAN_INTER_LIST: 0.9931379, DIVERSITY_HERFINDAHL: 0.9993077, COVERAGE_ITEM: 0.6931062, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2507397, SHANNON_ENTROPY: 11.7515069, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 6.938893903907228e-18, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0360929, PRECISION: 0.0060666, PRECISION_RECALL_MIN_DEN: 0.0202220, RECALL: 0.0202220, MAP: 0.0082835, MRR: 0.0240687, NDCG: 0.0154125, F1: 0.0093332, HIT_RATE: 0.0606660, ARHR: 0.0244596, RMSE: 0.9979072, NOVELTY: 0.0061855, AVERAGE_POPULARITY: 0.2135634, DIVERSITY_MEAN_INTER_LIST: 0.9808763, DIVERSITY_HERFINDAHL: 0.9980816, COVERAGE_ITEM: 0.6783455, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2425555, SHANNON_ENTROPY: 11.2330970, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 947, 'shrink': 1468, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9307214896428861, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0363340, PRECISION: 0.0061037, PRECISION_RECALL_MIN_DEN: 0.0203455, RECALL: 0.0203455, MAP: 0.0083072, MRR: 0.0240103, NDCG: 0.0154639, F1: 0.0093903, HIT_RATE: 0.0610366, ARHR: 0.0244660, RMSE: 0.9846956, NOVELTY: 0.0052114, AVERAGE_POPULARITY: 0.1694285, DIVERSITY_MEAN_INTER_LIST: 0.9943018, DIVERSITY_HERFINDAHL: 0.9994240, COVERAGE_ITEM: 0.6257367, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2575459, SHANNON_ENTROPY: 11.7804828, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0027766, PRECISION: 0.0006054, PRECISION_RECALL_MIN_DEN: 0.0020181, RECALL: 0.0020181, MAP: 0.0005208, MRR: 0.0014799, NDCG: 0.0011999, F1: 0.0009314, HIT_RATE: 0.0060542, ARHR: 0.0015211, RMSE: 0.9657728, NOVELTY: 0.0022075, AVERAGE_POPULARITY: 0.0113931, DIVERSITY_MEAN_INTER_LIST: 0.9895159, DIVERSITY_HERFINDAHL: 0.9989455, COVERAGE_ITEM: 0.4528792, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2014262, SHANNON_ENTROPY: 10.9241941, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 901, 'shrink': 1443, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.024555244037430153, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0372367, PRECISION: 0.0062272, PRECISION_RECALL_MIN_DEN: 0.0207574, RECALL: 0.0207574, MAP: 0.0084979, MRR: 0.0245614, NDCG: 0.0158032, F1: 0.0095803, HIT_RATE: 0.0622722, ARHR: 0.0250275, RMSE: 0.9845321, NOVELTY: 0.0051919, AVERAGE_POPULARITY: 0.1744983, DIVERSITY_MEAN_INTER_LIST: 0.9941918, DIVERSITY_HERFINDAHL: 0.9994130, COVERAGE_ITEM: 0.6214653, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2594200, SHANNON_ENTROPY: 11.7720845, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 36, 'shrink': 1466, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.007252202614759897, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0308332, PRECISION: 0.0050720, PRECISION_RECALL_MIN_DEN: 0.0169066, RECALL: 0.0169066, MAP: 0.0072589, MRR: 0.0210912, NDCG: 0.0132451, F1: 0.0078030, HIT_RATE: 0.0507197, ARHR: 0.0214340, RMSE: 0.9939410, NOVELTY: 0.0043683, AVERAGE_POPULARITY: 0.1786381, DIVERSITY_MEAN_INTER_LIST: 0.9928889, DIVERSITY_HERFINDAHL: 0.9992828, COVERAGE_ITEM: 0.6819681, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2709696, SHANNON_ENTROPY: 11.8399711, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 1000, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0380106, PRECISION: 0.0064187, PRECISION_RECALL_MIN_DEN: 0.0213958, RECALL: 0.0213958, MAP: 0.0086972, MRR: 0.0250965, NDCG: 0.0162099, F1: 0.0098750, HIT_RATE: 0.0641873, ARHR: 0.0255940, RMSE: 0.9848390, NOVELTY: 0.0052086, AVERAGE_POPULARITY: 0.1741486, DIVERSITY_MEAN_INTER_LIST: 0.9944802, DIVERSITY_HERFINDAHL: 0.9994419, COVERAGE_ITEM: 0.6194107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2601016, SHANNON_ENTROPY: 11.7961552, 
