SearchBayesianSkopt: New best config found. Config 0: {'topK': 970, 'shrink': 775, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0419297, PRECISION: 0.0070736, PRECISION_RECALL_MIN_DEN: 0.0235786, RECALL: 0.0235786, MAP: 0.0095550, MRR: 0.0275039, NDCG: 0.0178246, F1: 0.0108824, HIT_RATE: 0.0707358, ARHR: 0.0280845, RMSE: 0.9689146, NOVELTY: 0.0061260, AVERAGE_POPULARITY: 0.1923628, DIVERSITY_MEAN_INTER_LIST: 0.9937712, DIVERSITY_HERFINDAHL: 0.9993710, COVERAGE_ITEM: 0.6907813, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2372395, SHANNON_ENTROPY: 11.7229929, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 880, 'shrink': 369, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0377592, PRECISION: 0.0063508, PRECISION_RECALL_MIN_DEN: 0.0211693, RECALL: 0.0211693, MAP: 0.0086589, MRR: 0.0249829, NDCG: 0.0160944, F1: 0.0097704, HIT_RATE: 0.0635078, ARHR: 0.0254798, RMSE: 0.9403093, NOVELTY: 0.0051749, AVERAGE_POPULARITY: 0.1798599, DIVERSITY_MEAN_INTER_LIST: 0.9941808, DIVERSITY_HERFINDAHL: 0.9994119, COVERAGE_ITEM: 0.6181130, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2559252, SHANNON_ENTROPY: 11.7521024, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 341, 'shrink': 811, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0238605, PRECISION: 0.0042133, PRECISION_RECALL_MIN_DEN: 0.0140442, RECALL: 0.0140442, MAP: 0.0053009, MRR: 0.0153867, NDCG: 0.0102103, F1: 0.0064819, HIT_RATE: 0.0421326, ARHR: 0.0156447, RMSE: 0.9969517, NOVELTY: 0.0059596, AVERAGE_POPULARITY: 0.1232109, DIVERSITY_MEAN_INTER_LIST: 0.9937200, DIVERSITY_HERFINDAHL: 0.9993659, COVERAGE_ITEM: 0.6989457, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2618850, SHANNON_ENTROPY: 11.8585582, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 911, 'shrink': 44, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0375829, PRECISION: 0.0064558, PRECISION_RECALL_MIN_DEN: 0.0215193, RECALL: 0.0215193, MAP: 0.0085671, MRR: 0.0246828, NDCG: 0.0160981, F1: 0.0099320, HIT_RATE: 0.0645580, ARHR: 0.0251921, RMSE: 0.9319735, NOVELTY: 0.0051813, AVERAGE_POPULARITY: 0.1793295, DIVERSITY_MEAN_INTER_LIST: 0.9942194, DIVERSITY_HERFINDAHL: 0.9994158, COVERAGE_ITEM: 0.6176264, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2563804, SHANNON_ENTROPY: 11.7568947, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 653, 'shrink': 13, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0295003, PRECISION: 0.0050534, PRECISION_RECALL_MIN_DEN: 0.0168448, RECALL: 0.0168448, MAP: 0.0066798, MRR: 0.0192775, NDCG: 0.0125845, F1: 0.0077745, HIT_RATE: 0.0505344, ARHR: 0.0196585, RMSE: 0.8550795, NOVELTY: 0.0052707, AVERAGE_POPULARITY: 0.1152270, DIVERSITY_MEAN_INTER_LIST: 0.9946989, DIVERSITY_HERFINDAHL: 0.9994637, COVERAGE_ITEM: 0.6690998, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2861522, SHANNON_ENTROPY: 12.0098942, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 10, 'shrink': 1495, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0356223, PRECISION: 0.0061037, PRECISION_RECALL_MIN_DEN: 0.0203455, RECALL: 0.0203455, MAP: 0.0083093, MRR: 0.0241014, NDCG: 0.0154638, F1: 0.0093903, HIT_RATE: 0.0610366, ARHR: 0.0245146, RMSE: 0.9961499, NOVELTY: 0.0056824, AVERAGE_POPULARITY: 0.2159342, DIVERSITY_MEAN_INTER_LIST: 0.9897030, DIVERSITY_HERFINDAHL: 0.9989642, COVERAGE_ITEM: 0.7418762, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2700067, SHANNON_ENTROPY: 11.7598953, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 7, 'shrink': 1492, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0219393, PRECISION: 0.0040156, PRECISION_RECALL_MIN_DEN: 0.0133852, RECALL: 0.0133852, MAP: 0.0049426, MRR: 0.0142572, NDCG: 0.0095893, F1: 0.0061778, HIT_RATE: 0.0401557, ARHR: 0.0145425, RMSE: 0.9998205, NOVELTY: 0.0064454, AVERAGE_POPULARITY: 0.0992496, DIVERSITY_MEAN_INTER_LIST: 0.9955046, DIVERSITY_HERFINDAHL: 0.9995443, COVERAGE_ITEM: 0.7730738, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3843975, SHANNON_ENTROPY: 12.6399069, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 996, 'shrink': 8, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0295496, PRECISION: 0.0052264, PRECISION_RECALL_MIN_DEN: 0.0174214, RECALL: 0.0174214, MAP: 0.0068427, MRR: 0.0196527, NDCG: 0.0129105, F1: 0.0080406, HIT_RATE: 0.0522642, ARHR: 0.0200903, RMSE: 0.8600782, NOVELTY: 0.0061758, AVERAGE_POPULARITY: 0.1104060, DIVERSITY_MEAN_INTER_LIST: 0.9951287, DIVERSITY_HERFINDAHL: 0.9995067, COVERAGE_ITEM: 0.7684239, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2787766, SHANNON_ENTROPY: 12.1186021, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 44, 'shrink': 1494, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0322425, PRECISION: 0.0052326, PRECISION_RECALL_MIN_DEN: 0.0174420, RECALL: 0.0174420, MAP: 0.0075876, MRR: 0.0220409, NDCG: 0.0137726, F1: 0.0080501, HIT_RATE: 0.0523259, ARHR: 0.0224018, RMSE: 0.9933824, NOVELTY: 0.0043429, AVERAGE_POPULARITY: 0.1809156, DIVERSITY_MEAN_INTER_LIST: 0.9929866, DIVERSITY_HERFINDAHL: 0.9992925, COVERAGE_ITEM: 0.6767775, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2713692, SHANNON_ENTROPY: 11.8363453, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 7, 'shrink': 18, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0359955, PRECISION: 0.0061778, PRECISION_RECALL_MIN_DEN: 0.0205927, RECALL: 0.0205927, MAP: 0.0083777, MRR: 0.0242797, NDCG: 0.0156117, F1: 0.0095043, HIT_RATE: 0.0617780, ARHR: 0.0247065, RMSE: 1.1398400, NOVELTY: 0.0056924, AVERAGE_POPULARITY: 0.2187735, DIVERSITY_MEAN_INTER_LIST: 0.9881999, DIVERSITY_HERFINDAHL: 0.9988139, COVERAGE_ITEM: 0.7328467, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2607930, SHANNON_ENTROPY: 11.6408251, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 990, 'shrink': 1492, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0397228, PRECISION: 0.0066288, PRECISION_RECALL_MIN_DEN: 0.0220959, RECALL: 0.0220959, MAP: 0.0091060, MRR: 0.0262996, NDCG: 0.0168828, F1: 0.0101981, HIT_RATE: 0.0662878, ARHR: 0.0268088, RMSE: 0.9842355, NOVELTY: 0.0059392, AVERAGE_POPULARITY: 0.1825686, DIVERSITY_MEAN_INTER_LIST: 0.9939248, DIVERSITY_HERFINDAHL: 0.9993863, COVERAGE_ITEM: 0.6999730, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2419775, SHANNON_ENTROPY: 11.7720186, 
