SearchBayesianSkopt: New best config found. Config 0: {'topK': 970, 'shrink': 775, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0222122, PRECISION: 0.0040465, PRECISION_RECALL_MIN_DEN: 0.0134882, RECALL: 0.0134882, MAP: 0.0049365, MRR: 0.0142700, NDCG: 0.0096240, F1: 0.0062253, HIT_RATE: 0.0404646, ARHR: 0.0145397, RMSE: 0.9950167, NOVELTY: 0.0063245, AVERAGE_POPULARITY: 0.1003316, DIVERSITY_MEAN_INTER_LIST: 0.9936984, DIVERSITY_HERFINDAHL: 0.9993637, COVERAGE_ITEM: 0.6833198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2420016, SHANNON_ENTROPY: 11.7161620, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 933, 'shrink': 1320, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0222456, PRECISION: 0.0040588, PRECISION_RECALL_MIN_DEN: 0.0135294, RECALL: 0.0135294, MAP: 0.0047427, MRR: 0.0138520, NDCG: 0.0094588, F1: 0.0062443, HIT_RATE: 0.0405881, ARHR: 0.0140400, RMSE: 0.9971083, NOVELTY: 0.0063111, AVERAGE_POPULARITY: 0.1013111, DIVERSITY_MEAN_INTER_LIST: 0.9937796, DIVERSITY_HERFINDAHL: 0.9993718, COVERAGE_ITEM: 0.6840768, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2429595, SHANNON_ENTROPY: 11.7287553, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 672, 'shrink': 825, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0221687, PRECISION: 0.0041329, PRECISION_RECALL_MIN_DEN: 0.0137765, RECALL: 0.0137765, MAP: 0.0050201, MRR: 0.0144719, NDCG: 0.0097880, F1: 0.0063584, HIT_RATE: 0.0413295, ARHR: 0.0147626, RMSE: 0.9960370, NOVELTY: 0.0061999, AVERAGE_POPULARITY: 0.1098664, DIVERSITY_MEAN_INTER_LIST: 0.9933280, DIVERSITY_HERFINDAHL: 0.9993267, COVERAGE_ITEM: 0.6883482, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2499313, SHANNON_ENTROPY: 11.7634356, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 451, 'shrink': 158, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0243234, PRECISION: 0.0042318, PRECISION_RECALL_MIN_DEN: 0.0141060, RECALL: 0.0141060, MAP: 0.0054466, MRR: 0.0157079, NDCG: 0.0103765, F1: 0.0065104, HIT_RATE: 0.0423179, ARHR: 0.0160239, RMSE: 0.9830528, NOVELTY: 0.0060736, AVERAGE_POPULARITY: 0.1180859, DIVERSITY_MEAN_INTER_LIST: 0.9930997, DIVERSITY_HERFINDAHL: 0.9993038, COVERAGE_ITEM: 0.6915383, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2519362, SHANNON_ENTROPY: 11.7553511, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 34, 'shrink': 194, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0208908, PRECISION: 0.0037808, PRECISION_RECALL_MIN_DEN: 0.0126027, RECALL: 0.0126027, MAP: 0.0048916, MRR: 0.0142008, NDCG: 0.0092903, F1: 0.0058166, HIT_RATE: 0.0378081, ARHR: 0.0144378, RMSE: 0.9969239, NOVELTY: 0.0053994, AVERAGE_POPULARITY: 0.1076978, DIVERSITY_MEAN_INTER_LIST: 0.9968334, DIVERSITY_HERFINDAHL: 0.9996772, COVERAGE_ITEM: 0.7427954, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3755321, SHANNON_ENTROPY: 12.5986951, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 27, 'shrink': 1498, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0216173, PRECISION: 0.0039661, PRECISION_RECALL_MIN_DEN: 0.0132205, RECALL: 0.0132205, MAP: 0.0049914, MRR: 0.0144110, NDCG: 0.0095806, F1: 0.0061018, HIT_RATE: 0.0396615, ARHR: 0.0146895, RMSE: 0.9996476, NOVELTY: 0.0055639, AVERAGE_POPULARITY: 0.1038019, DIVERSITY_MEAN_INTER_LIST: 0.9968859, DIVERSITY_HERFINDAHL: 0.9996824, COVERAGE_ITEM: 0.7372263, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3856667, SHANNON_ENTROPY: 12.6302133, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0229848, PRECISION: 0.0040465, PRECISION_RECALL_MIN_DEN: 0.0134882, RECALL: 0.0134882, MAP: 0.0051083, MRR: 0.0148385, NDCG: 0.0098272, F1: 0.0062253, HIT_RATE: 0.0404646, ARHR: 0.0150817, RMSE: 0.9828849, NOVELTY: 0.0069255, AVERAGE_POPULARITY: 0.0785404, DIVERSITY_MEAN_INTER_LIST: 0.9840913, DIVERSITY_HERFINDAHL: 0.9984031, COVERAGE_ITEM: 0.7091646, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3598147, SHANNON_ENTROPY: 12.1296149, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0221225, PRECISION: 0.0040897, PRECISION_RECALL_MIN_DEN: 0.0136323, RECALL: 0.0136323, MAP: 0.0048885, MRR: 0.0139523, NDCG: 0.0095907, F1: 0.0062918, HIT_RATE: 0.0408970, ARHR: 0.0143089, RMSE: 0.8863071, NOVELTY: 0.0063187, AVERAGE_POPULARITY: 0.0992522, DIVERSITY_MEAN_INTER_LIST: 0.9937064, DIVERSITY_HERFINDAHL: 0.9993645, COVERAGE_ITEM: 0.6842931, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2417687, SHANNON_ENTROPY: 11.7151460, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 8, 'shrink': 1472, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0222075, PRECISION: 0.0039476, PRECISION_RECALL_MIN_DEN: 0.0131587, RECALL: 0.0131587, MAP: 0.0048613, MRR: 0.0141490, NDCG: 0.0094591, F1: 0.0060732, HIT_RATE: 0.0394761, ARHR: 0.0143664, RMSE: 0.9998427, NOVELTY: 0.0067025, AVERAGE_POPULARITY: 0.0835555, DIVERSITY_MEAN_INTER_LIST: 0.9931717, DIVERSITY_HERFINDAHL: 0.9993110, COVERAGE_ITEM: 0.7260881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3882088, SHANNON_ENTROPY: 12.4890083, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0225627, PRECISION: 0.0041577, PRECISION_RECALL_MIN_DEN: 0.0138589, RECALL: 0.0138589, MAP: 0.0050079, MRR: 0.0143757, NDCG: 0.0098029, F1: 0.0063964, HIT_RATE: 0.0415766, ARHR: 0.0146998, RMSE: 0.9973697, NOVELTY: 0.0063331, AVERAGE_POPULARITY: 0.0997357, DIVERSITY_MEAN_INTER_LIST: 0.9936600, DIVERSITY_HERFINDAHL: 0.9993599, COVERAGE_ITEM: 0.6843471, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2402524, SHANNON_ENTROPY: 11.7046120, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0229848, PRECISION: 0.0040465, PRECISION_RECALL_MIN_DEN: 0.0134882, RECALL: 0.0134882, MAP: 0.0051083, MRR: 0.0148385, NDCG: 0.0098272, F1: 0.0062253, HIT_RATE: 0.0404646, ARHR: 0.0150817, RMSE: 0.9828849, NOVELTY: 0.0069255, AVERAGE_POPULARITY: 0.0785404, DIVERSITY_MEAN_INTER_LIST: 0.9840913, DIVERSITY_HERFINDAHL: 0.9984031, COVERAGE_ITEM: 0.7091646, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3598147, SHANNON_ENTROPY: 12.1296149, 
