SearchBayesianSkopt: New best config found. Config 0: {'topK': 970, 'shrink': 775, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0218128, PRECISION: 0.0040403, PRECISION_RECALL_MIN_DEN: 0.0134676, RECALL: 0.0134676, MAP: 0.0048194, MRR: 0.0138965, NDCG: 0.0094860, F1: 0.0062158, HIT_RATE: 0.0404028, ARHR: 0.0141773, RMSE: 0.9949973, NOVELTY: 0.0063282, AVERAGE_POPULARITY: 0.1002549, DIVERSITY_MEAN_INTER_LIST: 0.9937139, DIVERSITY_HERFINDAHL: 0.9993653, COVERAGE_ITEM: 0.6841849, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2428168, SHANNON_ENTROPY: 11.7207952, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 933, 'shrink': 1320, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0221985, PRECISION: 0.0041391, PRECISION_RECALL_MIN_DEN: 0.0137971, RECALL: 0.0137971, MAP: 0.0047231, MRR: 0.0137451, NDCG: 0.0095097, F1: 0.0063679, HIT_RATE: 0.0413912, ARHR: 0.0139572, RMSE: 0.9971017, NOVELTY: 0.0063145, AVERAGE_POPULARITY: 0.1011451, DIVERSITY_MEAN_INTER_LIST: 0.9937977, DIVERSITY_HERFINDAHL: 0.9993736, COVERAGE_ITEM: 0.6847797, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2439091, SHANNON_ENTROPY: 11.7347157, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 672, 'shrink': 825, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0224724, PRECISION: 0.0041206, PRECISION_RECALL_MIN_DEN: 0.0137353, RECALL: 0.0137353, MAP: 0.0051397, MRR: 0.0148337, NDCG: 0.0099062, F1: 0.0063394, HIT_RATE: 0.0412059, ARHR: 0.0151229, RMSE: 0.9960224, NOVELTY: 0.0062043, AVERAGE_POPULARITY: 0.1097468, DIVERSITY_MEAN_INTER_LIST: 0.9933343, DIVERSITY_HERFINDAHL: 0.9993273, COVERAGE_ITEM: 0.6867261, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2508782, SHANNON_ENTROPY: 11.7653655, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 451, 'shrink': 158, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0242071, PRECISION: 0.0042194, PRECISION_RECALL_MIN_DEN: 0.0140648, RECALL: 0.0140648, MAP: 0.0054195, MRR: 0.0156764, NDCG: 0.0103394, F1: 0.0064914, HIT_RATE: 0.0421944, ARHR: 0.0159674, RMSE: 0.9827367, NOVELTY: 0.0060788, AVERAGE_POPULARITY: 0.1179225, DIVERSITY_MEAN_INTER_LIST: 0.9931016, DIVERSITY_HERFINDAHL: 0.9993040, COVERAGE_ITEM: 0.6911598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2528301, SHANNON_ENTROPY: 11.7589737, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 34, 'shrink': 194, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0211036, PRECISION: 0.0037932, PRECISION_RECALL_MIN_DEN: 0.0126439, RECALL: 0.0126439, MAP: 0.0049560, MRR: 0.0143941, NDCG: 0.0093750, F1: 0.0058356, HIT_RATE: 0.0379317, ARHR: 0.0146311, RMSE: 0.9968715, NOVELTY: 0.0054277, AVERAGE_POPULARITY: 0.1070505, DIVERSITY_MEAN_INTER_LIST: 0.9968764, DIVERSITY_HERFINDAHL: 0.9996815, COVERAGE_ITEM: 0.7422547, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3773328, SHANNON_ENTROPY: 12.6081480, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 27, 'shrink': 1498, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0216036, PRECISION: 0.0039723, PRECISION_RECALL_MIN_DEN: 0.0132411, RECALL: 0.0132411, MAP: 0.0050017, MRR: 0.0144419, NDCG: 0.0095972, F1: 0.0061113, HIT_RATE: 0.0397232, ARHR: 0.0147203, RMSE: 0.9996467, NOVELTY: 0.0055674, AVERAGE_POPULARITY: 0.1034794, DIVERSITY_MEAN_INTER_LIST: 0.9968981, DIVERSITY_HERFINDAHL: 0.9996837, COVERAGE_ITEM: 0.7371181, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3861422, SHANNON_ENTROPY: 12.6328287, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0228750, PRECISION: 0.0040403, PRECISION_RECALL_MIN_DEN: 0.0134676, RECALL: 0.0134676, MAP: 0.0050728, MRR: 0.0147321, NDCG: 0.0097818, F1: 0.0062158, HIT_RATE: 0.0404028, ARHR: 0.0149753, RMSE: 0.9784286, NOVELTY: 0.0069260, AVERAGE_POPULARITY: 0.0784414, DIVERSITY_MEAN_INTER_LIST: 0.9840942, DIVERSITY_HERFINDAHL: 0.9984033, COVERAGE_ITEM: 0.7090565, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3598501, SHANNON_ENTROPY: 12.1297411, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0225816, PRECISION: 0.0041021, PRECISION_RECALL_MIN_DEN: 0.0136735, RECALL: 0.0136735, MAP: 0.0051410, MRR: 0.0146978, NDCG: 0.0098769, F1: 0.0063109, HIT_RATE: 0.0410206, ARHR: 0.0150604, RMSE: 1.0803750, NOVELTY: 0.0063398, AVERAGE_POPULARITY: 0.0977714, DIVERSITY_MEAN_INTER_LIST: 0.9938976, DIVERSITY_HERFINDAHL: 0.9993836, COVERAGE_ITEM: 0.6875372, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2501197, SHANNON_ENTROPY: 11.7707255, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 8, 'shrink': 1472, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0222486, PRECISION: 0.0039538, PRECISION_RECALL_MIN_DEN: 0.0131793, RECALL: 0.0131793, MAP: 0.0048686, MRR: 0.0141709, NDCG: 0.0094740, F1: 0.0060828, HIT_RATE: 0.0395379, ARHR: 0.0143884, RMSE: 0.9998423, NOVELTY: 0.0067039, AVERAGE_POPULARITY: 0.0835453, DIVERSITY_MEAN_INTER_LIST: 0.9931736, DIVERSITY_HERFINDAHL: 0.9993112, COVERAGE_ITEM: 0.7260881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3882248, SHANNON_ENTROPY: 12.4892055, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0224868, PRECISION: 0.0041144, PRECISION_RECALL_MIN_DEN: 0.0137147, RECALL: 0.0137147, MAP: 0.0049371, MRR: 0.0141685, NDCG: 0.0096853, F1: 0.0063299, HIT_RATE: 0.0411441, ARHR: 0.0144899, RMSE: 0.9973644, NOVELTY: 0.0063387, AVERAGE_POPULARITY: 0.0994879, DIVERSITY_MEAN_INTER_LIST: 0.9936880, DIVERSITY_HERFINDAHL: 0.9993627, COVERAGE_ITEM: 0.6837524, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2415943, SHANNON_ENTROPY: 11.7114306, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0228750, PRECISION: 0.0040403, PRECISION_RECALL_MIN_DEN: 0.0134676, RECALL: 0.0134676, MAP: 0.0050728, MRR: 0.0147321, NDCG: 0.0097818, F1: 0.0062158, HIT_RATE: 0.0404028, ARHR: 0.0149753, RMSE: 0.9784286, NOVELTY: 0.0069260, AVERAGE_POPULARITY: 0.0784414, DIVERSITY_MEAN_INTER_LIST: 0.9840942, DIVERSITY_HERFINDAHL: 0.9984033, COVERAGE_ITEM: 0.7090565, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3598501, SHANNON_ENTROPY: 12.1297411, 
