SearchBayesianSkopt: New best config found. Config 0: {'topK': 970, 'shrink': 775, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8651230387103195, 'tversky_beta': 1.7596367355916767} - results: ROC_AUC: 0.0218608, PRECISION: 0.0040588, PRECISION_RECALL_MIN_DEN: 0.0135294, RECALL: 0.0135294, MAP: 0.0048486, MRR: 0.0139826, NDCG: 0.0095357, F1: 0.0062443, HIT_RATE: 0.0405881, ARHR: 0.0142643, RMSE: 0.9950071, NOVELTY: 0.0063286, AVERAGE_POPULARITY: 0.1002529, DIVERSITY_MEAN_INTER_LIST: 0.9937159, DIVERSITY_HERFINDAHL: 0.9993655, COVERAGE_ITEM: 0.6833198, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2427683, SHANNON_ENTROPY: 11.7197970, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 250, 'shrink': 320, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.6757563433336083, 'tversky_beta': 1.0808797964698005} - results: ROC_AUC: 0.0248204, PRECISION: 0.0042133, PRECISION_RECALL_MIN_DEN: 0.0140442, RECALL: 0.0140442, MAP: 0.0055218, MRR: 0.0160811, NDCG: 0.0104663, F1: 0.0064819, HIT_RATE: 0.0421326, ARHR: 0.0163199, RMSE: 0.9933844, NOVELTY: 0.0058648, AVERAGE_POPULARITY: 0.1264990, DIVERSITY_MEAN_INTER_LIST: 0.9942517, DIVERSITY_HERFINDAHL: 0.9994190, COVERAGE_ITEM: 0.7013247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2755975, SHANNON_ENTROPY: 11.9594616, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 451, 'shrink': 158, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.05829654641006489, 'tversky_beta': 0.2592470942425947} - results: ROC_AUC: 0.0237742, PRECISION: 0.0042009, PRECISION_RECALL_MIN_DEN: 0.0140030, RECALL: 0.0140030, MAP: 0.0053172, MRR: 0.0153423, NDCG: 0.0102028, F1: 0.0064629, HIT_RATE: 0.0420090, ARHR: 0.0156469, RMSE: 0.9825747, NOVELTY: 0.0060731, AVERAGE_POPULARITY: 0.1182980, DIVERSITY_MEAN_INTER_LIST: 0.9930822, DIVERSITY_HERFINDAHL: 0.9993021, COVERAGE_ITEM: 0.6926737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2507898, SHANNON_ENTROPY: 11.7513538, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 789, 'shrink': 710, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9954136098627802, 'tversky_beta': 0.028016505356361694} - results: ROC_AUC: 0.0229608, PRECISION: 0.0040897, PRECISION_RECALL_MIN_DEN: 0.0136323, RECALL: 0.0136323, MAP: 0.0047930, MRR: 0.0139194, NDCG: 0.0095490, F1: 0.0062918, HIT_RATE: 0.0408970, ARHR: 0.0141492, RMSE: 0.9950407, NOVELTY: 0.0062610, AVERAGE_POPULARITY: 0.1049690, DIVERSITY_MEAN_INTER_LIST: 0.9938193, DIVERSITY_HERFINDAHL: 0.9993758, COVERAGE_ITEM: 0.6856448, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2479223, SHANNON_ENTROPY: 11.7699857, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 357, 'shrink': 761, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6880179487944855, 'tversky_beta': 0.4689701070932851} - results: ROC_AUC: 0.0242680, PRECISION: 0.0043245, PRECISION_RECALL_MIN_DEN: 0.0144149, RECALL: 0.0144149, MAP: 0.0053983, MRR: 0.0157048, NDCG: 0.0104390, F1: 0.0066530, HIT_RATE: 0.0432446, ARHR: 0.0159498, RMSE: 0.9966826, NOVELTY: 0.0059790, AVERAGE_POPULARITY: 0.1222964, DIVERSITY_MEAN_INTER_LIST: 0.9937404, DIVERSITY_HERFINDAHL: 0.9993679, COVERAGE_ITEM: 0.6948905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2620595, SHANNON_ENTROPY: 11.8506810, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0233139, PRECISION: 0.0040156, PRECISION_RECALL_MIN_DEN: 0.0133852, RECALL: 0.0133852, MAP: 0.0052700, MRR: 0.0152825, NDCG: 0.0099675, F1: 0.0061778, HIT_RATE: 0.0401557, ARHR: 0.0155463, RMSE: 0.9998841, NOVELTY: 0.0069599, AVERAGE_POPULARITY: 0.0804138, DIVERSITY_MEAN_INTER_LIST: 0.9840713, DIVERSITY_HERFINDAHL: 0.9984010, COVERAGE_ITEM: 0.7087862, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3591384, SHANNON_ENTROPY: 12.1245978, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 984, 'shrink': 1, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9234192149124825, 'tversky_beta': 1.908530724526353} - results: ROC_AUC: 0.0251672, PRECISION: 0.0044109, PRECISION_RECALL_MIN_DEN: 0.0147032, RECALL: 0.0147032, MAP: 0.0058550, MRR: 0.0168722, NDCG: 0.0109890, F1: 0.0067861, HIT_RATE: 0.0441095, ARHR: 0.0172186, RMSE: 0.8988211, NOVELTY: 0.0065124, AVERAGE_POPULARITY: 0.0854070, DIVERSITY_MEAN_INTER_LIST: 0.9953511, DIVERSITY_HERFINDAHL: 0.9995290, COVERAGE_ITEM: 0.7184104, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3079874, SHANNON_ENTROPY: 12.1598532, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0230269, PRECISION: 0.0040773, PRECISION_RECALL_MIN_DEN: 0.0135912, RECALL: 0.0135912, MAP: 0.0051150, MRR: 0.0149902, NDCG: 0.0098856, F1: 0.0062728, HIT_RATE: 0.0407735, ARHR: 0.0151676, RMSE: 0.9998536, NOVELTY: 0.0063693, AVERAGE_POPULARITY: 0.0886601, DIVERSITY_MEAN_INTER_LIST: 0.9932148, DIVERSITY_HERFINDAHL: 0.9993153, COVERAGE_ITEM: 0.7784807, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3758322, SHANNON_ENTROPY: 12.5426495, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 934, 'shrink': 1440, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.025605924206983273, 'tversky_beta': 0.012104049594895864} - results: ROC_AUC: 0.0218771, PRECISION: 0.0040403, PRECISION_RECALL_MIN_DEN: 0.0134676, RECALL: 0.0134676, MAP: 0.0046860, MRR: 0.0136415, NDCG: 0.0093691, F1: 0.0062158, HIT_RATE: 0.0404028, ARHR: 0.0138498, RMSE: 0.9973372, NOVELTY: 0.0063126, AVERAGE_POPULARITY: 0.1013288, DIVERSITY_MEAN_INTER_LIST: 0.9937789, DIVERSITY_HERFINDAHL: 0.9993717, COVERAGE_ITEM: 0.6846175, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2426488, SHANNON_ENTROPY: 11.7282240, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 92, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.13638909261906054, 'tversky_beta': 1.982605961530216} - results: ROC_AUC: 0.0229848, PRECISION: 0.0040465, PRECISION_RECALL_MIN_DEN: 0.0134882, RECALL: 0.0134882, MAP: 0.0051083, MRR: 0.0148385, NDCG: 0.0098272, F1: 0.0062253, HIT_RATE: 0.0404646, ARHR: 0.0150817, RMSE: 0.9982118, NOVELTY: 0.0069256, AVERAGE_POPULARITY: 0.0785450, DIVERSITY_MEAN_INTER_LIST: 0.9840911, DIVERSITY_HERFINDAHL: 0.9984030, COVERAGE_ITEM: 0.7090565, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3598315, SHANNON_ENTROPY: 12.1294694, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0227279, PRECISION: 0.0040526, PRECISION_RECALL_MIN_DEN: 0.0135088, RECALL: 0.0135088, MAP: 0.0050777, MRR: 0.0147036, NDCG: 0.0097884, F1: 0.0062348, HIT_RATE: 0.0405263, ARHR: 0.0149684, RMSE: 0.9790190, NOVELTY: 0.0069495, AVERAGE_POPULARITY: 0.0737953, DIVERSITY_MEAN_INTER_LIST: 0.9841764, DIVERSITY_HERFINDAHL: 0.9984116, COVERAGE_ITEM: 0.7067856, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3628101, SHANNON_ENTROPY: 12.1423796, 
