SearchBayesianSkopt: New best config found. Config 0: {'topK': 201, 'shrink': 199, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0473814, PRECISION: 0.0076501, PRECISION_RECALL_MIN_DEN: 0.0255004, RECALL: 0.0255004, MAP: 0.0111170, MRR: 0.0312794, NDCG: 0.0200258, F1: 0.0117694, HIT_RATE: 0.0765011, ARHR: 0.0323152, RMSE: 0.9995136, NOVELTY: 0.0069466, AVERAGE_POPULARITY: 0.0930373, DIVERSITY_MEAN_INTER_LIST: 0.9962563, DIVERSITY_HERFINDAHL: 0.9995953, COVERAGE_ITEM: 0.4736415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4813730, SHANNON_ENTROPY: 12.3154824, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 371, 'shrink': 687, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0465580, PRECISION: 0.0074977, PRECISION_RECALL_MIN_DEN: 0.0249924, RECALL: 0.0249924, MAP: 0.0110714, MRR: 0.0310918, NDCG: 0.0198005, F1: 0.0115349, HIT_RATE: 0.0749771, ARHR: 0.0321530, RMSE: 0.9998945, NOVELTY: 0.0069519, AVERAGE_POPULARITY: 0.0909571, DIVERSITY_MEAN_INTER_LIST: 0.9962919, DIVERSITY_HERFINDAHL: 0.9995988, COVERAGE_ITEM: 0.4720735, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4835697, SHANNON_ENTROPY: 12.3208601, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 691, 'shrink': 481, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0459464, PRECISION: 0.0074977, PRECISION_RECALL_MIN_DEN: 0.0249924, RECALL: 0.0249924, MAP: 0.0109580, MRR: 0.0308761, NDCG: 0.0196814, F1: 0.0115349, HIT_RATE: 0.0749771, ARHR: 0.0318750, RMSE: 0.9996233, NOVELTY: 0.0067601, AVERAGE_POPULARITY: 0.1266074, DIVERSITY_MEAN_INTER_LIST: 0.9971962, DIVERSITY_HERFINDAHL: 0.9996892, COVERAGE_ITEM: 0.4739119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4783619, SHANNON_ENTROPY: 12.3522110, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 146, 'shrink': 420, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0474682, PRECISION: 0.0077111, PRECISION_RECALL_MIN_DEN: 0.0257035, RECALL: 0.0257035, MAP: 0.0112032, MRR: 0.0314262, NDCG: 0.0201644, F1: 0.0118632, HIT_RATE: 0.0771106, ARHR: 0.0325179, RMSE: 0.9997814, NOVELTY: 0.0069452, AVERAGE_POPULARITY: 0.0934464, DIVERSITY_MEAN_INTER_LIST: 0.9962547, DIVERSITY_HERFINDAHL: 0.9995951, COVERAGE_ITEM: 0.4729386, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4817275, SHANNON_ENTROPY: 12.3145260, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 249, 'shrink': 1037, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0465284, PRECISION: 0.0074063, PRECISION_RECALL_MIN_DEN: 0.0246876, RECALL: 0.0246876, MAP: 0.0110171, MRR: 0.0310610, NDCG: 0.0196672, F1: 0.0113943, HIT_RATE: 0.0740628, ARHR: 0.0320561, RMSE: 0.9998988, NOVELTY: 0.0069471, AVERAGE_POPULARITY: 0.0920483, DIVERSITY_MEAN_INTER_LIST: 0.9962916, DIVERSITY_HERFINDAHL: 0.9995988, COVERAGE_ITEM: 0.4758583, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4825592, SHANNON_ENTROPY: 12.3267923, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 18, 'shrink': 163, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0443505, PRECISION: 0.0074672, PRECISION_RECALL_MIN_DEN: 0.0248908, RECALL: 0.0248908, MAP: 0.0106648, MRR: 0.0298544, NDCG: 0.0192853, F1: 0.0114881, HIT_RATE: 0.0746724, ARHR: 0.0309244, RMSE: 0.9996984, NOVELTY: 0.0068093, AVERAGE_POPULARITY: 0.0837031, DIVERSITY_MEAN_INTER_LIST: 0.9851931, DIVERSITY_HERFINDAHL: 0.9984893, COVERAGE_ITEM: 0.5081373, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4662296, SHANNON_ENTROPY: 12.0488140, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 990, 'shrink': 1411, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0430192, PRECISION: 0.0067967, PRECISION_RECALL_MIN_DEN: 0.0226557, RECALL: 0.0226557, MAP: 0.0101176, MRR: 0.0289433, NDCG: 0.0181267, F1: 0.0104565, HIT_RATE: 0.0679671, ARHR: 0.0296481, RMSE: 0.9996323, NOVELTY: 0.0066075, AVERAGE_POPULARITY: 0.1369929, DIVERSITY_MEAN_INTER_LIST: 0.9967304, DIVERSITY_HERFINDAHL: 0.9996427, COVERAGE_ITEM: 0.4824547, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4576940, SHANNON_ENTROPY: 12.2752099, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 977, 'shrink': 29, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0382929, PRECISION: 0.0063700, PRECISION_RECALL_MIN_DEN: 0.0212334, RECALL: 0.0212334, MAP: 0.0092653, MRR: 0.0259766, NDCG: 0.0166449, F1: 0.0098000, HIT_RATE: 0.0637001, ARHR: 0.0268863, RMSE: 0.9931856, NOVELTY: 0.0065932, AVERAGE_POPULARITY: 0.0906086, DIVERSITY_MEAN_INTER_LIST: 0.9979746, DIVERSITY_HERFINDAHL: 0.9997670, COVERAGE_ITEM: 0.5570154, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5134142, SHANNON_ENTROPY: 12.6901293, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 28, 'shrink': 1459, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0441875, PRECISION: 0.0072844, PRECISION_RECALL_MIN_DEN: 0.0242812, RECALL: 0.0242812, MAP: 0.0105382, MRR: 0.0295990, NDCG: 0.0189922, F1: 0.0112067, HIT_RATE: 0.0728436, ARHR: 0.0306068, RMSE: 0.9999485, NOVELTY: 0.0068021, AVERAGE_POPULARITY: 0.0926334, DIVERSITY_MEAN_INTER_LIST: 0.9966446, DIVERSITY_HERFINDAHL: 0.9996341, COVERAGE_ITEM: 0.5314950, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5096020, SHANNON_ENTROPY: 12.5473830, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 22, 'shrink': 40, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0454553, PRECISION: 0.0074063, PRECISION_RECALL_MIN_DEN: 0.0246876, RECALL: 0.0246876, MAP: 0.0108942, MRR: 0.0306983, NDCG: 0.0195147, F1: 0.0113943, HIT_RATE: 0.0740628, ARHR: 0.0316904, RMSE: 0.9984973, NOVELTY: 0.0068343, AVERAGE_POPULARITY: 0.0942460, DIVERSITY_MEAN_INTER_LIST: 0.9956600, DIVERSITY_HERFINDAHL: 0.9995357, COVERAGE_ITEM: 0.5223574, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5003116, SHANNON_ENTROPY: 12.4598225, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0448627, PRECISION: 0.0073148, PRECISION_RECALL_MIN_DEN: 0.0243828, RECALL: 0.0243828, MAP: 0.0110938, MRR: 0.0310939, NDCG: 0.0195872, F1: 0.0112536, HIT_RATE: 0.0731484, ARHR: 0.0321876, RMSE: 0.9998646, NOVELTY: 0.0068121, AVERAGE_POPULARITY: 0.1104992, DIVERSITY_MEAN_INTER_LIST: 0.9976193, DIVERSITY_HERFINDAHL: 0.9997315, COVERAGE_ITEM: 0.4955934, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4963453, SHANNON_ENTROPY: 12.4857816, 
