SearchBayesianSkopt: New best config found. Config 0: {'topK': 330, 'shrink': 212, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0403912, PRECISION: 0.0066782, PRECISION_RECALL_MIN_DEN: 0.0222607, RECALL: 0.0222607, MAP: 0.0091407, MRR: 0.0264754, NDCG: 0.0169991, F1: 0.0102742, HIT_RATE: 0.0667820, ARHR: 0.0269488, RMSE: 0.9277709, NOVELTY: 0.0055441, AVERAGE_POPULARITY: 0.1009856, DIVERSITY_MEAN_INTER_LIST: 0.9965198, DIVERSITY_HERFINDAHL: 0.9996458, COVERAGE_ITEM: 0.8101108, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3325858, SHANNON_ENTROPY: 12.5405699, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 393, 'shrink': 589, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0473447, PRECISION: 0.0075060, PRECISION_RECALL_MIN_DEN: 0.0250201, RECALL: 0.0250201, MAP: 0.0108541, MRR: 0.0314930, NDCG: 0.0197553, F1: 0.0115477, HIT_RATE: 0.0750602, ARHR: 0.0320276, RMSE: 0.9539344, NOVELTY: 0.0056987, AVERAGE_POPULARITY: 0.1287263, DIVERSITY_MEAN_INTER_LIST: 0.9956984, DIVERSITY_HERFINDAHL: 0.9995637, COVERAGE_ITEM: 0.8010814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3003433, SHANNON_ENTROPY: 12.3209384, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 258, 'shrink': 1040, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0429571, PRECISION: 0.0070489, PRECISION_RECALL_MIN_DEN: 0.0234962, RECALL: 0.0234962, MAP: 0.0095175, MRR: 0.0276368, NDCG: 0.0178259, F1: 0.0108444, HIT_RATE: 0.0704887, ARHR: 0.0280946, RMSE: 0.9771535, NOVELTY: 0.0048069, AVERAGE_POPULARITY: 0.1162117, DIVERSITY_MEAN_INTER_LIST: 0.9957414, DIVERSITY_HERFINDAHL: 0.9995680, COVERAGE_ITEM: 0.7824818, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3041029, SHANNON_ENTROPY: 12.3264522, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 181, 'shrink': 160, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0476433, PRECISION: 0.0077470, PRECISION_RECALL_MIN_DEN: 0.0258232, RECALL: 0.0258232, MAP: 0.0110509, MRR: 0.0318392, NDCG: 0.0201724, F1: 0.0119184, HIT_RATE: 0.0774696, ARHR: 0.0324959, RMSE: 0.8909734, NOVELTY: 0.0056147, AVERAGE_POPULARITY: 0.1312620, DIVERSITY_MEAN_INTER_LIST: 0.9955651, DIVERSITY_HERFINDAHL: 0.9995504, COVERAGE_ITEM: 0.8063801, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3039681, SHANNON_ENTROPY: 12.3343849, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 311, 'shrink': 925, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0315362, PRECISION: 0.0052017, PRECISION_RECALL_MIN_DEN: 0.0173390, RECALL: 0.0173390, MAP: 0.0073832, MRR: 0.0212624, NDCG: 0.0134939, F1: 0.0080026, HIT_RATE: 0.0520171, ARHR: 0.0217017, RMSE: 0.9988638, NOVELTY: 0.0060794, AVERAGE_POPULARITY: 0.0639299, DIVERSITY_MEAN_INTER_LIST: 0.9973481, DIVERSITY_HERFINDAHL: 0.9997286, COVERAGE_ITEM: 0.8303866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3686269, SHANNON_ENTROPY: 12.7810199, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 992, 'shrink': 1485, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0405675, PRECISION: 0.0068265, PRECISION_RECALL_MIN_DEN: 0.0227549, RECALL: 0.0227549, MAP: 0.0091201, MRR: 0.0263786, NDCG: 0.0171232, F1: 0.0105023, HIT_RATE: 0.0682647, ARHR: 0.0268661, RMSE: 0.9798721, NOVELTY: 0.0050707, AVERAGE_POPULARITY: 0.1057692, DIVERSITY_MEAN_INTER_LIST: 0.9963218, DIVERSITY_HERFINDAHL: 0.9996260, COVERAGE_ITEM: 0.7871857, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3153046, SHANNON_ENTROPY: 12.4302911, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0317749, PRECISION: 0.0051337, PRECISION_RECALL_MIN_DEN: 0.0171125, RECALL: 0.0171125, MAP: 0.0071217, MRR: 0.0205428, NDCG: 0.0131738, F1: 0.0078981, HIT_RATE: 0.0513375, ARHR: 0.0209506, RMSE: 0.8245846, NOVELTY: 0.0055544, AVERAGE_POPULARITY: 0.0601609, DIVERSITY_MEAN_INTER_LIST: 0.9973941, DIVERSITY_HERFINDAHL: 0.9997333, COVERAGE_ITEM: 0.7997837, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3712738, SHANNON_ENTROPY: 12.7493728, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 8, 'shrink': 1476, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0377232, PRECISION: 0.0064929, PRECISION_RECALL_MIN_DEN: 0.0216429, RECALL: 0.0216429, MAP: 0.0082683, MRR: 0.0238279, NDCG: 0.0158390, F1: 0.0099890, HIT_RATE: 0.0649286, ARHR: 0.0243121, RMSE: 0.9998419, NOVELTY: 0.0050237, AVERAGE_POPULARITY: 0.0533924, DIVERSITY_MEAN_INTER_LIST: 0.9919314, DIVERSITY_HERFINDAHL: 0.9991870, COVERAGE_ITEM: 0.7895107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3185138, SHANNON_ENTROPY: 12.2165800, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0493760, PRECISION: 0.0083091, PRECISION_RECALL_MIN_DEN: 0.0276971, RECALL: 0.0276971, MAP: 0.0110570, MRR: 0.0317819, NDCG: 0.0207705, F1: 0.0127833, HIT_RATE: 0.0830914, ARHR: 0.0324658, RMSE: 9.8661970, NOVELTY: 0.0051368, AVERAGE_POPULARITY: 0.1137372, DIVERSITY_MEAN_INTER_LIST: 0.9895593, DIVERSITY_HERFINDAHL: 0.9989498, COVERAGE_ITEM: 0.6969992, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2639931, SHANNON_ENTROPY: 11.7349187, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 1000, 'shrink': 21, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0291288, PRECISION: 0.0047569, PRECISION_RECALL_MIN_DEN: 0.0158563, RECALL: 0.0158563, MAP: 0.0068221, MRR: 0.0197277, NDCG: 0.0124300, F1: 0.0073183, HIT_RATE: 0.0475690, ARHR: 0.0200932, RMSE: 0.9235115, NOVELTY: 0.0063806, AVERAGE_POPULARITY: 0.0599310, DIVERSITY_MEAN_INTER_LIST: 0.9974669, DIVERSITY_HERFINDAHL: 0.9997405, COVERAGE_ITEM: 0.8373614, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3868614, SHANNON_ENTROPY: 12.8537510, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0493760, PRECISION: 0.0083091, PRECISION_RECALL_MIN_DEN: 0.0276971, RECALL: 0.0276971, MAP: 0.0110570, MRR: 0.0317819, NDCG: 0.0207705, F1: 0.0127833, HIT_RATE: 0.0830914, ARHR: 0.0324658, RMSE: 0.9963461, NOVELTY: 0.0051368, AVERAGE_POPULARITY: 0.1137372, DIVERSITY_MEAN_INTER_LIST: 0.9895593, DIVERSITY_HERFINDAHL: 0.9989498, COVERAGE_ITEM: 0.6969992, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2639931, SHANNON_ENTROPY: 11.7349187, 
