SearchBayesianSkopt: New best config found. Config 0: {'topK': 754, 'shrink': 625, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.0103939883020912, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0323738, PRECISION: 0.0058824, PRECISION_RECALL_MIN_DEN: 0.0196078, RECALL: 0.0196078, MAP: 0.0071943, MRR: 0.0208792, NDCG: 0.0140317, F1: 0.0090498, HIT_RATE: 0.0588235, ARHR: 0.0212311, RMSE: 0.8623054, NOVELTY: 0.0056458, AVERAGE_POPULARITY: 0.2379378, DIVERSITY_MEAN_INTER_LIST: 0.9795009, DIVERSITY_HERFINDAHL: 0.9979282, COVERAGE_ITEM: 0.3540416, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2360588, SHANNON_ENTROPY: 10.3782579, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 691, 'shrink': 1229, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.28102045548865245, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0284441, PRECISION: 0.0053903, PRECISION_RECALL_MIN_DEN: 0.0179676, RECALL: 0.0179676, MAP: 0.0062618, MRR: 0.0180928, NDCG: 0.0124719, F1: 0.0082928, HIT_RATE: 0.0539029, ARHR: 0.0184391, RMSE: 0.9274566, NOVELTY: 0.0050956, AVERAGE_POPULARITY: 0.2062665, DIVERSITY_MEAN_INTER_LIST: 0.9826219, DIVERSITY_HERFINDAHL: 0.9982402, COVERAGE_ITEM: 0.3870235, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2658873, SHANNON_ENTROPY: 10.7268611, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 64, 'shrink': 991, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.533443494893291, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0464956, PRECISION: 0.0082085, PRECISION_RECALL_MIN_DEN: 0.0273615, RECALL: 0.0273615, MAP: 0.0104559, MRR: 0.0304693, NDCG: 0.0200478, F1: 0.0126284, HIT_RATE: 0.0820845, ARHR: 0.0309185, RMSE: 0.9374375, NOVELTY: 0.0059046, AVERAGE_POPULARITY: 0.2992785, DIVERSITY_MEAN_INTER_LIST: 0.9819902, DIVERSITY_HERFINDAHL: 0.9981771, COVERAGE_ITEM: 0.2144363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2378351, SHANNON_ENTROPY: 10.1048238, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 999, 'shrink': 1352, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.22459341367434732, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0305021, PRECISION: 0.0057705, PRECISION_RECALL_MIN_DEN: 0.0192351, RECALL: 0.0192351, MAP: 0.0063544, MRR: 0.0188105, NDCG: 0.0130596, F1: 0.0088777, HIT_RATE: 0.0577052, ARHR: 0.0189369, RMSE: 0.9077763, NOVELTY: 0.0055881, AVERAGE_POPULARITY: 0.1954854, DIVERSITY_MEAN_INTER_LIST: 0.9847070, DIVERSITY_HERFINDAHL: 0.9984487, COVERAGE_ITEM: 0.3241957, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2414582, SHANNON_ENTROPY: 10.5214241, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 448, 'shrink': 1029, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4257145136998498, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0300175, PRECISION: 0.0059495, PRECISION_RECALL_MIN_DEN: 0.0198315, RECALL: 0.0198315, MAP: 0.0060848, MRR: 0.0177440, NDCG: 0.0129005, F1: 0.0091530, HIT_RATE: 0.0594945, ARHR: 0.0179992, RMSE: 0.6709059, NOVELTY: 0.0048774, AVERAGE_POPULARITY: 0.8688541, DIVERSITY_MEAN_INTER_LIST: 0.2593016, DIVERSITY_HERFINDAHL: 0.9259244, COVERAGE_ITEM: 0.0071371, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1066230, SHANNON_ENTROPY: 4.0415713, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 760, 'shrink': 948, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6504450522266522, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0293807, PRECISION: 0.0060613, PRECISION_RECALL_MIN_DEN: 0.0202043, RECALL: 0.0202043, MAP: 0.0060623, MRR: 0.0175224, NDCG: 0.0129570, F1: 0.0093251, HIT_RATE: 0.0606128, ARHR: 0.0178547, RMSE: 0.8346900, NOVELTY: 0.0048770, AVERAGE_POPULARITY: 0.8696717, DIVERSITY_MEAN_INTER_LIST: 0.2768267, DIVERSITY_HERFINDAHL: 0.9276765, COVERAGE_ITEM: 0.0044877, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1674788, SHANNON_ENTROPY: 4.0570685, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 93, 'shrink': 1156, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.848206062127711, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0297659, PRECISION: 0.0060389, PRECISION_RECALL_MIN_DEN: 0.0201297, RECALL: 0.0201297, MAP: 0.0064277, MRR: 0.0187565, NDCG: 0.0133375, F1: 0.0092906, HIT_RATE: 0.0603892, ARHR: 0.0190198, RMSE: 0.6752549, NOVELTY: 0.0050108, AVERAGE_POPULARITY: 0.8053979, DIVERSITY_MEAN_INTER_LIST: 0.4349571, DIVERSITY_HERFINDAHL: 0.9434860, COVERAGE_ITEM: 0.0521763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0483650, SHANNON_ENTROPY: 4.9764747, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 16, 'shrink': 17, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.5246536939347483, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0172609, PRECISION: 0.0030642, PRECISION_RECALL_MIN_DEN: 0.0102140, RECALL: 0.0102140, MAP: 0.0036854, MRR: 0.0108874, NDCG: 0.0072780, F1: 0.0047141, HIT_RATE: 0.0306419, ARHR: 0.0109719, RMSE: 0.8711693, NOVELTY: 0.0065372, AVERAGE_POPULARITY: 0.2266862, DIVERSITY_MEAN_INTER_LIST: 0.9874173, DIVERSITY_HERFINDAHL: 0.9987196, COVERAGE_ITEM: 0.2355231, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3031487, SHANNON_ENTROPY: 10.6405080, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 172, 'shrink': 309, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3394559709635592, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0312741, PRECISION: 0.0055916, PRECISION_RECALL_MIN_DEN: 0.0186386, RECALL: 0.0186386, MAP: 0.0072133, MRR: 0.0210945, NDCG: 0.0137491, F1: 0.0086024, HIT_RATE: 0.0559159, ARHR: 0.0213672, RMSE: 1.2538809, NOVELTY: 0.0053202, AVERAGE_POPULARITY: 0.5147426, DIVERSITY_MEAN_INTER_LIST: 0.7942218, DIVERSITY_HERFINDAHL: 0.9794044, COVERAGE_ITEM: 0.0374696, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1059687, SHANNON_ENTROPY: 6.4357507, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 356, 'shrink': 1031, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.467467524205608, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0440939, PRECISION: 0.0075822, PRECISION_RECALL_MIN_DEN: 0.0252740, RECALL: 0.0252740, MAP: 0.0094863, MRR: 0.0276969, NDCG: 0.0183781, F1: 0.0116649, HIT_RATE: 0.0758220, ARHR: 0.0280655, RMSE: 0.8046531, NOVELTY: 0.0056627, AVERAGE_POPULARITY: 0.3889378, DIVERSITY_MEAN_INTER_LIST: 0.9697480, DIVERSITY_HERFINDAHL: 0.9969531, COVERAGE_ITEM: 0.1099216, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2301718, SHANNON_ENTROPY: 9.2065455, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 695, 'shrink': 179, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2122436384215731, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0370518, PRECISION: 0.0067994, PRECISION_RECALL_MIN_DEN: 0.0226646, RECALL: 0.0226646, MAP: 0.0082037, MRR: 0.0236049, NDCG: 0.0160463, F1: 0.0104606, HIT_RATE: 0.0679937, ARHR: 0.0240968, RMSE: 0.7798755, NOVELTY: 0.0060016, AVERAGE_POPULARITY: 0.2549407, DIVERSITY_MEAN_INTER_LIST: 0.9762957, DIVERSITY_HERFINDAHL: 0.9976077, COVERAGE_ITEM: 0.1111111, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2639675, SHANNON_ENTROPY: 9.4570597, 
