SearchBayesianSkopt: New best config found. Config 0: {'topK': 514, 'shrink': 70, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0468870, PRECISION: 0.0083203, PRECISION_RECALL_MIN_DEN: 0.0277343, RECALL: 0.0277343, MAP: 0.0101109, MRR: 0.0295450, NDCG: 0.0198216, F1: 0.0128004, HIT_RATE: 0.0832029, ARHR: 0.0299389, RMSE: 4.4091456, NOVELTY: 0.0054739, AVERAGE_POPULARITY: 0.4882011, DIVERSITY_MEAN_INTER_LIST: 0.9388663, DIVERSITY_HERFINDAHL: 0.9938656, COVERAGE_ITEM: 0.0878075, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2021241, SHANNON_ENTROPY: 8.5336570, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 958, 'shrink': 770, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0482867, PRECISION: 0.0091255, PRECISION_RECALL_MIN_DEN: 0.0304183, RECALL: 0.0304183, MAP: 0.0103375, MRR: 0.0303475, NDCG: 0.0209024, F1: 0.0140392, HIT_RATE: 0.0912548, ARHR: 0.0306689, RMSE: 0.6073499, NOVELTY: 0.0053275, AVERAGE_POPULARITY: 0.5665967, DIVERSITY_MEAN_INTER_LIST: 0.9008935, DIVERSITY_HERFINDAHL: 0.9900692, COVERAGE_ITEM: 0.0795891, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1522676, SHANNON_ENTROPY: 7.8391389, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 861, 'shrink': 1013, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0281614, PRECISION: 0.0058824, PRECISION_RECALL_MIN_DEN: 0.0196078, RECALL: 0.0196078, MAP: 0.0058697, MRR: 0.0170191, NDCG: 0.0125569, F1: 0.0090498, HIT_RATE: 0.0588235, ARHR: 0.0173141, RMSE: 0.9427642, NOVELTY: 0.0048743, AVERAGE_POPULARITY: 0.8722234, DIVERSITY_MEAN_INTER_LIST: 0.2390035, DIVERSITY_HERFINDAHL: 0.9238950, COVERAGE_ITEM: 0.0035685, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1974843, SHANNON_ENTROPY: 3.9212101, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 501, 'shrink': 1061, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0462192, PRECISION: 0.0081637, PRECISION_RECALL_MIN_DEN: 0.0272124, RECALL: 0.0272124, MAP: 0.0099670, MRR: 0.0290796, NDCG: 0.0194922, F1: 0.0125596, HIT_RATE: 0.0816372, ARHR: 0.0294902, RMSE: 0.7438139, NOVELTY: 0.0054795, AVERAGE_POPULARITY: 0.4851630, DIVERSITY_MEAN_INTER_LIST: 0.9400305, DIVERSITY_HERFINDAHL: 0.9939820, COVERAGE_ITEM: 0.0884563, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2028515, SHANNON_ENTROPY: 8.5553824, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 957, 'shrink': 280, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0296758, PRECISION: 0.0052114, PRECISION_RECALL_MIN_DEN: 0.0173712, RECALL: 0.0173712, MAP: 0.0062965, MRR: 0.0185754, NDCG: 0.0124150, F1: 0.0080175, HIT_RATE: 0.0521136, ARHR: 0.0187325, RMSE: 0.6564573, NOVELTY: 0.0054311, AVERAGE_POPULARITY: 0.1878133, DIVERSITY_MEAN_INTER_LIST: 0.9840408, DIVERSITY_HERFINDAHL: 0.9983821, COVERAGE_ITEM: 0.3521492, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2481616, SHANNON_ENTROPY: 10.5954913, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 740, 'shrink': 147, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0354973, PRECISION: 0.0063297, PRECISION_RECALL_MIN_DEN: 0.0210989, RECALL: 0.0210989, MAP: 0.0076862, MRR: 0.0224943, NDCG: 0.0150789, F1: 0.0097380, HIT_RATE: 0.0632968, ARHR: 0.0227764, RMSE: 0.6350817, NOVELTY: 0.0057366, AVERAGE_POPULARITY: 0.2823656, DIVERSITY_MEAN_INTER_LIST: 0.9800973, DIVERSITY_HERFINDAHL: 0.9979878, COVERAGE_ITEM: 0.2672614, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2147767, SHANNON_ENTROPY: 10.1003046, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 914, 'shrink': 1281, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0295019, PRECISION: 0.0061507, PRECISION_RECALL_MIN_DEN: 0.0205025, RECALL: 0.0205025, MAP: 0.0061532, MRR: 0.0178294, NDCG: 0.0131509, F1: 0.0094627, HIT_RATE: 0.0615075, ARHR: 0.0181445, RMSE: 0.6881378, NOVELTY: 0.0048758, AVERAGE_POPULARITY: 0.8712726, DIVERSITY_MEAN_INTER_LIST: 0.2576167, DIVERSITY_HERFINDAHL: 0.9257559, COVERAGE_ITEM: 0.0039470, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1841779, SHANNON_ENTROPY: 3.9931870, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 728, 'shrink': 650, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0295919, PRECISION: 0.0061731, PRECISION_RECALL_MIN_DEN: 0.0205771, RECALL: 0.0205771, MAP: 0.0062864, MRR: 0.0182770, NDCG: 0.0133147, F1: 0.0094971, HIT_RATE: 0.0617312, ARHR: 0.0185681, RMSE: 1.2150132, NOVELTY: 0.0048767, AVERAGE_POPULARITY: 0.8700079, DIVERSITY_MEAN_INTER_LIST: 0.2679466, DIVERSITY_HERFINDAHL: 0.9267887, COVERAGE_ITEM: 0.0049743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1503953, SHANNON_ENTROPY: 4.0405221, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 465, 'shrink': 502, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0455233, PRECISION: 0.0083650, PRECISION_RECALL_MIN_DEN: 0.0278834, RECALL: 0.0278834, MAP: 0.0097745, MRR: 0.0284168, NDCG: 0.0194725, F1: 0.0128693, HIT_RATE: 0.0836502, ARHR: 0.0288702, RMSE: 0.6831253, NOVELTY: 0.0055951, AVERAGE_POPULARITY: 0.4260686, DIVERSITY_MEAN_INTER_LIST: 0.9603432, DIVERSITY_HERFINDAHL: 0.9960128, COVERAGE_ITEM: 0.1002433, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2242888, SHANNON_ENTROPY: 8.9790301, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 320, 'shrink': 373, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0287175, PRECISION: 0.0058824, PRECISION_RECALL_MIN_DEN: 0.0196078, RECALL: 0.0196078, MAP: 0.0059946, MRR: 0.0172683, NDCG: 0.0126765, F1: 0.0090498, HIT_RATE: 0.0588235, ARHR: 0.0176260, RMSE: 2.0805315, NOVELTY: 0.0048804, AVERAGE_POPULARITY: 0.8674292, DIVERSITY_MEAN_INTER_LIST: 0.2587525, DIVERSITY_HERFINDAHL: 0.9258695, COVERAGE_ITEM: 0.0096783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0811203, SHANNON_ENTROPY: 4.0615210, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 233, 'shrink': 382, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0192848, PRECISION: 0.0037799, PRECISION_RECALL_MIN_DEN: 0.0125997, RECALL: 0.0125997, MAP: 0.0037110, MRR: 0.0111330, NDCG: 0.0080893, F1: 0.0058153, HIT_RATE: 0.0377992, ARHR: 0.0111330, RMSE: 0.9132800, NOVELTY: 0.0042931, AVERAGE_POPULARITY: 0.1009146, DIVERSITY_MEAN_INTER_LIST: 0.9915142, DIVERSITY_HERFINDAHL: 0.9991292, COVERAGE_ITEM: 0.5204109, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3940195, SHANNON_ENTROPY: 11.9841395, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 966, 'shrink': 1059, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0313067, PRECISION: 0.0055692, PRECISION_RECALL_MIN_DEN: 0.0185641, RECALL: 0.0185641, MAP: 0.0065169, MRR: 0.0192742, NDCG: 0.0130435, F1: 0.0085680, HIT_RATE: 0.0556922, ARHR: 0.0194124, RMSE: 0.8887158, NOVELTY: 0.0056026, AVERAGE_POPULARITY: 0.2037419, DIVERSITY_MEAN_INTER_LIST: 0.9839669, DIVERSITY_HERFINDAHL: 0.9983747, COVERAGE_ITEM: 0.3238172, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2366415, SHANNON_ENTROPY: 10.4659551, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 183, 'shrink': 1197, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0133825, PRECISION: 0.0025721, PRECISION_RECALL_MIN_DEN: 0.0085738, RECALL: 0.0085738, MAP: 0.0026391, MRR: 0.0078613, NDCG: 0.0056208, F1: 0.0039571, HIT_RATE: 0.0257213, ARHR: 0.0078893, RMSE: 0.9739566, NOVELTY: 0.0036936, AVERAGE_POPULARITY: 0.0464748, DIVERSITY_MEAN_INTER_LIST: 0.9952308, DIVERSITY_HERFINDAHL: 0.9995008, COVERAGE_ITEM: 0.5477156, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4158196, SHANNON_ENTROPY: 12.2323911, 
