SearchBayesianSkopt: New best config found. Config 0: {'topK': 323, 'shrink': 297, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0183901, PRECISION: 0.0034444, PRECISION_RECALL_MIN_DEN: 0.0114814, RECALL: 0.0114814, MAP: 0.0039637, MRR: 0.0118910, NDCG: 0.0079982, F1: 0.0052991, HIT_RATE: 0.0344442, ARHR: 0.0118910, RMSE: 0.8879344, NOVELTY: 0.0059627, AVERAGE_POPULARITY: 0.2588077, DIVERSITY_MEAN_INTER_LIST: 0.9869300, DIVERSITY_HERFINDAHL: 0.9986709, COVERAGE_ITEM: 0.1240876, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3279541, SHANNON_ENTROPY: 9.9843545, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 580, 'shrink': 385, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0143238, PRECISION: 0.0029971, PRECISION_RECALL_MIN_DEN: 0.0099903, RECALL: 0.0099903, MAP: 0.0027688, MRR: 0.0082615, NDCG: 0.0062071, F1: 0.0046109, HIT_RATE: 0.0299709, ARHR: 0.0082839, RMSE: 0.8477852, NOVELTY: 0.0060399, AVERAGE_POPULARITY: 0.2354334, DIVERSITY_MEAN_INTER_LIST: 0.9883842, DIVERSITY_HERFINDAHL: 0.9988163, COVERAGE_ITEM: 0.1035415, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4137599, SHANNON_ENTROPY: 10.0262973, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 84, 'shrink': 749, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0218815, PRECISION: 0.0044285, PRECISION_RECALL_MIN_DEN: 0.0147618, RECALL: 0.0147618, MAP: 0.0044066, MRR: 0.0130221, NDCG: 0.0094920, F1: 0.0068131, HIT_RATE: 0.0442854, ARHR: 0.0131097, RMSE: 0.9829728, NOVELTY: 0.0061098, AVERAGE_POPULARITY: 0.2292234, DIVERSITY_MEAN_INTER_LIST: 0.9895624, DIVERSITY_HERFINDAHL: 0.9989341, COVERAGE_ITEM: 0.1515545, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3522695, SHANNON_ENTROPY: 10.3731482, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 366, 'shrink': 13, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0166754, PRECISION: 0.0033550, PRECISION_RECALL_MIN_DEN: 0.0111832, RECALL: 0.0111832, MAP: 0.0033461, MRR: 0.0100384, NDCG: 0.0072253, F1: 0.0051615, HIT_RATE: 0.0335495, ARHR: 0.0100384, RMSE: 0.7721131, NOVELTY: 0.0059793, AVERAGE_POPULARITY: 0.2531955, DIVERSITY_MEAN_INTER_LIST: 0.9871758, DIVERSITY_HERFINDAHL: 0.9986955, COVERAGE_ITEM: 0.1310084, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3163015, SHANNON_ENTROPY: 10.0031094, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 140, 'shrink': 618, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0201111, PRECISION: 0.0038023, PRECISION_RECALL_MIN_DEN: 0.0126743, RECALL: 0.0126743, MAP: 0.0040106, MRR: 0.0119759, NDCG: 0.0084354, F1: 0.0058497, HIT_RATE: 0.0380228, ARHR: 0.0120038, RMSE: 0.9706642, NOVELTY: 0.0061416, AVERAGE_POPULARITY: 0.2134691, DIVERSITY_MEAN_INTER_LIST: 0.9902176, DIVERSITY_HERFINDAHL: 0.9989996, COVERAGE_ITEM: 0.1462017, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3747755, SHANNON_ENTROPY: 10.4124111, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 305, 'shrink': 784, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0200210, PRECISION: 0.0034668, PRECISION_RECALL_MIN_DEN: 0.0115560, RECALL: 0.0115560, MAP: 0.0041562, MRR: 0.0123631, NDCG: 0.0082440, F1: 0.0053335, HIT_RATE: 0.0346679, ARHR: 0.0124159, RMSE: 0.9561742, NOVELTY: 0.0059732, AVERAGE_POPULARITY: 0.2562933, DIVERSITY_MEAN_INTER_LIST: 0.9871452, DIVERSITY_HERFINDAHL: 0.9986924, COVERAGE_ITEM: 0.1265747, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3306562, SHANNON_ENTROPY: 10.0261237, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 678, 'shrink': 1148, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0123015, PRECISION: 0.0024379, PRECISION_RECALL_MIN_DEN: 0.0081264, RECALL: 0.0081264, MAP: 0.0024552, MRR: 0.0073657, NDCG: 0.0052792, F1: 0.0037507, HIT_RATE: 0.0243793, ARHR: 0.0073657, RMSE: 0.9346573, NOVELTY: 0.0060772, AVERAGE_POPULARITY: 0.2253619, DIVERSITY_MEAN_INTER_LIST: 0.9891639, DIVERSITY_HERFINDAHL: 0.9988943, COVERAGE_ITEM: 0.1055961, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4294067, SHANNON_ENTROPY: 10.1037618, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 856, 'shrink': 612, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0125997, PRECISION: 0.0023708, PRECISION_RECALL_MIN_DEN: 0.0079028, RECALL: 0.0079028, MAP: 0.0025117, MRR: 0.0075351, NDCG: 0.0052755, F1: 0.0036474, HIT_RATE: 0.0237083, ARHR: 0.0075351, RMSE: 0.8501892, NOVELTY: 0.0061542, AVERAGE_POPULARITY: 0.2055304, DIVERSITY_MEAN_INTER_LIST: 0.9901986, DIVERSITY_HERFINDAHL: 0.9989977, COVERAGE_ITEM: 0.1106786, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4511208, SHANNON_ENTROPY: 10.2304489, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 789, 'shrink': 1252, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0135441, PRECISION: 0.0025945, PRECISION_RECALL_MIN_DEN: 0.0086483, RECALL: 0.0086483, MAP: 0.0024521, MRR: 0.0073563, NDCG: 0.0054622, F1: 0.0039915, HIT_RATE: 0.0259450, ARHR: 0.0073563, RMSE: 0.9293467, NOVELTY: 0.0061233, AVERAGE_POPULARITY: 0.2133104, DIVERSITY_MEAN_INTER_LIST: 0.9899618, DIVERSITY_HERFINDAHL: 0.9989740, COVERAGE_ITEM: 0.1095431, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4424368, SHANNON_ENTROPY: 10.1913676, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 309, 'shrink': 1075, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0193485, PRECISION: 0.0034668, PRECISION_RECALL_MIN_DEN: 0.0115560, RECALL: 0.0115560, MAP: 0.0041389, MRR: 0.0122664, NDCG: 0.0082023, F1: 0.0053335, HIT_RATE: 0.0346679, ARHR: 0.0123416, RMSE: 0.9672617, NOVELTY: 0.0059693, AVERAGE_POPULARITY: 0.2575907, DIVERSITY_MEAN_INTER_LIST: 0.9870799, DIVERSITY_HERFINDAHL: 0.9986859, COVERAGE_ITEM: 0.1260881, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3294047, SHANNON_ENTROPY: 10.0154310, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 286, 'shrink': 421, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0180173, PRECISION: 0.0033550, PRECISION_RECALL_MIN_DEN: 0.0111832, RECALL: 0.0111832, MAP: 0.0037668, MRR: 0.0113004, NDCG: 0.0076916, F1: 0.0051615, HIT_RATE: 0.0335495, ARHR: 0.0113004, RMSE: 0.9259153, NOVELTY: 0.0059900, AVERAGE_POPULARITY: 0.2526280, DIVERSITY_MEAN_INTER_LIST: 0.9875669, DIVERSITY_HERFINDAHL: 0.9987346, COVERAGE_ITEM: 0.1294404, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3369821, SHANNON_ENTROPY: 10.0863700, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 839, 'shrink': 463, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0132956, PRECISION: 0.0026169, PRECISION_RECALL_MIN_DEN: 0.0087229, RECALL: 0.0087229, MAP: 0.0025715, MRR: 0.0077144, NDCG: 0.0056010, F1: 0.0040259, HIT_RATE: 0.0261686, ARHR: 0.0077144, RMSE: 0.8125813, NOVELTY: 0.0061439, AVERAGE_POPULARITY: 0.2082633, DIVERSITY_MEAN_INTER_LIST: 0.9901128, DIVERSITY_HERFINDAHL: 0.9989891, COVERAGE_ITEM: 0.1100297, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4500075, SHANNON_ENTROPY: 10.2197282, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 700, 'shrink': 590, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0122269, PRECISION: 0.0023708, PRECISION_RECALL_MIN_DEN: 0.0079028, RECALL: 0.0079028, MAP: 0.0026585, MRR: 0.0079755, NDCG: 0.0054247, F1: 0.0036474, HIT_RATE: 0.0237083, ARHR: 0.0079755, RMSE: 0.8743301, NOVELTY: 0.0060878, AVERAGE_POPULARITY: 0.2225031, DIVERSITY_MEAN_INTER_LIST: 0.9893564, DIVERSITY_HERFINDAHL: 0.9989135, COVERAGE_ITEM: 0.1064612, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4325939, SHANNON_ENTROPY: 10.1233528, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 228, 'shrink': 301, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0196560, PRECISION: 0.0036234, PRECISION_RECALL_MIN_DEN: 0.0120778, RECALL: 0.0120778, MAP: 0.0041565, MRR: 0.0122297, NDCG: 0.0083752, F1: 0.0055744, HIT_RATE: 0.0362335, ARHR: 0.0123496, RMSE: 0.9173076, NOVELTY: 0.0060792, AVERAGE_POPULARITY: 0.2313539, DIVERSITY_MEAN_INTER_LIST: 0.9895986, DIVERSITY_HERFINDAHL: 0.9989377, COVERAGE_ITEM: 0.1412814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3661632, SHANNON_ENTROPY: 10.3311012, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 572, 'shrink': 1030, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0140038, PRECISION: 0.0027958, PRECISION_RECALL_MIN_DEN: 0.0093193, RECALL: 0.0093193, MAP: 0.0026580, MRR: 0.0079181, NDCG: 0.0058812, F1: 0.0043012, HIT_RATE: 0.0279580, ARHR: 0.0079461, RMSE: 0.9390393, NOVELTY: 0.0060367, AVERAGE_POPULARITY: 0.2364377, DIVERSITY_MEAN_INTER_LIST: 0.9883358, DIVERSITY_HERFINDAHL: 0.9988115, COVERAGE_ITEM: 0.1044066, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4084141, SHANNON_ENTROPY: 10.0208442, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 800, 'shrink': 114, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0122021, PRECISION: 0.0023485, PRECISION_RECALL_MIN_DEN: 0.0078282, RECALL: 0.0078282, MAP: 0.0022670, MRR: 0.0068011, NDCG: 0.0049928, F1: 0.0036130, HIT_RATE: 0.0234847, ARHR: 0.0068011, RMSE: 0.6062488, NOVELTY: 0.0061290, AVERAGE_POPULARITY: 0.2120078, DIVERSITY_MEAN_INTER_LIST: 0.9899945, DIVERSITY_HERFINDAHL: 0.9989773, COVERAGE_ITEM: 0.1114896, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4387618, SHANNON_ENTROPY: 10.2079177, 
