SearchBayesianSkopt: New best config found. Config 0: {'topK': 399, 'shrink': 1420, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0153644, PRECISION: 0.0030642, PRECISION_RECALL_MIN_DEN: 0.0102140, RECALL: 0.0102140, MAP: 0.0031942, MRR: 0.0094583, NDCG: 0.0067331, F1: 0.0047141, HIT_RATE: 0.0306419, ARHR: 0.0095204, RMSE: 0.9682347, NOVELTY: 0.0059683, AVERAGE_POPULARITY: 0.2542975, DIVERSITY_MEAN_INTER_LIST: 0.9870530, DIVERSITY_HERFINDAHL: 0.9986832, COVERAGE_ITEM: 0.1100297, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3540161, SHANNON_ENTROPY: 9.9079080, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 693, 'shrink': 1433, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0123264, PRECISION: 0.0024379, PRECISION_RECALL_MIN_DEN: 0.0081264, RECALL: 0.0081264, MAP: 0.0026104, MRR: 0.0078312, NDCG: 0.0054413, F1: 0.0037507, HIT_RATE: 0.0243793, ARHR: 0.0078312, RMSE: 0.9455985, NOVELTY: 0.0060842, AVERAGE_POPULARITY: 0.2235153, DIVERSITY_MEAN_INTER_LIST: 0.9892931, DIVERSITY_HERFINDAHL: 0.9989072, COVERAGE_ITEM: 0.1057042, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4332284, SHANNON_ENTROPY: 10.1151135, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 650, 'shrink': 471, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0136186, PRECISION: 0.0025945, PRECISION_RECALL_MIN_DEN: 0.0086483, RECALL: 0.0086483, MAP: 0.0026448, MRR: 0.0079343, NDCG: 0.0056655, F1: 0.0039915, HIT_RATE: 0.0259450, ARHR: 0.0079343, RMSE: 0.8548203, NOVELTY: 0.0060664, AVERAGE_POPULARITY: 0.2282824, DIVERSITY_MEAN_INTER_LIST: 0.9889266, DIVERSITY_HERFINDAHL: 0.9988705, COVERAGE_ITEM: 0.1042444, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4268440, SHANNON_ENTROPY: 10.0784372, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 382, 'shrink': 913, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0165216, PRECISION: 0.0031760, PRECISION_RECALL_MIN_DEN: 0.0105867, RECALL: 0.0105867, MAP: 0.0034171, MRR: 0.0101171, NDCG: 0.0071022, F1: 0.0048862, HIT_RATE: 0.0317602, ARHR: 0.0101841, RMSE: 0.9530887, NOVELTY: 0.0059603, AVERAGE_POPULARITY: 0.2573533, DIVERSITY_MEAN_INTER_LIST: 0.9870226, DIVERSITY_HERFINDAHL: 0.9986802, COVERAGE_ITEM: 0.1121925, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3480334, SHANNON_ENTROPY: 9.9141655, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 917, 'shrink': 712, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0102714, PRECISION: 0.0021248, PRECISION_RECALL_MIN_DEN: 0.0070827, RECALL: 0.0070827, MAP: 0.0019496, MRR: 0.0057592, NDCG: 0.0043792, F1: 0.0032689, HIT_RATE: 0.0212480, ARHR: 0.0058040, RMSE: 0.8579680, NOVELTY: 0.0061819, AVERAGE_POPULARITY: 0.1983396, DIVERSITY_MEAN_INTER_LIST: 0.9904486, DIVERSITY_HERFINDAHL: 0.9990227, COVERAGE_ITEM: 0.1127872, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4532684, SHANNON_ENTROPY: 10.2646932, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 551, 'shrink': 924, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0143937, PRECISION: 0.0028182, PRECISION_RECALL_MIN_DEN: 0.0093939, RECALL: 0.0093939, MAP: 0.0028574, MRR: 0.0084827, NDCG: 0.0061158, F1: 0.0043356, HIT_RATE: 0.0281816, ARHR: 0.0085274, RMSE: 0.9341316, NOVELTY: 0.0060284, AVERAGE_POPULARITY: 0.2383438, DIVERSITY_MEAN_INTER_LIST: 0.9881630, DIVERSITY_HERFINDAHL: 0.9987942, COVERAGE_ITEM: 0.1040822, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4045592, SHANNON_ENTROPY: 10.0043605, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 973, 'shrink': 801, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0107514, PRECISION: 0.0020353, PRECISION_RECALL_MIN_DEN: 0.0067845, RECALL: 0.0067845, MAP: 0.0020555, MRR: 0.0061105, NDCG: 0.0044137, F1: 0.0031313, HIT_RATE: 0.0203534, ARHR: 0.0061385, RMSE: 0.8644485, NOVELTY: 0.0062069, AVERAGE_POPULARITY: 0.1925146, DIVERSITY_MEAN_INTER_LIST: 0.9905988, DIVERSITY_HERFINDAHL: 0.9990377, COVERAGE_ITEM: 0.1148959, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4522928, SHANNON_ENTROPY: 10.2913772, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 613, 'shrink': 1178, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0153862, PRECISION: 0.0029524, PRECISION_RECALL_MIN_DEN: 0.0098412, RECALL: 0.0098412, MAP: 0.0029116, MRR: 0.0086851, NDCG: 0.0063300, F1: 0.0045421, HIT_RATE: 0.0295236, ARHR: 0.0087099, RMSE: 0.9420494, NOVELTY: 0.0060464, AVERAGE_POPULARITY: 0.2341460, DIVERSITY_MEAN_INTER_LIST: 0.9885541, DIVERSITY_HERFINDAHL: 0.9988333, COVERAGE_ITEM: 0.1033252, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4193975, SHANNON_ENTROPY: 10.0434908, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 145, 'shrink': 1076, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0200598, PRECISION: 0.0038470, PRECISION_RECALL_MIN_DEN: 0.0128234, RECALL: 0.0128234, MAP: 0.0040417, MRR: 0.0120008, NDCG: 0.0084994, F1: 0.0059185, HIT_RATE: 0.0384701, ARHR: 0.0120629, RMSE: 0.9821442, NOVELTY: 0.0061430, AVERAGE_POPULARITY: 0.2131896, DIVERSITY_MEAN_INTER_LIST: 0.9902292, DIVERSITY_HERFINDAHL: 0.9990008, COVERAGE_ITEM: 0.1458773, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3754030, SHANNON_ENTROPY: 10.4115976, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 496, 'shrink': 1329, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0132583, PRECISION: 0.0026392, PRECISION_RECALL_MIN_DEN: 0.0087974, RECALL: 0.0087974, MAP: 0.0027314, MRR: 0.0079880, NDCG: 0.0057637, F1: 0.0040604, HIT_RATE: 0.0263923, ARHR: 0.0080911, RMSE: 0.9583450, NOVELTY: 0.0060098, AVERAGE_POPULARITY: 0.2429449, DIVERSITY_MEAN_INTER_LIST: 0.9878827, DIVERSITY_HERFINDAHL: 0.9987662, COVERAGE_ITEM: 0.1054880, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3892112, SHANNON_ENTROPY: 9.9730232, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 801, 'shrink': 896, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0124755, PRECISION: 0.0023932, PRECISION_RECALL_MIN_DEN: 0.0079773, RECALL: 0.0079773, MAP: 0.0023269, MRR: 0.0069808, NDCG: 0.0051066, F1: 0.0036818, HIT_RATE: 0.0239320, ARHR: 0.0069808, RMSE: 0.9004858, NOVELTY: 0.0061266, AVERAGE_POPULARITY: 0.2125326, DIVERSITY_MEAN_INTER_LIST: 0.9899768, DIVERSITY_HERFINDAHL: 0.9989755, COVERAGE_ITEM: 0.1091106, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4452655, SHANNON_ENTROPY: 10.1941651, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 655, 'shrink': 1226, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0138423, PRECISION: 0.0026392, PRECISION_RECALL_MIN_DEN: 0.0087974, RECALL: 0.0087974, MAP: 0.0026321, MRR: 0.0078964, NDCG: 0.0057007, F1: 0.0040604, HIT_RATE: 0.0263923, ARHR: 0.0078964, RMSE: 0.9403633, NOVELTY: 0.0060700, AVERAGE_POPULARITY: 0.2271638, DIVERSITY_MEAN_INTER_LIST: 0.9889841, DIVERSITY_HERFINDAHL: 0.9988763, COVERAGE_ITEM: 0.1041363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4288795, SHANNON_ENTROPY: 10.0835396, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 592, 'shrink': 131, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0153085, PRECISION: 0.0029524, PRECISION_RECALL_MIN_DEN: 0.0098412, RECALL: 0.0098412, MAP: 0.0029909, MRR: 0.0089728, NDCG: 0.0064232, F1: 0.0045421, HIT_RATE: 0.0295236, ARHR: 0.0089728, RMSE: 0.6581051, NOVELTY: 0.0060449, AVERAGE_POPULARITY: 0.2339676, DIVERSITY_MEAN_INTER_LIST: 0.9884729, DIVERSITY_HERFINDAHL: 0.9988252, COVERAGE_ITEM: 0.1034334, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4167182, SHANNON_ENTROPY: 10.0349647, 
SearchBayesianSkopt: New best config found. Config 13: {'topK': 142, 'shrink': 778, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0199387, PRECISION: 0.0038023, PRECISION_RECALL_MIN_DEN: 0.0126743, RECALL: 0.0126743, MAP: 0.0040567, MRR: 0.0120397, NDCG: 0.0084663, F1: 0.0058497, HIT_RATE: 0.0380228, ARHR: 0.0121049, RMSE: 0.9758984, NOVELTY: 0.0061406, AVERAGE_POPULARITY: 0.2136592, DIVERSITY_MEAN_INTER_LIST: 0.9901817, DIVERSITY_HERFINDAHL: 0.9989960, COVERAGE_ITEM: 0.1459313, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3742918, SHANNON_ENTROPY: 10.4078822, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 581, 'shrink': 648, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0144387, PRECISION: 0.0029971, PRECISION_RECALL_MIN_DEN: 0.0099903, RECALL: 0.0099903, MAP: 0.0027578, MRR: 0.0082733, NDCG: 0.0062033, F1: 0.0046109, HIT_RATE: 0.0299709, ARHR: 0.0082733, RMSE: 0.9029406, NOVELTY: 0.0060383, AVERAGE_POPULARITY: 0.2359519, DIVERSITY_MEAN_INTER_LIST: 0.9883644, DIVERSITY_HERFINDAHL: 0.9988143, COVERAGE_ITEM: 0.1034874, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4132661, SHANNON_ENTROPY: 10.0235987, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 638, 'shrink': 954, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0141638, PRECISION: 0.0028853, PRECISION_RECALL_MIN_DEN: 0.0096175, RECALL: 0.0096175, MAP: 0.0029109, MRR: 0.0086881, NDCG: 0.0062408, F1: 0.0044389, HIT_RATE: 0.0288526, ARHR: 0.0087105, RMSE: 0.9260578, NOVELTY: 0.0060595, AVERAGE_POPULARITY: 0.2306305, DIVERSITY_MEAN_INTER_LIST: 0.9888761, DIVERSITY_HERFINDAHL: 0.9988655, COVERAGE_ITEM: 0.1038118, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4263158, SHANNON_ENTROPY: 10.0712508, 
