CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 909, 'shrink': 1488, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.012536±0.0012, PRECISION: 0.002141±0.0002, PRECISION_RECALL_MIN_DEN: 0.021409±0.0021, RECALL: 0.021409±0.0021, MAP: 0.008241±0.0007, MRR: 0.008241±0.0007, NDCG: 0.011275±0.0010, F1: 0.003893±0.0004, HIT_RATE: 0.021409±0.0021, ARHR: 0.008241±0.0007, RMSE: 0.941504±0.0006, NOVELTY: 0.005184±0.0000, AVERAGE_POPULARITY: 0.092062±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.993783±0.0000, DIVERSITY_HERFINDAHL: 0.999356±0.0000, COVERAGE_ITEM: 0.427997±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.371967±0.0003, SHANNON_ENTROPY: 11.748237±0.0018, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 788, 'shrink': 1763, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.008627±0.0013, PRECISION: 0.001405±0.0002, PRECISION_RECALL_MIN_DEN: 0.014047±0.0015, RECALL: 0.014047±0.0015, MAP: 0.005728±0.0010, MRR: 0.005728±0.0010, NDCG: 0.007655±0.0011, F1: 0.002554±0.0003, HIT_RATE: 0.014047±0.0015, ARHR: 0.005728±0.0010, RMSE: 0.996897±0.0000, NOVELTY: 0.006111±0.0000, AVERAGE_POPULARITY: 0.063711±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994193±0.0000, DIVERSITY_HERFINDAHL: 0.999397±0.0000, COVERAGE_ITEM: 0.415788±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.370799±0.0009, SHANNON_ENTROPY: 11.721663±0.0035, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 796, 'shrink': 330, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.011563±0.0010, PRECISION: 0.001893±0.0002, PRECISION_RECALL_MIN_DEN: 0.018925±0.0018, RECALL: 0.018925±0.0018, MAP: 0.007445±0.0007, MRR: 0.007445±0.0007, NDCG: 0.010111±0.0009, F1: 0.003441±0.0003, HIT_RATE: 0.018925±0.0018, ARHR: 0.007445±0.0007, RMSE: 0.823780±0.0016, NOVELTY: 0.005234±0.0000, AVERAGE_POPULARITY: 0.081065±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.994203±0.0000, DIVERSITY_HERFINDAHL: 0.999398±0.0000, COVERAGE_ITEM: 0.440130±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.382430±0.0006, SHANNON_ENTROPY: 11.832405±0.0014, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 956, 'shrink': 1952, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.012220±0.0010, PRECISION: 0.002037±0.0002, PRECISION_RECALL_MIN_DEN: 0.020370±0.0017, RECALL: 0.020370±0.0017, MAP: 0.007925±0.0007, MRR: 0.007925±0.0007, NDCG: 0.010805±0.0009, F1: 0.003704±0.0003, HIT_RATE: 0.020370±0.0017, ARHR: 0.007925±0.0007, RMSE: 0.958471±0.0004, NOVELTY: 0.005218±0.0000, AVERAGE_POPULARITY: 0.089181±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.993912±0.0000, DIVERSITY_HERFINDAHL: 0.999369±0.0000, COVERAGE_ITEM: 0.429878±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.375251±0.0005, SHANNON_ENTROPY: 11.770161±0.0023, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 699, 'shrink': 901, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.008517±0.0013, PRECISION: 0.001360±0.0001, PRECISION_RECALL_MIN_DEN: 0.013595±0.0014, RECALL: 0.013595±0.0014, MAP: 0.005516±0.0009, MRR: 0.005516±0.0009, NDCG: 0.007396±0.0010, F1: 0.002472±0.0003, HIT_RATE: 0.013595±0.0014, ARHR: 0.005516±0.0009, RMSE: 0.994046±0.0001, NOVELTY: 0.006037±0.0000, AVERAGE_POPULARITY: 0.063865±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994384±0.0000, DIVERSITY_HERFINDAHL: 0.999416±0.0000, COVERAGE_ITEM: 0.420730±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.375183±0.0007, SHANNON_ENTROPY: 11.759459±0.0024, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 312, 'shrink': 1637, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.008426±0.0013, PRECISION: 0.001405±0.0002, PRECISION_RECALL_MIN_DEN: 0.014047±0.0017, RECALL: 0.014047±0.0017, MAP: 0.005831±0.0009, MRR: 0.005831±0.0009, NDCG: 0.007717±0.0011, F1: 0.002554±0.0003, HIT_RATE: 0.014047±0.0017, ARHR: 0.005831±0.0009, RMSE: 0.997656±0.0000, NOVELTY: 0.005454±0.0000, AVERAGE_POPULARITY: 0.064162±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993345±0.0000, DIVERSITY_HERFINDAHL: 0.999312±0.0000, COVERAGE_ITEM: 0.476507±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.384345±0.0009, SHANNON_ENTROPY: 11.871923±0.0046, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 61, 'shrink': 1450, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013886±0.0007, PRECISION: 0.002340±0.0001, PRECISION_RECALL_MIN_DEN: 0.023397±0.0007, RECALL: 0.023397±0.0007, MAP: 0.008766±0.0006, MRR: 0.008766±0.0006, NDCG: 0.012153±0.0006, F1: 0.004254±0.0001, HIT_RATE: 0.023397±0.0007, ARHR: 0.008766±0.0006, RMSE: 0.970405±0.0005, NOVELTY: 0.005181±0.0000, AVERAGE_POPULARITY: 0.095610±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.992732±0.0000, DIVERSITY_HERFINDAHL: 0.999251±0.0000, COVERAGE_ITEM: 0.427662±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.360196±0.0005, SHANNON_ENTROPY: 11.648001±0.0036, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 258, 'shrink': 493, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013691±0.0010, PRECISION: 0.002290±0.0002, PRECISION_RECALL_MIN_DEN: 0.022900±0.0022, RECALL: 0.022900±0.0022, MAP: 0.009036±0.0007, MRR: 0.009036±0.0007, NDCG: 0.012236±0.0010, F1: 0.004164±0.0004, HIT_RATE: 0.022900±0.0022, ARHR: 0.009036±0.0007, RMSE: 0.863012±0.0018, NOVELTY: 0.005257±0.0000, AVERAGE_POPULARITY: 0.103201±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.992540±0.0001, DIVERSITY_HERFINDAHL: 0.999232±0.0000, COVERAGE_ITEM: 0.432549±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.358567±0.0008, SHANNON_ENTROPY: 11.646855±0.0053, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 650, 'shrink': 1989, 'normalize': True, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.008431±0.0011, PRECISION: 0.001346±0.0001, PRECISION_RECALL_MIN_DEN: 0.013460±0.0012, RECALL: 0.013460±0.0012, MAP: 0.005558±0.0009, MRR: 0.005558±0.0009, NDCG: 0.007394±0.0010, F1: 0.002447±0.0002, HIT_RATE: 0.013460±0.0012, ARHR: 0.005558±0.0009, RMSE: 0.997356±0.0000, NOVELTY: 0.005872±0.0000, AVERAGE_POPULARITY: 0.062070±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.994493±0.0000, DIVERSITY_HERFINDAHL: 0.999427±0.0000, COVERAGE_ITEM: 0.428581±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.378897±0.0004, SHANNON_ENTROPY: 11.799798±0.0031, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 84, 'shrink': 1672, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.011392±0.0012, PRECISION: 0.001775±0.0001, PRECISION_RECALL_MIN_DEN: 0.017751±0.0011, RECALL: 0.017751±0.0011, MAP: 0.007478±0.0008, MRR: 0.007478±0.0008, NDCG: 0.009878±0.0009, F1: 0.003227±0.0002, HIT_RATE: 0.017751±0.0011, ARHR: 0.007478±0.0008, RMSE: 0.998963±0.0000, NOVELTY: 0.005715±0.0000, AVERAGE_POPULARITY: 0.069564±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992344±0.0000, DIVERSITY_HERFINDAHL: 0.999212±0.0000, COVERAGE_ITEM: 0.480314±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.382790±0.0006, SHANNON_ENTROPY: 11.833883±0.0055, 
CrossSearchBayesianSkopt: New best config found. Config 10: {'topK': 699, 'shrink': 595, 'normalize': False, 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013856±0.0012, PRECISION: 0.002267±0.0002, PRECISION_RECALL_MIN_DEN: 0.022674±0.0022, RECALL: 0.022674±0.0022, MAP: 0.009122±0.0008, MRR: 0.009122±0.0008, NDCG: 0.012261±0.0011, F1: 0.004123±0.0004, HIT_RATE: 0.022674±0.0022, ARHR: 0.009122±0.0008, RMSE: 0.849685±0.0016, NOVELTY: 0.005634±0.0000, AVERAGE_POPULARITY: 0.103105±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.993470±0.0000, DIVERSITY_HERFINDAHL: 0.999325±0.0000, COVERAGE_ITEM: 0.421509±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.363592±0.0004, SHANNON_ENTROPY: 11.684276±0.0026, 
