CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 739, 'shrink': 1451, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007628±0.0005, PRECISION: 0.001256±0.0001, PRECISION_RECALL_MIN_DEN: 0.012556±0.0011, RECALL: 0.012556±0.0011, MAP: 0.005063±0.0003, MRR: 0.005063±0.0003, NDCG: 0.006796±0.0004, F1: 0.002283±0.0002, HIT_RATE: 0.012556±0.0011, ARHR: 0.005063±0.0003, RMSE: 0.998140±0.0000, NOVELTY: 0.006298±0.0000, AVERAGE_POPULARITY: 0.080080±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992840±0.0000, DIVERSITY_HERFINDAHL: 0.999262±0.0000, COVERAGE_ITEM: 0.376621±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340619±0.0009, SHANNON_ENTROPY: 11.460739±0.0031, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 789, 'shrink': 205, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.007126±0.0007, PRECISION: 0.001161±0.0001, PRECISION_RECALL_MIN_DEN: 0.011608±0.0012, RECALL: 0.011608±0.0012, MAP: 0.004721±0.0004, MRR: 0.004721±0.0004, NDCG: 0.006317±0.0006, F1: 0.002111±0.0002, HIT_RATE: 0.011608±0.0012, ARHR: 0.004721±0.0004, RMSE: 0.986999±0.0001, NOVELTY: 0.006361±0.0000, AVERAGE_POPULARITY: 0.078522±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992821±0.0000, DIVERSITY_HERFINDAHL: 0.999260±0.0000, COVERAGE_ITEM: 0.368045±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340139±0.0011, SHANNON_ENTROPY: 11.435054±0.0016, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 872, 'shrink': 1410, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.006961±0.0006, PRECISION: 0.001120±0.0001, PRECISION_RECALL_MIN_DEN: 0.011201±0.0009, RECALL: 0.011201±0.0009, MAP: 0.004545±0.0004, MRR: 0.004545±0.0004, NDCG: 0.006091±0.0004, F1: 0.002037±0.0002, HIT_RATE: 0.011201±0.0009, ARHR: 0.004545±0.0004, RMSE: 0.997989±0.0000, NOVELTY: 0.006488±0.0000, AVERAGE_POPULARITY: 0.075003±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992867±0.0000, DIVERSITY_HERFINDAHL: 0.999264±0.0000, COVERAGE_ITEM: 0.361103±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340666±0.0002, SHANNON_ENTROPY: 11.417897±0.0032, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 166, 'shrink': 1383, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008903±0.0010, PRECISION: 0.001454±0.0001, PRECISION_RECALL_MIN_DEN: 0.014544±0.0015, RECALL: 0.014544±0.0015, MAP: 0.005687±0.0008, MRR: 0.005687±0.0008, NDCG: 0.007747±0.0009, F1: 0.002644±0.0003, HIT_RATE: 0.014544±0.0015, ARHR: 0.005687±0.0008, RMSE: 0.999229±0.0000, NOVELTY: 0.005553±0.0000, AVERAGE_POPULARITY: 0.070742±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.993642±0.0000, DIVERSITY_HERFINDAHL: 0.999342±0.0000, COVERAGE_ITEM: 0.509619±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.391557±0.0009, SHANNON_ENTROPY: 11.974729±0.0037, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 666, 'shrink': 1259, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007995±0.0008, PRECISION: 0.001287±0.0001, PRECISION_RECALL_MIN_DEN: 0.012873±0.0011, RECALL: 0.012873±0.0011, MAP: 0.004818±0.0006, MRR: 0.004818±0.0006, NDCG: 0.006702±0.0007, F1: 0.002340±0.0002, HIT_RATE: 0.012873±0.0011, ARHR: 0.004818±0.0006, RMSE: 0.997923±0.0000, NOVELTY: 0.006160±0.0000, AVERAGE_POPULARITY: 0.083368±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992919±0.0000, DIVERSITY_HERFINDAHL: 0.999270±0.0000, COVERAGE_ITEM: 0.374966±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341343±0.0005, SHANNON_ENTROPY: 11.459732±0.0018, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 802, 'shrink': 1512, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.007412±0.0005, PRECISION: 0.001188±0.0001, PRECISION_RECALL_MIN_DEN: 0.011879±0.0011, RECALL: 0.011879±0.0011, MAP: 0.004903±0.0003, MRR: 0.004903±0.0003, NDCG: 0.006523±0.0004, F1: 0.002160±0.0002, HIT_RATE: 0.011879±0.0011, ARHR: 0.004903±0.0003, RMSE: 0.998170±0.0000, NOVELTY: 0.006391±0.0000, AVERAGE_POPULARITY: 0.077615±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992853±0.0000, DIVERSITY_HERFINDAHL: 0.999263±0.0000, COVERAGE_ITEM: 0.372728±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340741±0.0007, SHANNON_ENTROPY: 11.451755±0.0030, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 846, 'shrink': 679, 'normalize': True, 'similarity': 'dice'} - results: ROC_AUC: 0.007282±0.0005, PRECISION: 0.001138±0.0001, PRECISION_RECALL_MIN_DEN: 0.011382±0.0007, RECALL: 0.011382±0.0007, MAP: 0.004745±0.0005, MRR: 0.004745±0.0005, NDCG: 0.006294±0.0004, F1: 0.002069±0.0001, HIT_RATE: 0.011382±0.0007, ARHR: 0.004745±0.0005, RMSE: 0.995888±0.0000, NOVELTY: 0.006451±0.0000, AVERAGE_POPULARITY: 0.076097±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992840±0.0000, DIVERSITY_HERFINDAHL: 0.999262±0.0000, COVERAGE_ITEM: 0.365893±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339888±0.0006, SHANNON_ENTROPY: 11.428365±0.0031, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 263, 'shrink': 1754, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008627±0.0010, PRECISION: 0.001445±0.0001, PRECISION_RECALL_MIN_DEN: 0.014453±0.0014, RECALL: 0.014453±0.0014, MAP: 0.005501±0.0008, MRR: 0.005501±0.0008, NDCG: 0.007573±0.0008, F1: 0.002628±0.0003, HIT_RATE: 0.014453±0.0014, ARHR: 0.005501±0.0008, RMSE: 0.999098±0.0000, NOVELTY: 0.005503±0.0000, AVERAGE_POPULARITY: 0.080926±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993662±0.0000, DIVERSITY_HERFINDAHL: 0.999344±0.0000, COVERAGE_ITEM: 0.484845±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.381599±0.0011, SHANNON_ENTROPY: 11.892052±0.0043, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 521, 'shrink': 718, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008110±0.0008, PRECISION: 0.001323±0.0001, PRECISION_RECALL_MIN_DEN: 0.013234±0.0013, RECALL: 0.013234±0.0013, MAP: 0.005421±0.0008, MRR: 0.005421±0.0008, NDCG: 0.007228±0.0009, F1: 0.002406±0.0002, HIT_RATE: 0.013234±0.0013, ARHR: 0.005421±0.0008, RMSE: 0.996687±0.0000, NOVELTY: 0.005903±0.0000, AVERAGE_POPULARITY: 0.085967±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992633±0.0000, DIVERSITY_HERFINDAHL: 0.999241±0.0000, COVERAGE_ITEM: 0.408035±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349875±0.0005, SHANNON_ENTROPY: 11.565719±0.0045, 
CrossSearchBayesianSkopt: New best config found. Config 9: {'topK': 88, 'shrink': 1528, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.008863±0.0010, PRECISION: 0.001486±0.0002, PRECISION_RECALL_MIN_DEN: 0.014860±0.0020, RECALL: 0.014860±0.0020, MAP: 0.005708±0.0004, MRR: 0.005708±0.0004, NDCG: 0.007826±0.0008, F1: 0.002702±0.0004, HIT_RATE: 0.014860±0.0020, ARHR: 0.005708±0.0004, RMSE: 0.999555±0.0000, NOVELTY: 0.005769±0.0000, AVERAGE_POPULARITY: 0.059467±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993909±0.0000, DIVERSITY_HERFINDAHL: 0.999368±0.0000, COVERAGE_ITEM: 0.520238±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.403981±0.0006, SHANNON_ENTROPY: 12.070880±0.0047, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 866, 'shrink': 1396, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007051±0.0005, PRECISION: 0.001147±0.0001, PRECISION_RECALL_MIN_DEN: 0.011472±0.0006, RECALL: 0.011472±0.0006, MAP: 0.004473±0.0004, MRR: 0.004473±0.0004, NDCG: 0.006100±0.0004, F1: 0.002086±0.0001, HIT_RATE: 0.011472±0.0006, ARHR: 0.004473±0.0004, RMSE: 0.997974±0.0000, NOVELTY: 0.006475±0.0000, AVERAGE_POPULARITY: 0.075451±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992854±0.0000, DIVERSITY_HERFINDAHL: 0.999263±0.0000, COVERAGE_ITEM: 0.360487±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339815±0.0007, SHANNON_ENTROPY: 11.412157±0.0044, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 637, 'shrink': 1795, 'normalize': False, 'similarity': 'dice'} - results: ROC_AUC: 0.007804±0.0007, PRECISION: 0.001278±0.0001, PRECISION_RECALL_MIN_DEN: 0.012782±0.0010, RECALL: 0.012782±0.0010, MAP: 0.005093±0.0006, MRR: 0.005093±0.0006, NDCG: 0.006874±0.0007, F1: 0.002324±0.0002, HIT_RATE: 0.012782±0.0010, ARHR: 0.005093±0.0006, RMSE: 0.998561±0.0000, NOVELTY: 0.006106±0.0000, AVERAGE_POPULARITY: 0.083859±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992889±0.0000, DIVERSITY_HERFINDAHL: 0.999267±0.0000, COVERAGE_ITEM: 0.380676±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.343495±0.0007, SHANNON_ENTROPY: 11.482660±0.0025, 
