CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 618, 'shrink': 1014, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.009114±0.0007, PRECISION: 0.001472±0.0001, PRECISION_RECALL_MIN_DEN: 0.014724±0.0008, RECALL: 0.014724±0.0008, MAP: 0.005871±0.0007, MRR: 0.005871±0.0007, NDCG: 0.007931±0.0007, F1: 0.002677±0.0002, HIT_RATE: 0.014724±0.0008, ARHR: 0.005871±0.0007, RMSE: 0.997485±0.0000, NOVELTY: 0.006169±0.0000, AVERAGE_POPULARITY: 0.084495±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992636±0.0000, DIVERSITY_HERFINDAHL: 0.999241±0.0000, COVERAGE_ITEM: 0.395664±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.343564±0.0007, SHANNON_ENTROPY: 11.511141±0.0031, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 508, 'shrink': 644, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.009621±0.0004, PRECISION: 0.001531±0.0001, PRECISION_RECALL_MIN_DEN: 0.015312±0.0007, RECALL: 0.015312±0.0007, MAP: 0.006224±0.0005, MRR: 0.006224±0.0005, NDCG: 0.008342±0.0005, F1: 0.002784±0.0001, HIT_RATE: 0.015312±0.0007, ARHR: 0.006224±0.0005, RMSE: 0.996343±0.0000, NOVELTY: 0.005997±0.0000, AVERAGE_POPULARITY: 0.087356±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992490±0.0000, DIVERSITY_HERFINDAHL: 0.999227±0.0000, COVERAGE_ITEM: 0.418135±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349402±0.0005, SHANNON_ENTROPY: 11.581371±0.0047, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 698, 'shrink': 1571, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.008908±0.0006, PRECISION: 0.001409±0.0001, PRECISION_RECALL_MIN_DEN: 0.014092±0.0007, RECALL: 0.014092±0.0007, MAP: 0.005817±0.0006, MRR: 0.005817±0.0006, NDCG: 0.007744±0.0005, F1: 0.002562±0.0001, HIT_RATE: 0.014092±0.0007, ARHR: 0.005817±0.0006, RMSE: 0.998307±0.0000, NOVELTY: 0.006298±0.0000, AVERAGE_POPULARITY: 0.081902±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992785±0.0000, DIVERSITY_HERFINDAHL: 0.999256±0.0000, COVERAGE_ITEM: 0.383466±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341755±0.0008, SHANNON_ENTROPY: 11.480406±0.0047, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 141, 'shrink': 1429, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.010012±0.0011, PRECISION: 0.001649±0.0002, PRECISION_RECALL_MIN_DEN: 0.016486±0.0021, RECALL: 0.016486±0.0021, MAP: 0.006179±0.0006, MRR: 0.006179±0.0006, NDCG: 0.008574±0.0009, F1: 0.002997±0.0004, HIT_RATE: 0.016486±0.0021, ARHR: 0.006179±0.0006, RMSE: 0.999348±0.0000, NOVELTY: 0.005864±0.0000, AVERAGE_POPULARITY: 0.067476±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.993561±0.0000, DIVERSITY_HERFINDAHL: 0.999334±0.0000, COVERAGE_ITEM: 0.513847±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.397758±0.0005, SHANNON_ENTROPY: 12.011513±0.0058, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 24, 'shrink': 1349, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.011834±0.0013, PRECISION: 0.001911±0.0002, PRECISION_RECALL_MIN_DEN: 0.019106±0.0020, RECALL: 0.019106±0.0020, MAP: 0.007606±0.0011, MRR: 0.007606±0.0011, NDCG: 0.010281±0.0012, F1: 0.003474±0.0004, HIT_RATE: 0.019106±0.0020, ARHR: 0.007606±0.0011, RMSE: 0.999676±0.0000, NOVELTY: 0.005210±0.0000, AVERAGE_POPULARITY: 0.059649±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993913±0.0000, DIVERSITY_HERFINDAHL: 0.999369±0.0000, COVERAGE_ITEM: 0.497951±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.394403±0.0008, SHANNON_ENTROPY: 11.981709±0.0056, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 598, 'shrink': 1972, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.009204±0.0007, PRECISION: 0.001495±0.0001, PRECISION_RECALL_MIN_DEN: 0.014950±0.0007, RECALL: 0.014950±0.0007, MAP: 0.005868±0.0007, MRR: 0.005868±0.0007, NDCG: 0.007980±0.0006, F1: 0.002718±0.0001, HIT_RATE: 0.014950±0.0007, ARHR: 0.005868±0.0007, RMSE: 0.998718±0.0000, NOVELTY: 0.006135±0.0000, AVERAGE_POPULARITY: 0.084941±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992585±0.0000, DIVERSITY_HERFINDAHL: 0.999236±0.0000, COVERAGE_ITEM: 0.398064±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.344594±0.0007, SHANNON_ENTROPY: 11.518133±0.0035, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 756, 'shrink': 1390, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.008803±0.0004, PRECISION: 0.001360±0.0001, PRECISION_RECALL_MIN_DEN: 0.013595±0.0009, RECALL: 0.013595±0.0009, MAP: 0.005911±0.0004, MRR: 0.005911±0.0004, NDCG: 0.007702±0.0003, F1: 0.002472±0.0002, HIT_RATE: 0.013595±0.0009, ARHR: 0.005911±0.0004, RMSE: 0.998044±0.0000, NOVELTY: 0.006379±0.0000, AVERAGE_POPULARITY: 0.080138±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992629±0.0000, DIVERSITY_HERFINDAHL: 0.999241±0.0000, COVERAGE_ITEM: 0.376988±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339467±0.0007, SHANNON_ENTROPY: 11.448621±0.0054, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 345, 'shrink': 1265, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.009816±0.0008, PRECISION: 0.001603±0.0002, PRECISION_RECALL_MIN_DEN: 0.016034±0.0016, RECALL: 0.016034±0.0016, MAP: 0.006476±0.0007, MRR: 0.006476±0.0007, NDCG: 0.008690±0.0009, F1: 0.002915±0.0003, HIT_RATE: 0.016034±0.0016, ARHR: 0.006476±0.0007, RMSE: 0.998477±0.0000, NOVELTY: 0.005747±0.0000, AVERAGE_POPULARITY: 0.086504±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992996±0.0000, DIVERSITY_HERFINDAHL: 0.999277±0.0000, COVERAGE_ITEM: 0.459530±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.367642±0.0008, SHANNON_ENTROPY: 11.761990±0.0044, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 585, 'shrink': 468, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.009229±0.0006, PRECISION: 0.001486±0.0000, PRECISION_RECALL_MIN_DEN: 0.014860±0.0005, RECALL: 0.014860±0.0005, MAP: 0.005843±0.0006, MRR: 0.005843±0.0006, NDCG: 0.007944±0.0006, F1: 0.002702±0.0001, HIT_RATE: 0.014860±0.0005, ARHR: 0.005843±0.0006, RMSE: 0.994695±0.0000, NOVELTY: 0.006110±0.0000, AVERAGE_POPULARITY: 0.085281±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992557±0.0000, DIVERSITY_HERFINDAHL: 0.999233±0.0000, COVERAGE_ITEM: 0.400638±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.345732±0.0009, SHANNON_ENTROPY: 11.528386±0.0046, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 187, 'shrink': 315, 'normalize': True, 'similarity': 'jaccard'} - results: ROC_AUC: 0.009585±0.0010, PRECISION: 0.001631±0.0001, PRECISION_RECALL_MIN_DEN: 0.016305±0.0015, RECALL: 0.016305±0.0015, MAP: 0.005977±0.0007, MRR: 0.005977±0.0007, NDCG: 0.008369±0.0009, F1: 0.002965±0.0003, HIT_RATE: 0.016305±0.0015, ARHR: 0.005977±0.0007, RMSE: 0.996292±0.0001, NOVELTY: 0.005740±0.0000, AVERAGE_POPULARITY: 0.075007±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993629±0.0000, DIVERSITY_HERFINDAHL: 0.999340±0.0000, COVERAGE_ITEM: 0.501162±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.392246±0.0007, SHANNON_ENTROPY: 11.962099±0.0033, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 919, 'shrink': 529, 'normalize': False, 'similarity': 'jaccard'} - results: ROC_AUC: 0.007980±0.0006, PRECISION: 0.001323±0.0001, PRECISION_RECALL_MIN_DEN: 0.013234±0.0012, RECALL: 0.013234±0.0012, MAP: 0.005268±0.0004, MRR: 0.005268±0.0004, NDCG: 0.007111±0.0005, F1: 0.002406±0.0002, HIT_RATE: 0.013234±0.0012, ARHR: 0.005268±0.0004, RMSE: 0.994605±0.0001, NOVELTY: 0.006588±0.0000, AVERAGE_POPULARITY: 0.073936±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992740±0.0000, DIVERSITY_HERFINDAHL: 0.999252±0.0000, COVERAGE_ITEM: 0.360984±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.340763±0.0008, SHANNON_ENTROPY: 11.412079±0.0030, 
