CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 619, 'shrink': 41, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.2721348494079827, 'tversky_beta': 0.9384403818559839} - results: ROC_AUC: 0.009134±0.0006, PRECISION: 0.001468±0.0001, PRECISION_RECALL_MIN_DEN: 0.014679±0.0009, RECALL: 0.014679±0.0009, MAP: 0.005853±0.0007, MRR: 0.005853±0.0007, NDCG: 0.007908±0.0007, F1: 0.002669±0.0002, HIT_RATE: 0.014679±0.0009, ARHR: 0.005853±0.0007, RMSE: 0.946563±0.0005, NOVELTY: 0.006151±0.0000, AVERAGE_POPULARITY: 0.084197±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992650±0.0000, DIVERSITY_HERFINDAHL: 0.999243±0.0000, COVERAGE_ITEM: 0.395631±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.344057±0.0004, SHANNON_ENTROPY: 11.513472±0.0029, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 818, 'shrink': 812, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.9292530945496853, 'tversky_beta': 1.1289286154338012} - results: ROC_AUC: 0.008617±0.0004, PRECISION: 0.001364±0.0001, PRECISION_RECALL_MIN_DEN: 0.013640±0.0009, RECALL: 0.013640±0.0009, MAP: 0.005701±0.0006, MRR: 0.005701±0.0006, NDCG: 0.007549±0.0006, F1: 0.002480±0.0002, HIT_RATE: 0.013640±0.0009, ARHR: 0.005701±0.0006, RMSE: 0.996593±0.0000, NOVELTY: 0.006458±0.0000, AVERAGE_POPULARITY: 0.077924±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992620±0.0000, DIVERSITY_HERFINDAHL: 0.999240±0.0000, COVERAGE_ITEM: 0.373214±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339075±0.0008, SHANNON_ENTROPY: 11.436352±0.0044, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 689, 'shrink': 1373, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.229040127424461, 'tversky_beta': 1.167980278078967} - results: ROC_AUC: 0.009114±0.0005, PRECISION: 0.001486±0.0001, PRECISION_RECALL_MIN_DEN: 0.014860±0.0006, RECALL: 0.014860±0.0006, MAP: 0.005980±0.0004, MRR: 0.005980±0.0004, NDCG: 0.008039±0.0004, F1: 0.002702±0.0001, HIT_RATE: 0.014860±0.0006, ARHR: 0.005980±0.0004, RMSE: 0.998074±0.0000, NOVELTY: 0.006287±0.0000, AVERAGE_POPULARITY: 0.082326±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992787±0.0000, DIVERSITY_HERFINDAHL: 0.999256±0.0000, COVERAGE_ITEM: 0.385401±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341767±0.0008, SHANNON_ENTROPY: 11.484772±0.0042, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 469, 'shrink': 984, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 1.9648617430917212, 'tversky_beta': 0.686140736893793} - results: ROC_AUC: 0.009726±0.0004, PRECISION: 0.001567±0.0001, PRECISION_RECALL_MIN_DEN: 0.015673±0.0011, RECALL: 0.015673±0.0011, MAP: 0.006154±0.0007, MRR: 0.006154±0.0007, NDCG: 0.008372±0.0006, F1: 0.002850±0.0002, HIT_RATE: 0.015673±0.0011, ARHR: 0.006154±0.0007, RMSE: 0.997687±0.0000, NOVELTY: 0.005881±0.0000, AVERAGE_POPULARITY: 0.087874±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992495±0.0000, DIVERSITY_HERFINDAHL: 0.999227±0.0000, COVERAGE_ITEM: 0.426148±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.352548±0.0004, SHANNON_ENTROPY: 11.611968±0.0037, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 963, 'shrink': 388, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.23386096852920218, 'tversky_beta': 1.7411962008059716} - results: ROC_AUC: 0.007809±0.0007, PRECISION: 0.001287±0.0001, PRECISION_RECALL_MIN_DEN: 0.012873±0.0014, RECALL: 0.012873±0.0014, MAP: 0.005013±0.0004, MRR: 0.005013±0.0004, NDCG: 0.006838±0.0006, F1: 0.002340±0.0003, HIT_RATE: 0.012873±0.0014, ARHR: 0.005013±0.0004, RMSE: 0.992589±0.0001, NOVELTY: 0.006717±0.0000, AVERAGE_POPULARITY: 0.073174±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992723±0.0000, DIVERSITY_HERFINDAHL: 0.999250±0.0000, COVERAGE_ITEM: 0.353101±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.342189±0.0006, SHANNON_ENTROPY: 11.392803±0.0020, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 517, 'shrink': 810, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.8847482272106788, 'tversky_beta': 1.9179823040896897} - results: ROC_AUC: 0.009596±0.0006, PRECISION: 0.001549±0.0001, PRECISION_RECALL_MIN_DEN: 0.015492±0.0006, RECALL: 0.015492±0.0006, MAP: 0.006097±0.0006, MRR: 0.006097±0.0006, NDCG: 0.008287±0.0006, F1: 0.002817±0.0001, HIT_RATE: 0.015492±0.0006, ARHR: 0.006097±0.0006, RMSE: 0.997082±0.0000, NOVELTY: 0.006062±0.0000, AVERAGE_POPULARITY: 0.087662±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992361±0.0000, DIVERSITY_HERFINDAHL: 0.999214±0.0000, COVERAGE_ITEM: 0.414869±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.347429±0.0006, SHANNON_ENTROPY: 11.560562±0.0037, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 249, 'shrink': 187, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.05777675311694998, 'tversky_beta': 1.0779374532070087} - results: ROC_AUC: 0.009666±0.0008, PRECISION: 0.001599±0.0001, PRECISION_RECALL_MIN_DEN: 0.015989±0.0013, RECALL: 0.015989±0.0013, MAP: 0.006373±0.0006, MRR: 0.006373±0.0006, NDCG: 0.008595±0.0007, F1: 0.002907±0.0002, HIT_RATE: 0.015989±0.0013, ARHR: 0.006373±0.0006, RMSE: 0.992045±0.0002, NOVELTY: 0.006002±0.0000, AVERAGE_POPULARITY: 0.084480±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.993745±0.0000, DIVERSITY_HERFINDAHL: 0.999352±0.0000, COVERAGE_ITEM: 0.487256±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.385831±0.0008, SHANNON_ENTROPY: 11.916210±0.0028, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 884, 'shrink': 1206, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.8442259460944903, 'tversky_beta': 1.1088563647751608} - results: ROC_AUC: 0.008225±0.0006, PRECISION: 0.001328±0.0001, PRECISION_RECALL_MIN_DEN: 0.013279±0.0014, RECALL: 0.013279±0.0014, MAP: 0.005323±0.0003, MRR: 0.005323±0.0003, NDCG: 0.007174±0.0005, F1: 0.002414±0.0003, HIT_RATE: 0.013279±0.0014, ARHR: 0.005323±0.0003, RMSE: 0.997645±0.0000, NOVELTY: 0.006548±0.0000, AVERAGE_POPULARITY: 0.075277±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.992721±0.0000, DIVERSITY_HERFINDAHL: 0.999250±0.0000, COVERAGE_ITEM: 0.365493±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.339365±0.0006, SHANNON_ENTROPY: 11.419008±0.0018, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 427, 'shrink': 624, 'normalize': False, 'similarity': 'tversky', 'tversky_alpha': 0.6539964738528997, 'tversky_beta': 0.10042500198261009} - results: ROC_AUC: 0.007372±0.0007, PRECISION: 0.001233±0.0001, PRECISION_RECALL_MIN_DEN: 0.012331±0.0011, RECALL: 0.012331±0.0011, MAP: 0.004706±0.0005, MRR: 0.004706±0.0005, NDCG: 0.006469±0.0006, F1: 0.002242±0.0002, HIT_RATE: 0.012331±0.0011, ARHR: 0.004706±0.0005, RMSE: 0.996509±0.0000, NOVELTY: 0.005625±0.0000, AVERAGE_POPULARITY: 0.093428±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.992679±0.0000, DIVERSITY_HERFINDAHL: 0.999245±0.0000, COVERAGE_ITEM: 0.404715±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.346507±0.0009, SHANNON_ENTROPY: 11.548362±0.0059, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 712, 'shrink': 1760, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.1992751430915476, 'tversky_beta': 1.1475772163616178} - results: ROC_AUC: 0.008908±0.0006, PRECISION: 0.001427±0.0001, PRECISION_RECALL_MIN_DEN: 0.014273±0.0008, RECALL: 0.014273±0.0008, MAP: 0.005757±0.0004, MRR: 0.005757±0.0004, NDCG: 0.007740±0.0005, F1: 0.002595±0.0001, HIT_RATE: 0.014273±0.0008, ARHR: 0.005757±0.0004, RMSE: 0.998481±0.0000, NOVELTY: 0.006320±0.0000, AVERAGE_POPULARITY: 0.081421±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.992766±0.0000, DIVERSITY_HERFINDAHL: 0.999254±0.0000, COVERAGE_ITEM: 0.381238±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.341373±0.0005, SHANNON_ENTROPY: 11.472054±0.0047, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 116, 'shrink': 1398, 'normalize': True, 'similarity': 'tversky', 'tversky_alpha': 1.944310102612696, 'tversky_beta': 1.383144091032677} - results: ROC_AUC: 0.010143±0.0010, PRECISION: 0.001667±0.0002, PRECISION_RECALL_MIN_DEN: 0.016667±0.0016, RECALL: 0.016667±0.0016, MAP: 0.006242±0.0007, MRR: 0.006242±0.0007, NDCG: 0.008665±0.0008, F1: 0.003030±0.0003, HIT_RATE: 0.016667±0.0016, ARHR: 0.006242±0.0007, RMSE: 0.999428±0.0000, NOVELTY: 0.005956±0.0000, AVERAGE_POPULARITY: 0.062772±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.993689±0.0000, DIVERSITY_HERFINDAHL: 0.999346±0.0000, COVERAGE_ITEM: 0.513566±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.401322±0.0007, SHANNON_ENTROPY: 12.036693±0.0028, 
