SearchBayesianSkopt: New best config found. Config 0: {'topK': 50, 'shrink': 1826, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0627076, PRECISION: 0.0106258, PRECISION_RECALL_MIN_DEN: 0.0354194, RECALL: 0.0354194, MAP: 0.0153715, MRR: 0.0424500, NDCG: 0.0275474, F1: 0.0163474, HIT_RATE: 0.1062581, ARHR: 0.0442464, RMSE: 0.9998045, NOVELTY: 0.0071001, AVERAGE_POPULARITY: 0.2433779, DIVERSITY_MEAN_INTER_LIST: 0.9846920, DIVERSITY_HERFINDAHL: 0.9984631, COVERAGE_ITEM: 0.8074074, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3432921, SHANNON_ENTROPY: 11.9025897, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 240, 'shrink': 1940, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0125010, PRECISION: 0.0015321, PRECISION_RECALL_MIN_DEN: 0.0051070, RECALL: 0.0051070, MAP: 0.0035392, MRR: 0.0104298, NDCG: 0.0054750, F1: 0.0023571, HIT_RATE: 0.0153209, ARHR: 0.0105237, RMSE: 0.9999967, NOVELTY: 0.0060779, AVERAGE_POPULARITY: 0.0208033, DIVERSITY_MEAN_INTER_LIST: 0.5739817, DIVERSITY_HERFINDAHL: 0.9573946, COVERAGE_ITEM: 0.6979184, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1480188, SHANNON_ENTROPY: 7.0581603, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 277, 'shrink': 1776, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0452785, PRECISION: 0.0072898, PRECISION_RECALL_MIN_DEN: 0.0242993, RECALL: 0.0242993, MAP: 0.0114849, MRR: 0.0324298, NDCG: 0.0200000, F1: 0.0112151, HIT_RATE: 0.0728980, ARHR: 0.0334234, RMSE: 0.9989880, NOVELTY: 0.0060808, AVERAGE_POPULARITY: 0.2915435, DIVERSITY_MEAN_INTER_LIST: 0.9850059, DIVERSITY_HERFINDAHL: 0.9984945, COVERAGE_ITEM: 0.5691268, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1908811, SHANNON_ENTROPY: 10.8543345, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 445, 'shrink': 1624, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0127576, PRECISION: 0.0015939, PRECISION_RECALL_MIN_DEN: 0.0053129, RECALL: 0.0053129, MAP: 0.0036512, MRR: 0.0108021, NDCG: 0.0056638, F1: 0.0024521, HIT_RATE: 0.0159387, ARHR: 0.0108779, RMSE: 0.9999922, NOVELTY: 0.0060484, AVERAGE_POPULARITY: 0.0235436, DIVERSITY_MEAN_INTER_LIST: 0.5789927, DIVERSITY_HERFINDAHL: 0.9578957, COVERAGE_ITEM: 0.6929440, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1472211, SHANNON_ENTROPY: 7.0908845, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 284, 'shrink': 1716, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0084138, PRECISION: 0.0010564, PRECISION_RECALL_MIN_DEN: 0.0035213, RECALL: 0.0035213, MAP: 0.0025179, MRR: 0.0074535, NDCG: 0.0038541, F1: 0.0016252, HIT_RATE: 0.0105640, ARHR: 0.0075035, RMSE: 0.9999966, NOVELTY: 0.0058512, AVERAGE_POPULARITY: 0.0115261, DIVERSITY_MEAN_INTER_LIST: 0.4540652, DIVERSITY_HERFINDAHL: 0.9454037, COVERAGE_ITEM: 0.4904028, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0880817, SHANNON_ENTROPY: 5.7919546, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0544751, PRECISION: 0.0083338, PRECISION_RECALL_MIN_DEN: 0.0277795, RECALL: 0.0277795, MAP: 0.0137350, MRR: 0.0389377, NDCG: 0.0235656, F1: 0.0128213, HIT_RATE: 0.0833385, ARHR: 0.0400516, RMSE: 0.9972473, NOVELTY: 0.0061281, AVERAGE_POPULARITY: 0.2691468, DIVERSITY_MEAN_INTER_LIST: 0.9821591, DIVERSITY_HERFINDAHL: 0.9982098, COVERAGE_ITEM: 0.5482563, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1938446, SHANNON_ENTROPY: 10.7816057, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 33, 'shrink': 1039, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0707929, PRECISION: 0.0118984, PRECISION_RECALL_MIN_DEN: 0.0396615, RECALL: 0.0396615, MAP: 0.0172649, MRR: 0.0476827, NDCG: 0.0309234, F1: 0.0183053, HIT_RATE: 0.1189844, ARHR: 0.0497029, RMSE: 0.9997274, NOVELTY: 0.0069801, AVERAGE_POPULARITY: 0.2403969, DIVERSITY_MEAN_INTER_LIST: 0.9863320, DIVERSITY_HERFINDAHL: 0.9986271, COVERAGE_ITEM: 0.8176805, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3304844, SHANNON_ENTROPY: 11.9204386, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0367291, PRECISION: 0.0062890, PRECISION_RECALL_MIN_DEN: 0.0209633, RECALL: 0.0209633, MAP: 0.0089057, MRR: 0.0252500, NDCG: 0.0161968, F1: 0.0096754, HIT_RATE: 0.0628900, ARHR: 0.0259697, RMSE: 0.9983142, NOVELTY: 0.0068654, AVERAGE_POPULARITY: 0.1952433, DIVERSITY_MEAN_INTER_LIST: 0.9880627, DIVERSITY_HERFINDAHL: 0.9988002, COVERAGE_ITEM: 0.7058665, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3481600, SHANNON_ENTROPY: 11.8785002, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0979112, PRECISION: 0.0159572, PRECISION_RECALL_MIN_DEN: 0.0531908, RECALL: 0.0531908, MAP: 0.0252027, MRR: 0.0689402, NDCG: 0.0434901, F1: 0.0245496, HIT_RATE: 0.1595725, ARHR: 0.0722003, RMSE: 0.9999317, NOVELTY: 0.0066431, AVERAGE_POPULARITY: 0.1882539, DIVERSITY_MEAN_INTER_LIST: 0.9905698, DIVERSITY_HERFINDAHL: 0.9990509, COVERAGE_ITEM: 0.7336577, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3327089, SHANNON_ENTROPY: 12.0089239, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 5, 'shrink': 2000, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0998996, PRECISION: 0.0161549, PRECISION_RECALL_MIN_DEN: 0.0538498, RECALL: 0.0538498, MAP: 0.0257552, MRR: 0.0705099, NDCG: 0.0442978, F1: 0.0248538, HIT_RATE: 0.1615494, ARHR: 0.0738118, RMSE: 0.9999318, NOVELTY: 0.0066653, AVERAGE_POPULARITY: 0.1853281, DIVERSITY_MEAN_INTER_LIST: 0.9904867, DIVERSITY_HERFINDAHL: 0.9990425, COVERAGE_ITEM: 0.7352257, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3367576, SHANNON_ENTROPY: 12.0185198, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 9, 'shrink': 1070, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0912092, PRECISION: 0.0153765, PRECISION_RECALL_MIN_DEN: 0.0512551, RECALL: 0.0512551, MAP: 0.0228675, MRR: 0.0626776, NDCG: 0.0404385, F1: 0.0236562, HIT_RATE: 0.1537654, ARHR: 0.0655840, RMSE: 0.9998332, NOVELTY: 0.0064833, AVERAGE_POPULARITY: 0.2272337, DIVERSITY_MEAN_INTER_LIST: 0.9910752, DIVERSITY_HERFINDAHL: 0.9991014, COVERAGE_ITEM: 0.7698838, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3025155, SHANNON_ENTROPY: 11.9061853, 
