SearchBayesianSkopt: New best config found. Config 0: {'topK': 290, 'shrink': 468, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.982064422216691, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1013553, PRECISION: 0.0159881, PRECISION_RECALL_MIN_DEN: 0.0532938, RECALL: 0.0532938, MAP: 0.0270404, MRR: 0.0747740, NDCG: 0.0455702, F1: 0.0245971, HIT_RATE: 0.1598814, ARHR: 0.0778938, RMSE: 0.9586627, NOVELTY: 0.0055510, AVERAGE_POPULARITY: 0.5094124, DIVERSITY_MEAN_INTER_LIST: 0.9274399, DIVERSITY_HERFINDAHL: 0.9927383, COVERAGE_ITEM: 0.3932414, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1034824, SHANNON_ENTROPY: 8.8186003, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 715, 'shrink': 301, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7452827813525479, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0983144, PRECISION: 0.0156051, PRECISION_RECALL_MIN_DEN: 0.0520171, RECALL: 0.0520171, MAP: 0.0260769, MRR: 0.0718760, NDCG: 0.0441061, F1: 0.0240079, HIT_RATE: 0.1560512, ARHR: 0.0749953, RMSE: 0.9292880, NOVELTY: 0.0054612, AVERAGE_POPULARITY: 0.5592056, DIVERSITY_MEAN_INTER_LIST: 0.8934862, DIVERSITY_HERFINDAHL: 0.9893431, COVERAGE_ITEM: 0.3705326, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0952481, SHANNON_ENTROPY: 8.3472230, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 819, 'shrink': 1048, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3025842077538508, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0861325, PRECISION: 0.0132946, PRECISION_RECALL_MIN_DEN: 0.0443154, RECALL: 0.0443154, MAP: 0.0224260, MRR: 0.0621499, NDCG: 0.0378938, F1: 0.0204533, HIT_RATE: 0.1329462, ARHR: 0.0646706, RMSE: 0.9702273, NOVELTY: 0.0064283, AVERAGE_POPULARITY: 0.0945359, DIVERSITY_MEAN_INTER_LIST: 0.9971878, DIVERSITY_HERFINDAHL: 0.9997126, COVERAGE_ITEM: 0.9380914, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4822109, SHANNON_ENTROPY: 13.1973699, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 449, 'shrink': 55, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.3808982861823468, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1001764, PRECISION: 0.0157472, PRECISION_RECALL_MIN_DEN: 0.0524907, RECALL: 0.0524907, MAP: 0.0267109, MRR: 0.0730285, NDCG: 0.0448516, F1: 0.0242265, HIT_RATE: 0.1574720, ARHR: 0.0765233, RMSE: 0.9367035, NOVELTY: 0.0053418, AVERAGE_POPULARITY: 0.2465403, DIVERSITY_MEAN_INTER_LIST: 0.9800822, DIVERSITY_HERFINDAHL: 0.9980022, COVERAGE_ITEM: 0.9121384, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3589179, SHANNON_ENTROPY: 12.0048397, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 433, 'shrink': 414, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6260413364760211, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0595505, PRECISION: 0.0091184, PRECISION_RECALL_MIN_DEN: 0.0303948, RECALL: 0.0303948, MAP: 0.0160571, MRR: 0.0446680, NDCG: 0.0266956, F1: 0.0140284, HIT_RATE: 0.0911843, ARHR: 0.0463830, RMSE: 0.9628625, NOVELTY: 0.0053760, AVERAGE_POPULARITY: 0.0620685, DIVERSITY_MEAN_INTER_LIST: 0.9979012, DIVERSITY_HERFINDAHL: 0.9997840, COVERAGE_ITEM: 0.7947553, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5039725, SHANNON_ENTROPY: 13.1513051, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.1001165, PRECISION: 0.0162044, PRECISION_RECALL_MIN_DEN: 0.0540145, RECALL: 0.0540145, MAP: 0.0257539, MRR: 0.0703229, NDCG: 0.0443277, F1: 0.0249298, HIT_RATE: 0.1620436, ARHR: 0.0737142, RMSE: 0.9953546, NOVELTY: 0.0066968, AVERAGE_POPULARITY: 0.0910019, DIVERSITY_MEAN_INTER_LIST: 0.9696928, DIVERSITY_HERFINDAHL: 0.9969633, COVERAGE_ITEM: 0.7064612, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3199970, SHANNON_ENTROPY: 11.6476969, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 983, 'shrink': 1291, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.01908199434208391, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0813559, PRECISION: 0.0132452, PRECISION_RECALL_MIN_DEN: 0.0441507, RECALL: 0.0441507, MAP: 0.0210009, MRR: 0.0588085, NDCG: 0.0363820, F1: 0.0203772, HIT_RATE: 0.1324520, ARHR: 0.0608606, RMSE: 0.9745280, NOVELTY: 0.0051585, AVERAGE_POPULARITY: 0.7260089, DIVERSITY_MEAN_INTER_LIST: 0.7205468, DIVERSITY_HERFINDAHL: 0.9720502, COVERAGE_ITEM: 0.3094350, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0551241, SHANNON_ENTROPY: 6.5332535, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1307026, PRECISION: 0.0204670, PRECISION_RECALL_MIN_DEN: 0.0682235, RECALL: 0.0682235, MAP: 0.0348457, MRR: 0.0940228, NDCG: 0.0582462, F1: 0.0314878, HIT_RATE: 0.2046704, ARHR: 0.0991739, RMSE: 0.9858809, NOVELTY: 0.0063174, AVERAGE_POPULARITY: 0.2167936, DIVERSITY_MEAN_INTER_LIST: 0.9757718, DIVERSITY_HERFINDAHL: 0.9975712, COVERAGE_ITEM: 0.5363612, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1849248, SHANNON_ENTROPY: 10.6591718, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0593869, PRECISION: 0.0090999, PRECISION_RECALL_MIN_DEN: 0.0303330, RECALL: 0.0303330, MAP: 0.0147781, MRR: 0.0417247, NDCG: 0.0254934, F1: 0.0139998, HIT_RATE: 0.0909989, ARHR: 0.0430233, RMSE: 0.9713801, NOVELTY: 0.0066067, AVERAGE_POPULARITY: 0.1209732, DIVERSITY_MEAN_INTER_LIST: 0.9906639, DIVERSITY_HERFINDAHL: 0.9990603, COVERAGE_ITEM: 0.5954042, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2110771, SHANNON_ENTROPY: 11.2784119, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 6, 'shrink': 1364, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6392380750782413, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1225127, PRECISION: 0.0192933, PRECISION_RECALL_MIN_DEN: 0.0643109, RECALL: 0.0643109, MAP: 0.0325206, MRR: 0.0883177, NDCG: 0.0546395, F1: 0.0296819, HIT_RATE: 0.1929326, ARHR: 0.0928271, RMSE: 0.9805065, NOVELTY: 0.0063885, AVERAGE_POPULARITY: 0.2170373, DIVERSITY_MEAN_INTER_LIST: 0.9897493, DIVERSITY_HERFINDAHL: 0.9989688, COVERAGE_ITEM: 0.5411733, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2088736, SHANNON_ENTROPY: 11.1348689, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 992, 'shrink': 65, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.03468060585183475, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1081483, PRECISION: 0.0169581, PRECISION_RECALL_MIN_DEN: 0.0565268, RECALL: 0.0565268, MAP: 0.0283946, MRR: 0.0780330, NDCG: 0.0479869, F1: 0.0260893, HIT_RATE: 0.1695805, ARHR: 0.0815309, RMSE: 0.9304853, NOVELTY: 0.0061178, AVERAGE_POPULARITY: 0.2746484, DIVERSITY_MEAN_INTER_LIST: 0.9879634, DIVERSITY_HERFINDAHL: 0.9987902, COVERAGE_ITEM: 0.6479589, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2001659, SHANNON_ENTROPY: 11.1668180, 
