SearchBayesianSkopt: New best config found. Config 0: {'topK': 290, 'shrink': 468, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0837309, PRECISION: 0.0126830, PRECISION_RECALL_MIN_DEN: 0.0422767, RECALL: 0.0422767, MAP: 0.0215399, MRR: 0.0597480, NDCG: 0.0363424, F1: 0.0195123, HIT_RATE: 0.1268302, ARHR: 0.0621396, RMSE: 0.9458139, NOVELTY: 0.0072341, AVERAGE_POPULARITY: 0.0556075, DIVERSITY_MEAN_INTER_LIST: 0.9981816, DIVERSITY_HERFINDAHL: 0.9998120, COVERAGE_ITEM: 0.9017572, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4654378, SHANNON_ENTROPY: 13.2320502, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 142, 'shrink': 1070, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0853412, PRECISION: 0.0128807, PRECISION_RECALL_MIN_DEN: 0.0429357, RECALL: 0.0429357, MAP: 0.0220070, MRR: 0.0612078, NDCG: 0.0370753, F1: 0.0198165, HIT_RATE: 0.1288071, ARHR: 0.0635614, RMSE: 0.9813613, NOVELTY: 0.0071138, AVERAGE_POPULARITY: 0.0554092, DIVERSITY_MEAN_INTER_LIST: 0.9982012, DIVERSITY_HERFINDAHL: 0.9998140, COVERAGE_ITEM: 0.9295485, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4854614, SHANNON_ENTROPY: 13.3061011, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 376, 'shrink': 313, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0833338, PRECISION: 0.0124915, PRECISION_RECALL_MIN_DEN: 0.0416384, RECALL: 0.0416384, MAP: 0.0213529, MRR: 0.0593502, NDCG: 0.0359726, F1: 0.0192177, HIT_RATE: 0.1249151, ARHR: 0.0616612, RMSE: 0.9130866, NOVELTY: 0.0072361, AVERAGE_POPULARITY: 0.0563510, DIVERSITY_MEAN_INTER_LIST: 0.9981424, DIVERSITY_HERFINDAHL: 0.9998081, COVERAGE_ITEM: 0.8912138, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4535677, SHANNON_ENTROPY: 13.1874349, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 763, 'shrink': 977, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0857621, PRECISION: 0.0139124, PRECISION_RECALL_MIN_DEN: 0.0463747, RECALL: 0.0463747, MAP: 0.0223311, MRR: 0.0623939, NDCG: 0.0384834, F1: 0.0214037, HIT_RATE: 0.1391240, ARHR: 0.0646528, RMSE: 0.9689487, NOVELTY: 0.0052194, AVERAGE_POPULARITY: 0.6902517, DIVERSITY_MEAN_INTER_LIST: 0.7758342, DIVERSITY_HERFINDAHL: 0.9775786, COVERAGE_ITEM: 0.3297107, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0629846, SHANNON_ENTROPY: 6.9749079, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 659, 'shrink': 538, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0831201, PRECISION: 0.0126521, PRECISION_RECALL_MIN_DEN: 0.0421738, RECALL: 0.0421738, MAP: 0.0214975, MRR: 0.0596636, NDCG: 0.0362532, F1: 0.0194648, HIT_RATE: 0.1265213, ARHR: 0.0620277, RMSE: 0.9270122, NOVELTY: 0.0071817, AVERAGE_POPULARITY: 0.0600662, DIVERSITY_MEAN_INTER_LIST: 0.9979714, DIVERSITY_HERFINDAHL: 0.9997910, COVERAGE_ITEM: 0.8719654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4196849, SHANNON_ENTROPY: 13.0555400, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0843900, PRECISION: 0.0136159, PRECISION_RECALL_MIN_DEN: 0.0453862, RECALL: 0.0453862, MAP: 0.0218256, MRR: 0.0610688, NDCG: 0.0376520, F1: 0.0209475, HIT_RATE: 0.1361586, ARHR: 0.0632273, RMSE: 0.9770676, NOVELTY: 0.0051774, AVERAGE_POPULARITY: 0.7131521, DIVERSITY_MEAN_INTER_LIST: 0.7415805, DIVERSITY_HERFINDAHL: 0.9741535, COVERAGE_ITEM: 0.3128413, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0568723, SHANNON_ENTROPY: 6.6811087, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0843900, PRECISION: 0.0136159, PRECISION_RECALL_MIN_DEN: 0.0453862, RECALL: 0.0453862, MAP: 0.0218256, MRR: 0.0610688, NDCG: 0.0376520, F1: 0.0209475, HIT_RATE: 0.1361586, ARHR: 0.0632273, RMSE: 0.9770676, NOVELTY: 0.0051774, AVERAGE_POPULARITY: 0.7131521, DIVERSITY_MEAN_INTER_LIST: 0.7415805, DIVERSITY_HERFINDAHL: 0.9741535, COVERAGE_ITEM: 0.3128413, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0568723, SHANNON_ENTROPY: 6.6811087, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1054891, PRECISION: 0.0166183, PRECISION_RECALL_MIN_DEN: 0.0553942, RECALL: 0.0553942, MAP: 0.0276347, MRR: 0.0759966, NDCG: 0.0468321, F1: 0.0255666, HIT_RATE: 0.1661827, ARHR: 0.0793943, RMSE: 0.9968994, NOVELTY: 0.0059420, AVERAGE_POPULARITY: 0.3445061, DIVERSITY_MEAN_INTER_LIST: 0.9752555, DIVERSITY_HERFINDAHL: 0.9975195, COVERAGE_ITEM: 0.4180049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1504945, SHANNON_ENTROPY: 10.0377410, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.1054891, PRECISION: 0.0166183, PRECISION_RECALL_MIN_DEN: 0.0553942, RECALL: 0.0553942, MAP: 0.0276347, MRR: 0.0759966, NDCG: 0.0468321, F1: 0.0255666, HIT_RATE: 0.1661827, ARHR: 0.0793943, RMSE: 0.9968994, NOVELTY: 0.0059420, AVERAGE_POPULARITY: 0.3445061, DIVERSITY_MEAN_INTER_LIST: 0.9752555, DIVERSITY_HERFINDAHL: 0.9975195, COVERAGE_ITEM: 0.4180049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1504945, SHANNON_ENTROPY: 10.0377410, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 5, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1288465, PRECISION: 0.0207018, PRECISION_RECALL_MIN_DEN: 0.0690060, RECALL: 0.0690060, MAP: 0.0342004, MRR: 0.0925177, NDCG: 0.0578192, F1: 0.0318489, HIT_RATE: 0.2070180, ARHR: 0.0974407, RMSE: 0.9831414, NOVELTY: 0.0062764, AVERAGE_POPULARITY: 0.2446092, DIVERSITY_MEAN_INTER_LIST: 0.9882131, DIVERSITY_HERFINDAHL: 0.9988152, COVERAGE_ITEM: 0.5118681, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1926009, SHANNON_ENTROPY: 10.9189018, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 10, 'shrink': 6, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0885566, PRECISION: 0.0149317, PRECISION_RECALL_MIN_DEN: 0.0497725, RECALL: 0.0497725, MAP: 0.0230883, MRR: 0.0628863, NDCG: 0.0400887, F1: 0.0229719, HIT_RATE: 0.1493174, ARHR: 0.0659997, RMSE: 0.9792551, NOVELTY: 0.0052311, AVERAGE_POPULARITY: 0.1226430, DIVERSITY_MEAN_INTER_LIST: 0.9821667, DIVERSITY_HERFINDAHL: 0.9982106, COVERAGE_ITEM: 0.6628819, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201229, SHANNON_ENTROPY: 11.7533149, 
