SearchBayesianSkopt: New best config found. Config 0: {'topK': 396, 'shrink': 406, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0495149, PRECISION: 0.0073148, PRECISION_RECALL_MIN_DEN: 0.0243828, RECALL: 0.0243828, MAP: 0.0131071, MRR: 0.0374344, NDCG: 0.0218476, F1: 0.0112536, HIT_RATE: 0.0731484, ARHR: 0.0383779, RMSE: 0.9994529, NOVELTY: 0.0075303, AVERAGE_POPULARITY: 0.1118543, DIVERSITY_MEAN_INTER_LIST: 0.9972353, DIVERSITY_HERFINDAHL: 0.9996931, COVERAGE_ITEM: 0.6011895, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5710423, SHANNON_ENTROPY: 12.8121709, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 675, 'shrink': 1058, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0134105, PRECISION: 0.0014325, PRECISION_RECALL_MIN_DEN: 0.0047750, RECALL: 0.0047750, MAP: 0.0041640, MRR: 0.0124920, NDCG: 0.0060702, F1: 0.0022038, HIT_RATE: 0.0143249, ARHR: 0.0124920, RMSE: 0.9999936, NOVELTY: 0.0076479, AVERAGE_POPULARITY: 0.0209201, DIVERSITY_MEAN_INTER_LIST: 0.2271216, DIVERSITY_HERFINDAHL: 0.9227052, COVERAGE_ITEM: 0.0227088, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0479302, SHANNON_ENTROPY: 4.1270098, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 444, 'shrink': 374, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'log', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0020658, PRECISION: 0.0002438, PRECISION_RECALL_MIN_DEN: 0.0008128, RECALL: 0.0008128, MAP: 0.0006039, MRR: 0.0018118, NDCG: 0.0009200, F1: 0.0003751, HIT_RATE: 0.0024383, ARHR: 0.0018118, RMSE: 0.9999981, NOVELTY: 0.0077067, AVERAGE_POPULARITY: 0.0095723, DIVERSITY_MEAN_INTER_LIST: 0.1574999, DIVERSITY_HERFINDAHL: 0.9157452, COVERAGE_ITEM: 0.0159503, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0480350, SHANNON_ENTROPY: 3.7564423, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 605, 'shrink': 98, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0663564, PRECISION: 0.0097836, PRECISION_RECALL_MIN_DEN: 0.0326120, RECALL: 0.0326120, MAP: 0.0181691, MRR: 0.0510168, NDCG: 0.0297343, F1: 0.0150517, HIT_RATE: 0.0978360, ARHR: 0.0527451, RMSE: 0.9956879, NOVELTY: 0.0066036, AVERAGE_POPULARITY: 0.1877078, DIVERSITY_MEAN_INTER_LIST: 0.9941639, DIVERSITY_HERFINDAHL: 0.9993861, COVERAGE_ITEM: 0.4618005, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4167697, SHANNON_ENTROPY: 11.9269600, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 650, 'shrink': 202, 'similarity': 'euclidean', 'normalize': False, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0134105, PRECISION: 0.0014020, PRECISION_RECALL_MIN_DEN: 0.0046734, RECALL: 0.0046734, MAP: 0.0042106, MRR: 0.0126317, NDCG: 0.0060877, F1: 0.0021569, HIT_RATE: 0.0140201, ARHR: 0.0126317, RMSE: 1.0000000, NOVELTY: 0.0076490, AVERAGE_POPULARITY: 0.0207393, DIVERSITY_MEAN_INTER_LIST: 0.2248385, DIVERSITY_HERFINDAHL: 0.9224770, COVERAGE_ITEM: 0.0224926, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0475981, SHANNON_ENTROPY: 4.1138800, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 935, 'shrink': 1487, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0654547, PRECISION: 0.0093264, PRECISION_RECALL_MIN_DEN: 0.0310881, RECALL: 0.0310881, MAP: 0.0182972, MRR: 0.0515977, NDCG: 0.0294126, F1: 0.0143483, HIT_RATE: 0.0932642, ARHR: 0.0532277, RMSE: 0.9996270, NOVELTY: 0.0066328, AVERAGE_POPULARITY: 0.1831416, DIVERSITY_MEAN_INTER_LIST: 0.9951588, DIVERSITY_HERFINDAHL: 0.9994856, COVERAGE_ITEM: 0.4532036, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4213381, SHANNON_ENTROPY: 11.9805360, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 33, 'shrink': 1449, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0796569, PRECISION: 0.0120390, PRECISION_RECALL_MIN_DEN: 0.0401300, RECALL: 0.0401300, MAP: 0.0217119, MRR: 0.0600313, NDCG: 0.0357533, F1: 0.0185216, HIT_RATE: 0.1203901, ARHR: 0.0625666, RMSE: 0.9999435, NOVELTY: 0.0066493, AVERAGE_POPULARITY: 0.1941858, DIVERSITY_MEAN_INTER_LIST: 0.9935357, DIVERSITY_HERFINDAHL: 0.9993233, COVERAGE_ITEM: 0.4779129, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4337509, SHANNON_ENTROPY: 11.9901966, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1500, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'none'} - results: ROC_AUC: 0.0808887, PRECISION: 0.0109418, PRECISION_RECALL_MIN_DEN: 0.0364726, RECALL: 0.0364726, MAP: 0.0227485, MRR: 0.0627609, NDCG: 0.0357154, F1: 0.0168335, HIT_RATE: 0.1094179, ARHR: 0.0655033, RMSE: 0.9999734, NOVELTY: 0.0070068, AVERAGE_POPULARITY: 0.1433675, DIVERSITY_MEAN_INTER_LIST: 0.8979401, DIVERSITY_HERFINDAHL: 0.9897666, COVERAGE_ITEM: 0.3299270, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3116457, SHANNON_ENTROPY: 9.9713400, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 41, 'shrink': 30, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': False, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0785720, PRECISION: 0.0114904, PRECISION_RECALL_MIN_DEN: 0.0383013, RECALL: 0.0383013, MAP: 0.0211381, MRR: 0.0580258, NDCG: 0.0345353, F1: 0.0176775, HIT_RATE: 0.1149040, ARHR: 0.0606983, RMSE: 0.9971799, NOVELTY: 0.0067254, AVERAGE_POPULARITY: 0.1886900, DIVERSITY_MEAN_INTER_LIST: 0.9941431, DIVERSITY_HERFINDAHL: 0.9993840, COVERAGE_ITEM: 0.4880238, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4444224, SHANNON_ENTROPY: 12.0742631, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 34, 'shrink': 1448, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'lin', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0762005, PRECISION: 0.0113380, PRECISION_RECALL_MIN_DEN: 0.0377934, RECALL: 0.0377934, MAP: 0.0210401, MRR: 0.0572777, NDCG: 0.0341702, F1: 0.0174431, HIT_RATE: 0.1133801, ARHR: 0.0601989, RMSE: 0.9999501, NOVELTY: 0.0074516, AVERAGE_POPULARITY: 0.1205198, DIVERSITY_MEAN_INTER_LIST: 0.9967330, DIVERSITY_HERFINDAHL: 0.9996429, COVERAGE_ITEM: 0.5685320, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5316820, SHANNON_ENTROPY: 12.6306065, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 88, 'similarity': 'euclidean', 'normalize': True, 'normalize_avg_row': True, 'similarity_from_distance_mode': 'exp', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0805618, PRECISION: 0.0110942, PRECISION_RECALL_MIN_DEN: 0.0369806, RECALL: 0.0369806, MAP: 0.0224847, MRR: 0.0622164, NDCG: 0.0356135, F1: 0.0170680, HIT_RATE: 0.1109418, ARHR: 0.0648201, RMSE: 0.9995519, NOVELTY: 0.0069758, AVERAGE_POPULARITY: 0.1465910, DIVERSITY_MEAN_INTER_LIST: 0.8997629, DIVERSITY_HERFINDAHL: 0.9899489, COVERAGE_ITEM: 0.3173290, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3095502, SHANNON_ENTROPY: 9.9460739, 
