SearchBayesianSkopt: New best config found. Config 0: {'topK': 350, 'shrink': 1689, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8834934792017586, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0497518, PRECISION: 0.0072552, PRECISION_RECALL_MIN_DEN: 0.0241839, RECALL: 0.0241839, MAP: 0.0127945, MRR: 0.0365911, NDCG: 0.0214666, F1: 0.0111618, HIT_RATE: 0.0725517, ARHR: 0.0374593, RMSE: 0.9921587, NOVELTY: 0.0065611, AVERAGE_POPULARITY: 0.0299580, DIVERSITY_MEAN_INTER_LIST: 0.9403517, DIVERSITY_HERFINDAHL: 0.9940141, COVERAGE_ITEM: 0.6896999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4658330, SHANNON_ENTROPY: 11.6319589, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 163, 'shrink': 1348, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.4877017530306038, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0628452, PRECISION: 0.0092767, PRECISION_RECALL_MIN_DEN: 0.0309224, RECALL: 0.0309224, MAP: 0.0154387, MRR: 0.0441015, NDCG: 0.0264886, F1: 0.0142719, HIT_RATE: 0.0927673, ARHR: 0.0451808, RMSE: 0.9215084, NOVELTY: 0.0065057, AVERAGE_POPULARITY: 0.0853558, DIVERSITY_MEAN_INTER_LIST: 0.9360239, DIVERSITY_HERFINDAHL: 0.9935814, COVERAGE_ITEM: 0.3267370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2590356, SHANNON_ENTROPY: 10.0874804, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 198, 'shrink': 1368, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.8066927772680264, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0525627, PRECISION: 0.0074798, PRECISION_RECALL_MIN_DEN: 0.0249326, RECALL: 0.0249326, MAP: 0.0133993, MRR: 0.0384702, NDCG: 0.0223973, F1: 0.0115074, HIT_RATE: 0.0747978, ARHR: 0.0393059, RMSE: 0.9926213, NOVELTY: 0.0064250, AVERAGE_POPULARITY: 0.0286786, DIVERSITY_MEAN_INTER_LIST: 0.9403383, DIVERSITY_HERFINDAHL: 0.9940127, COVERAGE_ITEM: 0.7013247, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4690394, SHANNON_ENTROPY: 11.6527542, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 240, 'shrink': 1453, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7748418447106327, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0800458, PRECISION: 0.0120395, PRECISION_RECALL_MIN_DEN: 0.0401318, RECALL: 0.0401318, MAP: 0.0205488, MRR: 0.0587517, NDCG: 0.0348690, F1: 0.0185224, HIT_RATE: 0.1203953, ARHR: 0.0601710, RMSE: 0.9904002, NOVELTY: 0.0054067, AVERAGE_POPULARITY: 0.4766815, DIVERSITY_MEAN_INTER_LIST: 0.8577548, DIVERSITY_HERFINDAHL: 0.9857562, COVERAGE_ITEM: 0.1379832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1004636, SHANNON_ENTROPY: 7.3613079, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 200, 'shrink': 1728, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5030390017718813, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0690908, PRECISION: 0.0099506, PRECISION_RECALL_MIN_DEN: 0.0331686, RECALL: 0.0331686, MAP: 0.0170059, MRR: 0.0485098, NDCG: 0.0289049, F1: 0.0153086, HIT_RATE: 0.0995058, ARHR: 0.0497357, RMSE: 0.9247450, NOVELTY: 0.0064121, AVERAGE_POPULARITY: 0.0991455, DIVERSITY_MEAN_INTER_LIST: 0.9353323, DIVERSITY_HERFINDAHL: 0.9935122, COVERAGE_ITEM: 0.3018654, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2479486, SHANNON_ENTROPY: 9.9510550, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 499, 'shrink': 1981, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.15772563565734418, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0708833, PRECISION: 0.0107592, PRECISION_RECALL_MIN_DEN: 0.0358640, RECALL: 0.0358640, MAP: 0.0187126, MRR: 0.0532852, NDCG: 0.0314663, F1: 0.0165526, HIT_RATE: 0.1075921, ARHR: 0.0546834, RMSE: 0.9914038, NOVELTY: 0.0053126, AVERAGE_POPULARITY: 0.5310103, DIVERSITY_MEAN_INTER_LIST: 0.8096783, DIVERSITY_HERFINDAHL: 0.9809496, COVERAGE_ITEM: 0.1080292, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0812915, SHANNON_ENTROPY: 6.7449011, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0797931, PRECISION: 0.0115903, PRECISION_RECALL_MIN_DEN: 0.0386343, RECALL: 0.0386343, MAP: 0.0213923, MRR: 0.0606121, NDCG: 0.0351838, F1: 0.0178312, HIT_RATE: 0.1159030, ARHR: 0.0623665, RMSE: 0.9969149, NOVELTY: 0.0059193, AVERAGE_POPULARITY: 0.2293041, DIVERSITY_MEAN_INTER_LIST: 0.9141178, DIVERSITY_HERFINDAHL: 0.9913912, COVERAGE_ITEM: 0.2650987, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2017727, SHANNON_ENTROPY: 9.2889701, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0870433, PRECISION: 0.0129605, PRECISION_RECALL_MIN_DEN: 0.0432016, RECALL: 0.0432016, MAP: 0.0229338, MRR: 0.0650872, NDCG: 0.0383081, F1: 0.0199392, HIT_RATE: 0.1296047, ARHR: 0.0669050, RMSE: 0.9970909, NOVELTY: 0.0059201, AVERAGE_POPULARITY: 0.2663375, DIVERSITY_MEAN_INTER_LIST: 0.9149092, DIVERSITY_HERFINDAHL: 0.9914704, COVERAGE_ITEM: 0.2357935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1880274, SHANNON_ENTROPY: 9.1027122, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 13, 'shrink': 1980, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.991756207579575, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0805388, PRECISION: 0.0117925, PRECISION_RECALL_MIN_DEN: 0.0393082, RECALL: 0.0393082, MAP: 0.0216559, MRR: 0.0613952, NDCG: 0.0356786, F1: 0.0181422, HIT_RATE: 0.1179245, ARHR: 0.0631534, RMSE: 0.9974520, NOVELTY: 0.0057760, AVERAGE_POPULARITY: 0.2839835, DIVERSITY_MEAN_INTER_LIST: 0.9184929, DIVERSITY_HERFINDAHL: 0.9918287, COVERAGE_ITEM: 0.2631522, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1829284, SHANNON_ENTROPY: 9.0926826, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0870433, PRECISION: 0.0129605, PRECISION_RECALL_MIN_DEN: 0.0432016, RECALL: 0.0432016, MAP: 0.0229338, MRR: 0.0650872, NDCG: 0.0383081, F1: 0.0199392, HIT_RATE: 0.1296047, ARHR: 0.0669050, RMSE: 0.9970909, NOVELTY: 0.0059201, AVERAGE_POPULARITY: 0.2663375, DIVERSITY_MEAN_INTER_LIST: 0.9149092, DIVERSITY_HERFINDAHL: 0.9914704, COVERAGE_ITEM: 0.2357935, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1880274, SHANNON_ENTROPY: 9.1027122, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 491, 'shrink': 1136, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9802927385947062, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0837942, PRECISION: 0.0122192, PRECISION_RECALL_MIN_DEN: 0.0407308, RECALL: 0.0407308, MAP: 0.0223817, MRR: 0.0633954, NDCG: 0.0369111, F1: 0.0187988, HIT_RATE: 0.1221923, ARHR: 0.0652421, RMSE: 0.9857066, NOVELTY: 0.0055389, AVERAGE_POPULARITY: 0.3878962, DIVERSITY_MEAN_INTER_LIST: 0.8962848, DIVERSITY_HERFINDAHL: 0.9896084, COVERAGE_ITEM: 0.1492836, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1232828, SHANNON_ENTROPY: 7.9960095, 
