SearchBayesianSkopt: New best config found. Config 0: {'topK': 135, 'shrink': 1886, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0829737, PRECISION: 0.0121968, PRECISION_RECALL_MIN_DEN: 0.0406559, RECALL: 0.0406559, MAP: 0.0212920, MRR: 0.0608297, NDCG: 0.0358355, F1: 0.0187643, HIT_RATE: 0.1219677, ARHR: 0.0623248, RMSE: 0.9499965, NOVELTY: 0.0054731, AVERAGE_POPULARITY: 0.4615950, DIVERSITY_MEAN_INTER_LIST: 0.8683555, DIVERSITY_HERFINDAHL: 0.9868160, COVERAGE_ITEM: 0.1538794, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1113929, SHANNON_ENTROPY: 7.5804643, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 286, 'shrink': 1790, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0532895, PRECISION: 0.0077493, PRECISION_RECALL_MIN_DEN: 0.0258311, RECALL: 0.0258311, MAP: 0.0138630, MRR: 0.0397178, NDCG: 0.0231482, F1: 0.0119220, HIT_RATE: 0.0774933, ARHR: 0.0406253, RMSE: 0.9930116, NOVELTY: 0.0067209, AVERAGE_POPULARITY: 0.0296881, DIVERSITY_MEAN_INTER_LIST: 0.9402578, DIVERSITY_HERFINDAHL: 0.9940047, COVERAGE_ITEM: 0.6924574, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4610983, SHANNON_ENTROPY: 11.6203713, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 361, 'shrink': 1956, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0770385, PRECISION: 0.0119272, PRECISION_RECALL_MIN_DEN: 0.0397574, RECALL: 0.0397574, MAP: 0.0199209, MRR: 0.0564954, NDCG: 0.0339816, F1: 0.0183496, HIT_RATE: 0.1192722, ARHR: 0.0581010, RMSE: 0.9595036, NOVELTY: 0.0053590, AVERAGE_POPULARITY: 0.5160622, DIVERSITY_MEAN_INTER_LIST: 0.8297853, DIVERSITY_HERFINDAHL: 0.9829599, COVERAGE_ITEM: 0.1151663, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0887019, SHANNON_ENTROPY: 6.9629797, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 458, 'shrink': 1461, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0741340, PRECISION: 0.0110737, PRECISION_RECALL_MIN_DEN: 0.0369122, RECALL: 0.0369122, MAP: 0.0193523, MRR: 0.0552072, NDCG: 0.0325215, F1: 0.0170364, HIT_RATE: 0.1107367, ARHR: 0.0566040, RMSE: 0.9889195, NOVELTY: 0.0053310, AVERAGE_POPULARITY: 0.5188282, DIVERSITY_MEAN_INTER_LIST: 0.8227091, DIVERSITY_HERFINDAHL: 0.9822524, COVERAGE_ITEM: 0.1126250, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0849002, SHANNON_ENTROPY: 6.8797071, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 12, 'shrink': 1380, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0831141, PRECISION: 0.0123540, PRECISION_RECALL_MIN_DEN: 0.0411800, RECALL: 0.0411800, MAP: 0.0221847, MRR: 0.0627888, NDCG: 0.0368225, F1: 0.0190062, HIT_RATE: 0.1235400, ARHR: 0.0646433, RMSE: 0.9967886, NOVELTY: 0.0058352, AVERAGE_POPULARITY: 0.2990566, DIVERSITY_MEAN_INTER_LIST: 0.9182883, DIVERSITY_HERFINDAHL: 0.9918082, COVERAGE_ITEM: 0.2405515, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1790741, SHANNON_ENTROPY: 8.9994622, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0812298, PRECISION: 0.0120620, PRECISION_RECALL_MIN_DEN: 0.0402066, RECALL: 0.0402066, MAP: 0.0213462, MRR: 0.0606957, NDCG: 0.0356753, F1: 0.0185569, HIT_RATE: 0.1206199, ARHR: 0.0623391, RMSE: 0.9962439, NOVELTY: 0.0059734, AVERAGE_POPULARITY: 0.2593559, DIVERSITY_MEAN_INTER_LIST: 0.9191765, DIVERSITY_HERFINDAHL: 0.9918970, COVERAGE_ITEM: 0.2891052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1971168, SHANNON_ENTROPY: 9.3005493, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 28, 'shrink': 1019, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0566105, PRECISION: 0.0084232, PRECISION_RECALL_MIN_DEN: 0.0280773, RECALL: 0.0280773, MAP: 0.0143552, MRR: 0.0411239, NDCG: 0.0243978, F1: 0.0129587, HIT_RATE: 0.0842318, ARHR: 0.0420667, RMSE: 0.9924191, NOVELTY: 0.0064147, AVERAGE_POPULARITY: 0.0312510, DIVERSITY_MEAN_INTER_LIST: 0.9381021, DIVERSITY_HERFINDAHL: 0.9937891, COVERAGE_ITEM: 0.6495269, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4431423, SHANNON_ENTROPY: 11.4858444, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 494, 'shrink': 1027, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0963485, PRECISION: 0.0143980, PRECISION_RECALL_MIN_DEN: 0.0479934, RECALL: 0.0479934, MAP: 0.0255990, MRR: 0.0716330, NDCG: 0.0425316, F1: 0.0221508, HIT_RATE: 0.1439802, ARHR: 0.0741632, RMSE: 0.9412745, NOVELTY: 0.0057742, AVERAGE_POPULARITY: 0.3352100, DIVERSITY_MEAN_INTER_LIST: 0.9123574, DIVERSITY_HERFINDAHL: 0.9912152, COVERAGE_ITEM: 0.2574209, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1688715, SHANNON_ENTROPY: 8.8078346, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1030070, PRECISION: 0.0159254, PRECISION_RECALL_MIN_DEN: 0.0530848, RECALL: 0.0530848, MAP: 0.0270149, MRR: 0.0751977, NDCG: 0.0455759, F1: 0.0245007, HIT_RATE: 0.1592543, ARHR: 0.0780323, RMSE: 0.9865267, NOVELTY: 0.0062603, AVERAGE_POPULARITY: 0.1707616, DIVERSITY_MEAN_INTER_LIST: 0.9215924, DIVERSITY_HERFINDAHL: 0.9921385, COVERAGE_ITEM: 0.3084077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2369504, SHANNON_ENTROPY: 9.7709302, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 497, 'shrink': 1005, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0737612, PRECISION: 0.0114780, PRECISION_RECALL_MIN_DEN: 0.0382600, RECALL: 0.0382600, MAP: 0.0195271, MRR: 0.0553521, NDCG: 0.0330483, F1: 0.0176584, HIT_RATE: 0.1147799, ARHR: 0.0569387, RMSE: 1.2066487, NOVELTY: 0.0053298, AVERAGE_POPULARITY: 0.5314090, DIVERSITY_MEAN_INTER_LIST: 0.8160791, DIVERSITY_HERFINDAHL: 0.9815896, COVERAGE_ITEM: 0.1015950, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0831706, SHANNON_ENTROPY: 6.7739521, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1030070, PRECISION: 0.0159254, PRECISION_RECALL_MIN_DEN: 0.0530848, RECALL: 0.0530848, MAP: 0.0270149, MRR: 0.0751977, NDCG: 0.0455759, F1: 0.0245007, HIT_RATE: 0.1592543, ARHR: 0.0780323, RMSE: 0.9865267, NOVELTY: 0.0062603, AVERAGE_POPULARITY: 0.1707616, DIVERSITY_MEAN_INTER_LIST: 0.9215924, DIVERSITY_HERFINDAHL: 0.9921385, COVERAGE_ITEM: 0.3084077, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2369504, SHANNON_ENTROPY: 9.7709302, 
