SearchBayesianSkopt: New best config found. Config 0: {'topK': 80, 'shrink': 1097, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0878310, PRECISION: 0.0129829, PRECISION_RECALL_MIN_DEN: 0.0432764, RECALL: 0.0432764, MAP: 0.0229729, MRR: 0.0650872, NDCG: 0.0383791, F1: 0.0199737, HIT_RATE: 0.1298293, ARHR: 0.0669748, RMSE: 0.9930780, NOVELTY: 0.0055624, AVERAGE_POPULARITY: 0.3960707, DIVERSITY_MEAN_INTER_LIST: 0.8997715, DIVERSITY_HERFINDAHL: 0.9899569, COVERAGE_ITEM: 0.1797242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1324065, SHANNON_ENTROPY: 8.1820395, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 10, 'shrink': 1572, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0846817, PRECISION: 0.0126685, PRECISION_RECALL_MIN_DEN: 0.0422282, RECALL: 0.0422282, MAP: 0.0227334, MRR: 0.0643552, NDCG: 0.0377379, F1: 0.0194899, HIT_RATE: 0.1266846, ARHR: 0.0662497, RMSE: 0.9976983, NOVELTY: 0.0058592, AVERAGE_POPULARITY: 0.2879780, DIVERSITY_MEAN_INTER_LIST: 0.9186504, DIVERSITY_HERFINDAHL: 0.9918444, COVERAGE_ITEM: 0.2372533, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1798063, SHANNON_ENTROPY: 9.0342183, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 325, 'shrink': 1526, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0806417, PRECISION: 0.0119497, PRECISION_RECALL_MIN_DEN: 0.0398323, RECALL: 0.0398323, MAP: 0.0209305, MRR: 0.0596823, NDCG: 0.0351577, F1: 0.0183841, HIT_RATE: 0.1194969, ARHR: 0.0612089, RMSE: 0.9914235, NOVELTY: 0.0053892, AVERAGE_POPULARITY: 0.4854613, DIVERSITY_MEAN_INTER_LIST: 0.8515948, DIVERSITY_HERFINDAHL: 0.9851404, COVERAGE_ITEM: 0.1278724, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0965102, SHANNON_ENTROPY: 7.2477883, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 287, 'shrink': 1807, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0805668, PRECISION: 0.0120171, PRECISION_RECALL_MIN_DEN: 0.0400569, RECALL: 0.0400569, MAP: 0.0207293, MRR: 0.0592466, NDCG: 0.0350409, F1: 0.0184878, HIT_RATE: 0.1201707, ARHR: 0.0606892, RMSE: 0.9926850, NOVELTY: 0.0053946, AVERAGE_POPULARITY: 0.4828118, DIVERSITY_MEAN_INTER_LIST: 0.8540220, DIVERSITY_HERFINDAHL: 0.9853830, COVERAGE_ITEM: 0.1315491, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0977019, SHANNON_ENTROPY: 7.2849045, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 34, 'shrink': 1229, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0852136, PRECISION: 0.0125786, PRECISION_RECALL_MIN_DEN: 0.0419287, RECALL: 0.0419287, MAP: 0.0224921, MRR: 0.0638164, NDCG: 0.0374390, F1: 0.0193517, HIT_RATE: 0.1257862, ARHR: 0.0656183, RMSE: 0.9955350, NOVELTY: 0.0056853, AVERAGE_POPULARITY: 0.3486823, DIVERSITY_MEAN_INTER_LIST: 0.9140205, DIVERSITY_HERFINDAHL: 0.9913815, COVERAGE_ITEM: 0.2127061, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1542876, SHANNON_ENTROPY: 8.6380200, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 499, 'shrink': 1995, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0746098, PRECISION: 0.0114106, PRECISION_RECALL_MIN_DEN: 0.0380353, RECALL: 0.0380353, MAP: 0.0198616, MRR: 0.0565584, NDCG: 0.0333760, F1: 0.0175548, HIT_RATE: 0.1141060, ARHR: 0.0580435, RMSE: 0.9923019, NOVELTY: 0.0053398, AVERAGE_POPULARITY: 0.5126996, DIVERSITY_MEAN_INTER_LIST: 0.8286030, DIVERSITY_HERFINDAHL: 0.9828417, COVERAGE_ITEM: 0.1113815, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0863168, SHANNON_ENTROPY: 6.9358014, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0889588, PRECISION: 0.0132300, PRECISION_RECALL_MIN_DEN: 0.0441000, RECALL: 0.0441000, MAP: 0.0234356, MRR: 0.0665134, NDCG: 0.0391392, F1: 0.0203539, HIT_RATE: 0.1323001, ARHR: 0.0683820, RMSE: 0.9975193, NOVELTY: 0.0059564, AVERAGE_POPULARITY: 0.2519368, DIVERSITY_MEAN_INTER_LIST: 0.9163972, DIVERSITY_HERFINDAHL: 0.9916191, COVERAGE_ITEM: 0.2386050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931055, SHANNON_ENTROPY: 9.1845162, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 498, 'shrink': 1018, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0780820, PRECISION: 0.0115454, PRECISION_RECALL_MIN_DEN: 0.0384846, RECALL: 0.0384846, MAP: 0.0207568, MRR: 0.0590469, NDCG: 0.0344928, F1: 0.0177621, HIT_RATE: 0.1154537, ARHR: 0.0606306, RMSE: 0.9873689, NOVELTY: 0.0053696, AVERAGE_POPULARITY: 0.4936507, DIVERSITY_MEAN_INTER_LIST: 0.8448989, DIVERSITY_HERFINDAHL: 0.9844709, COVERAGE_ITEM: 0.1159232, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0924934, SHANNON_ENTROPY: 7.1321945, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 7, 'shrink': 1998, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0859436, PRECISION: 0.0128257, PRECISION_RECALL_MIN_DEN: 0.0427523, RECALL: 0.0427523, MAP: 0.0225545, MRR: 0.0639237, NDCG: 0.0377461, F1: 0.0197318, HIT_RATE: 0.1282570, ARHR: 0.0657654, RMSE: 0.9983188, NOVELTY: 0.0059124, AVERAGE_POPULARITY: 0.2720291, DIVERSITY_MEAN_INTER_LIST: 0.9173271, DIVERSITY_HERFINDAHL: 0.9917121, COVERAGE_ITEM: 0.2406056, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1864729, SHANNON_ENTROPY: 9.1051222, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 499, 'shrink': 1003, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0783316, PRECISION: 0.0115903, PRECISION_RECALL_MIN_DEN: 0.0386343, RECALL: 0.0386343, MAP: 0.0207822, MRR: 0.0591232, NDCG: 0.0345698, F1: 0.0178312, HIT_RATE: 0.1159030, ARHR: 0.0607068, RMSE: 0.9872371, NOVELTY: 0.0053703, AVERAGE_POPULARITY: 0.4931942, DIVERSITY_MEAN_INTER_LIST: 0.8452633, DIVERSITY_HERFINDAHL: 0.9845073, COVERAGE_ITEM: 0.1161395, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0925988, SHANNON_ENTROPY: 7.1366737, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 6, 'shrink': 1995, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0872180, PRECISION: 0.0129155, PRECISION_RECALL_MIN_DEN: 0.0430518, RECALL: 0.0430518, MAP: 0.0226954, MRR: 0.0643543, NDCG: 0.0380178, F1: 0.0198701, HIT_RATE: 0.1291554, ARHR: 0.0661922, RMSE: 0.9983950, NOVELTY: 0.0059351, AVERAGE_POPULARITY: 0.2646193, DIVERSITY_MEAN_INTER_LIST: 0.9165058, DIVERSITY_HERFINDAHL: 0.9916300, COVERAGE_ITEM: 0.2433631, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1897222, SHANNON_ENTROPY: 9.1376780, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 499, 'shrink': 1974, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0747096, PRECISION: 0.0114106, PRECISION_RECALL_MIN_DEN: 0.0380353, RECALL: 0.0380353, MAP: 0.0198687, MRR: 0.0565797, NDCG: 0.0333855, F1: 0.0175548, HIT_RATE: 0.1141060, ARHR: 0.0580648, RMSE: 0.9922371, NOVELTY: 0.0053401, AVERAGE_POPULARITY: 0.5124989, DIVERSITY_MEAN_INTER_LIST: 0.8287986, DIVERSITY_HERFINDAHL: 0.9828612, COVERAGE_ITEM: 0.1113815, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0863901, SHANNON_ENTROPY: 6.9378867, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 6, 'shrink': 1004, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0880510, PRECISION: 0.0134097, PRECISION_RECALL_MIN_DEN: 0.0446990, RECALL: 0.0446990, MAP: 0.0232326, MRR: 0.0656922, NDCG: 0.0390594, F1: 0.0206303, HIT_RATE: 0.1340970, ARHR: 0.0676668, RMSE: 0.9973956, NOVELTY: 0.0059283, AVERAGE_POPULARITY: 0.2600288, DIVERSITY_MEAN_INTER_LIST: 0.9177138, DIVERSITY_HERFINDAHL: 0.9917508, COVERAGE_ITEM: 0.2354150, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1895328, SHANNON_ENTROPY: 9.1483212, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0889588, PRECISION: 0.0132300, PRECISION_RECALL_MIN_DEN: 0.0441000, RECALL: 0.0441000, MAP: 0.0234356, MRR: 0.0665134, NDCG: 0.0391392, F1: 0.0203539, HIT_RATE: 0.1323001, ARHR: 0.0683820, RMSE: 0.9975193, NOVELTY: 0.0059564, AVERAGE_POPULARITY: 0.2519368, DIVERSITY_MEAN_INTER_LIST: 0.9163972, DIVERSITY_HERFINDAHL: 0.9916191, COVERAGE_ITEM: 0.2386050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931055, SHANNON_ENTROPY: 9.1845162, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0889588, PRECISION: 0.0132300, PRECISION_RECALL_MIN_DEN: 0.0441000, RECALL: 0.0441000, MAP: 0.0234356, MRR: 0.0665134, NDCG: 0.0391392, F1: 0.0203539, HIT_RATE: 0.1323001, ARHR: 0.0683820, RMSE: 0.9975193, NOVELTY: 0.0059564, AVERAGE_POPULARITY: 0.2519368, DIVERSITY_MEAN_INTER_LIST: 0.9163972, DIVERSITY_HERFINDAHL: 0.9916191, COVERAGE_ITEM: 0.2386050, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931055, SHANNON_ENTROPY: 9.1845162, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 5, 'shrink': 1986, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0869934, PRECISION: 0.0127808, PRECISION_RECALL_MIN_DEN: 0.0426026, RECALL: 0.0426026, MAP: 0.0226613, MRR: 0.0643997, NDCG: 0.0378615, F1: 0.0196627, HIT_RATE: 0.1278077, ARHR: 0.0661638, RMSE: 0.9984887, NOVELTY: 0.0059656, AVERAGE_POPULARITY: 0.2559542, DIVERSITY_MEAN_INTER_LIST: 0.9151808, DIVERSITY_HERFINDAHL: 0.9914975, COVERAGE_ITEM: 0.2466613, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1931325, SHANNON_ENTROPY: 9.1724168, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 493, 'shrink': 1005, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0784096, PRECISION: 0.0115678, PRECISION_RECALL_MIN_DEN: 0.0385594, RECALL: 0.0385594, MAP: 0.0208820, MRR: 0.0594177, NDCG: 0.0346499, F1: 0.0177967, HIT_RATE: 0.1156783, ARHR: 0.0610038, RMSE: 0.9872897, NOVELTY: 0.0053711, AVERAGE_POPULARITY: 0.4925530, DIVERSITY_MEAN_INTER_LIST: 0.8458518, DIVERSITY_HERFINDAHL: 0.9845662, COVERAGE_ITEM: 0.1162476, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0928137, SHANNON_ENTROPY: 7.1433109, 
