SearchBayesianSkopt: New best config found. Config 0: {'topK': 188, 'shrink': 1540, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5002989218874392, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0801670, PRECISION: 0.0122103, PRECISION_RECALL_MIN_DEN: 0.0407010, RECALL: 0.0407010, MAP: 0.0218825, MRR: 0.0607673, NDCG: 0.0361288, F1: 0.0187851, HIT_RATE: 0.1221031, ARHR: 0.0631474, RMSE: 0.9907132, NOVELTY: 0.0054728, AVERAGE_POPULARITY: 0.4394055, DIVERSITY_MEAN_INTER_LIST: 0.8840717, DIVERSITY_HERFINDAHL: 0.9883919, COVERAGE_ITEM: 0.1960530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1056896, SHANNON_ENTROPY: 7.8279459, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 455, 'shrink': 1171, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.7235778587714093, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0533201, PRECISION: 0.0079384, PRECISION_RECALL_MIN_DEN: 0.0264614, RECALL: 0.0264614, MAP: 0.0140989, MRR: 0.0396477, NDCG: 0.0234590, F1: 0.0122130, HIT_RATE: 0.0793843, ARHR: 0.0409362, RMSE: 0.9876552, NOVELTY: 0.0065051, AVERAGE_POPULARITY: 0.0315275, DIVERSITY_MEAN_INTER_LIST: 0.9451820, DIVERSITY_HERFINDAHL: 0.9945019, COVERAGE_ITEM: 0.7706407, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4552321, SHANNON_ENTROPY: 11.7963482, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 89, 'shrink': 1803, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.2421665966832662, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0745125, PRECISION: 0.0111380, PRECISION_RECALL_MIN_DEN: 0.0371267, RECALL: 0.0371267, MAP: 0.0193079, MRR: 0.0539135, NDCG: 0.0323778, F1: 0.0171354, HIT_RATE: 0.1113801, ARHR: 0.0558603, RMSE: 0.9442751, NOVELTY: 0.0063959, AVERAGE_POPULARITY: 0.1124934, DIVERSITY_MEAN_INTER_LIST: 0.9408274, DIVERSITY_HERFINDAHL: 0.9940665, COVERAGE_ITEM: 0.3505812, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2427077, SHANNON_ENTROPY: 10.1524457, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 259, 'shrink': 1840, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3510005012668629, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0512218, PRECISION: 0.0073504, PRECISION_RECALL_MIN_DEN: 0.0245013, RECALL: 0.0245013, MAP: 0.0132493, MRR: 0.0373021, NDCG: 0.0219670, F1: 0.0113083, HIT_RATE: 0.0735040, ARHR: 0.0384889, RMSE: 0.9934315, NOVELTY: 0.0065762, AVERAGE_POPULARITY: 0.0283964, DIVERSITY_MEAN_INTER_LIST: 0.9452342, DIVERSITY_HERFINDAHL: 0.9945071, COVERAGE_ITEM: 0.7627467, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4619177, SHANNON_ENTROPY: 11.8096665, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 186, 'shrink': 1051, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.4200729429731257, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0774048, PRECISION: 0.0119855, PRECISION_RECALL_MIN_DEN: 0.0399516, RECALL: 0.0399516, MAP: 0.0205744, MRR: 0.0579654, NDCG: 0.0346457, F1: 0.0184392, HIT_RATE: 0.1198547, ARHR: 0.0597959, RMSE: 0.9881177, NOVELTY: 0.0054164, AVERAGE_POPULARITY: 0.4767706, DIVERSITY_MEAN_INTER_LIST: 0.8650415, DIVERSITY_HERFINDAHL: 0.9864892, COVERAGE_ITEM: 0.1711814, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0955523, SHANNON_ENTROPY: 7.4909266, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0672589, PRECISION: 0.0104116, PRECISION_RECALL_MIN_DEN: 0.0347054, RECALL: 0.0347054, MAP: 0.0180131, MRR: 0.0505292, NDCG: 0.0302015, F1: 0.0160179, HIT_RATE: 0.1041162, ARHR: 0.0522407, RMSE: 0.9912345, NOVELTY: 0.0053127, AVERAGE_POPULARITY: 0.5453832, DIVERSITY_MEAN_INTER_LIST: 0.8043193, DIVERSITY_HERFINDAHL: 0.9804180, COVERAGE_ITEM: 0.1163558, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0728306, SHANNON_ENTROPY: 6.6909317, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 497, 'shrink': 1004, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9629711874353961, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0416502, PRECISION: 0.0062435, PRECISION_RECALL_MIN_DEN: 0.0208117, RECALL: 0.0208117, MAP: 0.0104103, MRR: 0.0294380, NDCG: 0.0177881, F1: 0.0096054, HIT_RATE: 0.0624351, ARHR: 0.0303128, RMSE: 0.8735121, NOVELTY: 0.0065442, AVERAGE_POPULARITY: 0.0747306, DIVERSITY_MEAN_INTER_LIST: 0.9388337, DIVERSITY_HERFINDAHL: 0.9938671, COVERAGE_ITEM: 0.3437145, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2235091, SHANNON_ENTROPY: 9.9577279, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 2000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0816788, PRECISION: 0.0124697, PRECISION_RECALL_MIN_DEN: 0.0415658, RECALL: 0.0415658, MAP: 0.0215326, MRR: 0.0604557, NDCG: 0.0361668, F1: 0.0191842, HIT_RATE: 0.1246973, ARHR: 0.0624928, RMSE: 0.9983375, NOVELTY: 0.0059354, AVERAGE_POPULARITY: 0.2698162, DIVERSITY_MEAN_INTER_LIST: 0.9191015, DIVERSITY_HERFINDAHL: 0.9918943, COVERAGE_ITEM: 0.2758043, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1761863, SHANNON_ENTROPY: 9.1823862, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 2.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0758966, PRECISION: 0.0112764, PRECISION_RECALL_MIN_DEN: 0.0375879, RECALL: 0.0375879, MAP: 0.0203953, MRR: 0.0572208, NDCG: 0.0336821, F1: 0.0173483, HIT_RATE: 0.1127637, ARHR: 0.0591673, RMSE: 0.9968869, NOVELTY: 0.0059013, AVERAGE_POPULARITY: 0.2351037, DIVERSITY_MEAN_INTER_LIST: 0.9193607, DIVERSITY_HERFINDAHL: 0.9919202, COVERAGE_ITEM: 0.3004596, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1864883, SHANNON_ENTROPY: 9.3538426, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 9, 'shrink': 1016, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.08285766734111323, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0698902, PRECISION: 0.0111899, PRECISION_RECALL_MIN_DEN: 0.0372997, RECALL: 0.0372997, MAP: 0.0179935, MRR: 0.0498820, NDCG: 0.0309455, F1: 0.0172152, HIT_RATE: 0.1118990, ARHR: 0.0518866, RMSE: 0.9956740, NOVELTY: 0.0062856, AVERAGE_POPULARITY: 0.0584657, DIVERSITY_MEAN_INTER_LIST: 0.8937016, DIVERSITY_HERFINDAHL: 0.9893547, COVERAGE_ITEM: 0.5782644, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3345498, SHANNON_ENTROPY: 10.5121656, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 6, 'shrink': 1914, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8147994221116963, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0778809, PRECISION: 0.0117260, PRECISION_RECALL_MIN_DEN: 0.0390868, RECALL: 0.0390868, MAP: 0.0207143, MRR: 0.0582009, NDCG: 0.0345170, F1: 0.0180401, HIT_RATE: 0.1172605, ARHR: 0.0601359, RMSE: 0.9980859, NOVELTY: 0.0058561, AVERAGE_POPULARITY: 0.2573135, DIVERSITY_MEAN_INTER_LIST: 0.9191103, DIVERSITY_HERFINDAHL: 0.9918951, COVERAGE_ITEM: 0.2983509, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1787812, SHANNON_ENTROPY: 9.2515677, 
