SearchBayesianSkopt: New best config found. Config 0: {'topK': 244, 'shrink': 1597, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0528216, PRECISION: 0.0076271, PRECISION_RECALL_MIN_DEN: 0.0254237, RECALL: 0.0254237, MAP: 0.0137973, MRR: 0.0388914, NDCG: 0.0228482, F1: 0.0117340, HIT_RATE: 0.0762712, ARHR: 0.0401056, RMSE: 0.9927462, NOVELTY: 0.0066735, AVERAGE_POPULARITY: 0.0297661, DIVERSITY_MEAN_INTER_LIST: 0.9451931, DIVERSITY_HERFINDAHL: 0.9945030, COVERAGE_ITEM: 0.7637740, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4575032, SHANNON_ENTROPY: 11.7944807, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 194, 'shrink': 1931, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0765184, PRECISION: 0.0117779, PRECISION_RECALL_MIN_DEN: 0.0392598, RECALL: 0.0392598, MAP: 0.0201647, MRR: 0.0566510, NDCG: 0.0339775, F1: 0.0181199, HIT_RATE: 0.1177793, ARHR: 0.0585241, RMSE: 0.9927357, NOVELTY: 0.0054025, AVERAGE_POPULARITY: 0.4853447, DIVERSITY_MEAN_INTER_LIST: 0.8578770, DIVERSITY_HERFINDAHL: 0.9857729, COVERAGE_ITEM: 0.1696675, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0935526, SHANNON_ENTROPY: 7.4059786, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 113, 'shrink': 1032, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0793443, PRECISION: 0.0120719, PRECISION_RECALL_MIN_DEN: 0.0402398, RECALL: 0.0402398, MAP: 0.0209455, MRR: 0.0585167, NDCG: 0.0350841, F1: 0.0185722, HIT_RATE: 0.1207195, ARHR: 0.0606185, RMSE: 1.0734270, NOVELTY: 0.0054880, AVERAGE_POPULARITY: 0.4586248, DIVERSITY_MEAN_INTER_LIST: 0.8765869, DIVERSITY_HERFINDAHL: 0.9876435, COVERAGE_ITEM: 0.1865910, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1065209, SHANNON_ENTROPY: 7.7280691, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 388, 'shrink': 1115, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0515810, PRECISION: 0.0075579, PRECISION_RECALL_MIN_DEN: 0.0251931, RECALL: 0.0251931, MAP: 0.0133192, MRR: 0.0375651, NDCG: 0.0222621, F1: 0.0116276, HIT_RATE: 0.0755794, ARHR: 0.0387253, RMSE: 0.9840129, NOVELTY: 0.0070144, AVERAGE_POPULARITY: 0.0282059, DIVERSITY_MEAN_INTER_LIST: 0.9450755, DIVERSITY_HERFINDAHL: 0.9944912, COVERAGE_ITEM: 0.7172749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4358427, SHANNON_ENTROPY: 11.6871950, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 199, 'shrink': 1221, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0522812, PRECISION: 0.0076617, PRECISION_RECALL_MIN_DEN: 0.0255390, RECALL: 0.0255390, MAP: 0.0134940, MRR: 0.0381048, NDCG: 0.0225723, F1: 0.0117872, HIT_RATE: 0.0766171, ARHR: 0.0392574, RMSE: 0.9891485, NOVELTY: 0.0069871, AVERAGE_POPULARITY: 0.0281621, DIVERSITY_MEAN_INTER_LIST: 0.9451281, DIVERSITY_HERFINDAHL: 0.9944965, COVERAGE_ITEM: 0.7426331, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4464185, SHANNON_ENTROPY: 11.7472219, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 500, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0904782, PRECISION: 0.0141128, PRECISION_RECALL_MIN_DEN: 0.0470425, RECALL: 0.0470425, MAP: 0.0246293, MRR: 0.0676233, NDCG: 0.0409314, F1: 0.0217119, HIT_RATE: 0.1411276, ARHR: 0.0706771, RMSE: 0.9427258, NOVELTY: 0.0056283, AVERAGE_POPULARITY: 0.3830349, DIVERSITY_MEAN_INTER_LIST: 0.9072417, DIVERSITY_HERFINDAHL: 0.9907085, COVERAGE_ITEM: 0.2144363, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1309990, SHANNON_ENTROPY: 8.3920525, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0707404, PRECISION: 0.0112418, PRECISION_RECALL_MIN_DEN: 0.0374726, RECALL: 0.0374726, MAP: 0.0190000, MRR: 0.0530563, NDCG: 0.0320855, F1: 0.0172951, HIT_RATE: 0.1124178, ARHR: 0.0549819, RMSE: 0.9577264, NOVELTY: 0.0053177, AVERAGE_POPULARITY: 0.5414716, DIVERSITY_MEAN_INTER_LIST: 0.8142343, DIVERSITY_HERFINDAHL: 0.9814093, COVERAGE_ITEM: 0.1190051, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0748297, SHANNON_ENTROPY: 6.7715163, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0705372, PRECISION: 0.0110688, PRECISION_RECALL_MIN_DEN: 0.0368961, RECALL: 0.0368961, MAP: 0.0189868, MRR: 0.0532376, NDCG: 0.0319200, F1: 0.0170290, HIT_RATE: 0.1106883, ARHR: 0.0550506, RMSE: 0.9840158, NOVELTY: 0.0053231, AVERAGE_POPULARITY: 0.5268369, DIVERSITY_MEAN_INTER_LIST: 0.8236661, DIVERSITY_HERFINDAHL: 0.9823524, COVERAGE_ITEM: 0.1302514, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0764804, SHANNON_ENTROPY: 6.8925259, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 2000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0982733, PRECISION: 0.0155655, PRECISION_RECALL_MIN_DEN: 0.0518852, RECALL: 0.0518852, MAP: 0.0258851, MRR: 0.0711792, NDCG: 0.0438412, F1: 0.0239470, HIT_RATE: 0.1556555, ARHR: 0.0743192, RMSE: 0.9879789, NOVELTY: 0.0061401, AVERAGE_POPULARITY: 0.1965503, DIVERSITY_MEAN_INTER_LIST: 0.9306321, DIVERSITY_HERFINDAHL: 0.9930471, COVERAGE_ITEM: 0.3039740, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2099761, SHANNON_ENTROPY: 9.7186968, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 9, 'shrink': 1995, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0777248, PRECISION: 0.0117088, PRECISION_RECALL_MIN_DEN: 0.0390292, RECALL: 0.0390292, MAP: 0.0208786, MRR: 0.0582020, NDCG: 0.0345865, F1: 0.0180135, HIT_RATE: 0.1170875, ARHR: 0.0603752, RMSE: 0.9975924, NOVELTY: 0.0058690, AVERAGE_POPULARITY: 0.2969301, DIVERSITY_MEAN_INTER_LIST: 0.9240119, DIVERSITY_HERFINDAHL: 0.9923852, COVERAGE_ITEM: 0.3203028, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1703572, SHANNON_ENTROPY: 9.1938862, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 6, 'shrink': 1052, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0993392, PRECISION: 0.0158423, PRECISION_RECALL_MIN_DEN: 0.0528076, RECALL: 0.0528076, MAP: 0.0265010, MRR: 0.0723194, NDCG: 0.0446680, F1: 0.0243727, HIT_RATE: 0.1584227, ARHR: 0.0757919, RMSE: 0.9860415, NOVELTY: 0.0062225, AVERAGE_POPULARITY: 0.1818357, DIVERSITY_MEAN_INTER_LIST: 0.9304213, DIVERSITY_HERFINDAHL: 0.9930260, COVERAGE_ITEM: 0.3456069, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2179704, SHANNON_ENTROPY: 9.8602752, 
