SearchBayesianSkopt: New best config found. Config 0: {'topK': 456, 'shrink': 1817, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.9072738234689985, 'tversky_beta': 0.19502866040108519} - results: ROC_AUC: 0.0724951, PRECISION: 0.0111034, PRECISION_RECALL_MIN_DEN: 0.0370114, RECALL: 0.0370114, MAP: 0.0192718, MRR: 0.0540965, NDCG: 0.0322969, F1: 0.0170822, HIT_RATE: 0.1110342, ARHR: 0.0559096, RMSE: 0.9906203, NOVELTY: 0.0053386, AVERAGE_POPULARITY: 0.5176508, DIVERSITY_MEAN_INTER_LIST: 0.8317658, DIVERSITY_HERFINDAHL: 0.9831622, COVERAGE_ITEM: 0.1350095, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0793836, SHANNON_ENTROPY: 6.9926608, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 400, 'shrink': 1898, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.21229604526021212, 'tversky_beta': 1.819078434892423} - results: ROC_AUC: 0.0714212, PRECISION: 0.0112418, PRECISION_RECALL_MIN_DEN: 0.0374726, RECALL: 0.0374726, MAP: 0.0190693, MRR: 0.0533369, NDCG: 0.0321800, F1: 0.0172951, HIT_RATE: 0.1124178, ARHR: 0.0552240, RMSE: 0.9921506, NOVELTY: 0.0053285, AVERAGE_POPULARITY: 0.5263258, DIVERSITY_MEAN_INTER_LIST: 0.8238182, DIVERSITY_HERFINDAHL: 0.9823676, COVERAGE_ITEM: 0.1370100, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0785291, SHANNON_ENTROPY: 6.9231942, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 98, 'shrink': 1725, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.5997691915032234, 'tversky_beta': 0.8625670991472729} - results: ROC_AUC: 0.0806282, PRECISION: 0.0121238, PRECISION_RECALL_MIN_DEN: 0.0404128, RECALL: 0.0404128, MAP: 0.0212655, MRR: 0.0594910, NDCG: 0.0354960, F1: 0.0186521, HIT_RATE: 0.1212383, ARHR: 0.0615839, RMSE: 0.9940366, NOVELTY: 0.0055012, AVERAGE_POPULARITY: 0.4352428, DIVERSITY_MEAN_INTER_LIST: 0.8880695, DIVERSITY_HERFINDAHL: 0.9887916, COVERAGE_ITEM: 0.2004866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1122596, SHANNON_ENTROPY: 7.9394585, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 365, 'shrink': 1139, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.36666287680454485, 'tversky_beta': 0.7182587690947161} - results: ROC_AUC: 0.0733249, PRECISION: 0.0113974, PRECISION_RECALL_MIN_DEN: 0.0379915, RECALL: 0.0379915, MAP: 0.0195730, MRR: 0.0546390, NDCG: 0.0328730, F1: 0.0175345, HIT_RATE: 0.1139744, ARHR: 0.0566306, RMSE: 0.9870149, NOVELTY: 0.0053485, AVERAGE_POPULARITY: 0.5146505, DIVERSITY_MEAN_INTER_LIST: 0.8341911, DIVERSITY_HERFINDAHL: 0.9834047, COVERAGE_ITEM: 0.1437686, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0818123, SHANNON_ENTROPY: 7.0516579, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 59, 'shrink': 1734, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7732344906273336, 'tversky_beta': 1.5497543592245306} - results: ROC_AUC: 0.0816021, PRECISION: 0.0122449, PRECISION_RECALL_MIN_DEN: 0.0408163, RECALL: 0.0408163, MAP: 0.0215857, MRR: 0.0599867, NDCG: 0.0359107, F1: 0.0188383, HIT_RATE: 0.1224490, ARHR: 0.0623235, RMSE: 0.9956495, NOVELTY: 0.0055732, AVERAGE_POPULARITY: 0.3986607, DIVERSITY_MEAN_INTER_LIST: 0.9044016, DIVERSITY_HERFINDAHL: 0.9904245, COVERAGE_ITEM: 0.2186537, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1253385, SHANNON_ENTROPY: 8.2940275, 
SearchBayesianSkopt: New best config found. Config 5: {'topK': 14, 'shrink': 1011, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.935859693037419, 'tversky_beta': 1.7357616742392672} - results: ROC_AUC: 0.0845553, PRECISION: 0.0131615, PRECISION_RECALL_MIN_DEN: 0.0438718, RECALL: 0.0438718, MAP: 0.0225847, MRR: 0.0629897, NDCG: 0.0379320, F1: 0.0202485, HIT_RATE: 0.1316154, ARHR: 0.0653263, RMSE: 0.9970504, NOVELTY: 0.0058208, AVERAGE_POPULARITY: 0.2938652, DIVERSITY_MEAN_INTER_LIST: 0.9268155, DIVERSITY_HERFINDAHL: 0.9926655, COVERAGE_ITEM: 0.2530414, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1631027, SHANNON_ENTROPY: 9.0881378, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 498, 'shrink': 1032, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.7652223888839558, 'tversky_beta': 0.06517437139006367} - results: ROC_AUC: 0.0783049, PRECISION: 0.0119336, PRECISION_RECALL_MIN_DEN: 0.0397786, RECALL: 0.0397786, MAP: 0.0213662, MRR: 0.0594986, NDCG: 0.0353113, F1: 0.0183594, HIT_RATE: 0.1193359, ARHR: 0.0617518, RMSE: 0.9860823, NOVELTY: 0.0054155, AVERAGE_POPULARITY: 0.4671827, DIVERSITY_MEAN_INTER_LIST: 0.8701292, DIVERSITY_HERFINDAHL: 0.9869979, COVERAGE_ITEM: 0.1426872, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0932360, SHANNON_ENTROPY: 7.4688495, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0882228, PRECISION: 0.0137150, PRECISION_RECALL_MIN_DEN: 0.0457166, RECALL: 0.0457166, MAP: 0.0233787, MRR: 0.0652662, NDCG: 0.0393783, F1: 0.0211000, HIT_RATE: 0.1371498, ARHR: 0.0676370, RMSE: 0.9979703, NOVELTY: 0.0059467, AVERAGE_POPULARITY: 0.2522024, DIVERSITY_MEAN_INTER_LIST: 0.9237003, DIVERSITY_HERFINDAHL: 0.9923541, COVERAGE_ITEM: 0.2620168, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1804389, SHANNON_ENTROPY: 9.2848646, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 108, 'shrink': 1981, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9789417632182886, 'tversky_beta': 0.03846986939885456} - results: ROC_AUC: 0.0810330, PRECISION: 0.0123141, PRECISION_RECALL_MIN_DEN: 0.0410469, RECALL: 0.0410469, MAP: 0.0217117, MRR: 0.0604930, NDCG: 0.0361182, F1: 0.0189447, HIT_RATE: 0.1231408, ARHR: 0.0627539, RMSE: 0.9945474, NOVELTY: 0.0055242, AVERAGE_POPULARITY: 0.4162627, DIVERSITY_MEAN_INTER_LIST: 0.8974193, DIVERSITY_HERFINDAHL: 0.9897264, COVERAGE_ITEM: 0.1979454, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1158145, SHANNON_ENTROPY: 8.0782390, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 6, 'shrink': 1003, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.17042077220755172, 'tversky_beta': 0.052663838648398645} - results: ROC_AUC: 0.0796586, PRECISION: 0.0120374, PRECISION_RECALL_MIN_DEN: 0.0401245, RECALL: 0.0401245, MAP: 0.0210775, MRR: 0.0589841, NDCG: 0.0351945, F1: 0.0185190, HIT_RATE: 0.1203736, ARHR: 0.0610743, RMSE: 0.9963420, NOVELTY: 0.0059280, AVERAGE_POPULARITY: 0.2748663, DIVERSITY_MEAN_INTER_LIST: 0.9204753, DIVERSITY_HERFINDAHL: 0.9920316, COVERAGE_ITEM: 0.2805623, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1761289, SHANNON_ENTROPY: 9.1884533, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0882228, PRECISION: 0.0137150, PRECISION_RECALL_MIN_DEN: 0.0457166, RECALL: 0.0457166, MAP: 0.0233787, MRR: 0.0652662, NDCG: 0.0393783, F1: 0.0211000, HIT_RATE: 0.1371498, ARHR: 0.0676370, RMSE: 0.9979703, NOVELTY: 0.0059467, AVERAGE_POPULARITY: 0.2522024, DIVERSITY_MEAN_INTER_LIST: 0.9237003, DIVERSITY_HERFINDAHL: 0.9923541, COVERAGE_ITEM: 0.2620168, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1804389, SHANNON_ENTROPY: 9.2848646, 
