SearchBayesianSkopt: New best config found. Config 0: {'topK': 429, 'shrink': 942, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.5441580717371421, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0943289, PRECISION: 0.0147821, PRECISION_RECALL_MIN_DEN: 0.0492736, RECALL: 0.0492736, MAP: 0.0252038, MRR: 0.0692342, NDCG: 0.0422662, F1: 0.0227417, HIT_RATE: 0.1478208, ARHR: 0.0723695, RMSE: 0.9958682, NOVELTY: 0.0057348, AVERAGE_POPULARITY: 0.3545178, DIVERSITY_MEAN_INTER_LIST: 0.9743991, DIVERSITY_HERFINDAHL: 0.9974102, COVERAGE_ITEM: 0.2956475, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2580944, SHANNON_ENTROPY: 10.2200755, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 460, 'shrink': 456, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.8593129914144664, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0882946, PRECISION: 0.0131972, PRECISION_RECALL_MIN_DEN: 0.0439907, RECALL: 0.0439907, MAP: 0.0240742, MRR: 0.0669773, NDCG: 0.0395550, F1: 0.0203034, HIT_RATE: 0.1319720, ARHR: 0.0695999, RMSE: 0.9927857, NOVELTY: 0.0060412, AVERAGE_POPULARITY: 0.2340077, DIVERSITY_MEAN_INTER_LIST: 0.9897410, DIVERSITY_HERFINDAHL: 0.9989439, COVERAGE_ITEM: 0.3224655, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3142211, SHANNON_ENTROPY: 11.0132456, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 364, 'shrink': 624, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9360447514752857, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0384622, PRECISION: 0.0053642, PRECISION_RECALL_MIN_DEN: 0.0178807, RECALL: 0.0178807, MAP: 0.0101751, MRR: 0.0294495, NDCG: 0.0166987, F1: 0.0082526, HIT_RATE: 0.0536422, ARHR: 0.0299875, RMSE: 0.9614440, NOVELTY: 0.0072519, AVERAGE_POPULARITY: 0.0448673, DIVERSITY_MEAN_INTER_LIST: 0.9975081, DIVERSITY_HERFINDAHL: 0.9997204, COVERAGE_ITEM: 0.5268992, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4908969, SHANNON_ENTROPY: 12.5267608, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 131, 'shrink': 45, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.6754780471912695, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0428595, PRECISION: 0.0059128, PRECISION_RECALL_MIN_DEN: 0.0197094, RECALL: 0.0197094, MAP: 0.0117109, MRR: 0.0335207, NDCG: 0.0188545, F1: 0.0090967, HIT_RATE: 0.0591283, ARHR: 0.0343114, RMSE: 0.9838354, NOVELTY: 0.0038237, AVERAGE_POPULARITY: 0.0197850, DIVERSITY_MEAN_INTER_LIST: 0.9980413, DIVERSITY_HERFINDAHL: 0.9997737, COVERAGE_ITEM: 0.4879157, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5269949, SHANNON_ENTROPY: 12.5789214, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 911, 'shrink': 569, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.38103998044822884, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0920112, PRECISION: 0.0146906, PRECISION_RECALL_MIN_DEN: 0.0489688, RECALL: 0.0489688, MAP: 0.0233067, MRR: 0.0649583, NDCG: 0.0403844, F1: 0.0226010, HIT_RATE: 0.1469064, ARHR: 0.0674393, RMSE: 0.9934965, NOVELTY: 0.0054077, AVERAGE_POPULARITY: 0.5268409, DIVERSITY_MEAN_INTER_LIST: 0.9080102, DIVERSITY_HERFINDAHL: 0.9907733, COVERAGE_ITEM: 0.2104893, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1723460, SHANNON_ENTROPY: 8.5810789, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1498, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.1194702276514764, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0803992, PRECISION: 0.0107894, PRECISION_RECALL_MIN_DEN: 0.0359646, RECALL: 0.0359646, MAP: 0.0222211, MRR: 0.0615616, NDCG: 0.0350443, F1: 0.0165991, HIT_RATE: 0.1078939, ARHR: 0.0640906, RMSE: 0.9990908, NOVELTY: 0.0070003, AVERAGE_POPULARITY: 0.1403341, DIVERSITY_MEAN_INTER_LIST: 0.9585951, DIVERSITY_HERFINDAHL: 0.9958303, COVERAGE_ITEM: 0.3678832, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3712478, SHANNON_ENTROPY: 10.9090709, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 885, 'shrink': 0, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.9282351844550096, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0009482, PRECISION: 0.0002743, PRECISION_RECALL_MIN_DEN: 0.0009144, RECALL: 0.0009144, MAP: 0.0001898, MRR: 0.0005693, NDCG: 0.0004947, F1: 0.0004220, HIT_RATE: 0.0027431, ARHR: 0.0005693, RMSE: 1.0877575, NOVELTY: 0.0027920, AVERAGE_POPULARITY: 0.0005514, DIVERSITY_MEAN_INTER_LIST: 0.9948335, DIVERSITY_HERFINDAHL: 0.9994530, COVERAGE_ITEM: 0.2798594, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4267820, SHANNON_ENTROPY: 11.4787386, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 525, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0888618, PRECISION: 0.0139896, PRECISION_RECALL_MIN_DEN: 0.0466321, RECALL: 0.0466321, MAP: 0.0229227, MRR: 0.0642480, NDCG: 0.0392645, F1: 0.0215225, HIT_RATE: 0.1398964, ARHR: 0.0665080, RMSE: 0.9972182, NOVELTY: 0.0055248, AVERAGE_POPULARITY: 0.5203388, DIVERSITY_MEAN_INTER_LIST: 0.9090603, DIVERSITY_HERFINDAHL: 0.9908783, COVERAGE_ITEM: 0.2023250, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1811619, SHANNON_ENTROPY: 8.6764133, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0811971, PRECISION: 0.0110942, PRECISION_RECALL_MIN_DEN: 0.0369806, RECALL: 0.0369806, MAP: 0.0223210, MRR: 0.0619326, NDCG: 0.0354876, F1: 0.0170680, HIT_RATE: 0.1109418, ARHR: 0.0644260, RMSE: 0.9990927, NOVELTY: 0.0069598, AVERAGE_POPULARITY: 0.1433659, DIVERSITY_MEAN_INTER_LIST: 0.9596006, DIVERSITY_HERFINDAHL: 0.9959308, COVERAGE_ITEM: 0.3678291, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3687445, SHANNON_ENTROPY: 10.9147601, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0811971, PRECISION: 0.0110942, PRECISION_RECALL_MIN_DEN: 0.0369806, RECALL: 0.0369806, MAP: 0.0223210, MRR: 0.0619326, NDCG: 0.0354876, F1: 0.0170680, HIT_RATE: 0.1109418, ARHR: 0.0644260, RMSE: 0.9990927, NOVELTY: 0.0069598, AVERAGE_POPULARITY: 0.1433659, DIVERSITY_MEAN_INTER_LIST: 0.9596006, DIVERSITY_HERFINDAHL: 0.9959308, COVERAGE_ITEM: 0.3678291, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3687445, SHANNON_ENTROPY: 10.9147601, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1500, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0811971, PRECISION: 0.0110942, PRECISION_RECALL_MIN_DEN: 0.0369806, RECALL: 0.0369806, MAP: 0.0223210, MRR: 0.0619326, NDCG: 0.0354876, F1: 0.0170680, HIT_RATE: 0.1109418, ARHR: 0.0644260, RMSE: 0.9990927, NOVELTY: 0.0069598, AVERAGE_POPULARITY: 0.1433659, DIVERSITY_MEAN_INTER_LIST: 0.9596006, DIVERSITY_HERFINDAHL: 0.9959308, COVERAGE_ITEM: 0.3678291, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3687445, SHANNON_ENTROPY: 10.9147601, 
