SearchBayesianSkopt: New best config found. Config 0: {'topK': 293, 'shrink': 1416, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0959704, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0266864, MRR: 0.0728199, NDCG: 0.0435367, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0763479, RMSE: 0.9861980, NOVELTY: 0.0062383, AVERAGE_POPULARITY: 0.2628676, DIVERSITY_MEAN_INTER_LIST: 0.9877196, DIVERSITY_HERFINDAHL: 0.9987419, COVERAGE_ITEM: 0.4005948, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3503043, SHANNON_ENTROPY: 11.2754770, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 737, 'shrink': 1115, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0901846, PRECISION: 0.0144773, PRECISION_RECALL_MIN_DEN: 0.0482576, RECALL: 0.0482576, MAP: 0.0231658, MRR: 0.0646540, NDCG: 0.0399993, F1: 0.0222728, HIT_RATE: 0.1447729, ARHR: 0.0670757, RMSE: 0.9962193, NOVELTY: 0.0054276, AVERAGE_POPULARITY: 0.5178065, DIVERSITY_MEAN_INTER_LIST: 0.9115207, DIVERSITY_HERFINDAHL: 0.9911243, COVERAGE_ITEM: 0.2222222, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1801647, SHANNON_ENTROPY: 8.6979234, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 24, 'shrink': 1032, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0664259, PRECISION: 0.0095703, PRECISION_RECALL_MIN_DEN: 0.0319008, RECALL: 0.0319008, MAP: 0.0191962, MRR: 0.0515025, NDCG: 0.0302024, F1: 0.0147235, HIT_RATE: 0.0957025, ARHR: 0.0544884, RMSE: 0.9977752, NOVELTY: 0.0064488, AVERAGE_POPULARITY: 0.0534626, DIVERSITY_MEAN_INTER_LIST: 0.9945771, DIVERSITY_HERFINDAHL: 0.9994274, COVERAGE_ITEM: 0.5494999, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5070130, SHANNON_ENTROPY: 12.5066885, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 453, 'shrink': 1164, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0615488, PRECISION: 0.0087473, PRECISION_RECALL_MIN_DEN: 0.0291578, RECALL: 0.0291578, MAP: 0.0174534, MRR: 0.0476482, NDCG: 0.0276596, F1: 0.0134574, HIT_RATE: 0.0874733, ARHR: 0.0499890, RMSE: 0.9950431, NOVELTY: 0.0072639, AVERAGE_POPULARITY: 0.0388432, DIVERSITY_MEAN_INTER_LIST: 0.9989746, DIVERSITY_HERFINDAHL: 0.9998670, COVERAGE_ITEM: 0.6716951, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.6205476, SHANNON_ENTROPY: 13.2381394, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 534, 'shrink': 108, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0926610, PRECISION: 0.0145992, PRECISION_RECALL_MIN_DEN: 0.0486640, RECALL: 0.0486640, MAP: 0.0238804, MRR: 0.0669578, NDCG: 0.0409510, F1: 0.0224603, HIT_RATE: 0.1459921, ARHR: 0.0692994, RMSE: 2.3401771, NOVELTY: 0.0055488, AVERAGE_POPULARITY: 0.5092020, DIVERSITY_MEAN_INTER_LIST: 0.9188529, DIVERSITY_HERFINDAHL: 0.9918573, COVERAGE_ITEM: 0.2089754, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1868943, SHANNON_ENTROPY: 8.8112240, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0705006, PRECISION: 0.0091131, PRECISION_RECALL_MIN_DEN: 0.0303769, RECALL: 0.0303769, MAP: 0.0202312, MRR: 0.0552654, NDCG: 0.0310073, F1: 0.0140201, HIT_RATE: 0.0911308, ARHR: 0.0579542, RMSE: 0.9940857, NOVELTY: 0.0073522, AVERAGE_POPULARITY: 0.0833007, DIVERSITY_MEAN_INTER_LIST: 0.5058665, DIVERSITY_HERFINDAHL: 0.9505712, COVERAGE_ITEM: 0.1172749, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1036332, SHANNON_ENTROPY: 6.0490260, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0879072, PRECISION: 0.0135020, PRECISION_RECALL_MIN_DEN: 0.0450066, RECALL: 0.0450066, MAP: 0.0224170, MRR: 0.0626835, NDCG: 0.0382320, F1: 0.0207723, HIT_RATE: 0.1350198, ARHR: 0.0649672, RMSE: 0.9964038, NOVELTY: 0.0054234, AVERAGE_POPULARITY: 0.5640685, DIVERSITY_MEAN_INTER_LIST: 0.8818705, DIVERSITY_HERFINDAHL: 0.9881602, COVERAGE_ITEM: 0.1789132, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1549349, SHANNON_ENTROPY: 8.1759532, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 17, 'shrink': 32, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0833161, PRECISION: 0.0120390, PRECISION_RECALL_MIN_DEN: 0.0401300, RECALL: 0.0401300, MAP: 0.0223345, MRR: 0.0620193, NDCG: 0.0365086, F1: 0.0185216, HIT_RATE: 0.1203901, ARHR: 0.0644962, RMSE: 0.9900005, NOVELTY: 0.0065611, AVERAGE_POPULARITY: 0.1987986, DIVERSITY_MEAN_INTER_LIST: 0.9916770, DIVERSITY_HERFINDAHL: 0.9991375, COVERAGE_ITEM: 0.4841849, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4141392, SHANNON_ENTROPY: 11.8513550, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 1000, 'shrink': 1500, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0969985, PRECISION: 0.0151173, PRECISION_RECALL_MIN_DEN: 0.0503911, RECALL: 0.0503911, MAP: 0.0269876, MRR: 0.0733358, NDCG: 0.0443353, F1: 0.0232574, HIT_RATE: 0.1511734, ARHR: 0.0770577, RMSE: 0.9818971, NOVELTY: 0.0061147, AVERAGE_POPULARITY: 0.2999825, DIVERSITY_MEAN_INTER_LIST: 0.9824559, DIVERSITY_HERFINDAHL: 0.9982156, COVERAGE_ITEM: 0.3693971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3201875, SHANNON_ENTROPY: 10.9208458, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 997, 'shrink': 6, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0619778, PRECISION: 0.0091131, PRECISION_RECALL_MIN_DEN: 0.0303769, RECALL: 0.0303769, MAP: 0.0179181, MRR: 0.0488272, NDCG: 0.0284789, F1: 0.0140201, HIT_RATE: 0.0911308, ARHR: 0.0512718, RMSE: 0.9772229, NOVELTY: 0.0044864, AVERAGE_POPULARITY: 0.0846978, DIVERSITY_MEAN_INTER_LIST: 0.9974232, DIVERSITY_HERFINDAHL: 0.9997119, COVERAGE_ITEM: 0.5582049, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.5309415, SHANNON_ENTROPY: 12.6869453, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 958, 'shrink': 1487, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0923160, PRECISION: 0.0146297, PRECISION_RECALL_MIN_DEN: 0.0487656, RECALL: 0.0487656, MAP: 0.0235757, MRR: 0.0660082, NDCG: 0.0406531, F1: 0.0225072, HIT_RATE: 0.1462969, ARHR: 0.0683677, RMSE: 0.9254090, NOVELTY: 0.0054330, AVERAGE_POPULARITY: 0.5523803, DIVERSITY_MEAN_INTER_LIST: 0.8974345, DIVERSITY_HERFINDAHL: 0.9897161, COVERAGE_ITEM: 0.1749662, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1578820, SHANNON_ENTROPY: 8.3056716, 
