SearchBayesianSkopt: New best config found. Config 0: {'topK': 648, 'shrink': 217, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0962655, PRECISION: 0.0148735, PRECISION_RECALL_MIN_DEN: 0.0495784, RECALL: 0.0495784, MAP: 0.0258917, MRR: 0.0708346, NDCG: 0.0430605, F1: 0.0228823, HIT_RATE: 0.1487351, ARHR: 0.0741846, RMSE: 0.9924642, NOVELTY: 0.0057833, AVERAGE_POPULARITY: 0.3642561, DIVERSITY_MEAN_INTER_LIST: 0.9719461, DIVERSITY_HERFINDAHL: 0.9971650, COVERAGE_ITEM: 0.2687753, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2549861, SHANNON_ENTROPY: 10.1223621, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 218, 'shrink': 1338, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0932131, PRECISION: 0.0145078, PRECISION_RECALL_MIN_DEN: 0.0483592, RECALL: 0.0483592, MAP: 0.0242657, MRR: 0.0673102, NDCG: 0.0411327, F1: 0.0223196, HIT_RATE: 0.1450777, ARHR: 0.0700065, RMSE: 0.9976875, NOVELTY: 0.0056868, AVERAGE_POPULARITY: 0.4046254, DIVERSITY_MEAN_INTER_LIST: 0.9580727, DIVERSITY_HERFINDAHL: 0.9957781, COVERAGE_ITEM: 0.2968370, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2516489, SHANNON_ENTROPY: 9.9191298, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 549, 'shrink': 182, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0964539, PRECISION: 0.0148126, PRECISION_RECALL_MIN_DEN: 0.0493752, RECALL: 0.0493752, MAP: 0.0260796, MRR: 0.0712774, NDCG: 0.0431824, F1: 0.0227885, HIT_RATE: 0.1481256, ARHR: 0.0746861, RMSE: 0.9922326, NOVELTY: 0.0058346, AVERAGE_POPULARITY: 0.3452552, DIVERSITY_MEAN_INTER_LIST: 0.9757788, DIVERSITY_HERFINDAHL: 0.9975481, COVERAGE_ITEM: 0.2806164, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2678486, SHANNON_ENTROPY: 10.3026857, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 734, 'shrink': 779, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0948199, PRECISION: 0.0152393, PRECISION_RECALL_MIN_DEN: 0.0507975, RECALL: 0.0507975, MAP: 0.0248737, MRR: 0.0688475, NDCG: 0.0425084, F1: 0.0234450, HIT_RATE: 0.1523926, ARHR: 0.0717126, RMSE: 0.9959204, NOVELTY: 0.0055227, AVERAGE_POPULARITY: 0.4682713, DIVERSITY_MEAN_INTER_LIST: 0.9400172, DIVERSITY_HERFINDAHL: 0.9939731, COVERAGE_ITEM: 0.2293052, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1970829, SHANNON_ENTROPY: 9.1537454, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 276, 'shrink': 1001, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0954473, PRECISION: 0.0150564, PRECISION_RECALL_MIN_DEN: 0.0501880, RECALL: 0.0501880, MAP: 0.0251094, MRR: 0.0692038, NDCG: 0.0425136, F1: 0.0231637, HIT_RATE: 0.1505639, ARHR: 0.0722188, RMSE: 0.9970181, NOVELTY: 0.0056507, AVERAGE_POPULARITY: 0.4175284, DIVERSITY_MEAN_INTER_LIST: 0.9552601, DIVERSITY_HERFINDAHL: 0.9954969, COVERAGE_ITEM: 0.2804542, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2385624, SHANNON_ENTROPY: 9.7572594, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 971, 'shrink': 1490, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0932283, PRECISION: 0.0150259, PRECISION_RECALL_MIN_DEN: 0.0500864, RECALL: 0.0500864, MAP: 0.0236801, MRR: 0.0659930, NDCG: 0.0411248, F1: 0.0231168, HIT_RATE: 0.1502591, ARHR: 0.0685167, RMSE: 0.9973133, NOVELTY: 0.0054281, AVERAGE_POPULARITY: 0.5157972, DIVERSITY_MEAN_INTER_LIST: 0.9163300, DIVERSITY_HERFINDAHL: 0.9916051, COVERAGE_ITEM: 0.2096242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1745806, SHANNON_ENTROPY: 8.6755534, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0852168, PRECISION: 0.0117647, PRECISION_RECALL_MIN_DEN: 0.0392157, RECALL: 0.0392157, MAP: 0.0238544, MRR: 0.0650663, NDCG: 0.0376262, F1: 0.0180995, HIT_RATE: 0.1176471, ARHR: 0.0682893, RMSE: 0.9954868, NOVELTY: 0.0069510, AVERAGE_POPULARITY: 0.1328935, DIVERSITY_MEAN_INTER_LIST: 0.8304381, DIVERSITY_HERFINDAHL: 0.9830185, COVERAGE_ITEM: 0.2522303, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2474275, SHANNON_ENTROPY: 8.9780353, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 998, 'shrink': 1495, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0938992, PRECISION: 0.0150869, PRECISION_RECALL_MIN_DEN: 0.0502895, RECALL: 0.0502895, MAP: 0.0239428, MRR: 0.0667321, NDCG: 0.0414660, F1: 0.0232106, HIT_RATE: 0.1508686, ARHR: 0.0692803, RMSE: 0.9973122, NOVELTY: 0.0054247, AVERAGE_POPULARITY: 0.5171809, DIVERSITY_MEAN_INTER_LIST: 0.9155420, DIVERSITY_HERFINDAHL: 0.9915263, COVERAGE_ITEM: 0.2084888, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1736987, SHANNON_ENTROPY: 8.6595990, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0824214, PRECISION: 0.0125571, PRECISION_RECALL_MIN_DEN: 0.0418572, RECALL: 0.0418572, MAP: 0.0238702, MRR: 0.0646183, NDCG: 0.0383089, F1: 0.0193187, HIT_RATE: 0.1255715, ARHR: 0.0680954, RMSE: 0.9853347, NOVELTY: 0.0060706, AVERAGE_POPULARITY: 0.1689014, DIVERSITY_MEAN_INTER_LIST: 0.9941945, DIVERSITY_HERFINDAHL: 0.9993891, COVERAGE_ITEM: 0.5692890, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4706731, SHANNON_ENTROPY: 12.3086954, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 17, 'shrink': 1499, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0889235, PRECISION: 0.0131667, PRECISION_RECALL_MIN_DEN: 0.0438891, RECALL: 0.0438891, MAP: 0.0239065, MRR: 0.0661524, NDCG: 0.0393193, F1: 0.0202565, HIT_RATE: 0.1316672, ARHR: 0.0689142, RMSE: 0.9988976, NOVELTY: 0.0064888, AVERAGE_POPULARITY: 0.2086113, DIVERSITY_MEAN_INTER_LIST: 0.9903845, DIVERSITY_HERFINDAHL: 0.9990083, COVERAGE_ITEM: 0.4226007, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3885289, SHANNON_ENTROPY: 11.5795199, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 12, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0890139, PRECISION: 0.0124657, PRECISION_RECALL_MIN_DEN: 0.0415524, RECALL: 0.0415524, MAP: 0.0252947, MRR: 0.0690706, NDCG: 0.0398679, F1: 0.0191780, HIT_RATE: 0.1246571, ARHR: 0.0724519, RMSE: 0.9957826, NOVELTY: 0.0069449, AVERAGE_POPULARITY: 0.1337869, DIVERSITY_MEAN_INTER_LIST: 0.8798126, DIVERSITY_HERFINDAHL: 0.9879544, COVERAGE_ITEM: 0.3105164, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2881216, SHANNON_ENTROPY: 9.6783876, 
