SearchBayesianSkopt: New best config found. Config 0: {'topK': 850, 'shrink': 357, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9136092361121548, 'tversky_beta': 1.8252726861726165} - results: ROC_AUC: 0.0978445, PRECISION: 0.0151478, PRECISION_RECALL_MIN_DEN: 0.0504927, RECALL: 0.0504927, MAP: 0.0264427, MRR: 0.0723199, NDCG: 0.0439215, F1: 0.0233043, HIT_RATE: 0.1514782, ARHR: 0.0757520, RMSE: 0.9954732, NOVELTY: 0.0058164, AVERAGE_POPULARITY: 0.3546541, DIVERSITY_MEAN_INTER_LIST: 0.9738737, DIVERSITY_HERFINDAHL: 0.9973577, COVERAGE_ITEM: 0.2695864, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2609347, SHANNON_ENTROPY: 10.1966568, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 767, 'shrink': 1084, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3995916815508642, 'tversky_beta': 0.1530668044309367} - results: ROC_AUC: 0.0946043, PRECISION: 0.0150259, PRECISION_RECALL_MIN_DEN: 0.0500864, RECALL: 0.0500864, MAP: 0.0247544, MRR: 0.0686914, NDCG: 0.0421893, F1: 0.0231168, HIT_RATE: 0.1502591, ARHR: 0.0714555, RMSE: 0.9964337, NOVELTY: 0.0055291, AVERAGE_POPULARITY: 0.4604475, DIVERSITY_MEAN_INTER_LIST: 0.9442727, DIVERSITY_HERFINDAHL: 0.9943985, COVERAGE_ITEM: 0.2263855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1978913, SHANNON_ENTROPY: 9.2023634, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 447, 'shrink': 392, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4085023290093577, 'tversky_beta': 0.11430583963575283} - results: ROC_AUC: 0.0950407, PRECISION: 0.0147821, PRECISION_RECALL_MIN_DEN: 0.0492736, RECALL: 0.0492736, MAP: 0.0259915, MRR: 0.0710967, NDCG: 0.0430301, F1: 0.0227417, HIT_RATE: 0.1478208, ARHR: 0.0744653, RMSE: 0.9933843, NOVELTY: 0.0058228, AVERAGE_POPULARITY: 0.3314015, DIVERSITY_MEAN_INTER_LIST: 0.9793867, DIVERSITY_HERFINDAHL: 0.9979088, COVERAGE_ITEM: 0.2718573, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2638541, SHANNON_ENTROPY: 10.3280845, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 568, 'shrink': 960, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.334041283724486, 'tversky_beta': 1.3766557614743231} - results: ROC_AUC: 0.0917911, PRECISION: 0.0144468, PRECISION_RECALL_MIN_DEN: 0.0481560, RECALL: 0.0481560, MAP: 0.0236808, MRR: 0.0659712, NDCG: 0.0404974, F1: 0.0222259, HIT_RATE: 0.1444681, ARHR: 0.0685067, RMSE: 0.9964262, NOVELTY: 0.0054722, AVERAGE_POPULARITY: 0.5016893, DIVERSITY_MEAN_INTER_LIST: 0.9195465, DIVERSITY_HERFINDAHL: 0.9919266, COVERAGE_ITEM: 0.2363341, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1911796, SHANNON_ENTROPY: 8.8909090, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 145, 'shrink': 1438, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2554869450121929, 'tversky_beta': 0.7118646215940113} - results: ROC_AUC: 0.0895845, PRECISION: 0.0141420, PRECISION_RECALL_MIN_DEN: 0.0471401, RECALL: 0.0471401, MAP: 0.0236617, MRR: 0.0655797, NDCG: 0.0400722, F1: 0.0217570, HIT_RATE: 0.1414203, ARHR: 0.0682519, RMSE: 0.9977177, NOVELTY: 0.0057629, AVERAGE_POPULARITY: 0.3833663, DIVERSITY_MEAN_INTER_LIST: 0.9610025, DIVERSITY_HERFINDAHL: 0.9960710, COVERAGE_ITEM: 0.3226277, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2757537, SHANNON_ENTROPY: 10.1848463, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 20, 'shrink': 6, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.4503096765636456, 'tversky_beta': 1.9400742232410555} - results: ROC_AUC: 0.0907286, PRECISION: 0.0134715, PRECISION_RECALL_MIN_DEN: 0.0449050, RECALL: 0.0449050, MAP: 0.0255947, MRR: 0.0697905, NDCG: 0.0411950, F1: 0.0207254, HIT_RATE: 0.1347150, ARHR: 0.0732534, RMSE: 0.9964942, NOVELTY: 0.0063005, AVERAGE_POPULARITY: 0.1836637, DIVERSITY_MEAN_INTER_LIST: 0.9932014, DIVERSITY_HERFINDAHL: 0.9992899, COVERAGE_ITEM: 0.4733171, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4221035, SHANNON_ENTROPY: 11.9170359, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 972, 'shrink': 40, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.15657379608340197, 'tversky_beta': 0.057051750491003986} - results: ROC_AUC: 0.0965885, PRECISION: 0.0149649, PRECISION_RECALL_MIN_DEN: 0.0498832, RECALL: 0.0498832, MAP: 0.0256210, MRR: 0.0704897, NDCG: 0.0429446, F1: 0.0230230, HIT_RATE: 0.1496495, ARHR: 0.0736078, RMSE: 0.9506300, NOVELTY: 0.0057831, AVERAGE_POPULARITY: 0.3576317, DIVERSITY_MEAN_INTER_LIST: 0.9744650, DIVERSITY_HERFINDAHL: 0.9974168, COVERAGE_ITEM: 0.2557989, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2508384, SHANNON_ENTROPY: 10.1038659, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 973, 'shrink': 1468, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9577975407007402, 'tversky_beta': 1.7835330114337018} - results: ROC_AUC: 0.0960518, PRECISION: 0.0154831, PRECISION_RECALL_MIN_DEN: 0.0516103, RECALL: 0.0516103, MAP: 0.0250179, MRR: 0.0694238, NDCG: 0.0429519, F1: 0.0238201, HIT_RATE: 0.1548308, ARHR: 0.0722170, RMSE: 0.9977172, NOVELTY: 0.0054988, AVERAGE_POPULARITY: 0.4785346, DIVERSITY_MEAN_INTER_LIST: 0.9364722, DIVERSITY_HERFINDAHL: 0.9936187, COVERAGE_ITEM: 0.2170857, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1890157, SHANNON_ENTROPY: 9.0253654, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 28, 'shrink': 1487, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.03163776542526687, 'tversky_beta': 1.7751169398533304} - results: ROC_AUC: 0.0915755, PRECISION: 0.0137153, PRECISION_RECALL_MIN_DEN: 0.0457178, RECALL: 0.0457178, MAP: 0.0241806, MRR: 0.0673533, NDCG: 0.0402663, F1: 0.0211005, HIT_RATE: 0.1371533, ARHR: 0.0699306, RMSE: 0.9987398, NOVELTY: 0.0062470, AVERAGE_POPULARITY: 0.2563509, DIVERSITY_MEAN_INTER_LIST: 0.9876425, DIVERSITY_HERFINDAHL: 0.9987342, COVERAGE_ITEM: 0.4124358, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3648246, SHANNON_ENTROPY: 11.3772532, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 0.0} - results: ROC_AUC: 0.0097320, PRECISION: 0.0017678, PRECISION_RECALL_MIN_DEN: 0.0058925, RECALL: 0.0058925, MAP: 0.0019840, MRR: 0.0058651, NDCG: 0.0040464, F1: 0.0027196, HIT_RATE: 0.0176775, ARHR: 0.0059086, RMSE: 0.9938264, NOVELTY: 0.0070965, AVERAGE_POPULARITY: 0.0057385, DIVERSITY_MEAN_INTER_LIST: 0.9806749, DIVERSITY_HERFINDAHL: 0.9980376, COVERAGE_ITEM: 0.4649905, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4458927, SHANNON_ENTROPY: 11.8010895, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.018466057802329, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0866400, PRECISION: 0.0132277, PRECISION_RECALL_MIN_DEN: 0.0440922, RECALL: 0.0440922, MAP: 0.0246837, MRR: 0.0661477, NDCG: 0.0397579, F1: 0.0203503, HIT_RATE: 0.1322767, ARHR: 0.0700395, RMSE: 0.9903213, NOVELTY: 0.0059871, AVERAGE_POPULARITY: 0.2295727, DIVERSITY_MEAN_INTER_LIST: 0.9884064, DIVERSITY_HERFINDAHL: 0.9988105, COVERAGE_ITEM: 0.5228981, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4192717, SHANNON_ENTROPY: 11.8033345, 
