SearchBayesianSkopt: New best config found. Config 0: {'topK': 292, 'shrink': 15, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0727933, PRECISION: 0.0118642, PRECISION_RECALL_MIN_DEN: 0.0395475, RECALL: 0.0395475, MAP: 0.0189022, MRR: 0.0525004, NDCG: 0.0326181, F1: 0.0182527, HIT_RATE: 0.1186424, ARHR: 0.0545688, RMSE: 57.3403305, NOVELTY: 0.0053457, AVERAGE_POPULARITY: 0.5313911, DIVERSITY_MEAN_INTER_LIST: 0.8344957, DIVERSITY_HERFINDAHL: 0.9834455, COVERAGE_ITEM: 0.2686672, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0522843, SHANNON_ENTROPY: 7.0722709, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 803, 'shrink': 201, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0608456, PRECISION: 0.0095743, PRECISION_RECALL_MIN_DEN: 0.0319144, RECALL: 0.0319144, MAP: 0.0160846, MRR: 0.0443125, NDCG: 0.0271571, F1: 0.0147297, HIT_RATE: 0.0957431, ARHR: 0.0462468, RMSE: 0.9481283, NOVELTY: 0.0055411, AVERAGE_POPULARITY: 0.0754539, DIVERSITY_MEAN_INTER_LIST: 0.9497826, DIVERSITY_HERFINDAHL: 0.9949737, COVERAGE_ITEM: 0.9385239, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3806536, SHANNON_ENTROPY: 11.7938466, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 162, 'shrink': 247, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0877089, PRECISION: 0.0135805, PRECISION_RECALL_MIN_DEN: 0.0452683, RECALL: 0.0452683, MAP: 0.0233127, MRR: 0.0638822, NDCG: 0.0390112, F1: 0.0208931, HIT_RATE: 0.1358048, ARHR: 0.0668586, RMSE: 0.9593864, NOVELTY: 0.0058630, AVERAGE_POPULARITY: 0.2145778, DIVERSITY_MEAN_INTER_LIST: 0.9402999, DIVERSITY_HERFINDAHL: 0.9940255, COVERAGE_ITEM: 0.8858070, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2410971, SHANNON_ENTROPY: 10.5844525, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 188, 'shrink': 208, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0513359, PRECISION: 0.0078243, PRECISION_RECALL_MIN_DEN: 0.0260811, RECALL: 0.0260811, MAP: 0.0138470, MRR: 0.0381752, NDCG: 0.0229355, F1: 0.0120374, HIT_RATE: 0.0782433, ARHR: 0.0398206, RMSE: 0.9762288, NOVELTY: 0.0052955, AVERAGE_POPULARITY: 0.0418058, DIVERSITY_MEAN_INTER_LIST: 0.9506765, DIVERSITY_HERFINDAHL: 0.9950631, COVERAGE_ITEM: 0.8856448, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4074136, SHANNON_ENTROPY: 11.9162204, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 103, 'shrink': 686, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0783055, PRECISION: 0.0125102, PRECISION_RECALL_MIN_DEN: 0.0417008, RECALL: 0.0417008, MAP: 0.0204448, MRR: 0.0563923, NDCG: 0.0348934, F1: 0.0192465, HIT_RATE: 0.1251024, ARHR: 0.0588097, RMSE: 0.9857051, NOVELTY: 0.0054915, AVERAGE_POPULARITY: 0.4392992, DIVERSITY_MEAN_INTER_LIST: 0.8958481, DIVERSITY_HERFINDAHL: 0.9895805, COVERAGE_ITEM: 0.3713436, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0718944, SHANNON_ENTROPY: 8.0420009, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0623284, PRECISION: 0.0101576, PRECISION_RECALL_MIN_DEN: 0.0338588, RECALL: 0.0338588, MAP: 0.0162082, MRR: 0.0454318, NDCG: 0.0280118, F1: 0.0156271, HIT_RATE: 0.1015764, ARHR: 0.0469971, RMSE: 0.9764731, NOVELTY: 0.0052410, AVERAGE_POPULARITY: 0.5882391, DIVERSITY_MEAN_INTER_LIST: 0.7596151, DIVERSITY_HERFINDAHL: 0.9759578, COVERAGE_ITEM: 0.1846986, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0373869, SHANNON_ENTROPY: 6.2853681, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1010842, PRECISION: 0.0162175, PRECISION_RECALL_MIN_DEN: 0.0540584, RECALL: 0.0540584, MAP: 0.0269592, MRR: 0.0728623, NDCG: 0.0454563, F1: 0.0249500, HIT_RATE: 0.1621752, ARHR: 0.0767708, RMSE: 0.9860936, NOVELTY: 0.0062547, AVERAGE_POPULARITY: 0.1784211, DIVERSITY_MEAN_INTER_LIST: 0.9335544, DIVERSITY_HERFINDAHL: 0.9933509, COVERAGE_ITEM: 0.5491214, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1599135, SHANNON_ENTROPY: 10.0062766, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 979, 'shrink': 989, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0897954, PRECISION: 0.0143711, PRECISION_RECALL_MIN_DEN: 0.0479037, RECALL: 0.0479037, MAP: 0.0239634, MRR: 0.0653109, NDCG: 0.0404420, F1: 0.0221094, HIT_RATE: 0.1437111, ARHR: 0.0685352, RMSE: 0.9189012, NOVELTY: 0.0056706, AVERAGE_POPULARITY: 0.3864225, DIVERSITY_MEAN_INTER_LIST: 0.9063736, DIVERSITY_HERFINDAHL: 0.9906330, COVERAGE_ITEM: 0.5111652, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0962906, SHANNON_ENTROPY: 8.6314495, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1000, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0897663, PRECISION: 0.0143567, PRECISION_RECALL_MIN_DEN: 0.0478555, RECALL: 0.0478555, MAP: 0.0239600, MRR: 0.0652774, NDCG: 0.0404201, F1: 0.0220872, HIT_RATE: 0.1435665, ARHR: 0.0685133, RMSE: 0.9185198, NOVELTY: 0.0056664, AVERAGE_POPULARITY: 0.3879980, DIVERSITY_MEAN_INTER_LIST: 0.9058290, DIVERSITY_HERFINDAHL: 0.9905785, COVERAGE_ITEM: 0.5073804, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0955837, SHANNON_ENTROPY: 8.6140564, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1010842, PRECISION: 0.0162175, PRECISION_RECALL_MIN_DEN: 0.0540584, RECALL: 0.0540584, MAP: 0.0269592, MRR: 0.0728623, NDCG: 0.0454563, F1: 0.0249500, HIT_RATE: 0.1621752, ARHR: 0.0767708, RMSE: 0.9860936, NOVELTY: 0.0062547, AVERAGE_POPULARITY: 0.1784211, DIVERSITY_MEAN_INTER_LIST: 0.9335544, DIVERSITY_HERFINDAHL: 0.9933509, COVERAGE_ITEM: 0.5491214, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1599135, SHANNON_ENTROPY: 10.0062766, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 29, 'shrink': 987, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0795349, PRECISION: 0.0125633, PRECISION_RECALL_MIN_DEN: 0.0418776, RECALL: 0.0418776, MAP: 0.0210342, MRR: 0.0578279, NDCG: 0.0355429, F1: 0.0193281, HIT_RATE: 0.1256327, ARHR: 0.0604257, RMSE: 1.0236235, NOVELTY: 0.0056687, AVERAGE_POPULARITY: 0.3805905, DIVERSITY_MEAN_INTER_LIST: 0.9162179, DIVERSITY_HERFINDAHL: 0.9916174, COVERAGE_ITEM: 0.4650446, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0943292, SHANNON_ENTROPY: 8.6903579, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1010842, PRECISION: 0.0162175, PRECISION_RECALL_MIN_DEN: 0.0540584, RECALL: 0.0540584, MAP: 0.0269592, MRR: 0.0728623, NDCG: 0.0454563, F1: 0.0249500, HIT_RATE: 0.1621752, ARHR: 0.0767708, RMSE: 0.9860936, NOVELTY: 0.0062547, AVERAGE_POPULARITY: 0.1784211, DIVERSITY_MEAN_INTER_LIST: 0.9335544, DIVERSITY_HERFINDAHL: 0.9933509, COVERAGE_ITEM: 0.5491214, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1599135, SHANNON_ENTROPY: 10.0062766, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 913, 'shrink': 3, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0610503, PRECISION: 0.0096466, PRECISION_RECALL_MIN_DEN: 0.0321554, RECALL: 0.0321554, MAP: 0.0162906, MRR: 0.0448146, NDCG: 0.0274276, F1: 0.0148410, HIT_RATE: 0.0964663, ARHR: 0.0468108, RMSE: 0.9083458, NOVELTY: 0.0044915, AVERAGE_POPULARITY: 0.1558072, DIVERSITY_MEAN_INTER_LIST: 0.9423303, DIVERSITY_HERFINDAHL: 0.9942285, COVERAGE_ITEM: 0.7964855, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2747535, SHANNON_ENTROPY: 10.9434887, 
