SearchBayesianSkopt: New best config found. Config 0: {'topK': 292, 'shrink': 15, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0904673, PRECISION: 0.0142168, PRECISION_RECALL_MIN_DEN: 0.0473895, RECALL: 0.0473895, MAP: 0.0241142, MRR: 0.0660717, NDCG: 0.0405122, F1: 0.0218721, HIT_RATE: 0.1421684, ARHR: 0.0691355, RMSE: 0.9641716, NOVELTY: 0.0058749, AVERAGE_POPULARITY: 0.2969443, DIVERSITY_MEAN_INTER_LIST: 0.9302341, DIVERSITY_HERFINDAHL: 0.9930189, COVERAGE_ITEM: 0.6845093, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1361134, SHANNON_ENTROPY: 9.5297566, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 795, 'shrink': 802, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0729147, PRECISION: 0.0115123, PRECISION_RECALL_MIN_DEN: 0.0383744, RECALL: 0.0383744, MAP: 0.0190736, MRR: 0.0529387, NDCG: 0.0324414, F1: 0.0177113, HIT_RATE: 0.1151232, ARHR: 0.0550486, RMSE: 0.9822680, NOVELTY: 0.0053184, AVERAGE_POPULARITY: 0.5290526, DIVERSITY_MEAN_INTER_LIST: 0.8305234, DIVERSITY_HERFINDAHL: 0.9830483, COVERAGE_ITEM: 0.2369289, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0474137, SHANNON_ENTROPY: 6.9762216, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 248, 'shrink': 598, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0791334, PRECISION: 0.0125102, PRECISION_RECALL_MIN_DEN: 0.0417008, RECALL: 0.0417008, MAP: 0.0210252, MRR: 0.0579127, NDCG: 0.0354852, F1: 0.0192465, HIT_RATE: 0.1251024, ARHR: 0.0604509, RMSE: 0.9840204, NOVELTY: 0.0054397, AVERAGE_POPULARITY: 0.4612966, DIVERSITY_MEAN_INTER_LIST: 0.8839926, DIVERSITY_HERFINDAHL: 0.9883950, COVERAGE_ITEM: 0.3090024, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0630419, SHANNON_ENTROPY: 7.7449041, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 543, 'shrink': 48, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0888974, PRECISION: 0.0137830, PRECISION_RECALL_MIN_DEN: 0.0459432, RECALL: 0.0459432, MAP: 0.0237198, MRR: 0.0648253, NDCG: 0.0396126, F1: 0.0212046, HIT_RATE: 0.1378296, ARHR: 0.0679362, RMSE: 0.9582918, NOVELTY: 0.0056978, AVERAGE_POPULARITY: 0.3565566, DIVERSITY_MEAN_INTER_LIST: 0.9170109, DIVERSITY_HERFINDAHL: 0.9916967, COVERAGE_ITEM: 0.4388754, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0968041, SHANNON_ENTROPY: 8.7486252, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 212, 'shrink': 497, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0808632, PRECISION: 0.0126693, PRECISION_RECALL_MIN_DEN: 0.0422311, RECALL: 0.0422311, MAP: 0.0214443, MRR: 0.0591519, NDCG: 0.0361163, F1: 0.0194913, HIT_RATE: 0.1266933, ARHR: 0.0616930, RMSE: 0.9833022, NOVELTY: 0.0054717, AVERAGE_POPULARITY: 0.4436958, DIVERSITY_MEAN_INTER_LIST: 0.8932735, DIVERSITY_HERFINDAHL: 0.9893230, COVERAGE_ITEM: 0.3192214, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0668531, SHANNON_ENTROPY: 7.9176544, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0763575, PRECISION: 0.0121294, PRECISION_RECALL_MIN_DEN: 0.0404313, RECALL: 0.0404313, MAP: 0.0204792, MRR: 0.0559550, NDCG: 0.0344258, F1: 0.0186606, HIT_RATE: 0.1212939, ARHR: 0.0586417, RMSE: 0.9404534, NOVELTY: 0.0055024, AVERAGE_POPULARITY: 0.2359375, DIVERSITY_MEAN_INTER_LIST: 0.9338260, DIVERSITY_HERFINDAHL: 0.9933781, COVERAGE_ITEM: 0.8382265, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2155568, SHANNON_ENTROPY: 10.2771382, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0850087, PRECISION: 0.0133443, PRECISION_RECALL_MIN_DEN: 0.0444809, RECALL: 0.0444809, MAP: 0.0224544, MRR: 0.0615197, NDCG: 0.0378447, F1: 0.0205296, HIT_RATE: 0.1334426, ARHR: 0.0643942, RMSE: 0.9974496, NOVELTY: 0.0059256, AVERAGE_POPULARITY: 0.2682843, DIVERSITY_MEAN_INTER_LIST: 0.9273888, DIVERSITY_HERFINDAHL: 0.9927344, COVERAGE_ITEM: 0.4320627, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1242588, SHANNON_ENTROPY: 9.3298802, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0883349, PRECISION: 0.0146122, PRECISION_RECALL_MIN_DEN: 0.0487072, RECALL: 0.0487072, MAP: 0.0229449, MRR: 0.0622970, NDCG: 0.0395933, F1: 0.0224802, HIT_RATE: 0.1461216, ARHR: 0.0654950, RMSE: 0.9906534, NOVELTY: 0.0062532, AVERAGE_POPULARITY: 0.1346652, DIVERSITY_MEAN_INTER_LIST: 0.9164757, DIVERSITY_HERFINDAHL: 0.9916432, COVERAGE_ITEM: 0.6613679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345471, SHANNON_ENTROPY: 10.4064555, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0883349, PRECISION: 0.0146122, PRECISION_RECALL_MIN_DEN: 0.0487072, RECALL: 0.0487072, MAP: 0.0229449, MRR: 0.0622970, NDCG: 0.0395933, F1: 0.0224802, HIT_RATE: 0.1461216, ARHR: 0.0654950, RMSE: 0.9906534, NOVELTY: 0.0062532, AVERAGE_POPULARITY: 0.1346652, DIVERSITY_MEAN_INTER_LIST: 0.9164757, DIVERSITY_HERFINDAHL: 0.9916432, COVERAGE_ITEM: 0.6613679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345471, SHANNON_ENTROPY: 10.4064555, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 993, 'shrink': 998, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0713349, PRECISION: 0.0113822, PRECISION_RECALL_MIN_DEN: 0.0379405, RECALL: 0.0379405, MAP: 0.0186268, MRR: 0.0518240, NDCG: 0.0318402, F1: 0.0175110, HIT_RATE: 0.1138215, ARHR: 0.0538212, RMSE: 0.9840839, NOVELTY: 0.0052929, AVERAGE_POPULARITY: 0.5449044, DIVERSITY_MEAN_INTER_LIST: 0.8139598, DIVERSITY_HERFINDAHL: 0.9813921, COVERAGE_ITEM: 0.2234658, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0441565, SHANNON_ENTROPY: 6.7916589, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0883349, PRECISION: 0.0146122, PRECISION_RECALL_MIN_DEN: 0.0487072, RECALL: 0.0487072, MAP: 0.0229449, MRR: 0.0622970, NDCG: 0.0395933, F1: 0.0224802, HIT_RATE: 0.1461216, ARHR: 0.0654950, RMSE: 0.9906534, NOVELTY: 0.0062532, AVERAGE_POPULARITY: 0.1346652, DIVERSITY_MEAN_INTER_LIST: 0.9164757, DIVERSITY_HERFINDAHL: 0.9916432, COVERAGE_ITEM: 0.6613679, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2345471, SHANNON_ENTROPY: 10.4064555, 
