SearchBayesianSkopt: New best config found. Config 0: {'topK': 292, 'shrink': 15, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0925335, PRECISION: 0.0144386, PRECISION_RECALL_MIN_DEN: 0.0481287, RECALL: 0.0481287, MAP: 0.0246668, MRR: 0.0675024, NDCG: 0.0413237, F1: 0.0222132, HIT_RATE: 0.1443861, ARHR: 0.0706786, RMSE: 0.9626712, NOVELTY: 0.0058820, AVERAGE_POPULARITY: 0.2937406, DIVERSITY_MEAN_INTER_LIST: 0.9305273, DIVERSITY_HERFINDAHL: 0.9930482, COVERAGE_ITEM: 0.6853204, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1373640, SHANNON_ENTROPY: 9.5513893, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 795, 'shrink': 802, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0734307, PRECISION: 0.0116039, PRECISION_RECALL_MIN_DEN: 0.0386797, RECALL: 0.0386797, MAP: 0.0192103, MRR: 0.0533122, NDCG: 0.0326827, F1: 0.0178522, HIT_RATE: 0.1160391, ARHR: 0.0554403, RMSE: 0.9820540, NOVELTY: 0.0053191, AVERAGE_POPULARITY: 0.5286472, DIVERSITY_MEAN_INTER_LIST: 0.8306432, DIVERSITY_HERFINDAHL: 0.9830603, COVERAGE_ITEM: 0.2368748, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0474513, SHANNON_ENTROPY: 6.9790285, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 248, 'shrink': 598, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0795603, PRECISION: 0.0125536, PRECISION_RECALL_MIN_DEN: 0.0418454, RECALL: 0.0418454, MAP: 0.0211997, MRR: 0.0584638, NDCG: 0.0357232, F1: 0.0193133, HIT_RATE: 0.1255363, ARHR: 0.0609889, RMSE: 0.9837438, NOVELTY: 0.0054395, AVERAGE_POPULARITY: 0.4614244, DIVERSITY_MEAN_INTER_LIST: 0.8836350, DIVERSITY_HERFINDAHL: 0.9883592, COVERAGE_ITEM: 0.3082995, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0630166, SHANNON_ENTROPY: 7.7415046, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 543, 'shrink': 48, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0906619, PRECISION: 0.0141108, PRECISION_RECALL_MIN_DEN: 0.0470359, RECALL: 0.0470359, MAP: 0.0242243, MRR: 0.0661651, NDCG: 0.0404836, F1: 0.0217089, HIT_RATE: 0.1411078, ARHR: 0.0693625, RMSE: 0.9570367, NOVELTY: 0.0057023, AVERAGE_POPULARITY: 0.3548054, DIVERSITY_MEAN_INTER_LIST: 0.9172156, DIVERSITY_HERFINDAHL: 0.9917171, COVERAGE_ITEM: 0.4384969, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0969522, SHANNON_ENTROPY: 8.7572582, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 212, 'shrink': 497, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0812381, PRECISION: 0.0127850, PRECISION_RECALL_MIN_DEN: 0.0426168, RECALL: 0.0426168, MAP: 0.0215819, MRR: 0.0594626, NDCG: 0.0363685, F1: 0.0196693, HIT_RATE: 0.1278504, ARHR: 0.0620540, RMSE: 0.9829761, NOVELTY: 0.0054716, AVERAGE_POPULARITY: 0.4438606, DIVERSITY_MEAN_INTER_LIST: 0.8929473, DIVERSITY_HERFINDAHL: 0.9892904, COVERAGE_ITEM: 0.3187348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0668033, SHANNON_ENTROPY: 7.9135032, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 1000, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0755182, PRECISION: 0.0119703, PRECISION_RECALL_MIN_DEN: 0.0399010, RECALL: 0.0399010, MAP: 0.0202530, MRR: 0.0552038, NDCG: 0.0339966, F1: 0.0184159, HIT_RATE: 0.1197030, ARHR: 0.0579277, RMSE: 0.9383338, NOVELTY: 0.0054205, AVERAGE_POPULARITY: 0.2177392, DIVERSITY_MEAN_INTER_LIST: 0.9364712, DIVERSITY_HERFINDAHL: 0.9936426, COVERAGE_ITEM: 0.8439038, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2289249, SHANNON_ENTROPY: 10.4546562, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0851403, PRECISION: 0.0133491, PRECISION_RECALL_MIN_DEN: 0.0444969, RECALL: 0.0444969, MAP: 0.0224921, MRR: 0.0616400, NDCG: 0.0378930, F1: 0.0205370, HIT_RATE: 0.1334908, ARHR: 0.0645108, RMSE: 0.9973591, NOVELTY: 0.0059245, AVERAGE_POPULARITY: 0.2687878, DIVERSITY_MEAN_INTER_LIST: 0.9273067, DIVERSITY_HERFINDAHL: 0.9927262, COVERAGE_ITEM: 0.4318464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1241058, SHANNON_ENTROPY: 9.3253281, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0881551, PRECISION: 0.0145543, PRECISION_RECALL_MIN_DEN: 0.0485144, RECALL: 0.0485144, MAP: 0.0228210, MRR: 0.0619141, NDCG: 0.0394001, F1: 0.0223912, HIT_RATE: 0.1455431, ARHR: 0.0651185, RMSE: 0.9894783, NOVELTY: 0.0062578, AVERAGE_POPULARITY: 0.1336458, DIVERSITY_MEAN_INTER_LIST: 0.9165038, DIVERSITY_HERFINDAHL: 0.9916460, COVERAGE_ITEM: 0.6623412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2361846, SHANNON_ENTROPY: 10.4166145, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0881551, PRECISION: 0.0145543, PRECISION_RECALL_MIN_DEN: 0.0485144, RECALL: 0.0485144, MAP: 0.0228210, MRR: 0.0619141, NDCG: 0.0394001, F1: 0.0223912, HIT_RATE: 0.1455431, ARHR: 0.0651185, RMSE: 0.9894783, NOVELTY: 0.0062578, AVERAGE_POPULARITY: 0.1336458, DIVERSITY_MEAN_INTER_LIST: 0.9165038, DIVERSITY_HERFINDAHL: 0.9916460, COVERAGE_ITEM: 0.6623412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2361846, SHANNON_ENTROPY: 10.4166145, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 993, 'shrink': 998, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0717458, PRECISION: 0.0114448, PRECISION_RECALL_MIN_DEN: 0.0381494, RECALL: 0.0381494, MAP: 0.0187611, MRR: 0.0522633, NDCG: 0.0320579, F1: 0.0176074, HIT_RATE: 0.1144482, ARHR: 0.0542424, RMSE: 0.9839179, NOVELTY: 0.0052935, AVERAGE_POPULARITY: 0.5445569, DIVERSITY_MEAN_INTER_LIST: 0.8140990, DIVERSITY_HERFINDAHL: 0.9814060, COVERAGE_ITEM: 0.2234117, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0441839, SHANNON_ENTROPY: 6.7943097, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0881551, PRECISION: 0.0145543, PRECISION_RECALL_MIN_DEN: 0.0485144, RECALL: 0.0485144, MAP: 0.0228210, MRR: 0.0619141, NDCG: 0.0394001, F1: 0.0223912, HIT_RATE: 0.1455431, ARHR: 0.0651185, RMSE: 0.9894783, NOVELTY: 0.0062578, AVERAGE_POPULARITY: 0.1336458, DIVERSITY_MEAN_INTER_LIST: 0.9165038, DIVERSITY_HERFINDAHL: 0.9916460, COVERAGE_ITEM: 0.6623412, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.2361846, SHANNON_ENTROPY: 10.4166145, 
