SearchBayesianSkopt: New best config found. Config 0: {'topK': 483, 'shrink': 1572, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.3221801120990497, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0692835, PRECISION: 0.0105096, PRECISION_RECALL_MIN_DEN: 0.0350319, RECALL: 0.0350319, MAP: 0.0176443, MRR: 0.0489287, NDCG: 0.0299088, F1: 0.0161686, HIT_RATE: 0.1050957, ARHR: 0.0508948, RMSE: 0.9014757, NOVELTY: 0.0064317, AVERAGE_POPULARITY: 0.1042006, DIVERSITY_MEAN_INTER_LIST: 0.9451828, DIVERSITY_HERFINDAHL: 0.9945137, COVERAGE_ITEM: 0.5485266, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1612111, SHANNON_ENTROPY: 10.1704343, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 222, 'shrink': 1314, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.013265264412979, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0812603, PRECISION: 0.0122837, PRECISION_RECALL_MIN_DEN: 0.0409455, RECALL: 0.0409455, MAP: 0.0210933, MRR: 0.0579045, NDCG: 0.0353448, F1: 0.0188979, HIT_RATE: 0.1228366, ARHR: 0.0605405, RMSE: 0.9235012, NOVELTY: 0.0064207, AVERAGE_POPULARITY: 0.1213385, DIVERSITY_MEAN_INTER_LIST: 0.9463196, DIVERSITY_HERFINDAHL: 0.9946274, COVERAGE_ITEM: 0.6155177, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1781258, SHANNON_ENTROPY: 10.4126092, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 42, 'shrink': 1473, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.907276635996173, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0795569, PRECISION: 0.0124669, PRECISION_RECALL_MIN_DEN: 0.0415562, RECALL: 0.0415562, MAP: 0.0209245, MRR: 0.0575338, NDCG: 0.0353378, F1: 0.0191798, HIT_RATE: 0.1246686, ARHR: 0.0601121, RMSE: 0.9943775, NOVELTY: 0.0056207, AVERAGE_POPULARITY: 0.3827707, DIVERSITY_MEAN_INTER_LIST: 0.9162246, DIVERSITY_HERFINDAHL: 0.9916180, COVERAGE_ITEM: 0.4423358, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0895457, SHANNON_ENTROPY: 8.6238625, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 279, 'shrink': 1460, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6401363746360962, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0471610, PRECISION: 0.0071301, PRECISION_RECALL_MIN_DEN: 0.0237671, RECALL: 0.0237671, MAP: 0.0124370, MRR: 0.0346783, NDCG: 0.0207842, F1: 0.0109694, HIT_RATE: 0.0713012, ARHR: 0.0359642, RMSE: 0.9912736, NOVELTY: 0.0064728, AVERAGE_POPULARITY: 0.0278586, DIVERSITY_MEAN_INTER_LIST: 0.9509451, DIVERSITY_HERFINDAHL: 0.9950899, COVERAGE_ITEM: 0.9140308, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4480370, SHANNON_ENTROPY: 12.0738274, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 408, 'shrink': 1075, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.6877551659880234, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0461142, PRECISION: 0.0070964, PRECISION_RECALL_MIN_DEN: 0.0236546, RECALL: 0.0236546, MAP: 0.0116091, MRR: 0.0327605, NDCG: 0.0199536, F1: 0.0109175, HIT_RATE: 0.0709637, ARHR: 0.0337785, RMSE: 0.8758999, NOVELTY: 0.0065726, AVERAGE_POPULARITY: 0.0765005, DIVERSITY_MEAN_INTER_LIST: 0.9448350, DIVERSITY_HERFINDAHL: 0.9944789, COVERAGE_ITEM: 0.5753447, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1621204, SHANNON_ENTROPY: 10.1951222, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 500, 'shrink': 2000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0763679, PRECISION: 0.0126356, PRECISION_RECALL_MIN_DEN: 0.0421186, RECALL: 0.0421186, MAP: 0.0196426, MRR: 0.0545685, NDCG: 0.0342167, F1: 0.0194394, HIT_RATE: 0.1263559, ARHR: 0.0566992, RMSE: 0.9558717, NOVELTY: 0.0053638, AVERAGE_POPULARITY: 0.5044606, DIVERSITY_MEAN_INTER_LIST: 0.8708017, DIVERSITY_HERFINDAHL: 0.9870760, COVERAGE_ITEM: 0.1992971, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0542374, SHANNON_ENTROPY: 7.2879946, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 5, 'shrink': 1000, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.0, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0832791, PRECISION: 0.0132237, PRECISION_RECALL_MIN_DEN: 0.0440791, RECALL: 0.0440791, MAP: 0.0219395, MRR: 0.0601578, NDCG: 0.0371770, F1: 0.0203442, HIT_RATE: 0.1322374, ARHR: 0.0629427, RMSE: 0.9970147, NOVELTY: 0.0058863, AVERAGE_POPULARITY: 0.2841395, DIVERSITY_MEAN_INTER_LIST: 0.9257046, DIVERSITY_HERFINDAHL: 0.9925660, COVERAGE_ITEM: 0.4279535, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1209149, SHANNON_ENTROPY: 9.2393038, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 19, 'shrink': 1040, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.018780477785830033, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0629536, PRECISION: 0.0100275, PRECISION_RECALL_MIN_DEN: 0.0334249, RECALL: 0.0334249, MAP: 0.0162949, MRR: 0.0449879, NDCG: 0.0278851, F1: 0.0154269, HIT_RATE: 0.1002748, ARHR: 0.0468886, RMSE: 0.9948412, NOVELTY: 0.0062187, AVERAGE_POPULARITY: 0.0450334, DIVERSITY_MEAN_INTER_LIST: 0.9410361, DIVERSITY_HERFINDAHL: 0.9940991, COVERAGE_ITEM: 0.8448229, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.3769703, SHANNON_ENTROPY: 11.6359063, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 484, 'shrink': 1978, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.017030656831323213, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0658594, PRECISION: 0.0107795, PRECISION_RECALL_MIN_DEN: 0.0359318, RECALL: 0.0359318, MAP: 0.0170292, MRR: 0.0474824, NDCG: 0.0295107, F1: 0.0165839, HIT_RATE: 0.1077954, ARHR: 0.0492577, RMSE: 0.9906764, NOVELTY: 0.0052812, AVERAGE_POPULARITY: 0.5571849, DIVERSITY_MEAN_INTER_LIST: 0.8022135, DIVERSITY_HERFINDAHL: 0.9802175, COVERAGE_ITEM: 0.2541227, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0444280, SHANNON_ENTROPY: 6.7185147, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 9, 'shrink': 1974, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 1.996580897940308, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0541890, PRECISION: 0.0082920, PRECISION_RECALL_MIN_DEN: 0.0276398, RECALL: 0.0276398, MAP: 0.0134299, MRR: 0.0377423, NDCG: 0.0231709, F1: 0.0127569, HIT_RATE: 0.0829195, ARHR: 0.0390058, RMSE: 0.9731894, NOVELTY: 0.0063605, AVERAGE_POPULARITY: 0.1100692, DIVERSITY_MEAN_INTER_LIST: 0.9412056, DIVERSITY_HERFINDAHL: 0.9941160, COVERAGE_ITEM: 0.5878886, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1584664, SHANNON_ENTROPY: 10.1782787, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 112, 'shrink': 1990, 'similarity': 'asymmetric', 'normalize': True, 'asymmetric_alpha': 0.030437696455597914, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0552489, PRECISION: 0.0084703, PRECISION_RECALL_MIN_DEN: 0.0282344, RECALL: 0.0282344, MAP: 0.0144092, MRR: 0.0401785, NDCG: 0.0243089, F1: 0.0130313, HIT_RATE: 0.0847033, ARHR: 0.0416671, RMSE: 0.9950984, NOVELTY: 0.0067879, AVERAGE_POPULARITY: 0.0325611, DIVERSITY_MEAN_INTER_LIST: 0.9507971, DIVERSITY_HERFINDAHL: 0.9950751, COVERAGE_ITEM: 0.9374966, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4332690, SHANNON_ENTROPY: 12.0472789, 
