SearchBayesianSkopt: New best config found. Config 0: {'topK': 483, 'shrink': 1572, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0529699, PRECISION: 0.0080316, PRECISION_RECALL_MIN_DEN: 0.0267721, RECALL: 0.0267721, MAP: 0.0136734, MRR: 0.0383206, NDCG: 0.0231002, F1: 0.0123563, HIT_RATE: 0.0803163, ARHR: 0.0396364, RMSE: 0.9889364, NOVELTY: 0.0067444, AVERAGE_POPULARITY: 0.0320822, DIVERSITY_MEAN_INTER_LIST: 0.9508173, DIVERSITY_HERFINDAHL: 0.9950771, COVERAGE_ITEM: 0.9380373, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4232252, SHANNON_ENTROPY: 12.0312975, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 351, 'shrink': 1439, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0520198, PRECISION: 0.0079111, PRECISION_RECALL_MIN_DEN: 0.0263703, RECALL: 0.0263703, MAP: 0.0134532, MRR: 0.0375283, NDCG: 0.0227119, F1: 0.0121709, HIT_RATE: 0.0791110, ARHR: 0.0389136, RMSE: 0.9899615, NOVELTY: 0.0067020, AVERAGE_POPULARITY: 0.0307489, DIVERSITY_MEAN_INTER_LIST: 0.9508342, DIVERSITY_HERFINDAHL: 0.9950788, COVERAGE_ITEM: 0.9380914, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4365634, SHANNON_ENTROPY: 12.0627773, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 256, 'shrink': 1841, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0715504, PRECISION: 0.0115557, PRECISION_RECALL_MIN_DEN: 0.0385190, RECALL: 0.0385190, MAP: 0.0185360, MRR: 0.0515170, NDCG: 0.0319211, F1: 0.0177780, HIT_RATE: 0.1155571, ARHR: 0.0535267, RMSE: 0.9913186, NOVELTY: 0.0053519, AVERAGE_POPULARITY: 0.5165603, DIVERSITY_MEAN_INTER_LIST: 0.8442475, DIVERSITY_HERFINDAHL: 0.9844207, COVERAGE_ITEM: 0.3034334, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0541363, SHANNON_ENTROPY: 7.2145988, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 86, 'shrink': 1454, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.0533588, PRECISION: 0.0080172, PRECISION_RECALL_MIN_DEN: 0.0267239, RECALL: 0.0267239, MAP: 0.0137813, MRR: 0.0385068, NDCG: 0.0231909, F1: 0.0123341, HIT_RATE: 0.0801716, ARHR: 0.0398920, RMSE: 0.9925385, NOVELTY: 0.0067583, AVERAGE_POPULARITY: 0.0290855, DIVERSITY_MEAN_INTER_LIST: 0.9508532, DIVERSITY_HERFINDAHL: 0.9950807, COVERAGE_ITEM: 0.9323060, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.4342081, SHANNON_ENTROPY: 12.0553099, 
SearchBayesianSkopt: New best config found. Config 4: {'topK': 316, 'shrink': 1578, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0918993, PRECISION: 0.0146893, PRECISION_RECALL_MIN_DEN: 0.0489643, RECALL: 0.0489643, MAP: 0.0246254, MRR: 0.0670528, NDCG: 0.0414647, F1: 0.0225989, HIT_RATE: 0.1468929, ARHR: 0.0704046, RMSE: 0.9459695, NOVELTY: 0.0057054, AVERAGE_POPULARITY: 0.3588377, DIVERSITY_MEAN_INTER_LIST: 0.9211146, DIVERSITY_HERFINDAHL: 0.9921070, COVERAGE_ITEM: 0.4488781, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0963059, SHANNON_ENTROPY: 8.8139433, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0810189, PRECISION: 0.0127031, PRECISION_RECALL_MIN_DEN: 0.0423436, RECALL: 0.0423436, MAP: 0.0213664, MRR: 0.0585652, NDCG: 0.0360240, F1: 0.0195432, HIT_RATE: 0.1270308, ARHR: 0.0612869, RMSE: 1.0236687, NOVELTY: 0.0059165, AVERAGE_POPULARITY: 0.2810315, DIVERSITY_MEAN_INTER_LIST: 0.9287861, DIVERSITY_HERFINDAHL: 0.9928741, COVERAGE_ITEM: 0.5390646, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1219642, SHANNON_ENTROPY: 9.3979494, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 488, 'shrink': 1977, 'similarity': 'cosine', 'normalize': False, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0699242, PRECISION: 0.0114352, PRECISION_RECALL_MIN_DEN: 0.0381173, RECALL: 0.0381173, MAP: 0.0181954, MRR: 0.0507071, NDCG: 0.0314362, F1: 0.0175926, HIT_RATE: 0.1143518, ARHR: 0.0526139, RMSE: 0.9601826, NOVELTY: 0.0052973, AVERAGE_POPULARITY: 0.5567033, DIVERSITY_MEAN_INTER_LIST: 0.8095762, DIVERSITY_HERFINDAHL: 0.9809537, COVERAGE_ITEM: 0.2310354, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0454661, SHANNON_ENTROPY: 6.7559561, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 5, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.1010842, PRECISION: 0.0162175, PRECISION_RECALL_MIN_DEN: 0.0540584, RECALL: 0.0540584, MAP: 0.0269592, MRR: 0.0728623, NDCG: 0.0454563, F1: 0.0249500, HIT_RATE: 0.1621752, ARHR: 0.0767708, RMSE: 0.9860936, NOVELTY: 0.0062547, AVERAGE_POPULARITY: 0.1784211, DIVERSITY_MEAN_INTER_LIST: 0.9335544, DIVERSITY_HERFINDAHL: 0.9933509, COVERAGE_ITEM: 0.5491214, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1599135, SHANNON_ENTROPY: 10.0062766, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 6, 'shrink': 1995, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0989774, PRECISION: 0.0158897, PRECISION_RECALL_MIN_DEN: 0.0529657, RECALL: 0.0529657, MAP: 0.0262383, MRR: 0.0710952, NDCG: 0.0443929, F1: 0.0244457, HIT_RATE: 0.1588970, ARHR: 0.0748166, RMSE: 0.9868425, NOVELTY: 0.0061112, AVERAGE_POPULARITY: 0.2071982, DIVERSITY_MEAN_INTER_LIST: 0.9380324, DIVERSITY_HERFINDAHL: 0.9937987, COVERAGE_ITEM: 0.4888348, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1431402, SHANNON_ENTROPY: 9.8268887, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 489, 'shrink': 1025, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.0920331, PRECISION: 0.0146025, PRECISION_RECALL_MIN_DEN: 0.0486751, RECALL: 0.0486751, MAP: 0.0245824, MRR: 0.0670169, NDCG: 0.0413478, F1: 0.0224654, HIT_RATE: 0.1460252, ARHR: 0.0703156, RMSE: 0.9352904, NOVELTY: 0.0057413, AVERAGE_POPULARITY: 0.3564303, DIVERSITY_MEAN_INTER_LIST: 0.9184645, DIVERSITY_HERFINDAHL: 0.9918420, COVERAGE_ITEM: 0.5353879, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1048496, SHANNON_ENTROPY: 8.9196501, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 6, 'shrink': 1019, 'similarity': 'cosine', 'normalize': True, 'feature_weighting': 'none'} - results: ROC_AUC: 0.0823863, PRECISION: 0.0128959, PRECISION_RECALL_MIN_DEN: 0.0429864, RECALL: 0.0429864, MAP: 0.0216287, MRR: 0.0593860, NDCG: 0.0365280, F1: 0.0198399, HIT_RATE: 0.1289592, ARHR: 0.0620961, RMSE: 0.9967201, NOVELTY: 0.0059154, AVERAGE_POPULARITY: 0.2795284, DIVERSITY_MEAN_INTER_LIST: 0.9270340, DIVERSITY_HERFINDAHL: 0.9926989, COVERAGE_ITEM: 0.4461206, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1244667, SHANNON_ENTROPY: 9.2997863, 
