SearchBayesianSkopt: New best config found. Config 0: {'topK': 483, 'shrink': 1572, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0711723, PRECISION: 0.0114063, PRECISION_RECALL_MIN_DEN: 0.0380209, RECALL: 0.0380209, MAP: 0.0185446, MRR: 0.0515053, NDCG: 0.0317666, F1: 0.0175481, HIT_RATE: 0.1140626, ARHR: 0.0535356, RMSE: 0.9899172, NOVELTY: 0.0053204, AVERAGE_POPULARITY: 0.5307259, DIVERSITY_MEAN_INTER_LIST: 0.8312744, DIVERSITY_HERFINDAHL: 0.9831234, COVERAGE_ITEM: 0.2627737, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0482111, SHANNON_ENTROPY: 7.0015977, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 332, 'shrink': 1700, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0728523, PRECISION: 0.0116473, PRECISION_RECALL_MIN_DEN: 0.0388243, RECALL: 0.0388243, MAP: 0.0190565, MRR: 0.0529998, NDCG: 0.0325771, F1: 0.0179189, HIT_RATE: 0.1164730, ARHR: 0.0550550, RMSE: 0.9912880, NOVELTY: 0.0053516, AVERAGE_POPULARITY: 0.5141115, DIVERSITY_MEAN_INTER_LIST: 0.8469572, DIVERSITY_HERFINDAHL: 0.9846916, COVERAGE_ITEM: 0.2885645, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0525954, SHANNON_ENTROPY: 7.2114864, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 69, 'shrink': 1451, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0801631, PRECISION: 0.0125343, PRECISION_RECALL_MIN_DEN: 0.0417812, RECALL: 0.0417812, MAP: 0.0210928, MRR: 0.0580440, NDCG: 0.0355897, F1: 0.0192836, HIT_RATE: 0.1253435, ARHR: 0.0606094, RMSE: 0.9941758, NOVELTY: 0.0055479, AVERAGE_POPULARITY: 0.4126584, DIVERSITY_MEAN_INTER_LIST: 0.9065003, DIVERSITY_HERFINDAHL: 0.9906457, COVERAGE_ITEM: 0.3988646, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0794613, SHANNON_ENTROPY: 8.3155074, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 42, 'shrink': 1473, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0806405, PRECISION: 0.0127899, PRECISION_RECALL_MIN_DEN: 0.0426329, RECALL: 0.0426329, MAP: 0.0211926, MRR: 0.0580944, NDCG: 0.0359297, F1: 0.0196767, HIT_RATE: 0.1278986, ARHR: 0.0607835, RMSE: 0.9953331, NOVELTY: 0.0056203, AVERAGE_POPULARITY: 0.3823707, DIVERSITY_MEAN_INTER_LIST: 0.9170460, DIVERSITY_HERFINDAHL: 0.9917002, COVERAGE_ITEM: 0.4353609, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0881474, SHANNON_ENTROPY: 8.6141620, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 230, 'shrink': 1197, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0764558, PRECISION: 0.0121246, PRECISION_RECALL_MIN_DEN: 0.0404152, RECALL: 0.0404152, MAP: 0.0200688, MRR: 0.0555014, NDCG: 0.0341111, F1: 0.0186532, HIT_RATE: 0.1212457, ARHR: 0.0578178, RMSE: 0.9898011, NOVELTY: 0.0054033, AVERAGE_POPULARITY: 0.4842769, DIVERSITY_MEAN_INTER_LIST: 0.8698029, DIVERSITY_HERFINDAHL: 0.9869761, COVERAGE_ITEM: 0.3133279, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593420, SHANNON_ENTROPY: 7.5421118, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 499, 'shrink': 1987, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0699903, PRECISION: 0.0113050, PRECISION_RECALL_MIN_DEN: 0.0376834, RECALL: 0.0376834, MAP: 0.0181787, MRR: 0.0505576, NDCG: 0.0312798, F1: 0.0173923, HIT_RATE: 0.1130502, ARHR: 0.0525134, RMSE: 0.9915311, NOVELTY: 0.0053092, AVERAGE_POPULARITY: 0.5381109, DIVERSITY_MEAN_INTER_LIST: 0.8238492, DIVERSITY_HERFINDAHL: 0.9823810, COVERAGE_ITEM: 0.2605028, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0468141, SHANNON_ENTROPY: 6.9212234, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 14, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0849337, PRECISION: 0.0133394, PRECISION_RECALL_MIN_DEN: 0.0444648, RECALL: 0.0444648, MAP: 0.0221269, MRR: 0.0606775, NDCG: 0.0375115, F1: 0.0205222, HIT_RATE: 0.1333944, ARHR: 0.0634739, RMSE: 0.9962522, NOVELTY: 0.0057863, AVERAGE_POPULARITY: 0.3153620, DIVERSITY_MEAN_INTER_LIST: 0.9295626, DIVERSITY_HERFINDAHL: 0.9929518, COVERAGE_ITEM: 0.4517437, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1068384, SHANNON_ENTROPY: 9.1129142, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 6, 'shrink': 1994, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0825655, PRECISION: 0.0129923, PRECISION_RECALL_MIN_DEN: 0.0433078, RECALL: 0.0433078, MAP: 0.0216676, MRR: 0.0594409, NDCG: 0.0366607, F1: 0.0199882, HIT_RATE: 0.1299233, ARHR: 0.0621825, RMSE: 0.9983383, NOVELTY: 0.0059023, AVERAGE_POPULARITY: 0.2822597, DIVERSITY_MEAN_INTER_LIST: 0.9268892, DIVERSITY_HERFINDAHL: 0.9926845, COVERAGE_ITEM: 0.4439038, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1225339, SHANNON_ENTROPY: 9.2767536, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 1000, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0850087, PRECISION: 0.0133443, PRECISION_RECALL_MIN_DEN: 0.0444809, RECALL: 0.0444809, MAP: 0.0224544, MRR: 0.0615197, NDCG: 0.0378447, F1: 0.0205296, HIT_RATE: 0.1334426, ARHR: 0.0643942, RMSE: 0.9974496, NOVELTY: 0.0059256, AVERAGE_POPULARITY: 0.2682843, DIVERSITY_MEAN_INTER_LIST: 0.9273888, DIVERSITY_HERFINDAHL: 0.9927344, COVERAGE_ITEM: 0.4320627, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1242588, SHANNON_ENTROPY: 9.3298802, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 499, 'shrink': 1006, 'similarity': 'dice', 'normalize': False} - results: ROC_AUC: 0.0730018, PRECISION: 0.0116618, PRECISION_RECALL_MIN_DEN: 0.0388726, RECALL: 0.0388726, MAP: 0.0191676, MRR: 0.0531079, NDCG: 0.0326714, F1: 0.0179412, HIT_RATE: 0.1166177, ARHR: 0.0552697, RMSE: 0.9860318, NOVELTY: 0.0053388, AVERAGE_POPULARITY: 0.5186217, DIVERSITY_MEAN_INTER_LIST: 0.8422571, DIVERSITY_HERFINDAHL: 0.9842217, COVERAGE_ITEM: 0.2633144, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0501830, SHANNON_ENTROPY: 7.1247301, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1993, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0827981, PRECISION: 0.0129538, PRECISION_RECALL_MIN_DEN: 0.0431792, RECALL: 0.0431792, MAP: 0.0216289, MRR: 0.0595611, NDCG: 0.0366185, F1: 0.0199289, HIT_RATE: 0.1295377, ARHR: 0.0621836, RMSE: 0.9984421, NOVELTY: 0.0059315, AVERAGE_POPULARITY: 0.2730522, DIVERSITY_MEAN_INTER_LIST: 0.9261049, DIVERSITY_HERFINDAHL: 0.9926060, COVERAGE_ITEM: 0.4395783, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1264629, SHANNON_ENTROPY: 9.3158461, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1024, 'similarity': 'dice', 'normalize': True} - results: ROC_AUC: 0.0849745, PRECISION: 0.0133298, PRECISION_RECALL_MIN_DEN: 0.0444327, RECALL: 0.0444327, MAP: 0.0224468, MRR: 0.0615062, NDCG: 0.0378224, F1: 0.0205074, HIT_RATE: 0.1332980, ARHR: 0.0643760, RMSE: 0.9974889, NOVELTY: 0.0059261, AVERAGE_POPULARITY: 0.2683186, DIVERSITY_MEAN_INTER_LIST: 0.9273344, DIVERSITY_HERFINDAHL: 0.9927290, COVERAGE_ITEM: 0.4319546, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1243879, SHANNON_ENTROPY: 9.3298432, 
