SearchBayesianSkopt: New best config found. Config 0: {'topK': 483, 'shrink': 1572, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0714588, PRECISION: 0.0114014, PRECISION_RECALL_MIN_DEN: 0.0380048, RECALL: 0.0380048, MAP: 0.0186474, MRR: 0.0517993, NDCG: 0.0318732, F1: 0.0175407, HIT_RATE: 0.1140144, ARHR: 0.0538367, RMSE: 0.9898280, NOVELTY: 0.0053206, AVERAGE_POPULARITY: 0.5306725, DIVERSITY_MEAN_INTER_LIST: 0.8311202, DIVERSITY_HERFINDAHL: 0.9831080, COVERAGE_ITEM: 0.2625574, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0482146, SHANNON_ENTROPY: 7.0011401, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 332, 'shrink': 1700, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0729772, PRECISION: 0.0116618, PRECISION_RECALL_MIN_DEN: 0.0388726, RECALL: 0.0388726, MAP: 0.0190969, MRR: 0.0531224, NDCG: 0.0326375, F1: 0.0179412, HIT_RATE: 0.1166177, ARHR: 0.0551768, RMSE: 0.9912098, NOVELTY: 0.0053515, AVERAGE_POPULARITY: 0.5141866, DIVERSITY_MEAN_INTER_LIST: 0.8467056, DIVERSITY_HERFINDAHL: 0.9846665, COVERAGE_ITEM: 0.2882401, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0525801, SHANNON_ENTROPY: 7.2094011, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 69, 'shrink': 1451, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0804014, PRECISION: 0.0125392, PRECISION_RECALL_MIN_DEN: 0.0417972, RECALL: 0.0417972, MAP: 0.0211430, MRR: 0.0581588, NDCG: 0.0356466, F1: 0.0192910, HIT_RATE: 0.1253917, ARHR: 0.0607421, RMSE: 0.9940928, NOVELTY: 0.0055470, AVERAGE_POPULARITY: 0.4131630, DIVERSITY_MEAN_INTER_LIST: 0.9062152, DIVERSITY_HERFINDAHL: 0.9906172, COVERAGE_ITEM: 0.3986483, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0793749, SHANNON_ENTROPY: 8.3100806, 
SearchBayesianSkopt: New best config found. Config 3: {'topK': 42, 'shrink': 1473, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0808046, PRECISION: 0.0128188, PRECISION_RECALL_MIN_DEN: 0.0427293, RECALL: 0.0427293, MAP: 0.0212245, MRR: 0.0581426, NDCG: 0.0359866, F1: 0.0197212, HIT_RATE: 0.1281878, ARHR: 0.0608532, RMSE: 0.9952579, NOVELTY: 0.0056192, AVERAGE_POPULARITY: 0.3829676, DIVERSITY_MEAN_INTER_LIST: 0.9167893, DIVERSITY_HERFINDAHL: 0.9916745, COVERAGE_ITEM: 0.4348743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0880675, SHANNON_ENTROPY: 8.6082558, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 230, 'shrink': 1197, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0767092, PRECISION: 0.0121631, PRECISION_RECALL_MIN_DEN: 0.0405438, RECALL: 0.0405438, MAP: 0.0201572, MRR: 0.0557464, NDCG: 0.0342456, F1: 0.0187125, HIT_RATE: 0.1216314, ARHR: 0.0580729, RMSE: 0.9896777, NOVELTY: 0.0054031, AVERAGE_POPULARITY: 0.4844434, DIVERSITY_MEAN_INTER_LIST: 0.8694998, DIVERSITY_HERFINDAHL: 0.9869458, COVERAGE_ITEM: 0.3129494, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0593023, SHANNON_ENTROPY: 7.5387579, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 499, 'shrink': 1987, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0701376, PRECISION: 0.0113098, PRECISION_RECALL_MIN_DEN: 0.0376995, RECALL: 0.0376995, MAP: 0.0182515, MRR: 0.0507218, NDCG: 0.0313564, F1: 0.0173998, HIT_RATE: 0.1130984, ARHR: 0.0527047, RMSE: 0.9914675, NOVELTY: 0.0053093, AVERAGE_POPULARITY: 0.5380567, DIVERSITY_MEAN_INTER_LIST: 0.8237365, DIVERSITY_HERFINDAHL: 0.9823697, COVERAGE_ITEM: 0.2602866, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0468215, SHANNON_ENTROPY: 6.9209681, 
SearchBayesianSkopt: New best config found. Config 6: {'topK': 14, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0850878, PRECISION: 0.0133346, PRECISION_RECALL_MIN_DEN: 0.0444487, RECALL: 0.0444487, MAP: 0.0221307, MRR: 0.0606964, NDCG: 0.0375165, F1: 0.0205148, HIT_RATE: 0.1333462, ARHR: 0.0634895, RMSE: 0.9961483, NOVELTY: 0.0057849, AVERAGE_POPULARITY: 0.3161161, DIVERSITY_MEAN_INTER_LIST: 0.9293857, DIVERSITY_HERFINDAHL: 0.9929341, COVERAGE_ITEM: 0.4515815, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1066790, SHANNON_ENTROPY: 9.1062345, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 6, 'shrink': 1994, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0825852, PRECISION: 0.0129779, PRECISION_RECALL_MIN_DEN: 0.0432596, RECALL: 0.0432596, MAP: 0.0216520, MRR: 0.0593924, NDCG: 0.0366302, F1: 0.0199660, HIT_RATE: 0.1297787, ARHR: 0.0621348, RMSE: 0.9983023, NOVELTY: 0.0059016, AVERAGE_POPULARITY: 0.2826361, DIVERSITY_MEAN_INTER_LIST: 0.9268260, DIVERSITY_HERFINDAHL: 0.9926781, COVERAGE_ITEM: 0.4439038, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1224398, SHANNON_ENTROPY: 9.2738973, 
SearchBayesianSkopt: New best config found. Config 8: {'topK': 5, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0851403, PRECISION: 0.0133491, PRECISION_RECALL_MIN_DEN: 0.0444969, RECALL: 0.0444969, MAP: 0.0224921, MRR: 0.0616400, NDCG: 0.0378930, F1: 0.0205370, HIT_RATE: 0.1334908, ARHR: 0.0645108, RMSE: 0.9973591, NOVELTY: 0.0059245, AVERAGE_POPULARITY: 0.2687878, DIVERSITY_MEAN_INTER_LIST: 0.9273067, DIVERSITY_HERFINDAHL: 0.9927262, COVERAGE_ITEM: 0.4318464, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1241058, SHANNON_ENTROPY: 9.3253281, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 499, 'shrink': 1006, 'similarity': 'jaccard', 'normalize': False} - results: ROC_AUC: 0.0734247, PRECISION: 0.0116810, PRECISION_RECALL_MIN_DEN: 0.0389368, RECALL: 0.0389368, MAP: 0.0192787, MRR: 0.0534118, NDCG: 0.0328104, F1: 0.0179708, HIT_RATE: 0.1168105, ARHR: 0.0555884, RMSE: 0.9858707, NOVELTY: 0.0053391, AVERAGE_POPULARITY: 0.5184377, DIVERSITY_MEAN_INTER_LIST: 0.8421860, DIVERSITY_HERFINDAHL: 0.9842145, COVERAGE_ITEM: 0.2630981, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0501943, SHANNON_ENTROPY: 7.1254150, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 5, 'shrink': 1993, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0828142, PRECISION: 0.0129538, PRECISION_RECALL_MIN_DEN: 0.0431792, RECALL: 0.0431792, MAP: 0.0216362, MRR: 0.0595829, NDCG: 0.0366263, F1: 0.0199289, HIT_RATE: 0.1295377, ARHR: 0.0622054, RMSE: 0.9984069, NOVELTY: 0.0059308, AVERAGE_POPULARITY: 0.2733877, DIVERSITY_MEAN_INTER_LIST: 0.9260521, DIVERSITY_HERFINDAHL: 0.9926007, COVERAGE_ITEM: 0.4395242, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1263780, SHANNON_ENTROPY: 9.3132901, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 5, 'shrink': 1024, 'similarity': 'jaccard', 'normalize': True} - results: ROC_AUC: 0.0850656, PRECISION: 0.0133539, PRECISION_RECALL_MIN_DEN: 0.0445130, RECALL: 0.0445130, MAP: 0.0224839, MRR: 0.0616152, NDCG: 0.0378871, F1: 0.0205445, HIT_RATE: 0.1335390, ARHR: 0.0644860, RMSE: 0.9974010, NOVELTY: 0.0059250, AVERAGE_POPULARITY: 0.2688720, DIVERSITY_MEAN_INTER_LIST: 0.9272471, DIVERSITY_HERFINDAHL: 0.9927202, COVERAGE_ITEM: 0.4317924, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1242010, SHANNON_ENTROPY: 9.3249520, 
