SearchBayesianSkopt: New best config found. Config 0: {'topK': 483, 'shrink': 1572, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.3221801120990497, 'tversky_beta': 1.3990642908747175} - results: ROC_AUC: 0.0727886, PRECISION: 0.0115509, PRECISION_RECALL_MIN_DEN: 0.0385029, RECALL: 0.0385029, MAP: 0.0190808, MRR: 0.0528432, NDCG: 0.0324643, F1: 0.0177706, HIT_RATE: 0.1155088, ARHR: 0.0550078, RMSE: 0.9905636, NOVELTY: 0.0053330, AVERAGE_POPULARITY: 0.5226249, DIVERSITY_MEAN_INTER_LIST: 0.8385256, DIVERSITY_HERFINDAHL: 0.9838485, COVERAGE_ITEM: 0.2633685, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0496123, SHANNON_ENTROPY: 7.0847434, 
SearchBayesianSkopt: New best config found. Config 1: {'topK': 222, 'shrink': 1314, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.013265264412979, 'tversky_beta': 1.6816525259206694} - results: ROC_AUC: 0.0764509, PRECISION: 0.0122162, PRECISION_RECALL_MIN_DEN: 0.0407206, RECALL: 0.0407206, MAP: 0.0201861, MRR: 0.0558488, NDCG: 0.0343258, F1: 0.0187941, HIT_RATE: 0.1221617, ARHR: 0.0581650, RMSE: 0.9913404, NOVELTY: 0.0054020, AVERAGE_POPULARITY: 0.4851556, DIVERSITY_MEAN_INTER_LIST: 0.8696672, DIVERSITY_HERFINDAHL: 0.9869625, COVERAGE_ITEM: 0.3131657, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0591833, SHANNON_ENTROPY: 7.5368470, 
SearchBayesianSkopt: New best config found. Config 2: {'topK': 42, 'shrink': 1473, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.907276635996173, 'tversky_beta': 0.39418825987264794} - results: ROC_AUC: 0.0799972, PRECISION: 0.0125343, PRECISION_RECALL_MIN_DEN: 0.0417812, RECALL: 0.0417812, MAP: 0.0210424, MRR: 0.0578405, NDCG: 0.0355309, F1: 0.0192836, HIT_RATE: 0.1253435, ARHR: 0.0604391, RMSE: 0.9946914, NOVELTY: 0.0056233, AVERAGE_POPULARITY: 0.3828751, DIVERSITY_MEAN_INTER_LIST: 0.9161834, DIVERSITY_HERFINDAHL: 0.9916139, COVERAGE_ITEM: 0.4401190, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0895855, SHANNON_ENTROPY: 8.6220478, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 279, 'shrink': 1460, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6401363746360962, 'tversky_beta': 0.9736577084023836} - results: ROC_AUC: 0.0774672, PRECISION: 0.0121921, PRECISION_RECALL_MIN_DEN: 0.0406402, RECALL: 0.0406402, MAP: 0.0204345, MRR: 0.0565993, NDCG: 0.0345862, F1: 0.0187570, HIT_RATE: 0.1219206, ARHR: 0.0589212, RMSE: 0.9911017, NOVELTY: 0.0054009, AVERAGE_POPULARITY: 0.4834180, DIVERSITY_MEAN_INTER_LIST: 0.8699249, DIVERSITY_HERFINDAHL: 0.9869883, COVERAGE_ITEM: 0.3001892, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0583096, SHANNON_ENTROPY: 7.5211170, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 408, 'shrink': 1075, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.6877551659880234, 'tversky_beta': 1.6949390648935998} - results: ROC_AUC: 0.0771969, PRECISION: 0.0122596, PRECISION_RECALL_MIN_DEN: 0.0408652, RECALL: 0.0408652, MAP: 0.0204617, MRR: 0.0563740, NDCG: 0.0346201, F1: 0.0188609, HIT_RATE: 0.1225956, ARHR: 0.0588393, RMSE: 0.9891779, NOVELTY: 0.0053877, AVERAGE_POPULARITY: 0.4895205, DIVERSITY_MEAN_INTER_LIST: 0.8648908, DIVERSITY_HERFINDAHL: 0.9864849, COVERAGE_ITEM: 0.2790484, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0561024, SHANNON_ENTROPY: 7.4297932, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 53, 'shrink': 1932, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.04562261309134175, 'tversky_beta': 0.019837056806003787} - results: ROC_AUC: 0.0763610, PRECISION: 0.0120715, PRECISION_RECALL_MIN_DEN: 0.0402385, RECALL: 0.0402385, MAP: 0.0200278, MRR: 0.0551889, NDCG: 0.0339886, F1: 0.0185716, HIT_RATE: 0.1207154, ARHR: 0.0576025, RMSE: 0.9946097, NOVELTY: 0.0055494, AVERAGE_POPULARITY: 0.4209093, DIVERSITY_MEAN_INTER_LIST: 0.9008593, DIVERSITY_HERFINDAHL: 0.9900816, COVERAGE_ITEM: 0.4238984, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0825312, SHANNON_ENTROPY: 8.2974822, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 499, 'shrink': 1993, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.028376721044676596, 'tversky_beta': 1.717116112960094} - results: ROC_AUC: 0.0663391, PRECISION: 0.0108519, PRECISION_RECALL_MIN_DEN: 0.0361728, RECALL: 0.0361728, MAP: 0.0172416, MRR: 0.0481115, NDCG: 0.0298141, F1: 0.0166952, HIT_RATE: 0.1085185, ARHR: 0.0498867, RMSE: 0.9913603, NOVELTY: 0.0052808, AVERAGE_POPULARITY: 0.5571974, DIVERSITY_MEAN_INTER_LIST: 0.8026195, DIVERSITY_HERFINDAHL: 0.9802581, COVERAGE_ITEM: 0.2523385, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0443049, SHANNON_ENTROPY: 6.7176497, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 487, 'shrink': 1010, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9735064007479362, 'tversky_beta': 0.04647573350129198} - results: ROC_AUC: 0.0779663, PRECISION: 0.0122788, PRECISION_RECALL_MIN_DEN: 0.0409295, RECALL: 0.0409295, MAP: 0.0207663, MRR: 0.0573604, NDCG: 0.0349859, F1: 0.0188905, HIT_RATE: 0.1227884, ARHR: 0.0597911, RMSE: 0.9854486, NOVELTY: 0.0054126, AVERAGE_POPULARITY: 0.4711416, DIVERSITY_MEAN_INTER_LIST: 0.8756469, DIVERSITY_HERFINDAHL: 0.9875605, COVERAGE_ITEM: 0.2726142, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0584365, SHANNON_ENTROPY: 7.5599823, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 8, 'shrink': 1070, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.087280110755823, 'tversky_beta': 0.036288850217419906} - results: ROC_AUC: 0.0791450, PRECISION: 0.0123560, PRECISION_RECALL_MIN_DEN: 0.0411866, RECALL: 0.0411866, MAP: 0.0206029, MRR: 0.0568202, NDCG: 0.0349202, F1: 0.0190092, HIT_RATE: 0.1235598, ARHR: 0.0592817, RMSE: 0.9959196, NOVELTY: 0.0058575, AVERAGE_POPULARITY: 0.3034576, DIVERSITY_MEAN_INTER_LIST: 0.9259757, DIVERSITY_HERFINDAHL: 0.9925931, COVERAGE_ITEM: 0.4475804, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1195057, SHANNON_ENTROPY: 9.1864156, 
SearchBayesianSkopt: New best config found. Config 9: {'topK': 5, 'shrink': 1948, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9922581781061142, 'tversky_beta': 1.9917188051772325} - results: ROC_AUC: 0.0852226, PRECISION: 0.0133973, PRECISION_RECALL_MIN_DEN: 0.0446576, RECALL: 0.0446576, MAP: 0.0225496, MRR: 0.0617827, NDCG: 0.0379989, F1: 0.0206112, HIT_RATE: 0.1339729, ARHR: 0.0646684, RMSE: 0.9986164, NOVELTY: 0.0059241, AVERAGE_POPULARITY: 0.2688311, DIVERSITY_MEAN_INTER_LIST: 0.9273108, DIVERSITY_HERFINDAHL: 0.9927266, COVERAGE_ITEM: 0.4313598, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1240463, SHANNON_ENTROPY: 9.3240241, 
SearchBayesianSkopt: New best config found. Config 10: {'topK': 26, 'shrink': 1016, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.990850720219097, 'tversky_beta': 1.859620697892714} - results: ROC_AUC: 0.0858499, PRECISION: 0.0136817, PRECISION_RECALL_MIN_DEN: 0.0456057, RECALL: 0.0456057, MAP: 0.0227860, MRR: 0.0622374, NDCG: 0.0385033, F1: 0.0210488, HIT_RATE: 0.1368172, ARHR: 0.0652379, RMSE: 0.9961823, NOVELTY: 0.0057235, AVERAGE_POPULARITY: 0.3318139, DIVERSITY_MEAN_INTER_LIST: 0.9296649, DIVERSITY_HERFINDAHL: 0.9929620, COVERAGE_ITEM: 0.4357394, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0972936, SHANNON_ENTROPY: 8.9811045, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 468, 'shrink': 1998, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9918852722489357, 'tversky_beta': 0.08952820582211342} - results: ROC_AUC: 0.0738528, PRECISION: 0.0117148, PRECISION_RECALL_MIN_DEN: 0.0390493, RECALL: 0.0390493, MAP: 0.0194069, MRR: 0.0536833, NDCG: 0.0329728, F1: 0.0180228, HIT_RATE: 0.1171480, ARHR: 0.0559176, RMSE: 0.9915157, NOVELTY: 0.0053487, AVERAGE_POPULARITY: 0.5112323, DIVERSITY_MEAN_INTER_LIST: 0.8483711, DIVERSITY_HERFINDAHL: 0.9848330, COVERAGE_ITEM: 0.2647743, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0513368, SHANNON_ENTROPY: 7.1916737, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 23, 'shrink': 1022, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.1554584188516697, 'tversky_beta': 1.9376930923187845} - results: ROC_AUC: 0.0833029, PRECISION: 0.0133250, PRECISION_RECALL_MIN_DEN: 0.0444166, RECALL: 0.0444166, MAP: 0.0218119, MRR: 0.0599015, NDCG: 0.0371656, F1: 0.0205000, HIT_RATE: 0.1332498, ARHR: 0.0626209, RMSE: 0.9957540, NOVELTY: 0.0056578, AVERAGE_POPULARITY: 0.3647549, DIVERSITY_MEAN_INTER_LIST: 0.9228004, DIVERSITY_HERFINDAHL: 0.9922756, COVERAGE_ITEM: 0.4259530, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0905960, SHANNON_ENTROPY: 8.7367683, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 7, 'shrink': 1897, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9415550677215814, 'tversky_beta': 0.04960482919282484} - results: ROC_AUC: 0.0814607, PRECISION: 0.0126645, PRECISION_RECALL_MIN_DEN: 0.0422150, RECALL: 0.0422150, MAP: 0.0214619, MRR: 0.0590666, NDCG: 0.0361284, F1: 0.0194839, HIT_RATE: 0.1266451, ARHR: 0.0616864, RMSE: 0.9980607, NOVELTY: 0.0059133, AVERAGE_POPULARITY: 0.2778526, DIVERSITY_MEAN_INTER_LIST: 0.9284304, DIVERSITY_HERFINDAHL: 0.9928386, COVERAGE_ITEM: 0.4440119, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1244382, SHANNON_ENTROPY: 9.3143189, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 487, 'shrink': 1002, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.012279209278906581, 'tversky_beta': 1.8942046283238598} - results: ROC_AUC: 0.0673646, PRECISION: 0.0110013, PRECISION_RECALL_MIN_DEN: 0.0366710, RECALL: 0.0366710, MAP: 0.0174771, MRR: 0.0486796, NDCG: 0.0302110, F1: 0.0169251, HIT_RATE: 0.1100130, ARHR: 0.0505227, RMSE: 0.9859621, NOVELTY: 0.0052863, AVERAGE_POPULARITY: 0.5529802, DIVERSITY_MEAN_INTER_LIST: 0.8102191, DIVERSITY_HERFINDAHL: 0.9810180, COVERAGE_ITEM: 0.2521763, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0447613, SHANNON_ENTROPY: 6.7702761, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 8, 'shrink': 1973, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.20111250865976388, 'tversky_beta': 1.981020299489284} - results: ROC_AUC: 0.0838358, PRECISION: 0.0132527, PRECISION_RECALL_MIN_DEN: 0.0441755, RECALL: 0.0441755, MAP: 0.0219652, MRR: 0.0602042, NDCG: 0.0372422, F1: 0.0203887, HIT_RATE: 0.1325266, ARHR: 0.0630093, RMSE: 0.9981873, NOVELTY: 0.0058237, AVERAGE_POPULARITY: 0.3073487, DIVERSITY_MEAN_INTER_LIST: 0.9264915, DIVERSITY_HERFINDAHL: 0.9926447, COVERAGE_ITEM: 0.4324953, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1126328, SHANNON_ENTROPY: 9.1209378, 
SearchBayesianSkopt: New best config found. Config 16: {'topK': 5, 'shrink': 1000, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 2.0, 'tversky_beta': 2.0} - results: ROC_AUC: 0.0887177, PRECISION: 0.0138938, PRECISION_RECALL_MIN_DEN: 0.0463128, RECALL: 0.0463128, MAP: 0.0234683, MRR: 0.0641998, NDCG: 0.0394841, F1: 0.0213751, HIT_RATE: 0.1389384, ARHR: 0.0672476, RMSE: 0.9979196, NOVELTY: 0.0059270, AVERAGE_POPULARITY: 0.2614602, DIVERSITY_MEAN_INTER_LIST: 0.9295904, DIVERSITY_HERFINDAHL: 0.9929546, COVERAGE_ITEM: 0.4204920, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1245047, SHANNON_ENTROPY: 9.3716512, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 25, 'shrink': 1015, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9573362567551476, 'tversky_beta': 0.04807872763297928} - results: ROC_AUC: 0.0823549, PRECISION: 0.0128236, PRECISION_RECALL_MIN_DEN: 0.0427453, RECALL: 0.0427453, MAP: 0.0218784, MRR: 0.0599201, NDCG: 0.0366722, F1: 0.0197286, HIT_RATE: 0.1282360, ARHR: 0.0627215, RMSE: 0.9946667, NOVELTY: 0.0057696, AVERAGE_POPULARITY: 0.3151931, DIVERSITY_MEAN_INTER_LIST: 0.9317265, DIVERSITY_HERFINDAHL: 0.9931682, COVERAGE_ITEM: 0.4674236, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1052822, SHANNON_ENTROPY: 9.1372912, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 9, 'shrink': 1074, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.1401183807084623, 'tversky_beta': 0.05002900016250812} - results: ROC_AUC: 0.0790665, PRECISION: 0.0124186, PRECISION_RECALL_MIN_DEN: 0.0413955, RECALL: 0.0413955, MAP: 0.0206931, MRR: 0.0569032, NDCG: 0.0350461, F1: 0.0191056, HIT_RATE: 0.1241865, ARHR: 0.0594556, RMSE: 0.9957853, NOVELTY: 0.0058396, AVERAGE_POPULARITY: 0.3092501, DIVERSITY_MEAN_INTER_LIST: 0.9260421, DIVERSITY_HERFINDAHL: 0.9925997, COVERAGE_ITEM: 0.4494188, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1175221, SHANNON_ENTROPY: 9.1554560, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 491, 'shrink': 1980, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8569233752858731, 'tversky_beta': 1.9157669367730892} - results: ROC_AUC: 0.0733844, PRECISION: 0.0116714, PRECISION_RECALL_MIN_DEN: 0.0389047, RECALL: 0.0389047, MAP: 0.0193057, MRR: 0.0534193, NDCG: 0.0328171, F1: 0.0179560, HIT_RATE: 0.1167141, ARHR: 0.0556308, RMSE: 0.9926454, NOVELTY: 0.0053370, AVERAGE_POPULARITY: 0.5198877, DIVERSITY_MEAN_INTER_LIST: 0.8408810, DIVERSITY_HERFINDAHL: 0.9840840, COVERAGE_ITEM: 0.2634766, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.0499615, SHANNON_ENTROPY: 7.1107450, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 19, 'shrink': 1995, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.953023183613094, 'tversky_beta': 1.8668662678461332} - results: ROC_AUC: 0.0837532, PRECISION: 0.0132575, PRECISION_RECALL_MIN_DEN: 0.0441916, RECALL: 0.0441916, MAP: 0.0219523, MRR: 0.0600967, NDCG: 0.0372168, F1: 0.0203961, HIT_RATE: 0.1325748, ARHR: 0.0629255, RMSE: 0.9977347, NOVELTY: 0.0057422, AVERAGE_POPULARITY: 0.3318857, DIVERSITY_MEAN_INTER_LIST: 0.9281800, DIVERSITY_HERFINDAHL: 0.9928135, COVERAGE_ITEM: 0.4590430, COVERAGE_USER: 1.0000000, DIVERSITY_GINI: 0.1014966, SHANNON_ENTROPY: 9.0123429, 
