CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 605, 'shrink': 840, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.046445±0.0010, PRECISION: 0.006486±0.0001, PRECISION_RECALL_MIN_DEN: 0.064858±0.0014, RECALL: 0.064858±0.0014, MAP: 0.033014±0.0009, MRR: 0.033014±0.0009, NDCG: 0.040531±0.0010, F1: 0.011792±0.0003, HIT_RATE: 0.064858±0.0014, ARHR: 0.033014±0.0009, RMSE: 0.962192±0.0002, NOVELTY: 0.005538±0.0000, AVERAGE_POPULARITY: 0.086055±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.997478±0.0000, DIVERSITY_HERFINDAHL: 0.999743±0.0000, COVERAGE_ITEM: 0.937637±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.451648±0.0015, SHANNON_ENTROPY: 13.156309±0.0045, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 620, 'shrink': 1459, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.045999±0.0013, PRECISION: 0.006446±0.0001, PRECISION_RECALL_MIN_DEN: 0.064465±0.0015, RECALL: 0.064465±0.0015, MAP: 0.033059±0.0010, MRR: 0.033059±0.0010, NDCG: 0.040455±0.0011, F1: 0.011721±0.0003, HIT_RATE: 0.064465±0.0015, ARHR: 0.033059±0.0010, RMSE: 5.746621±0.0493, NOVELTY: 0.005158±0.0000, AVERAGE_POPULARITY: 0.703911±0.0078, DIVERSITY_MEAN_INTER_LIST: 0.774083±0.0016, DIVERSITY_HERFINDAHL: 0.977405±0.0002, COVERAGE_ITEM: 0.327613±0.0048, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.051363±0.0004, SHANNON_ENTROPY: 6.868735±0.0078, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 760, 'shrink': 129, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.051671±0.0009, PRECISION: 0.007157±0.0001, PRECISION_RECALL_MIN_DEN: 0.071570±0.0012, RECALL: 0.071570±0.0012, MAP: 0.037007±0.0008, MRR: 0.037007±0.0008, NDCG: 0.045171±0.0007, F1: 0.013013±0.0002, HIT_RATE: 0.071570±0.0012, ARHR: 0.037007±0.0008, RMSE: 0.849315±0.0035, NOVELTY: 0.004931±0.0000, AVERAGE_POPULARITY: 0.257704±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.978601±0.0001, DIVERSITY_HERFINDAHL: 0.997855±0.0000, COVERAGE_ITEM: 0.847451±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.307549±0.0006, SHANNON_ENTROPY: 11.722021±0.0039, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 717, 'shrink': 12, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.043787±0.0009, PRECISION: 0.006131±0.0001, PRECISION_RECALL_MIN_DEN: 0.061306±0.0009, RECALL: 0.061306±0.0009, MAP: 0.031381±0.0008, MRR: 0.031381±0.0008, NDCG: 0.038435±0.0008, F1: 0.011147±0.0002, HIT_RATE: 0.061306±0.0009, ARHR: 0.031381±0.0008, RMSE: 0.890713±0.0003, NOVELTY: 0.004281±0.0000, AVERAGE_POPULARITY: 0.189153±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.987432±0.0001, DIVERSITY_HERFINDAHL: 0.998738±0.0000, COVERAGE_ITEM: 0.800811±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.333029±0.0006, SHANNON_ENTROPY: 12.130456±0.0029, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 609, 'shrink': 1178, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.046020±0.0013, PRECISION: 0.006443±0.0002, PRECISION_RECALL_MIN_DEN: 0.064426±0.0016, RECALL: 0.064426±0.0016, MAP: 0.033115±0.0010, MRR: 0.033115±0.0010, NDCG: 0.040490±0.0011, F1: 0.011714±0.0003, HIT_RATE: 0.064426±0.0016, ARHR: 0.033115±0.0010, RMSE: 1.225603±0.0080, NOVELTY: 0.005160±0.0000, AVERAGE_POPULARITY: 0.702956±0.0078, DIVERSITY_MEAN_INTER_LIST: 0.775374±0.0016, DIVERSITY_HERFINDAHL: 0.977534±0.0002, COVERAGE_ITEM: 0.328792±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.051659±0.0004, SHANNON_ENTROPY: 6.881172±0.0074, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 956, 'shrink': 1251, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.042359±0.0010, PRECISION: 0.005992±0.0001, PRECISION_RECALL_MIN_DEN: 0.059923±0.0015, RECALL: 0.059923±0.0015, MAP: 0.030544±0.0009, MRR: 0.030544±0.0009, NDCG: 0.037446±0.0010, F1: 0.010895±0.0003, HIT_RATE: 0.059923±0.0015, ARHR: 0.030544±0.0009, RMSE: 0.968061±0.0002, NOVELTY: 0.005153±0.0000, AVERAGE_POPULARITY: 0.719426±0.0076, DIVERSITY_MEAN_INTER_LIST: 0.726906±0.0023, DIVERSITY_HERFINDAHL: 0.972687±0.0002, COVERAGE_ITEM: 0.410770±0.0078, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.054568±0.0006, SHANNON_ENTROPY: 6.645406±0.0120, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 486, 'shrink': 441, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.054621±0.0008, PRECISION: 0.007807±0.0001, PRECISION_RECALL_MIN_DEN: 0.078070±0.0014, RECALL: 0.078070±0.0014, MAP: 0.038879±0.0007, MRR: 0.038879±0.0007, NDCG: 0.048085±0.0008, F1: 0.014195±0.0002, HIT_RATE: 0.078070±0.0014, ARHR: 0.038879±0.0007, RMSE: 2.900350±0.0141, NOVELTY: 0.005414±0.0000, AVERAGE_POPULARITY: 0.598176±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.871479±0.0008, DIVERSITY_HERFINDAHL: 0.987144±0.0001, COVERAGE_ITEM: 0.520541±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.087256±0.0008, SHANNON_ENTROPY: 8.191895±0.0144, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 469, 'shrink': 966, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.046383±0.0012, PRECISION: 0.006545±0.0002, PRECISION_RECALL_MIN_DEN: 0.065454±0.0015, RECALL: 0.065454±0.0015, MAP: 0.033459±0.0010, MRR: 0.033459±0.0010, NDCG: 0.040980±0.0011, F1: 0.011901±0.0003, HIT_RATE: 0.065454±0.0015, ARHR: 0.033459±0.0010, RMSE: 1.372347±0.0094, NOVELTY: 0.005187±0.0000, AVERAGE_POPULARITY: 0.688719±0.0076, DIVERSITY_MEAN_INTER_LIST: 0.793097±0.0013, DIVERSITY_HERFINDAHL: 0.979306±0.0001, COVERAGE_ITEM: 0.348948±0.0044, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.055653±0.0005, SHANNON_ENTROPY: 7.063377±0.0086, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 873, 'shrink': 1712, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.060903±0.0011, PRECISION: 0.008462±0.0001, PRECISION_RECALL_MIN_DEN: 0.084618±0.0014, RECALL: 0.084618±0.0014, MAP: 0.043406±0.0008, MRR: 0.043406±0.0008, NDCG: 0.053144±0.0009, F1: 0.015385±0.0002, HIT_RATE: 0.084618±0.0014, ARHR: 0.043406±0.0008, RMSE: 0.898288±0.0005, NOVELTY: 0.005577±0.0000, AVERAGE_POPULARITY: 0.472168±0.0060, DIVERSITY_MEAN_INTER_LIST: 0.935131±0.0006, DIVERSITY_HERFINDAHL: 0.993509±0.0001, COVERAGE_ITEM: 0.653182±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.121298±0.0007, SHANNON_ENTROPY: 9.403903±0.0108, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 455, 'shrink': 36, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.046159±0.0010, PRECISION: 0.006458±0.0001, PRECISION_RECALL_MIN_DEN: 0.064580±0.0011, RECALL: 0.064580±0.0011, MAP: 0.032686±0.0007, MRR: 0.032686±0.0007, NDCG: 0.040215±0.0008, F1: 0.011742±0.0002, HIT_RATE: 0.064580±0.0011, ARHR: 0.032686±0.0007, RMSE: 1.421161±0.0129, NOVELTY: 0.006522±0.0000, AVERAGE_POPULARITY: 0.061051±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.998117±0.0000, DIVERSITY_HERFINDAHL: 0.999807±0.0000, COVERAGE_ITEM: 0.958486±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.461646±0.0008, SHANNON_ENTROPY: 13.273909±0.0044, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 272, 'shrink': 721, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.046332±0.0010, PRECISION: 0.006517±0.0001, PRECISION_RECALL_MIN_DEN: 0.065166±0.0013, RECALL: 0.065166±0.0013, MAP: 0.032685±0.0008, MRR: 0.032685±0.0008, NDCG: 0.040348±0.0009, F1: 0.011848±0.0002, HIT_RATE: 0.065166±0.0013, ARHR: 0.032685±0.0008, RMSE: 0.944799±0.0003, NOVELTY: 0.006401±0.0000, AVERAGE_POPULARITY: 0.059775±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998131±0.0000, DIVERSITY_HERFINDAHL: 0.999808±0.0000, COVERAGE_ITEM: 0.955804±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.460374±0.0009, SHANNON_ENTROPY: 13.269788±0.0045, 
