CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 605, 'shrink': 840, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.049696±0.0012, PRECISION: 0.006939±0.0002, PRECISION_RECALL_MIN_DEN: 0.069390±0.0016, RECALL: 0.069390±0.0016, MAP: 0.035885±0.0010, MRR: 0.035885±0.0010, NDCG: 0.043776±0.0011, F1: 0.012616±0.0003, HIT_RATE: 0.069390±0.0016, ARHR: 0.035885±0.0010, RMSE: 0.975580±0.0002, NOVELTY: 0.005300±0.0000, AVERAGE_POPULARITY: 0.626583±0.0069, DIVERSITY_MEAN_INTER_LIST: 0.850619±0.0015, DIVERSITY_HERFINDAHL: 0.985058±0.0001, COVERAGE_ITEM: 0.389630±0.0066, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.064997±0.0005, SHANNON_ENTROPY: 7.646796±0.0115, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 493, 'shrink': 1239, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.048495±0.0012, PRECISION: 0.006775±0.0002, PRECISION_RECALL_MIN_DEN: 0.067748±0.0015, RECALL: 0.067748±0.0015, MAP: 0.035086±0.0011, MRR: 0.035086±0.0011, NDCG: 0.042776±0.0012, F1: 0.012318±0.0003, HIT_RATE: 0.067748±0.0015, ARHR: 0.035086±0.0011, RMSE: 0.885051±0.0010, NOVELTY: 0.005282±0.0000, AVERAGE_POPULARITY: 0.637732±0.0070, DIVERSITY_MEAN_INTER_LIST: 0.842795±0.0011, DIVERSITY_HERFINDAHL: 0.984275±0.0001, COVERAGE_ITEM: 0.390592±0.0065, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063762±0.0005, SHANNON_ENTROPY: 7.553314±0.0117, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 363, 'shrink': 1822, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.047945±0.0014, PRECISION: 0.006724±0.0002, PRECISION_RECALL_MIN_DEN: 0.067240±0.0019, RECALL: 0.067240±0.0019, MAP: 0.034640±0.0011, MRR: 0.034640±0.0011, NDCG: 0.042310±0.0013, F1: 0.012225±0.0003, HIT_RATE: 0.067240±0.0019, ARHR: 0.034640±0.0011, RMSE: 0.986851±0.0001, NOVELTY: 0.005290±0.0000, AVERAGE_POPULARITY: 0.635538±0.0071, DIVERSITY_MEAN_INTER_LIST: 0.846345±0.0011, DIVERSITY_HERFINDAHL: 0.984630±0.0001, COVERAGE_ITEM: 0.403709±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066138±0.0005, SHANNON_ENTROPY: 7.611929±0.0102, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 919, 'shrink': 1030, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.047930±0.0011, PRECISION: 0.006696±0.0001, PRECISION_RECALL_MIN_DEN: 0.066961±0.0014, RECALL: 0.066961±0.0014, MAP: 0.034610±0.0010, MRR: 0.034610±0.0010, NDCG: 0.042229±0.0011, F1: 0.012175±0.0003, HIT_RATE: 0.066961±0.0014, ARHR: 0.034610±0.0010, RMSE: 0.862214±0.0011, NOVELTY: 0.005242±0.0000, AVERAGE_POPULARITY: 0.658350±0.0074, DIVERSITY_MEAN_INTER_LIST: 0.816553±0.0015, DIVERSITY_HERFINDAHL: 0.981651±0.0001, COVERAGE_ITEM: 0.367072±0.0069, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058021±0.0004, SHANNON_ENTROPY: 7.283100±0.0094, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 343, 'shrink': 219, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.056291±0.0008, PRECISION: 0.007818±0.0001, PRECISION_RECALL_MIN_DEN: 0.078176±0.0011, RECALL: 0.078176±0.0011, MAP: 0.040440±0.0006, MRR: 0.040440±0.0006, NDCG: 0.049347±0.0007, F1: 0.014214±0.0002, HIT_RATE: 0.078176±0.0011, ARHR: 0.040440±0.0006, RMSE: 0.813349±0.0013, NOVELTY: 0.005584±0.0000, AVERAGE_POPULARITY: 0.492128±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.934283±0.0008, DIVERSITY_HERFINDAHL: 0.993424±0.0001, COVERAGE_ITEM: 0.477762±0.0054, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099107±0.0006, SHANNON_ENTROPY: 8.999677±0.0126, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 589, 'shrink': 1823, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.046675±0.0012, PRECISION: 0.006516±0.0002, PRECISION_RECALL_MIN_DEN: 0.065156±0.0016, RECALL: 0.065156±0.0016, MAP: 0.033815±0.0010, MRR: 0.033815±0.0010, NDCG: 0.041193±0.0011, F1: 0.011847±0.0003, HIT_RATE: 0.065156±0.0016, ARHR: 0.033815±0.0010, RMSE: 0.985507±0.0001, NOVELTY: 0.005233±0.0000, AVERAGE_POPULARITY: 0.665469±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.813201±0.0017, DIVERSITY_HERFINDAHL: 0.981316±0.0002, COVERAGE_ITEM: 0.376210±0.0068, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058361±0.0005, SHANNON_ENTROPY: 7.248530±0.0118, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 956, 'shrink': 1251, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.047014±0.0011, PRECISION: 0.006565±0.0002, PRECISION_RECALL_MIN_DEN: 0.065646±0.0016, RECALL: 0.065646±0.0016, MAP: 0.033969±0.0010, MRR: 0.033969±0.0010, NDCG: 0.041429±0.0011, F1: 0.011936±0.0003, HIT_RATE: 0.065646±0.0016, ARHR: 0.033969±0.0010, RMSE: 0.979622±0.0001, NOVELTY: 0.005219±0.0000, AVERAGE_POPULARITY: 0.671107±0.0075, DIVERSITY_MEAN_INTER_LIST: 0.802336±0.0018, DIVERSITY_HERFINDAHL: 0.980230±0.0002, COVERAGE_ITEM: 0.358648±0.0068, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.055476±0.0004, SHANNON_ENTROPY: 7.141952±0.0097, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 214, 'shrink': 970, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.051659±0.0011, PRECISION: 0.007208±0.0001, PRECISION_RECALL_MIN_DEN: 0.072079±0.0014, RECALL: 0.072079±0.0014, MAP: 0.037089±0.0011, MRR: 0.037089±0.0011, NDCG: 0.045339±0.0011, F1: 0.013105±0.0002, HIT_RATE: 0.072079±0.0014, ARHR: 0.037089±0.0011, RMSE: 0.891675±0.0010, NOVELTY: 0.005412±0.0000, AVERAGE_POPULARITY: 0.569042±0.0066, DIVERSITY_MEAN_INTER_LIST: 0.900133±0.0004, DIVERSITY_HERFINDAHL: 0.990009±0.0000, COVERAGE_ITEM: 0.428678±0.0060, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.079908±0.0004, SHANNON_ENTROPY: 8.300566±0.0082, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 131, 'shrink': 1523, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.062151±0.0008, PRECISION: 0.008601±0.0001, PRECISION_RECALL_MIN_DEN: 0.086011±0.0009, RECALL: 0.086011±0.0009, MAP: 0.044535±0.0005, MRR: 0.044535±0.0005, NDCG: 0.054331±0.0006, F1: 0.015638±0.0002, HIT_RATE: 0.086011±0.0009, ARHR: 0.044535±0.0005, RMSE: 0.988295±0.0001, NOVELTY: 0.006167±0.0000, AVERAGE_POPULARITY: 0.350785±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.972711±0.0003, DIVERSITY_HERFINDAHL: 0.997266±0.0000, COVERAGE_ITEM: 0.722163±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.198756±0.0010, SHANNON_ENTROPY: 10.717809±0.0120, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 125, 'shrink': 838, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.053841±0.0009, PRECISION: 0.007504±0.0001, PRECISION_RECALL_MIN_DEN: 0.075036±0.0011, RECALL: 0.075036±0.0011, MAP: 0.038567±0.0008, MRR: 0.038567±0.0008, NDCG: 0.047169±0.0009, F1: 0.013643±0.0002, HIT_RATE: 0.075036±0.0011, ARHR: 0.038567±0.0008, RMSE: 0.900520±0.0010, NOVELTY: 0.005505±0.0000, AVERAGE_POPULARITY: 0.520951±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.928296±0.0006, DIVERSITY_HERFINDAHL: 0.992825±0.0001, COVERAGE_ITEM: 0.440433±0.0049, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090668±0.0008, SHANNON_ENTROPY: 8.768221±0.0126, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 464, 'shrink': 60, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059216±0.0008, PRECISION: 0.008100±0.0001, PRECISION_RECALL_MIN_DEN: 0.080999±0.0011, RECALL: 0.080999±0.0011, MAP: 0.042507±0.0007, MRR: 0.042507±0.0007, NDCG: 0.051624±0.0008, F1: 0.014727±0.0002, HIT_RATE: 0.080999±0.0011, ARHR: 0.042507±0.0007, RMSE: 0.784847±0.0013, NOVELTY: 0.005874±0.0000, AVERAGE_POPULARITY: 0.412023±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.955364±0.0006, DIVERSITY_HERFINDAHL: 0.995532±0.0001, COVERAGE_ITEM: 0.646250±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.144650±0.0010, SHANNON_ENTROPY: 9.902066±0.0124, 
