CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 605, 'shrink': 840, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.050025±0.0012, PRECISION: 0.006968±0.0002, PRECISION_RECALL_MIN_DEN: 0.069678±0.0016, RECALL: 0.069678±0.0016, MAP: 0.036132±0.0010, MRR: 0.036132±0.0010, NDCG: 0.044036±0.0011, F1: 0.012669±0.0003, HIT_RATE: 0.069678±0.0016, ARHR: 0.036132±0.0010, RMSE: 0.975126±0.0002, NOVELTY: 0.005301±0.0000, AVERAGE_POPULARITY: 0.625911±0.0069, DIVERSITY_MEAN_INTER_LIST: 0.850908±0.0014, DIVERSITY_HERFINDAHL: 0.985087±0.0001, COVERAGE_ITEM: 0.389273±0.0065, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.065023±0.0005, SHANNON_ENTROPY: 7.651415±0.0118, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 493, 'shrink': 1239, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.048715±0.0011, PRECISION: 0.006787±0.0001, PRECISION_RECALL_MIN_DEN: 0.067873±0.0014, RECALL: 0.067873±0.0014, MAP: 0.035242±0.0011, MRR: 0.035242±0.0011, NDCG: 0.042928±0.0012, F1: 0.012341±0.0003, HIT_RATE: 0.067873±0.0014, ARHR: 0.035242±0.0011, RMSE: 0.884625±0.0011, NOVELTY: 0.005282±0.0000, AVERAGE_POPULARITY: 0.637318±0.0070, DIVERSITY_MEAN_INTER_LIST: 0.842890±0.0011, DIVERSITY_HERFINDAHL: 0.984285±0.0001, COVERAGE_ITEM: 0.390484±0.0065, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.063769±0.0005, SHANNON_ENTROPY: 7.555859±0.0116, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 363, 'shrink': 1822, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.048068±0.0014, PRECISION: 0.006731±0.0002, PRECISION_RECALL_MIN_DEN: 0.067307±0.0019, RECALL: 0.067307±0.0019, MAP: 0.034739±0.0011, MRR: 0.034739±0.0011, NDCG: 0.042404±0.0013, F1: 0.012238±0.0003, HIT_RATE: 0.067307±0.0019, ARHR: 0.034739±0.0011, RMSE: 0.986681±0.0001, NOVELTY: 0.005291±0.0000, AVERAGE_POPULARITY: 0.635374±0.0072, DIVERSITY_MEAN_INTER_LIST: 0.846261±0.0011, DIVERSITY_HERFINDAHL: 0.984622±0.0001, COVERAGE_ITEM: 0.403612±0.0061, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.066126±0.0005, SHANNON_ENTROPY: 7.612314±0.0102, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 919, 'shrink': 1030, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.048181±0.0012, PRECISION: 0.006728±0.0001, PRECISION_RECALL_MIN_DEN: 0.067278±0.0014, RECALL: 0.067278±0.0014, MAP: 0.034802±0.0011, MRR: 0.034802±0.0011, NDCG: 0.042450±0.0011, F1: 0.012232±0.0003, HIT_RATE: 0.067278±0.0014, ARHR: 0.034802±0.0011, RMSE: 0.862001±0.0012, NOVELTY: 0.005243±0.0000, AVERAGE_POPULARITY: 0.657568±0.0074, DIVERSITY_MEAN_INTER_LIST: 0.817106±0.0015, DIVERSITY_HERFINDAHL: 0.981707±0.0001, COVERAGE_ITEM: 0.367040±0.0068, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058065±0.0004, SHANNON_ENTROPY: 7.289820±0.0098, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 343, 'shrink': 219, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.056966±0.0009, PRECISION: 0.007880±0.0001, PRECISION_RECALL_MIN_DEN: 0.078800±0.0009, RECALL: 0.078800±0.0009, MAP: 0.040898±0.0007, MRR: 0.040898±0.0007, NDCG: 0.049853±0.0007, F1: 0.014327±0.0002, HIT_RATE: 0.078800±0.0009, ARHR: 0.040898±0.0007, RMSE: 0.816290±0.0013, NOVELTY: 0.005586±0.0000, AVERAGE_POPULARITY: 0.490962±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.934456±0.0008, DIVERSITY_HERFINDAHL: 0.993441±0.0001, COVERAGE_ITEM: 0.476810±0.0056, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099061±0.0006, SHANNON_ENTROPY: 9.003727±0.0127, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 589, 'shrink': 1823, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.046847±0.0012, PRECISION: 0.006530±0.0002, PRECISION_RECALL_MIN_DEN: 0.065300±0.0016, RECALL: 0.065300±0.0016, MAP: 0.033903±0.0010, MRR: 0.033903±0.0010, NDCG: 0.041297±0.0012, F1: 0.011873±0.0003, HIT_RATE: 0.065300±0.0016, ARHR: 0.033903±0.0010, RMSE: 0.985334±0.0001, NOVELTY: 0.005234±0.0000, AVERAGE_POPULARITY: 0.665119±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.813370±0.0017, DIVERSITY_HERFINDAHL: 0.981333±0.0002, COVERAGE_ITEM: 0.376221±0.0069, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058362±0.0005, SHANNON_ENTROPY: 7.251092±0.0118, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 956, 'shrink': 1251, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.047221±0.0012, PRECISION: 0.006596±0.0002, PRECISION_RECALL_MIN_DEN: 0.065963±0.0016, RECALL: 0.065963±0.0016, MAP: 0.034149±0.0010, MRR: 0.034149±0.0010, NDCG: 0.041639±0.0011, F1: 0.011993±0.0003, HIT_RATE: 0.065963±0.0016, ARHR: 0.034149±0.0010, RMSE: 0.979335±0.0002, NOVELTY: 0.005220±0.0000, AVERAGE_POPULARITY: 0.670467±0.0075, DIVERSITY_MEAN_INTER_LIST: 0.802842±0.0018, DIVERSITY_HERFINDAHL: 0.980280±0.0002, COVERAGE_ITEM: 0.358724±0.0067, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.055502±0.0004, SHANNON_ENTROPY: 7.147615±0.0099, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 214, 'shrink': 970, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.051817±0.0011, PRECISION: 0.007232±0.0001, PRECISION_RECALL_MIN_DEN: 0.072319±0.0013, RECALL: 0.072319±0.0013, MAP: 0.037227±0.0011, MRR: 0.037227±0.0011, NDCG: 0.045500±0.0011, F1: 0.013149±0.0002, HIT_RATE: 0.072319±0.0013, ARHR: 0.037227±0.0011, RMSE: 0.891263±0.0011, NOVELTY: 0.005412±0.0000, AVERAGE_POPULARITY: 0.569081±0.0066, DIVERSITY_MEAN_INTER_LIST: 0.899858±0.0004, DIVERSITY_HERFINDAHL: 0.989982±0.0000, COVERAGE_ITEM: 0.428462±0.0061, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.079840±0.0004, SHANNON_ENTROPY: 8.297930±0.0083, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 131, 'shrink': 1523, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.062401±0.0008, PRECISION: 0.008608±0.0001, PRECISION_RECALL_MIN_DEN: 0.086078±0.0009, RECALL: 0.086078±0.0009, MAP: 0.044778±0.0005, MRR: 0.044778±0.0005, NDCG: 0.054536±0.0006, F1: 0.015651±0.0002, HIT_RATE: 0.086078±0.0009, ARHR: 0.044778±0.0005, RMSE: 0.988116±0.0001, NOVELTY: 0.006160±0.0000, AVERAGE_POPULARITY: 0.352750±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.972271±0.0003, DIVERSITY_HERFINDAHL: 0.997222±0.0000, COVERAGE_ITEM: 0.720800±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.197227±0.0010, SHANNON_ENTROPY: 10.695260±0.0126, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 125, 'shrink': 838, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.054000±0.0009, PRECISION: 0.007531±0.0001, PRECISION_RECALL_MIN_DEN: 0.075314±0.0011, RECALL: 0.075314±0.0011, MAP: 0.038694±0.0008, MRR: 0.038694±0.0008, NDCG: 0.047330±0.0009, F1: 0.013694±0.0002, HIT_RATE: 0.075314±0.0011, ARHR: 0.038694±0.0008, RMSE: 0.900130±0.0011, NOVELTY: 0.005504±0.0000, AVERAGE_POPULARITY: 0.521261±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.927923±0.0007, DIVERSITY_HERFINDAHL: 0.992788±0.0001, COVERAGE_ITEM: 0.440141±0.0051, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090561±0.0008, SHANNON_ENTROPY: 8.762883±0.0126, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 464, 'shrink': 60, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.060317±0.0009, PRECISION: 0.008225±0.0001, PRECISION_RECALL_MIN_DEN: 0.082247±0.0011, RECALL: 0.082247±0.0011, MAP: 0.043308±0.0008, MRR: 0.043308±0.0008, NDCG: 0.052536±0.0008, F1: 0.014954±0.0002, HIT_RATE: 0.082247±0.0011, ARHR: 0.043308±0.0008, RMSE: 0.792820±0.0015, NOVELTY: 0.005886±0.0000, AVERAGE_POPULARITY: 0.408475±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.956079±0.0006, DIVERSITY_HERFINDAHL: 0.995603±0.0001, COVERAGE_ITEM: 0.647407±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145499±0.0009, SHANNON_ENTROPY: 9.926844±0.0116, 
CrossSearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 19, 'shrink': 1054, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.056274±0.0011, PRECISION: 0.007875±0.0001, PRECISION_RECALL_MIN_DEN: 0.078752±0.0008, RECALL: 0.078752±0.0008, MAP: 0.039958±0.0008, MRR: 0.039958±0.0008, NDCG: 0.049109±0.0008, F1: 0.014319±0.0001, HIT_RATE: 0.078752±0.0008, ARHR: 0.039958±0.0008, RMSE: 0.992508±0.0001, NOVELTY: 0.005774±0.0000, AVERAGE_POPULARITY: 0.399574±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.969121±0.0002, DIVERSITY_HERFINDAHL: 0.996907±0.0000, COVERAGE_ITEM: 0.500871±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124212±0.0006, SHANNON_ENTROPY: 9.834722±0.0053, 
CrossSearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 272, 'shrink': 721, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.052598±0.0010, PRECISION: 0.007327±0.0001, PRECISION_RECALL_MIN_DEN: 0.073269±0.0007, RECALL: 0.073269±0.0007, MAP: 0.037843±0.0009, MRR: 0.037843±0.0009, NDCG: 0.046197±0.0009, F1: 0.013322±0.0001, HIT_RATE: 0.073269±0.0007, ARHR: 0.037843±0.0009, RMSE: 0.977475±0.0001, NOVELTY: 0.005413±0.0000, AVERAGE_POPULARITY: 0.567394±0.0067, DIVERSITY_MEAN_INTER_LIST: 0.900007±0.0008, DIVERSITY_HERFINDAHL: 0.989996±0.0001, COVERAGE_ITEM: 0.424428±0.0055, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.078925±0.0005, SHANNON_ENTROPY: 8.289022±0.0087, 
CrossSearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 655, 'shrink': 1523, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.053292±0.0007, PRECISION: 0.007494±0.0001, PRECISION_RECALL_MIN_DEN: 0.074940±0.0009, RECALL: 0.074940±0.0009, MAP: 0.038333±0.0006, MRR: 0.038333±0.0006, NDCG: 0.046946±0.0006, F1: 0.013625±0.0002, HIT_RATE: 0.074940±0.0009, ARHR: 0.038333±0.0006, RMSE: 0.978745±0.0001, NOVELTY: 0.005608±0.0000, AVERAGE_POPULARITY: 0.539698±0.0059, DIVERSITY_MEAN_INTER_LIST: 0.905227±0.0005, DIVERSITY_HERFINDAHL: 0.990518±0.0000, COVERAGE_ITEM: 0.602109±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.112177±0.0007, SHANNON_ENTROPY: 8.801702±0.0105, 
CrossSearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 199, 'shrink': 117, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.060085±0.0008, PRECISION: 0.008284±0.0001, PRECISION_RECALL_MIN_DEN: 0.082842±0.0010, RECALL: 0.082842±0.0010, MAP: 0.042842±0.0007, MRR: 0.042842±0.0007, NDCG: 0.052309±0.0007, F1: 0.015062±0.0002, HIT_RATE: 0.082842±0.0010, ARHR: 0.042842±0.0007, RMSE: 0.831191±0.0015, NOVELTY: 0.005783±0.0000, AVERAGE_POPULARITY: 0.419936±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.959359±0.0004, DIVERSITY_HERFINDAHL: 0.995931±0.0000, COVERAGE_ITEM: 0.552863±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124889±0.0008, SHANNON_ENTROPY: 9.720420±0.0114, 
CrossSearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 438, 'shrink': 335, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.054990±0.0009, PRECISION: 0.007578±0.0001, PRECISION_RECALL_MIN_DEN: 0.075775±0.0014, RECALL: 0.075775±0.0014, MAP: 0.039738±0.0009, MRR: 0.039738±0.0009, NDCG: 0.048252±0.0009, F1: 0.013777±0.0002, HIT_RATE: 0.075775±0.0014, ARHR: 0.039738±0.0009, RMSE: 0.819658±0.0014, NOVELTY: 0.005476±0.0000, AVERAGE_POPULARITY: 0.538364±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.911713±0.0009, DIVERSITY_HERFINDAHL: 0.991167±0.0001, COVERAGE_ITEM: 0.440411±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.085434±0.0005, SHANNON_ENTROPY: 8.535200±0.0115, 
CrossSearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 847, 'shrink': 1913, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.045936±0.0012, PRECISION: 0.006447±0.0001, PRECISION_RECALL_MIN_DEN: 0.064474±0.0014, RECALL: 0.064474±0.0014, MAP: 0.033177±0.0010, MRR: 0.033177±0.0010, NDCG: 0.040538±0.0011, F1: 0.011723±0.0003, HIT_RATE: 0.064474±0.0014, ARHR: 0.033177±0.0010, RMSE: 0.985037±0.0001, NOVELTY: 0.005198±0.0000, AVERAGE_POPULARITY: 0.684540±0.0076, DIVERSITY_MEAN_INTER_LIST: 0.788245±0.0016, DIVERSITY_HERFINDAHL: 0.978821±0.0002, COVERAGE_ITEM: 0.355588±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.053477±0.0004, SHANNON_ENTROPY: 7.005729±0.0090, 
CrossSearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 505, 'shrink': 318, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.057404±0.0012, PRECISION: 0.007897±0.0001, PRECISION_RECALL_MIN_DEN: 0.078973±0.0013, RECALL: 0.078973±0.0013, MAP: 0.041456±0.0009, MRR: 0.041456±0.0009, NDCG: 0.050319±0.0009, F1: 0.014359±0.0002, HIT_RATE: 0.078973±0.0013, ARHR: 0.041456±0.0009, RMSE: 0.946344±0.0002, NOVELTY: 0.006363±0.0000, AVERAGE_POPULARITY: 0.308306±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.979009±0.0001, DIVERSITY_HERFINDAHL: 0.997896±0.0000, COVERAGE_ITEM: 0.748592±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238276±0.0007, SHANNON_ENTROPY: 11.157467±0.0090, 
CrossSearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 12, 'shrink': 1232, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.056510±0.0012, PRECISION: 0.007843±0.0002, PRECISION_RECALL_MIN_DEN: 0.078435±0.0015, RECALL: 0.078435±0.0015, MAP: 0.040176±0.0011, MRR: 0.040176±0.0011, NDCG: 0.049215±0.0012, F1: 0.014261±0.0003, HIT_RATE: 0.078435±0.0015, ARHR: 0.040176±0.0011, RMSE: 0.961080±0.0005, NOVELTY: 0.005850±0.0000, AVERAGE_POPULARITY: 0.375752±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.973300±0.0002, DIVERSITY_HERFINDAHL: 0.997325±0.0000, COVERAGE_ITEM: 0.507651±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130935±0.0006, SHANNON_ENTROPY: 9.994900±0.0094, 
CrossSearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 929, 'shrink': 895, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.053458±0.0006, PRECISION: 0.007467±0.0001, PRECISION_RECALL_MIN_DEN: 0.074671±0.0011, RECALL: 0.074671±0.0011, MAP: 0.038585±0.0005, MRR: 0.038585±0.0005, NDCG: 0.047082±0.0006, F1: 0.013577±0.0002, HIT_RATE: 0.074671±0.0011, ARHR: 0.038585±0.0005, RMSE: 0.965039±0.0001, NOVELTY: 0.005652±0.0000, AVERAGE_POPULARITY: 0.523227±0.0064, DIVERSITY_MEAN_INTER_LIST: 0.912008±0.0006, DIVERSITY_HERFINDAHL: 0.991196±0.0001, COVERAGE_ITEM: 0.614134±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117710±0.0006, SHANNON_ENTROPY: 8.949466±0.0057, 
CrossSearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 243, 'shrink': 693, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.053028±0.0011, PRECISION: 0.007406±0.0001, PRECISION_RECALL_MIN_DEN: 0.074057±0.0009, RECALL: 0.074057±0.0009, MAP: 0.038210±0.0010, MRR: 0.038210±0.0010, NDCG: 0.046656±0.0010, F1: 0.013465±0.0002, HIT_RATE: 0.074057±0.0009, ARHR: 0.038210±0.0010, RMSE: 0.870805±0.0012, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.557392±0.0065, DIVERSITY_MEAN_INTER_LIST: 0.906558±0.0006, DIVERSITY_HERFINDAHL: 0.990651±0.0001, COVERAGE_ITEM: 0.428494±0.0054, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.081212±0.0004, SHANNON_ENTROPY: 8.390015±0.0087, 
CrossSearchBayesianSkopt: Config 21 is suboptimal. Config: {'topK': 220, 'shrink': 1475, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.050168±0.0014, PRECISION: 0.007024±0.0001, PRECISION_RECALL_MIN_DEN: 0.070235±0.0014, RECALL: 0.070235±0.0014, MAP: 0.036039±0.0012, MRR: 0.036039±0.0012, NDCG: 0.044095±0.0012, F1: 0.012770±0.0003, HIT_RATE: 0.070235±0.0014, ARHR: 0.036039±0.0012, RMSE: 0.911965±0.0008, NOVELTY: 0.005373±0.0000, AVERAGE_POPULARITY: 0.591792±0.0068, DIVERSITY_MEAN_INTER_LIST: 0.883889±0.0005, DIVERSITY_HERFINDAHL: 0.988385±0.0001, COVERAGE_ITEM: 0.426559±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.076369±0.0004, SHANNON_ENTROPY: 8.090557±0.0084, 
CrossSearchBayesianSkopt: Config 22 is suboptimal. Config: {'topK': 519, 'shrink': 463, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.057912±0.0010, PRECISION: 0.007979±0.0001, PRECISION_RECALL_MIN_DEN: 0.079789±0.0009, RECALL: 0.079789±0.0009, MAP: 0.041739±0.0008, MRR: 0.041739±0.0008, NDCG: 0.050726±0.0008, F1: 0.014507±0.0002, HIT_RATE: 0.079789±0.0009, ARHR: 0.041739±0.0008, RMSE: 0.955719±0.0001, NOVELTY: 0.006130±0.0000, AVERAGE_POPULARITY: 0.370202±0.0045, DIVERSITY_MEAN_INTER_LIST: 0.967116±0.0002, DIVERSITY_HERFINDAHL: 0.996707±0.0000, COVERAGE_ITEM: 0.714755±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.195489±0.0008, SHANNON_ENTROPY: 10.546338±0.0086, 
CrossSearchBayesianSkopt: Config 23 is suboptimal. Config: {'topK': 228, 'shrink': 582, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.054103±0.0010, PRECISION: 0.007524±0.0001, PRECISION_RECALL_MIN_DEN: 0.075238±0.0012, RECALL: 0.075238±0.0012, MAP: 0.038811±0.0010, MRR: 0.038811±0.0010, NDCG: 0.047406±0.0010, F1: 0.013680±0.0002, HIT_RATE: 0.075238±0.0012, ARHR: 0.038811±0.0010, RMSE: 0.976151±0.0002, NOVELTY: 0.005463±0.0000, AVERAGE_POPULARITY: 0.541581±0.0062, DIVERSITY_MEAN_INTER_LIST: 0.915561±0.0006, DIVERSITY_HERFINDAHL: 0.991552±0.0001, COVERAGE_ITEM: 0.433133±0.0056, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.084523±0.0004, SHANNON_ENTROPY: 8.537562±0.0089, 
CrossSearchBayesianSkopt: Config 24 is suboptimal. Config: {'topK': 339, 'shrink': 1678, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.048423±0.0013, PRECISION: 0.006781±0.0002, PRECISION_RECALL_MIN_DEN: 0.067806±0.0018, RECALL: 0.067806±0.0018, MAP: 0.035008±0.0010, MRR: 0.035008±0.0010, NDCG: 0.042726±0.0012, F1: 0.012328±0.0003, HIT_RATE: 0.067806±0.0018, ARHR: 0.035008±0.0010, RMSE: 0.986068±0.0001, NOVELTY: 0.005304±0.0000, AVERAGE_POPULARITY: 0.627786±0.0073, DIVERSITY_MEAN_INTER_LIST: 0.853282±0.0012, DIVERSITY_HERFINDAHL: 0.985324±0.0001, COVERAGE_ITEM: 0.406964±0.0062, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.067773±0.0005, SHANNON_ENTROPY: 7.695605±0.0090, 
CrossSearchBayesianSkopt: Config 25 is suboptimal. Config: {'topK': 206, 'shrink': 293, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.056931±0.0009, PRECISION: 0.007902±0.0001, PRECISION_RECALL_MIN_DEN: 0.079021±0.0007, RECALL: 0.079021±0.0007, MAP: 0.040743±0.0007, MRR: 0.040743±0.0007, NDCG: 0.049783±0.0007, F1: 0.014367±0.0001, HIT_RATE: 0.079021±0.0007, ARHR: 0.040743±0.0007, RMSE: 0.969609±0.0002, NOVELTY: 0.005583±0.0000, AVERAGE_POPULARITY: 0.486568±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.939810±0.0005, DIVERSITY_HERFINDAHL: 0.993977±0.0000, COVERAGE_ITEM: 0.459540±0.0052, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098261±0.0005, SHANNON_ENTROPY: 9.043131±0.0090, 
