CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.9833509727730589, 'feature_weighting': 'none'} - results: ROC_AUC: 0.056689±0.0008, PRECISION: 0.007882±0.0001, PRECISION_RECALL_MIN_DEN: 0.078815±0.0013, RECALL: 0.078815±0.0013, MAP: 0.041128±0.0007, MRR: 0.041128±0.0007, NDCG: 0.050006±0.0008, F1: 0.014330±0.0002, HIT_RATE: 0.078815±0.0013, ARHR: 0.041128±0.0007, RMSE: 0.897020±0.0004, NOVELTY: 0.005660±0.0000, AVERAGE_POPULARITY: 0.551550±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.882843±0.0003, DIVERSITY_HERFINDAHL: 0.988280±0.0000, COVERAGE_ITEM: 0.749024±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142037±0.0003, SHANNON_ENTROPY: 8.926622±0.0049, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 774, 'shrink': 1163, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5690595357494808, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.024719±0.0005, PRECISION: 0.003319±0.0001, PRECISION_RECALL_MIN_DEN: 0.033191±0.0006, RECALL: 0.033191±0.0006, MAP: 0.018076±0.0004, MRR: 0.018076±0.0004, NDCG: 0.021660±0.0004, F1: 0.006035±0.0001, HIT_RATE: 0.033191±0.0006, ARHR: 0.018076±0.0004, RMSE: 0.892897±0.0007, NOVELTY: 0.004785±0.0000, AVERAGE_POPULARITY: 0.023166±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998829±0.0000, DIVERSITY_HERFINDAHL: 0.999878±0.0000, COVERAGE_ITEM: 0.882714±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.506574±0.0009, SHANNON_ENTROPY: 13.406696±0.0024, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 827, 'shrink': 110, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0897812051045728, 'feature_weighting': 'none'} - results: ROC_AUC: 0.043465±0.0005, PRECISION: 0.005841±0.0001, PRECISION_RECALL_MIN_DEN: 0.058411±0.0011, RECALL: 0.058411±0.0011, MAP: 0.031526±0.0003, MRR: 0.031526±0.0003, NDCG: 0.037907±0.0005, F1: 0.010620±0.0002, HIT_RATE: 0.058411±0.0011, ARHR: 0.031526±0.0003, RMSE: 0.829898±0.0007, NOVELTY: 0.006946±0.0000, AVERAGE_POPULARITY: 0.064751±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998216±0.0000, DIVERSITY_HERFINDAHL: 0.999817±0.0000, COVERAGE_ITEM: 0.949262±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.486914±0.0009, SHANNON_ENTROPY: 13.340795±0.0011, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 93, 'shrink': 1311, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8679416537586704, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.054083±0.0007, PRECISION: 0.007522±0.0001, PRECISION_RECALL_MIN_DEN: 0.075224±0.0011, RECALL: 0.075224±0.0011, MAP: 0.038525±0.0005, MRR: 0.038525±0.0005, NDCG: 0.047189±0.0005, F1: 0.013677±0.0002, HIT_RATE: 0.075224±0.0011, ARHR: 0.038525±0.0005, RMSE: 0.972669±0.0003, NOVELTY: 0.006464±0.0000, AVERAGE_POPULARITY: 0.063700±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998038±0.0000, DIVERSITY_HERFINDAHL: 0.999799±0.0000, COVERAGE_ITEM: 0.951219±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.448177±0.0011, SHANNON_ENTROPY: 13.221027±0.0028, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 599, 'shrink': 746, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.17370953549871973, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.052120±0.0009, PRECISION: 0.007235±0.0001, PRECISION_RECALL_MIN_DEN: 0.072351±0.0012, RECALL: 0.072351±0.0012, MAP: 0.038334±0.0007, MRR: 0.038334±0.0007, NDCG: 0.046333±0.0008, F1: 0.013155±0.0002, HIT_RATE: 0.072351±0.0012, ARHR: 0.038334±0.0007, RMSE: 12.753031±0.0661, NOVELTY: 0.005165±0.0000, AVERAGE_POPULARITY: 0.705027±0.0058, DIVERSITY_MEAN_INTER_LIST: 0.781842±0.0006, DIVERSITY_HERFINDAHL: 0.978181±0.0001, COVERAGE_ITEM: 0.350538±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.051386±0.0003, SHANNON_ENTROPY: 6.938185±0.0085, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 478, 'shrink': 1512, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.276679127056327, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.042494±0.0004, PRECISION: 0.005882±0.0001, PRECISION_RECALL_MIN_DEN: 0.058819±0.0009, RECALL: 0.058819±0.0009, MAP: 0.030297±0.0006, MRR: 0.030297±0.0006, NDCG: 0.037039±0.0006, F1: 0.010694±0.0002, HIT_RATE: 0.058819±0.0009, ARHR: 0.030297±0.0006, RMSE: 0.821502±0.0009, NOVELTY: 0.006669±0.0000, AVERAGE_POPULARITY: 0.040457±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998367±0.0000, DIVERSITY_HERFINDAHL: 0.999832±0.0000, COVERAGE_ITEM: 0.958735±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.498814±0.0004, SHANNON_ENTROPY: 13.392982±0.0015, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 72, 'shrink': 1994, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6793950704440939, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032155±0.0006, PRECISION: 0.004344±0.0001, PRECISION_RECALL_MIN_DEN: 0.043442±0.0007, RECALL: 0.043442±0.0007, MAP: 0.023248±0.0004, MRR: 0.023248±0.0004, NDCG: 0.028036±0.0004, F1: 0.007899±0.0001, HIT_RATE: 0.043442±0.0007, ARHR: 0.023248±0.0004, RMSE: 0.947207±0.0007, NOVELTY: 0.006385±0.0000, AVERAGE_POPULARITY: 0.031418±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.999142±0.0000, DIVERSITY_HERFINDAHL: 0.999910±0.0000, COVERAGE_ITEM: 0.976891±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.605503±0.0008, SHANNON_ENTROPY: 13.761598±0.0016, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 999, 'shrink': 1285, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3140191741304383, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.054246±0.0007, PRECISION: 0.007505±0.0001, PRECISION_RECALL_MIN_DEN: 0.075047±0.0011, RECALL: 0.075047±0.0011, MAP: 0.038703±0.0005, MRR: 0.038703±0.0005, NDCG: 0.047291±0.0006, F1: 0.013645±0.0002, HIT_RATE: 0.075047±0.0011, ARHR: 0.038703±0.0005, RMSE: 0.754140±0.0032, NOVELTY: 0.006807±0.0000, AVERAGE_POPULARITY: 0.067427±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997887±0.0000, DIVERSITY_HERFINDAHL: 0.999784±0.0000, COVERAGE_ITEM: 0.953955±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.426442±0.0007, SHANNON_ENTROPY: 13.150583±0.0018, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 108, 'shrink': 294, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.6367806074697546, 'feature_weighting': 'none'} - results: ROC_AUC: 0.059969±0.0007, PRECISION: 0.008220±0.0001, PRECISION_RECALL_MIN_DEN: 0.082203±0.0006, RECALL: 0.082203±0.0006, MAP: 0.042896±0.0005, MRR: 0.042896±0.0005, NDCG: 0.052208±0.0004, F1: 0.014946±0.0001, HIT_RATE: 0.082203±0.0006, ARHR: 0.042896±0.0005, RMSE: 0.949285±0.0003, NOVELTY: 0.005970±0.0000, AVERAGE_POPULARITY: 0.267733±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.982065±0.0001, DIVERSITY_HERFINDAHL: 0.998202±0.0000, COVERAGE_ITEM: 0.661238±0.0058, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145967±0.0007, SHANNON_ENTROPY: 10.532287±0.0026, 
CrossSearchBayesianSkopt: New best config found. Config 9: {'topK': 272, 'shrink': 357, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4525968039406543, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066987±0.0009, PRECISION: 0.009355±0.0001, PRECISION_RECALL_MIN_DEN: 0.093553±0.0009, RECALL: 0.093553±0.0009, MAP: 0.048013±0.0006, MRR: 0.048013±0.0006, NDCG: 0.058746±0.0006, F1: 0.017010±0.0002, HIT_RATE: 0.093553±0.0009, ARHR: 0.048013±0.0006, RMSE: 3.388214±0.0155, NOVELTY: 0.005564±0.0000, AVERAGE_POPULARITY: 0.538788±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.911055±0.0004, DIVERSITY_HERFINDAHL: 0.991101±0.0000, COVERAGE_ITEM: 0.601828±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.105176±0.0005, SHANNON_ENTROPY: 8.883789±0.0064, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 297, 'shrink': 755, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.724498597385365, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.025011±0.0007, PRECISION: 0.003507±0.0001, PRECISION_RECALL_MIN_DEN: 0.035071±0.0005, RECALL: 0.035071±0.0005, MAP: 0.017672±0.0007, MRR: 0.017672±0.0007, NDCG: 0.021778±0.0007, F1: 0.006377±0.0001, HIT_RATE: 0.035071±0.0005, ARHR: 0.017672±0.0007, RMSE: 0.793334±0.0009, NOVELTY: 0.006233±0.0000, AVERAGE_POPULARITY: 0.021059±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998622±0.0000, DIVERSITY_HERFINDAHL: 0.999858±0.0000, COVERAGE_ITEM: 0.926975±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.525188±0.0006, SHANNON_ENTROPY: 13.461384±0.0011, 
