CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.031684±0.0006, PRECISION: 0.004233±0.0001, PRECISION_RECALL_MIN_DEN: 0.042334±0.0009, RECALL: 0.042334±0.0009, MAP: 0.023120±0.0003, MRR: 0.023120±0.0003, NDCG: 0.027683±0.0004, F1: 0.007697±0.0002, HIT_RATE: 0.042334±0.0009, ARHR: 0.023120±0.0003, RMSE: 0.923241±0.0063, NOVELTY: 0.006595±0.0000, AVERAGE_POPULARITY: 0.025964±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.999174±0.0000, DIVERSITY_HERFINDAHL: 0.999913±0.0000, COVERAGE_ITEM: 0.982038±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.623634±0.0007, SHANNON_ENTROPY: 13.800628±0.0012, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 90, 'shrink': 1547, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.066189±0.0009, PRECISION: 0.008978±0.0001, PRECISION_RECALL_MIN_DEN: 0.089776±0.0007, RECALL: 0.089776±0.0007, MAP: 0.048155±0.0008, MRR: 0.048155±0.0008, NDCG: 0.058008±0.0008, F1: 0.016323±0.0001, HIT_RATE: 0.089776±0.0007, ARHR: 0.048155±0.0008, RMSE: 0.983773±0.0001, NOVELTY: 0.006291±0.0000, AVERAGE_POPULARITY: 0.328653±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.972443±0.0001, DIVERSITY_HERFINDAHL: 0.997240±0.0000, COVERAGE_ITEM: 0.860124±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.259306±0.0005, SHANNON_ENTROPY: 11.211660±0.0037, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 785, 'shrink': 1139, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.053831±0.0006, PRECISION: 0.007444±0.0001, PRECISION_RECALL_MIN_DEN: 0.074444±0.0006, RECALL: 0.074444±0.0006, MAP: 0.038552±0.0005, MRR: 0.038552±0.0005, NDCG: 0.047030±0.0005, F1: 0.013535±0.0001, HIT_RATE: 0.074444±0.0006, ARHR: 0.038552±0.0005, RMSE: 0.941935±0.0003, NOVELTY: 0.006767±0.0000, AVERAGE_POPULARITY: 0.066847±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.997934±0.0000, DIVERSITY_HERFINDAHL: 0.999789±0.0000, COVERAGE_ITEM: 0.958497±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.438053±0.0005, SHANNON_ENTROPY: 13.190555±0.0013, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 564, 'shrink': 1090, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.070038±0.0011, PRECISION: 0.009655±0.0001, PRECISION_RECALL_MIN_DEN: 0.096551±0.0015, RECALL: 0.096551±0.0015, MAP: 0.050285±0.0009, MRR: 0.050285±0.0009, NDCG: 0.061221±0.0010, F1: 0.017555±0.0003, HIT_RATE: 0.096551±0.0015, ARHR: 0.050285±0.0009, RMSE: 0.903530±0.0002, NOVELTY: 0.005669±0.0000, AVERAGE_POPULARITY: 0.408900±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.957212±0.0003, DIVERSITY_HERFINDAHL: 0.995717±0.0000, COVERAGE_ITEM: 0.785045±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157294±0.0001, SHANNON_ENTROPY: 10.149895±0.0072, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 213, 'shrink': 446, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.031752±0.0006, PRECISION: 0.004252±0.0001, PRECISION_RECALL_MIN_DEN: 0.042520±0.0008, RECALL: 0.042520±0.0008, MAP: 0.023198±0.0004, MRR: 0.023198±0.0004, NDCG: 0.027783±0.0004, F1: 0.007731±0.0001, HIT_RATE: 0.042520±0.0008, ARHR: 0.023198±0.0004, RMSE: 0.972054±0.0059, NOVELTY: 0.006449±0.0000, AVERAGE_POPULARITY: 0.028158±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.999164±0.0000, DIVERSITY_HERFINDAHL: 0.999912±0.0000, COVERAGE_ITEM: 0.980589±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.615911±0.0012, SHANNON_ENTROPY: 13.786494±0.0017, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 536, 'shrink': 1995, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.054628±0.0008, PRECISION: 0.007560±0.0001, PRECISION_RECALL_MIN_DEN: 0.075596±0.0012, RECALL: 0.075596±0.0012, MAP: 0.039108±0.0006, MRR: 0.039108±0.0006, NDCG: 0.047729±0.0007, F1: 0.013745±0.0002, HIT_RATE: 0.075596±0.0012, ARHR: 0.039108±0.0006, RMSE: 0.978586±0.0001, NOVELTY: 0.006071±0.0000, AVERAGE_POPULARITY: 0.077457±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.997766±0.0000, DIVERSITY_HERFINDAHL: 0.999772±0.0000, COVERAGE_ITEM: 0.958389±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.456782±0.0004, SHANNON_ENTROPY: 13.214097±0.0014, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 756, 'shrink': 473, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.051539±0.0010, PRECISION: 0.007164±0.0001, PRECISION_RECALL_MIN_DEN: 0.071641±0.0014, RECALL: 0.071641±0.0014, MAP: 0.037953±0.0009, MRR: 0.037953±0.0009, NDCG: 0.045871±0.0009, F1: 0.013026±0.0003, HIT_RATE: 0.071641±0.0014, ARHR: 0.037953±0.0009, RMSE: 2.924650±0.0189, NOVELTY: 0.005143±0.0000, AVERAGE_POPULARITY: 0.716297±0.0057, DIVERSITY_MEAN_INTER_LIST: 0.767465±0.0006, DIVERSITY_HERFINDAHL: 0.976743±0.0001, COVERAGE_ITEM: 0.332630±0.0048, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.048213±0.0003, SHANNON_ENTROPY: 6.793181±0.0075, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 72, 'shrink': 1994, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.074077±0.0008, PRECISION: 0.010262±0.0000, PRECISION_RECALL_MIN_DEN: 0.102625±0.0004, RECALL: 0.102625±0.0004, MAP: 0.053045±0.0007, MRR: 0.053045±0.0007, NDCG: 0.064753±0.0006, F1: 0.018659±0.0001, HIT_RATE: 0.102625±0.0004, ARHR: 0.053045±0.0007, RMSE: 0.893345±0.0025, NOVELTY: 0.005952±0.0000, AVERAGE_POPULARITY: 0.387677±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.965569±0.0001, DIVERSITY_HERFINDAHL: 0.996553±0.0000, COVERAGE_ITEM: 0.743833±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.160134±0.0002, SHANNON_ENTROPY: 10.348866±0.0039, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 406, 'shrink': 1999, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.054091±0.0006, PRECISION: 0.007489±0.0001, PRECISION_RECALL_MIN_DEN: 0.074887±0.0007, RECALL: 0.074887±0.0007, MAP: 0.038653±0.0004, MRR: 0.038653±0.0004, NDCG: 0.047214±0.0005, F1: 0.013616±0.0001, HIT_RATE: 0.074887±0.0007, ARHR: 0.038653±0.0004, RMSE: 0.858486±0.0013, NOVELTY: 0.006561±0.0000, AVERAGE_POPULARITY: 0.065132±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.997989±0.0000, DIVERSITY_HERFINDAHL: 0.999795±0.0000, COVERAGE_ITEM: 0.960541±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.448587±0.0006, SHANNON_ENTROPY: 13.224604±0.0018, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 658, 'shrink': 939, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.053023±0.0009, PRECISION: 0.007396±0.0001, PRECISION_RECALL_MIN_DEN: 0.073965±0.0011, RECALL: 0.073965±0.0011, MAP: 0.038834±0.0008, MRR: 0.038834±0.0008, NDCG: 0.047093±0.0009, F1: 0.013448±0.0002, HIT_RATE: 0.073965±0.0011, ARHR: 0.038834±0.0008, RMSE: 0.968266±0.0001, NOVELTY: 0.005236±0.0000, AVERAGE_POPULARITY: 0.666721±0.0054, DIVERSITY_MEAN_INTER_LIST: 0.810606±0.0004, DIVERSITY_HERFINDAHL: 0.981057±0.0000, COVERAGE_ITEM: 0.483796±0.0064, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.064653±0.0004, SHANNON_ENTROPY: 7.358351±0.0096, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 79, 'shrink': 1637, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.072869±0.0007, PRECISION: 0.010132±0.0001, PRECISION_RECALL_MIN_DEN: 0.101321±0.0007, RECALL: 0.101321±0.0007, MAP: 0.052174±0.0007, MRR: 0.052174±0.0007, NDCG: 0.063774±0.0006, F1: 0.018422±0.0001, HIT_RATE: 0.101321±0.0007, ARHR: 0.052174±0.0007, RMSE: 0.946181±0.0002, NOVELTY: 0.005867±0.0000, AVERAGE_POPULARITY: 0.323498±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.980488±0.0001, DIVERSITY_HERFINDAHL: 0.998044±0.0000, COVERAGE_ITEM: 0.738859±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163738±0.0006, SHANNON_ENTROPY: 10.709208±0.0059, 
