CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 529, 'shrink': 435, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.9833509727730589, 'tversky_beta': 0.17664309285754423} - results: ROC_AUC: 0.067653±0.0008, PRECISION: 0.009216±0.0001, PRECISION_RECALL_MIN_DEN: 0.092161±0.0006, RECALL: 0.092161±0.0006, MAP: 0.049341±0.0006, MRR: 0.049341±0.0006, NDCG: 0.059465±0.0006, F1: 0.016757±0.0001, HIT_RATE: 0.092161±0.0006, ARHR: 0.049341±0.0006, RMSE: 0.940372±0.0002, NOVELTY: 0.006099±0.0000, AVERAGE_POPULARITY: 0.361623±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.970965±0.0002, DIVERSITY_HERFINDAHL: 0.997092±0.0000, COVERAGE_ITEM: 0.702741±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.178715±0.0006, SHANNON_ENTROPY: 10.507890±0.0043, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 774, 'shrink': 1163, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.5690595357494808, 'tversky_beta': 1.1390300089216008} - results: ROC_AUC: 0.064265±0.0009, PRECISION: 0.008825±0.0001, PRECISION_RECALL_MIN_DEN: 0.088250±0.0009, RECALL: 0.088250±0.0009, MAP: 0.046951±0.0007, MRR: 0.046951±0.0007, NDCG: 0.056696±0.0007, F1: 0.016046±0.0002, HIT_RATE: 0.088250±0.0009, ARHR: 0.046951±0.0007, RMSE: 0.973283±0.0001, NOVELTY: 0.005778±0.0000, AVERAGE_POPULARITY: 0.477506±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.935684±0.0003, DIVERSITY_HERFINDAHL: 0.993564±0.0000, COVERAGE_ITEM: 0.650500±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132079±0.0006, SHANNON_ENTROPY: 9.441112±0.0036, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 827, 'shrink': 110, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.0897812051045728, 'tversky_beta': 0.2602293325387151} - results: ROC_AUC: 0.059576±0.0011, PRECISION: 0.008136±0.0001, PRECISION_RECALL_MIN_DEN: 0.081360±0.0012, RECALL: 0.081360±0.0012, MAP: 0.043122±0.0010, MRR: 0.043122±0.0010, NDCG: 0.052167±0.0011, F1: 0.014793±0.0002, HIT_RATE: 0.081360±0.0012, ARHR: 0.043122±0.0010, RMSE: 0.873577±0.0006, NOVELTY: 0.006962±0.0000, AVERAGE_POPULARITY: 0.151141±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.994828±0.0000, DIVERSITY_HERFINDAHL: 0.999478±0.0000, COVERAGE_ITEM: 0.820762±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.336313±0.0004, SHANNON_ENTROPY: 12.398340±0.0013, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 93, 'shrink': 1311, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.8679416537586704, 'tversky_beta': 0.8179882087612396} - results: ROC_AUC: 0.061597±0.0009, PRECISION: 0.008508±0.0001, PRECISION_RECALL_MIN_DEN: 0.085085±0.0007, RECALL: 0.085085±0.0007, MAP: 0.044662±0.0008, MRR: 0.044662±0.0008, NDCG: 0.054201±0.0008, F1: 0.015470±0.0001, HIT_RATE: 0.085085±0.0007, ARHR: 0.044662±0.0008, RMSE: 0.988528±0.0001, NOVELTY: 0.005597±0.0000, AVERAGE_POPULARITY: 0.479676±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.946420±0.0002, DIVERSITY_HERFINDAHL: 0.994638±0.0000, COVERAGE_ITEM: 0.472474±0.0044, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.098041±0.0004, SHANNON_ENTROPY: 9.149533±0.0066, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 599, 'shrink': 746, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.17370953549871973, 'tversky_beta': 1.6146661774965534} - results: ROC_AUC: 0.052358±0.0008, PRECISION: 0.007307±0.0001, PRECISION_RECALL_MIN_DEN: 0.073069±0.0012, RECALL: 0.073069±0.0012, MAP: 0.038487±0.0009, MRR: 0.038487±0.0009, NDCG: 0.046608±0.0010, F1: 0.013285±0.0002, HIT_RATE: 0.073069±0.0012, ARHR: 0.038487±0.0009, RMSE: 0.848632±0.0012, NOVELTY: 0.005209±0.0000, AVERAGE_POPULARITY: 0.688901±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.796437±0.0001, DIVERSITY_HERFINDAHL: 0.979640±0.0000, COVERAGE_ITEM: 0.391565±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.054798±0.0005, SHANNON_ENTROPY: 7.081439±0.0085, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 478, 'shrink': 1512, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.276679127056327, 'tversky_beta': 1.546702824578039} - results: ROC_AUC: 0.064601±0.0008, PRECISION: 0.008892±0.0001, PRECISION_RECALL_MIN_DEN: 0.088924±0.0009, RECALL: 0.088924±0.0009, MAP: 0.047032±0.0006, MRR: 0.047032±0.0006, NDCG: 0.056919±0.0006, F1: 0.016168±0.0002, HIT_RATE: 0.088924±0.0009, ARHR: 0.047032±0.0006, RMSE: 0.980926±0.0001, NOVELTY: 0.005803±0.0000, AVERAGE_POPULARITY: 0.474772±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.937430±0.0001, DIVERSITY_HERFINDAHL: 0.993739±0.0000, COVERAGE_ITEM: 0.662730±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138216±0.0005, SHANNON_ENTROPY: 9.530041±0.0039, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 72, 'shrink': 1994, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.6793950704440939, 'tversky_beta': 0.8104083128980186} - results: ROC_AUC: 0.072891±0.0008, PRECISION: 0.009967±0.0000, PRECISION_RECALL_MIN_DEN: 0.099672±0.0005, RECALL: 0.099672±0.0005, MAP: 0.052851±0.0007, MRR: 0.052851±0.0007, NDCG: 0.063921±0.0006, F1: 0.018122±0.0001, HIT_RATE: 0.099672±0.0005, ARHR: 0.052851±0.0007, RMSE: 0.991707±0.0001, NOVELTY: 0.006363±0.0000, AVERAGE_POPULARITY: 0.287438±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.983868±0.0001, DIVERSITY_HERFINDAHL: 0.998382±0.0000, COVERAGE_ITEM: 0.752625±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.219532±0.0003, SHANNON_ENTROPY: 11.217186±0.0032, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 999, 'shrink': 1285, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3140191741304383, 'tversky_beta': 0.9385793925826353} - results: ROC_AUC: 0.054929±0.0009, PRECISION: 0.007577±0.0001, PRECISION_RECALL_MIN_DEN: 0.075774±0.0011, RECALL: 0.075774±0.0011, MAP: 0.040369±0.0008, MRR: 0.040369±0.0008, NDCG: 0.048708±0.0009, F1: 0.013777±0.0002, HIT_RATE: 0.075774±0.0011, ARHR: 0.040369±0.0008, RMSE: 0.872483±0.0009, NOVELTY: 0.005262±0.0000, AVERAGE_POPULARITY: 0.652282±0.0055, DIVERSITY_MEAN_INTER_LIST: 0.827421±0.0007, DIVERSITY_HERFINDAHL: 0.982738±0.0001, COVERAGE_ITEM: 0.387489±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.058130±0.0004, SHANNON_ENTROPY: 7.395681±0.0087, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 108, 'shrink': 294, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.6367806074697546, 'tversky_beta': 0.47648967965415834} - results: ROC_AUC: 0.066378±0.0006, PRECISION: 0.009153±0.0000, PRECISION_RECALL_MIN_DEN: 0.091531±0.0005, RECALL: 0.091531±0.0005, MAP: 0.047775±0.0006, MRR: 0.047775±0.0006, NDCG: 0.058115±0.0006, F1: 0.016642±0.0001, HIT_RATE: 0.091531±0.0005, ARHR: 0.047775±0.0006, RMSE: 0.971847±0.0001, NOVELTY: 0.005847±0.0000, AVERAGE_POPULARITY: 0.367451±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.973324±0.0002, DIVERSITY_HERFINDAHL: 0.997328±0.0000, COVERAGE_ITEM: 0.507067±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123086±0.0005, SHANNON_ENTROPY: 9.964929±0.0070, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 272, 'shrink': 357, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.4525968039406543, 'tversky_beta': 1.5766606881013279} - results: ROC_AUC: 0.064525±0.0012, PRECISION: 0.008778±0.0001, PRECISION_RECALL_MIN_DEN: 0.087780±0.0013, RECALL: 0.087780±0.0013, MAP: 0.047105±0.0011, MRR: 0.047105±0.0011, NDCG: 0.056723±0.0011, F1: 0.015960±0.0002, HIT_RATE: 0.087780±0.0013, ARHR: 0.047105±0.0011, RMSE: 0.964479±0.0002, NOVELTY: 0.006789±0.0000, AVERAGE_POPULARITY: 0.210721±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.991473±0.0000, DIVERSITY_HERFINDAHL: 0.999143±0.0000, COVERAGE_ITEM: 0.800195±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.311693±0.0008, SHANNON_ENTROPY: 12.064208±0.0023, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 297, 'shrink': 755, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.724498597385365, 'tversky_beta': 1.5360766439393247} - results: ROC_AUC: 0.068394±0.0010, PRECISION: 0.009293±0.0001, PRECISION_RECALL_MIN_DEN: 0.092933±0.0010, RECALL: 0.092933±0.0010, MAP: 0.049838±0.0009, MRR: 0.049838±0.0009, NDCG: 0.060030±0.0009, F1: 0.016897±0.0002, HIT_RATE: 0.092933±0.0010, ARHR: 0.049838±0.0009, RMSE: 0.975922±0.0001, NOVELTY: 0.006389±0.0000, AVERAGE_POPULARITY: 0.297909±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.981855±0.0001, DIVERSITY_HERFINDAHL: 0.998181±0.0000, COVERAGE_ITEM: 0.752095±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234212±0.0006, SHANNON_ENTROPY: 11.225245±0.0022, 
