CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.062068±0.0011, PRECISION: 0.008572±0.0001, PRECISION_RECALL_MIN_DEN: 0.085723±0.0012, RECALL: 0.085723±0.0012, MAP: 0.044824±0.0009, MRR: 0.044824±0.0009, NDCG: 0.054475±0.0009, F1: 0.015586±0.0002, HIT_RATE: 0.085723±0.0012, ARHR: 0.044824±0.0009, RMSE: 0.966751±0.0003, NOVELTY: 0.005870±0.0000, AVERAGE_POPULARITY: 0.376652±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.973165±0.0002, DIVERSITY_HERFINDAHL: 0.997312±0.0000, COVERAGE_ITEM: 0.529862±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130154±0.0007, SHANNON_ENTROPY: 10.018964±0.0075, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 135, 'shrink': 1656, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.070078±0.0006, PRECISION: 0.009624±0.0001, PRECISION_RECALL_MIN_DEN: 0.096240±0.0011, RECALL: 0.096240±0.0011, MAP: 0.050816±0.0005, MRR: 0.050816±0.0005, NDCG: 0.061545±0.0006, F1: 0.017498±0.0002, HIT_RATE: 0.096240±0.0011, ARHR: 0.050816±0.0005, RMSE: 0.987841±0.0001, NOVELTY: 0.006139±0.0000, AVERAGE_POPULARITY: 0.360861±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.971546±0.0001, DIVERSITY_HERFINDAHL: 0.997150±0.0000, COVERAGE_ITEM: 0.723493±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.188182±0.0004, SHANNON_ENTROPY: 10.627404±0.0046, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 182, 'shrink': 1947, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.056470±0.0010, PRECISION: 0.007828±0.0001, PRECISION_RECALL_MIN_DEN: 0.078283±0.0010, RECALL: 0.078283±0.0010, MAP: 0.041234±0.0008, MRR: 0.041234±0.0008, NDCG: 0.049960±0.0008, F1: 0.014233±0.0002, HIT_RATE: 0.078283±0.0010, ARHR: 0.041234±0.0008, RMSE: 0.925112±0.0004, NOVELTY: 0.005395±0.0000, AVERAGE_POPULARITY: 0.587873±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.890341±0.0005, DIVERSITY_HERFINDAHL: 0.989030±0.0000, COVERAGE_ITEM: 0.452133±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.077884±0.0004, SHANNON_ENTROPY: 8.204300±0.0072, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 10, 'shrink': 700, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.071358±0.0007, PRECISION: 0.009610±0.0001, PRECISION_RECALL_MIN_DEN: 0.096098±0.0008, RECALL: 0.096098±0.0008, MAP: 0.051633±0.0006, MRR: 0.051633±0.0006, NDCG: 0.062181±0.0005, F1: 0.017472±0.0001, HIT_RATE: 0.096098±0.0008, ARHR: 0.051633±0.0006, RMSE: 0.988629±0.0001, NOVELTY: 0.006865±0.0000, AVERAGE_POPULARITY: 0.154252±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.994555±0.0000, DIVERSITY_HERFINDAHL: 0.999451±0.0000, COVERAGE_ITEM: 0.807862±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.313965±0.0012, SHANNON_ENTROPY: 12.258665±0.0054, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 88, 'shrink': 1391, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059748±0.0009, PRECISION: 0.008281±0.0001, PRECISION_RECALL_MIN_DEN: 0.082806±0.0007, RECALL: 0.082806±0.0007, MAP: 0.043423±0.0008, MRR: 0.043423±0.0008, NDCG: 0.052706±0.0008, F1: 0.015056±0.0001, HIT_RATE: 0.082806±0.0007, ARHR: 0.043423±0.0008, RMSE: 0.925596±0.0005, NOVELTY: 0.005532±0.0000, AVERAGE_POPULARITY: 0.515718±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.932399±0.0004, DIVERSITY_HERFINDAHL: 0.993236±0.0000, COVERAGE_ITEM: 0.469911±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092946±0.0002, SHANNON_ENTROPY: 8.891240±0.0075, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 88, 'shrink': 1892, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.058830±0.0009, PRECISION: 0.008132±0.0001, PRECISION_RECALL_MIN_DEN: 0.081325±0.0007, RECALL: 0.081325±0.0007, MAP: 0.042805±0.0007, MRR: 0.042805±0.0007, NDCG: 0.051887±0.0007, F1: 0.014786±0.0001, HIT_RATE: 0.081325±0.0007, ARHR: 0.042805±0.0007, RMSE: 0.937820±0.0003, NOVELTY: 0.005513±0.0000, AVERAGE_POPULARITY: 0.527276±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.926361±0.0004, DIVERSITY_HERFINDAHL: 0.992632±0.0000, COVERAGE_ITEM: 0.471425±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.091879±0.0002, SHANNON_ENTROPY: 8.804983±0.0083, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 69, 'shrink': 791, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.062216±0.0009, PRECISION: 0.008602±0.0000, PRECISION_RECALL_MIN_DEN: 0.086025±0.0003, RECALL: 0.086025±0.0003, MAP: 0.045109±0.0008, MRR: 0.045109±0.0008, NDCG: 0.054761±0.0007, F1: 0.015641±0.0001, HIT_RATE: 0.086025±0.0003, ARHR: 0.045109±0.0008, RMSE: 0.985580±0.0001, NOVELTY: 0.005613±0.0000, AVERAGE_POPULARITY: 0.472860±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.950112±0.0003, DIVERSITY_HERFINDAHL: 0.995007±0.0000, COVERAGE_ITEM: 0.473566±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100179±0.0003, SHANNON_ENTROPY: 9.234109±0.0065, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 41, 'shrink': 1684, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.072978±0.0008, PRECISION: 0.009918±0.0000, PRECISION_RECALL_MIN_DEN: 0.099175±0.0004, RECALL: 0.099175±0.0004, MAP: 0.052910±0.0009, MRR: 0.052910±0.0009, NDCG: 0.063863±0.0007, F1: 0.018032±0.0001, HIT_RATE: 0.099175±0.0004, ARHR: 0.052910±0.0009, RMSE: 0.991849±0.0000, NOVELTY: 0.006471±0.0000, AVERAGE_POPULARITY: 0.256929±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.987498±0.0000, DIVERSITY_HERFINDAHL: 0.998745±0.0000, COVERAGE_ITEM: 0.768597±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.236616±0.0003, SHANNON_ENTROPY: 11.474251±0.0025, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 169, 'shrink': 1005, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.059217±0.0011, PRECISION: 0.008171±0.0001, PRECISION_RECALL_MIN_DEN: 0.081715±0.0009, RECALL: 0.081715±0.0009, MAP: 0.043113±0.0009, MRR: 0.043113±0.0009, NDCG: 0.052217±0.0009, F1: 0.014857±0.0002, HIT_RATE: 0.081715±0.0009, ARHR: 0.043113±0.0009, RMSE: 0.894717±0.0008, NOVELTY: 0.005457±0.0000, AVERAGE_POPULARITY: 0.551732±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.914052±0.0005, DIVERSITY_HERFINDAHL: 0.991401±0.0000, COVERAGE_ITEM: 0.454653±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.082966±0.0003, SHANNON_ENTROPY: 8.523888±0.0058, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 7, 'shrink': 1891, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.062269±0.0012, PRECISION: 0.008575±0.0001, PRECISION_RECALL_MIN_DEN: 0.085750±0.0012, RECALL: 0.085750±0.0012, MAP: 0.044890±0.0009, MRR: 0.044890±0.0009, NDCG: 0.054540±0.0010, F1: 0.015591±0.0002, HIT_RATE: 0.085750±0.0012, ARHR: 0.044890±0.0009, RMSE: 0.995889±0.0000, NOVELTY: 0.005955±0.0000, AVERAGE_POPULARITY: 0.352099±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.976034±0.0001, DIVERSITY_HERFINDAHL: 0.997599±0.0000, COVERAGE_ITEM: 0.514052±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133971±0.0005, SHANNON_ENTROPY: 10.103427±0.0050, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 188, 'shrink': 243, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.064960±0.0010, PRECISION: 0.008939±0.0000, PRECISION_RECALL_MIN_DEN: 0.089385±0.0005, RECALL: 0.089385±0.0005, MAP: 0.047088±0.0008, MRR: 0.047088±0.0008, NDCG: 0.057078±0.0007, F1: 0.016252±0.0001, HIT_RATE: 0.089385±0.0005, ARHR: 0.047088±0.0008, RMSE: 0.968606±0.0001, NOVELTY: 0.005648±0.0000, AVERAGE_POPULARITY: 0.464707±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.949350±0.0002, DIVERSITY_HERFINDAHL: 0.994931±0.0000, COVERAGE_ITEM: 0.495074±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103268±0.0004, SHANNON_ENTROPY: 9.287912±0.0060, 
