CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.062099±0.0011, PRECISION: 0.008567±0.0001, PRECISION_RECALL_MIN_DEN: 0.085670±0.0013, RECALL: 0.085670±0.0013, MAP: 0.044814±0.0009, MRR: 0.044814±0.0009, NDCG: 0.054459±0.0010, F1: 0.015576±0.0002, HIT_RATE: 0.085670±0.0013, ARHR: 0.044814±0.0009, RMSE: 0.966068±0.0003, NOVELTY: 0.005869±0.0000, AVERAGE_POPULARITY: 0.377241±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.973015±0.0002, DIVERSITY_HERFINDAHL: 0.997297±0.0000, COVERAGE_ITEM: 0.529786±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130029±0.0007, SHANNON_ENTROPY: 10.013982±0.0076, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 135, 'shrink': 1656, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.070286±0.0006, PRECISION: 0.009653±0.0001, PRECISION_RECALL_MIN_DEN: 0.096533±0.0011, RECALL: 0.096533±0.0011, MAP: 0.050887±0.0005, MRR: 0.050887±0.0005, NDCG: 0.061672±0.0006, F1: 0.017551±0.0002, HIT_RATE: 0.096533±0.0011, ARHR: 0.050887±0.0005, RMSE: 0.987645±0.0001, NOVELTY: 0.006131±0.0000, AVERAGE_POPULARITY: 0.362700±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.971127±0.0001, DIVERSITY_HERFINDAHL: 0.997108±0.0000, COVERAGE_ITEM: 0.722130±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.186842±0.0005, SHANNON_ENTROPY: 10.606495±0.0051, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 182, 'shrink': 1947, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.056569±0.0010, PRECISION: 0.007832±0.0001, PRECISION_RECALL_MIN_DEN: 0.078319±0.0009, RECALL: 0.078319±0.0009, MAP: 0.041313±0.0007, MRR: 0.041313±0.0007, NDCG: 0.050031±0.0008, F1: 0.014240±0.0002, HIT_RATE: 0.078319±0.0009, ARHR: 0.041313±0.0007, RMSE: 0.924474±0.0004, NOVELTY: 0.005395±0.0000, AVERAGE_POPULARITY: 0.587945±0.0051, DIVERSITY_MEAN_INTER_LIST: 0.890100±0.0005, DIVERSITY_HERFINDAHL: 0.989006±0.0000, COVERAGE_ITEM: 0.451960±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.077852±0.0004, SHANNON_ENTROPY: 8.202241±0.0071, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 10, 'shrink': 700, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.071957±0.0006, PRECISION: 0.009664±0.0001, PRECISION_RECALL_MIN_DEN: 0.096639±0.0008, RECALL: 0.096639±0.0008, MAP: 0.052117±0.0006, MRR: 0.052117±0.0006, NDCG: 0.062684±0.0005, F1: 0.017571±0.0002, HIT_RATE: 0.096639±0.0008, ARHR: 0.052117±0.0006, RMSE: 0.988133±0.0001, NOVELTY: 0.006849±0.0000, AVERAGE_POPULARITY: 0.157541±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.994342±0.0000, DIVERSITY_HERFINDAHL: 0.999430±0.0000, COVERAGE_ITEM: 0.806229±0.0027, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.310220±0.0012, SHANNON_ENTROPY: 12.225764±0.0056, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 88, 'shrink': 1391, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.059854±0.0009, PRECISION: 0.008293±0.0001, PRECISION_RECALL_MIN_DEN: 0.082930±0.0006, RECALL: 0.082930±0.0006, MAP: 0.043485±0.0008, MRR: 0.043485±0.0008, NDCG: 0.052784±0.0007, F1: 0.015078±0.0001, HIT_RATE: 0.082930±0.0006, ARHR: 0.043485±0.0008, RMSE: 0.925041±0.0005, NOVELTY: 0.005531±0.0000, AVERAGE_POPULARITY: 0.516124±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.932068±0.0004, DIVERSITY_HERFINDAHL: 0.993203±0.0000, COVERAGE_ITEM: 0.469770±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.092859±0.0002, SHANNON_ENTROPY: 8.886182±0.0075, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 88, 'shrink': 1892, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.058871±0.0009, PRECISION: 0.008142±0.0001, PRECISION_RECALL_MIN_DEN: 0.081422±0.0007, RECALL: 0.081422±0.0007, MAP: 0.042840±0.0007, MRR: 0.042840±0.0007, NDCG: 0.051936±0.0007, F1: 0.014804±0.0001, HIT_RATE: 0.081422±0.0007, ARHR: 0.042840±0.0007, RMSE: 0.937142±0.0003, NOVELTY: 0.005513±0.0000, AVERAGE_POPULARITY: 0.527664±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.926040±0.0004, DIVERSITY_HERFINDAHL: 0.992600±0.0000, COVERAGE_ITEM: 0.471273±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.091810±0.0002, SHANNON_ENTROPY: 8.800370±0.0082, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 69, 'shrink': 791, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.062374±0.0008, PRECISION: 0.008623±0.0000, PRECISION_RECALL_MIN_DEN: 0.086229±0.0003, RECALL: 0.086229±0.0003, MAP: 0.045189±0.0008, MRR: 0.045189±0.0008, NDCG: 0.054872±0.0007, F1: 0.015678±0.0001, HIT_RATE: 0.086229±0.0003, ARHR: 0.045189±0.0008, RMSE: 0.985078±0.0001, NOVELTY: 0.005612±0.0000, AVERAGE_POPULARITY: 0.473347±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.949791±0.0003, DIVERSITY_HERFINDAHL: 0.994975±0.0000, COVERAGE_ITEM: 0.473490±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100002±0.0003, SHANNON_ENTROPY: 9.227492±0.0066, 
CrossSearchBayesianSkopt: New best config found. Config 7: {'topK': 41, 'shrink': 1684, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.073179±0.0008, PRECISION: 0.009942±0.0000, PRECISION_RECALL_MIN_DEN: 0.099424±0.0004, RECALL: 0.099424±0.0004, MAP: 0.053063±0.0008, MRR: 0.053063±0.0008, NDCG: 0.064040±0.0007, F1: 0.018077±0.0001, HIT_RATE: 0.099424±0.0004, ARHR: 0.053063±0.0008, RMSE: 0.991678±0.0001, NOVELTY: 0.006462±0.0000, AVERAGE_POPULARITY: 0.259244±0.0020, DIVERSITY_MEAN_INTER_LIST: 0.987231±0.0000, DIVERSITY_HERFINDAHL: 0.998719±0.0000, COVERAGE_ITEM: 0.767580±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.234793±0.0003, SHANNON_ENTROPY: 11.451561±0.0031, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 169, 'shrink': 1005, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.059484±0.0010, PRECISION: 0.008203±0.0001, PRECISION_RECALL_MIN_DEN: 0.082025±0.0009, RECALL: 0.082025±0.0009, MAP: 0.043320±0.0009, MRR: 0.043320±0.0009, NDCG: 0.052449±0.0008, F1: 0.014914±0.0002, HIT_RATE: 0.082025±0.0009, ARHR: 0.043320±0.0009, RMSE: 0.894429±0.0008, NOVELTY: 0.005457±0.0000, AVERAGE_POPULARITY: 0.551774±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.913808±0.0005, DIVERSITY_HERFINDAHL: 0.991377±0.0000, COVERAGE_ITEM: 0.454566±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.082886±0.0003, SHANNON_ENTROPY: 8.521226±0.0055, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 7, 'shrink': 1891, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.062304±0.0012, PRECISION: 0.008573±0.0001, PRECISION_RECALL_MIN_DEN: 0.085732±0.0011, RECALL: 0.085732±0.0011, MAP: 0.044909±0.0009, MRR: 0.044909±0.0009, NDCG: 0.054552±0.0010, F1: 0.015588±0.0002, HIT_RATE: 0.085732±0.0011, ARHR: 0.044909±0.0009, RMSE: 0.995745±0.0000, NOVELTY: 0.005954±0.0000, AVERAGE_POPULARITY: 0.352606±0.0027, DIVERSITY_MEAN_INTER_LIST: 0.975922±0.0001, DIVERSITY_HERFINDAHL: 0.997588±0.0000, COVERAGE_ITEM: 0.514042±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133847±0.0005, SHANNON_ENTROPY: 10.099213±0.0051, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 188, 'shrink': 243, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.065532±0.0010, PRECISION: 0.009005±0.0000, PRECISION_RECALL_MIN_DEN: 0.090051±0.0005, RECALL: 0.090051±0.0005, MAP: 0.047570±0.0009, MRR: 0.047570±0.0009, NDCG: 0.057604±0.0007, F1: 0.016373±0.0001, HIT_RATE: 0.090051±0.0005, ARHR: 0.047570±0.0009, RMSE: 0.967212±0.0001, NOVELTY: 0.005649±0.0000, AVERAGE_POPULARITY: 0.463980±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.949322±0.0002, DIVERSITY_HERFINDAHL: 0.994928±0.0000, COVERAGE_ITEM: 0.494188±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.103135±0.0004, SHANNON_ENTROPY: 9.287191±0.0066, 
