CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 11, 'shrink': 1812, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3435839028372647, 'tversky_beta': 1.6558212544824547} - results: ROC_AUC: 0.063668±0.0011, PRECISION: 0.008820±0.0001, PRECISION_RECALL_MIN_DEN: 0.088197±0.0011, RECALL: 0.088197±0.0011, MAP: 0.045838±0.0009, MRR: 0.045838±0.0009, NDCG: 0.055832±0.0010, F1: 0.016036±0.0002, HIT_RATE: 0.088197±0.0011, ARHR: 0.045838±0.0009, RMSE: 0.969318±0.0002, NOVELTY: 0.005864±0.0000, AVERAGE_POPULARITY: 0.374658±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.974035±0.0002, DIVERSITY_HERFINDAHL: 0.997399±0.0000, COVERAGE_ITEM: 0.518562±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128727±0.0006, SHANNON_ENTROPY: 10.019374±0.0064, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 17, 'shrink': 1071, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.743869387577272, 'tversky_beta': 1.426563313743033} - results: ROC_AUC: 0.065267±0.0009, PRECISION: 0.008983±0.0001, PRECISION_RECALL_MIN_DEN: 0.089829±0.0008, RECALL: 0.089829±0.0008, MAP: 0.047066±0.0008, MRR: 0.047066±0.0008, NDCG: 0.057168±0.0008, F1: 0.016333±0.0001, HIT_RATE: 0.089829±0.0008, ARHR: 0.047066±0.0008, RMSE: 0.955382±0.0004, NOVELTY: 0.005837±0.0000, AVERAGE_POPULARITY: 0.374754±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.974460±0.0001, DIVERSITY_HERFINDAHL: 0.997442±0.0000, COVERAGE_ITEM: 0.510214±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126519±0.0005, SHANNON_ENTROPY: 10.009515±0.0066, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 117, 'shrink': 71, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.2092799645637093, 'tversky_beta': 0.8617484100734818} - results: ROC_AUC: 0.047440±0.0008, PRECISION: 0.006368±0.0001, PRECISION_RECALL_MIN_DEN: 0.063678±0.0010, RECALL: 0.063678±0.0010, MAP: 0.034920±0.0008, MRR: 0.034920±0.0008, NDCG: 0.041733±0.0008, F1: 0.011578±0.0002, HIT_RATE: 0.063678±0.0010, ARHR: 0.034920±0.0008, RMSE: 0.940382±0.0005, NOVELTY: 0.007518±0.0000, AVERAGE_POPULARITY: 0.075189±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998324±0.0000, DIVERSITY_HERFINDAHL: 0.999828±0.0000, COVERAGE_ITEM: 0.911565±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.471883±0.0009, SHANNON_ENTROPY: 13.280963±0.0013, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 140, 'shrink': 1169, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.8924574622737924, 'tversky_beta': 1.8483892271226412} - results: ROC_AUC: 0.062275±0.0009, PRECISION: 0.008523±0.0001, PRECISION_RECALL_MIN_DEN: 0.085227±0.0005, RECALL: 0.085227±0.0005, MAP: 0.045165±0.0007, MRR: 0.045165±0.0007, NDCG: 0.054634±0.0007, F1: 0.015496±0.0001, HIT_RATE: 0.085227±0.0005, ARHR: 0.045165±0.0007, RMSE: 0.924667±0.0004, NOVELTY: 0.005538±0.0000, AVERAGE_POPULARITY: 0.509140±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.934931±0.0004, DIVERSITY_HERFINDAHL: 0.993489±0.0000, COVERAGE_ITEM: 0.460665±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090564±0.0004, SHANNON_ENTROPY: 8.889565±0.0077, 
CrossSearchBayesianSkopt: New best config found. Config 4: {'topK': 188, 'shrink': 737, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.36763377264295377, 'tversky_beta': 1.6019924486720165} - results: ROC_AUC: 0.067713±0.0006, PRECISION: 0.009303±0.0000, PRECISION_RECALL_MIN_DEN: 0.093030±0.0003, RECALL: 0.093030±0.0003, MAP: 0.049000±0.0004, MRR: 0.049000±0.0004, NDCG: 0.059399±0.0004, F1: 0.016915±0.0000, HIT_RATE: 0.093030±0.0003, ARHR: 0.049000±0.0004, RMSE: 0.974840±0.0001, NOVELTY: 0.006128±0.0000, AVERAGE_POPULARITY: 0.374981±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.968529±0.0001, DIVERSITY_HERFINDAHL: 0.996849±0.0000, COVERAGE_ITEM: 0.724044±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.190389±0.0005, SHANNON_ENTROPY: 10.557502±0.0048, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 41, 'shrink': 1684, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.6812841484372798, 'tversky_beta': 1.005246389116002} - results: ROC_AUC: 0.073047±0.0007, PRECISION: 0.009882±0.0000, PRECISION_RECALL_MIN_DEN: 0.098821±0.0005, RECALL: 0.098821±0.0005, MAP: 0.053038±0.0008, MRR: 0.053038±0.0008, NDCG: 0.063886±0.0007, F1: 0.017967±0.0001, HIT_RATE: 0.098821±0.0005, ARHR: 0.053038±0.0008, RMSE: 0.992142±0.0001, NOVELTY: 0.006553±0.0000, AVERAGE_POPULARITY: 0.233797±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.989633±0.0000, DIVERSITY_HERFINDAHL: 0.998959±0.0000, COVERAGE_ITEM: 0.779108±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249739±0.0003, SHANNON_ENTROPY: 11.650461±0.0024, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 94, 'shrink': 1726, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.6854316754556272, 'tversky_beta': 0.4258859452461651} - results: ROC_AUC: 0.057526±0.0010, PRECISION: 0.007961±0.0001, PRECISION_RECALL_MIN_DEN: 0.079613±0.0009, RECALL: 0.079613±0.0009, MAP: 0.041971±0.0007, MRR: 0.041971±0.0007, NDCG: 0.050840±0.0007, F1: 0.014475±0.0002, HIT_RATE: 0.079613±0.0009, ARHR: 0.041971±0.0007, RMSE: 0.988126±0.0001, NOVELTY: 0.005490±0.0000, AVERAGE_POPULARITY: 0.541791±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.917610±0.0004, DIVERSITY_HERFINDAHL: 0.991757±0.0000, COVERAGE_ITEM: 0.471782±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.090318±0.0003, SHANNON_ENTROPY: 8.685933±0.0064, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 6, 'shrink': 1878, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.733718207719512, 'tversky_beta': 0.347478562099975} - results: ROC_AUC: 0.060664±0.0011, PRECISION: 0.008343±0.0001, PRECISION_RECALL_MIN_DEN: 0.083426±0.0012, RECALL: 0.083426±0.0012, MAP: 0.043825±0.0009, MRR: 0.043825±0.0009, NDCG: 0.053179±0.0010, F1: 0.015168±0.0002, HIT_RATE: 0.083426±0.0012, ARHR: 0.043825±0.0009, RMSE: 0.995376±0.0000, NOVELTY: 0.006004±0.0000, AVERAGE_POPULARITY: 0.343448±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.975677±0.0002, DIVERSITY_HERFINDAHL: 0.997563±0.0000, COVERAGE_ITEM: 0.513458±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136944±0.0005, SHANNON_ENTROPY: 10.120228±0.0077, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 92, 'shrink': 430, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.3816867126489665, 'tversky_beta': 1.0516258252404485} - results: ROC_AUC: 0.065582±0.0006, PRECISION: 0.009055±0.0001, PRECISION_RECALL_MIN_DEN: 0.090547±0.0006, RECALL: 0.090547±0.0006, MAP: 0.047405±0.0008, MRR: 0.047405±0.0008, NDCG: 0.057591±0.0007, F1: 0.016463±0.0001, HIT_RATE: 0.090547±0.0006, ARHR: 0.047405±0.0008, RMSE: 0.980310±0.0001, NOVELTY: 0.005700±0.0000, AVERAGE_POPULARITY: 0.432747±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.960849±0.0002, DIVERSITY_HERFINDAHL: 0.996081±0.0000, COVERAGE_ITEM: 0.483363±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107775±0.0004, SHANNON_ENTROPY: 9.519525±0.0068, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 46, 'shrink': 1293, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.9081139109286636, 'tversky_beta': 0.749808312687294} - results: ROC_AUC: 0.060673±0.0010, PRECISION: 0.008397±0.0001, PRECISION_RECALL_MIN_DEN: 0.083967±0.0008, RECALL: 0.083967±0.0008, MAP: 0.044257±0.0009, MRR: 0.044257±0.0009, NDCG: 0.053614±0.0009, F1: 0.015267±0.0001, HIT_RATE: 0.083967±0.0008, ARHR: 0.044257±0.0009, RMSE: 0.989491±0.0001, NOVELTY: 0.005637±0.0000, AVERAGE_POPULARITY: 0.466184±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.951383±0.0002, DIVERSITY_HERFINDAHL: 0.995134±0.0000, COVERAGE_ITEM: 0.496448±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106299±0.0003, SHANNON_ENTROPY: 9.342433±0.0050, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 97, 'shrink': 406, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.0066015757616222, 'tversky_beta': 1.9886565520750215} - results: ROC_AUC: 0.066598±0.0011, PRECISION: 0.009073±0.0001, PRECISION_RECALL_MIN_DEN: 0.090733±0.0012, RECALL: 0.090733±0.0012, MAP: 0.048375±0.0009, MRR: 0.048375±0.0009, NDCG: 0.058394±0.0009, F1: 0.016497±0.0002, HIT_RATE: 0.090733±0.0012, ARHR: 0.048375±0.0009, RMSE: 0.976032±0.0002, NOVELTY: 0.006845±0.0000, AVERAGE_POPULARITY: 0.187510±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.993473±0.0000, DIVERSITY_HERFINDAHL: 0.999343±0.0000, COVERAGE_ITEM: 0.819832±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.315081±0.0006, SHANNON_ENTROPY: 12.217304±0.0023, 
