CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 144, 'shrink': 1909, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7066832631994028, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.063400±0.0013, PRECISION: 0.008792±0.0002, PRECISION_RECALL_MIN_DEN: 0.087922±0.0020, RECALL: 0.087922±0.0020, MAP: 0.045624±0.0012, MRR: 0.045624±0.0012, NDCG: 0.055601±0.0010, F1: 0.015986±0.0004, HIT_RATE: 0.087922±0.0020, ARHR: 0.045624±0.0012, RMSE: 0.789976±0.0058, NOVELTY: 0.006034±0.0000, AVERAGE_POPULARITY: 0.264208±0.0014, DIVERSITY_MEAN_INTER_LIST: 0.986001±0.0001, DIVERSITY_HERFINDAHL: 0.998580±0.0000, COVERAGE_ITEM: 0.401049±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.261335±0.0006, SHANNON_ENTROPY: 10.853521±0.0039, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 93, 'shrink': 1141, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.3719974012154131, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.045259±0.0018, PRECISION: 0.006447±0.0003, PRECISION_RECALL_MIN_DEN: 0.064473±0.0030, RECALL: 0.064473±0.0030, MAP: 0.031218±0.0008, MRR: 0.031218±0.0008, NDCG: 0.039066±0.0012, F1: 0.011722±0.0005, HIT_RATE: 0.064473±0.0030, ARHR: 0.031218±0.0008, RMSE: 0.908786±0.0012, NOVELTY: 0.006386±0.0000, AVERAGE_POPULARITY: 0.087720±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998213±0.0000, DIVERSITY_HERFINDAHL: 0.999801±0.0000, COVERAGE_ITEM: 0.758648±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.538084±0.0008, SHANNON_ENTROPY: 13.147605±0.0029, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 18, 'shrink': 1939, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.24265314179846104, 'feature_weighting': 'none'} - results: ROC_AUC: 0.051659±0.0017, PRECISION: 0.007305±0.0003, PRECISION_RECALL_MIN_DEN: 0.073053±0.0034, RECALL: 0.073053±0.0034, MAP: 0.037061±0.0014, MRR: 0.037061±0.0014, NDCG: 0.045520±0.0015, F1: 0.013282±0.0006, HIT_RATE: 0.073053±0.0034, ARHR: 0.037061±0.0014, RMSE: 0.955990±0.0016, NOVELTY: 0.005718±0.0000, AVERAGE_POPULARITY: 0.422404±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.961420±0.0004, DIVERSITY_HERFINDAHL: 0.996122±0.0000, COVERAGE_ITEM: 0.309403±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.197228±0.0008, SHANNON_ENTROPY: 9.691361±0.0094, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 170, 'shrink': 1726, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4131117269138517, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048359±0.0018, PRECISION: 0.006922±0.0004, PRECISION_RECALL_MIN_DEN: 0.069221±0.0040, RECALL: 0.069221±0.0040, MAP: 0.034898±0.0009, MRR: 0.034898±0.0009, NDCG: 0.042941±0.0016, F1: 0.012586±0.0007, HIT_RATE: 0.069221±0.0040, ARHR: 0.034898±0.0009, RMSE: 0.957361±0.0157, NOVELTY: 0.005327±0.0000, AVERAGE_POPULARITY: 0.618912±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.866357±0.0006, DIVERSITY_HERFINDAHL: 0.986618±0.0001, COVERAGE_ITEM: 0.193144±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.117317±0.0006, SHANNON_ENTROPY: 7.805313±0.0091, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 59, 'shrink': 768, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6341811171977806, 'feature_weighting': 'none'} - results: ROC_AUC: 0.049702±0.0016, PRECISION: 0.006993±0.0004, PRECISION_RECALL_MIN_DEN: 0.069929±0.0041, RECALL: 0.069929±0.0041, MAP: 0.035610±0.0008, MRR: 0.035610±0.0008, NDCG: 0.043680±0.0015, F1: 0.012714±0.0007, HIT_RATE: 0.069929±0.0041, ARHR: 0.035610±0.0008, RMSE: 0.884201±0.0022, NOVELTY: 0.005520±0.0000, AVERAGE_POPULARITY: 0.523819±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.921279±0.0007, DIVERSITY_HERFINDAHL: 0.992109±0.0001, COVERAGE_ITEM: 0.262352±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157620±0.0003, SHANNON_ENTROPY: 8.791168±0.0077, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 147, 'shrink': 607, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8526171651114887, 'feature_weighting': 'none'} - results: ROC_AUC: 0.046740±0.0014, PRECISION: 0.006681±0.0003, PRECISION_RECALL_MIN_DEN: 0.066805±0.0029, RECALL: 0.066805±0.0029, MAP: 0.033217±0.0006, MRR: 0.033217±0.0006, NDCG: 0.041102±0.0011, F1: 0.012146±0.0005, HIT_RATE: 0.066805±0.0029, ARHR: 0.033217±0.0006, RMSE: 0.854642±0.0042, NOVELTY: 0.005357±0.0000, AVERAGE_POPULARITY: 0.607456±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.867010±0.0010, DIVERSITY_HERFINDAHL: 0.986683±0.0001, COVERAGE_ITEM: 0.224104±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125746±0.0006, SHANNON_ENTROPY: 7.940386±0.0105, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 59, 'shrink': 348, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7923298172508189, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.026901±0.0011, PRECISION: 0.003928±0.0001, PRECISION_RECALL_MIN_DEN: 0.039275±0.0013, RECALL: 0.039275±0.0013, MAP: 0.018994±0.0007, MRR: 0.018994±0.0007, NDCG: 0.023743±0.0008, F1: 0.007141±0.0002, HIT_RATE: 0.039275±0.0013, ARHR: 0.018994±0.0007, RMSE: 0.967058±0.0004, NOVELTY: 0.003506±0.0000, AVERAGE_POPULARITY: 0.035283±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.997811±0.0000, DIVERSITY_HERFINDAHL: 0.999760±0.0000, COVERAGE_ITEM: 0.515729±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.489595±0.0018, SHANNON_ENTROPY: 12.563435±0.0077, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 62, 'shrink': 1068, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4702798226214676, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.049007±0.0018, PRECISION: 0.006876±0.0001, PRECISION_RECALL_MIN_DEN: 0.068763±0.0013, RECALL: 0.068763±0.0013, MAP: 0.034557±0.0015, MRR: 0.034557±0.0015, NDCG: 0.042632±0.0014, F1: 0.012502±0.0002, HIT_RATE: 0.068763±0.0013, ARHR: 0.034557±0.0015, RMSE: 0.969505±0.0006, NOVELTY: 0.006514±0.0000, AVERAGE_POPULARITY: 0.060250±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998048±0.0000, DIVERSITY_HERFINDAHL: 0.999784±0.0000, COVERAGE_ITEM: 0.710549±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.505026±0.0005, SHANNON_ENTROPY: 12.978284±0.0052, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 64, 'shrink': 1567, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6758594090304041, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.048151±0.0015, PRECISION: 0.006718±0.0002, PRECISION_RECALL_MIN_DEN: 0.067180±0.0021, RECALL: 0.067180±0.0021, MAP: 0.034269±0.0013, MRR: 0.034269±0.0013, NDCG: 0.042031±0.0014, F1: 0.012215±0.0004, HIT_RATE: 0.067180±0.0021, ARHR: 0.034269±0.0013, RMSE: 0.916554±0.0020, NOVELTY: 0.005827±0.0000, AVERAGE_POPULARITY: 0.063388±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998042±0.0000, DIVERSITY_HERFINDAHL: 0.999783±0.0000, COVERAGE_ITEM: 0.700622±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.514712±0.0006, SHANNON_ENTROPY: 12.986308±0.0046, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 82, 'shrink': 134, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7298503331169891, 'feature_weighting': 'none'} - results: ROC_AUC: 0.041978±0.0018, PRECISION: 0.005523±0.0002, PRECISION_RECALL_MIN_DEN: 0.055227±0.0024, RECALL: 0.055227±0.0024, MAP: 0.030169±0.0012, MRR: 0.030169±0.0012, NDCG: 0.036154±0.0013, F1: 0.010041±0.0004, HIT_RATE: 0.055227±0.0024, ARHR: 0.030169±0.0012, RMSE: 0.932338±0.0014, NOVELTY: 0.006986±0.0000, AVERAGE_POPULARITY: 0.067614±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998373±0.0000, DIVERSITY_HERFINDAHL: 0.999816±0.0000, COVERAGE_ITEM: 0.730349±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.545482±0.0010, SHANNON_ENTROPY: 13.140692±0.0032, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 20, 'shrink': 909, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.635730275335965, 'feature_weighting': 'none'} - results: ROC_AUC: 0.051391±0.0017, PRECISION: 0.007193±0.0003, PRECISION_RECALL_MIN_DEN: 0.071928±0.0031, RECALL: 0.071928±0.0031, MAP: 0.036754±0.0011, MRR: 0.036754±0.0011, NDCG: 0.045044±0.0013, F1: 0.013078±0.0006, HIT_RATE: 0.071928±0.0031, ARHR: 0.036754±0.0011, RMSE: 0.984409±0.0006, NOVELTY: 0.005704±0.0000, AVERAGE_POPULARITY: 0.430345±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.959015±0.0005, DIVERSITY_HERFINDAHL: 0.995881±0.0001, COVERAGE_ITEM: 0.305347±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.194239±0.0004, SHANNON_ENTROPY: 9.625149±0.0115, 
