CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 93, 'shrink': 1595, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.050442±0.0023, PRECISION: 0.007185±0.0004, PRECISION_RECALL_MIN_DEN: 0.071845±0.0038, RECALL: 0.071845±0.0038, MAP: 0.036093±0.0011, MRR: 0.036093±0.0011, NDCG: 0.044484±0.0017, F1: 0.013063±0.0007, HIT_RATE: 0.071845±0.0038, ARHR: 0.036093±0.0011, RMSE: 3.739544±0.1130, NOVELTY: 0.005432±0.0000, AVERAGE_POPULARITY: 0.566359±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.902255±0.0003, DIVERSITY_HERFINDAHL: 0.990207±0.0000, COVERAGE_ITEM: 0.218881±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.137504±0.0004, SHANNON_ENTROPY: 8.348715±0.0078, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 192, 'shrink': 1105, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.048239±0.0018, PRECISION: 0.006710±0.0002, PRECISION_RECALL_MIN_DEN: 0.067097±0.0022, RECALL: 0.067097±0.0022, MAP: 0.034507±0.0012, MRR: 0.034507±0.0012, NDCG: 0.042196±0.0014, F1: 0.012199±0.0004, HIT_RATE: 0.067097±0.0022, ARHR: 0.034507±0.0012, RMSE: 0.977302±0.0004, NOVELTY: 0.005679±0.0000, AVERAGE_POPULARITY: 0.069277±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997854±0.0000, DIVERSITY_HERFINDAHL: 0.999765±0.0000, COVERAGE_ITEM: 0.704493±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.506899±0.0004, SHANNON_ENTROPY: 12.951818±0.0039, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 162, 'shrink': 1921, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048484±0.0017, PRECISION: 0.006935±0.0004, PRECISION_RECALL_MIN_DEN: 0.069346±0.0039, RECALL: 0.069346±0.0039, MAP: 0.034956±0.0009, MRR: 0.034956±0.0009, NDCG: 0.043014±0.0015, F1: 0.012608±0.0007, HIT_RATE: 0.069346±0.0039, ARHR: 0.034956±0.0009, RMSE: 0.927977±0.0136, NOVELTY: 0.005335±0.0000, AVERAGE_POPULARITY: 0.615096±0.0040, DIVERSITY_MEAN_INTER_LIST: 0.869115±0.0008, DIVERSITY_HERFINDAHL: 0.986893±0.0001, COVERAGE_ITEM: 0.195080±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118813±0.0007, SHANNON_ENTROPY: 7.846207±0.0104, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 162, 'shrink': 494, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.047832±0.0014, PRECISION: 0.006581±0.0003, PRECISION_RECALL_MIN_DEN: 0.065806±0.0026, RECALL: 0.065806±0.0026, MAP: 0.034403±0.0011, MRR: 0.034403±0.0011, NDCG: 0.041828±0.0013, F1: 0.011965±0.0005, HIT_RATE: 0.065806±0.0026, ARHR: 0.034403±0.0011, RMSE: 0.869894±0.0029, NOVELTY: 0.005251±0.0000, AVERAGE_POPULARITY: 0.079138±0.0007, DIVERSITY_MEAN_INTER_LIST: 0.997559±0.0000, DIVERSITY_HERFINDAHL: 0.999735±0.0000, COVERAGE_ITEM: 0.673285±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.496106±0.0009, SHANNON_ENTROPY: 12.848634±0.0051, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 184, 'shrink': 921, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.045953±0.0013, PRECISION: 0.006606±0.0003, PRECISION_RECALL_MIN_DEN: 0.066056±0.0025, RECALL: 0.066056±0.0025, MAP: 0.032921±0.0008, MRR: 0.032921±0.0008, NDCG: 0.040681±0.0011, F1: 0.012010±0.0005, HIT_RATE: 0.066056±0.0025, ARHR: 0.032921±0.0008, RMSE: 0.857865±0.0021, NOVELTY: 0.005323±0.0000, AVERAGE_POPULARITY: 0.625816±0.0042, DIVERSITY_MEAN_INTER_LIST: 0.851319±0.0009, DIVERSITY_HERFINDAHL: 0.985114±0.0001, COVERAGE_ITEM: 0.216069±0.0037, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.118873±0.0009, SHANNON_ENTROPY: 7.739152±0.0124, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 90, 'shrink': 1320, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.058527±0.0017, PRECISION: 0.007988±0.0003, PRECISION_RECALL_MIN_DEN: 0.079883±0.0028, RECALL: 0.079883±0.0028, MAP: 0.042058±0.0011, MRR: 0.042058±0.0011, NDCG: 0.051016±0.0013, F1: 0.014524±0.0005, HIT_RATE: 0.079883±0.0028, ARHR: 0.042058±0.0011, RMSE: 0.982224±0.0004, NOVELTY: 0.006320±0.0000, AVERAGE_POPULARITY: 0.322630±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.973227±0.0001, DIVERSITY_HERFINDAHL: 0.997302±0.0000, COVERAGE_ITEM: 0.554896±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.319288±0.0007, SHANNON_ENTROPY: 11.029558±0.0043, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 33, 'shrink': 289, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.052909±0.0020, PRECISION: 0.007493±0.0004, PRECISION_RECALL_MIN_DEN: 0.074927±0.0035, RECALL: 0.074927±0.0035, MAP: 0.037845±0.0009, MRR: 0.037845±0.0009, NDCG: 0.046562±0.0015, F1: 0.013623±0.0006, HIT_RATE: 0.074927±0.0035, ARHR: 0.037845±0.0009, RMSE: 15.552232±0.4947, NOVELTY: 0.005618±0.0000, AVERAGE_POPULARITY: 0.474969±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.945474±0.0005, DIVERSITY_HERFINDAHL: 0.994528±0.0000, COVERAGE_ITEM: 0.271165±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.173448±0.0005, SHANNON_ENTROPY: 9.209905±0.0055, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 166, 'shrink': 1424, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.048656±0.0022, PRECISION: 0.006805±0.0002, PRECISION_RECALL_MIN_DEN: 0.068055±0.0016, RECALL: 0.068055±0.0016, MAP: 0.034537±0.0019, MRR: 0.034537±0.0019, NDCG: 0.042444±0.0018, F1: 0.012374±0.0003, HIT_RATE: 0.068055±0.0016, ARHR: 0.034537±0.0019, RMSE: 0.972113±0.0005, NOVELTY: 0.006519±0.0000, AVERAGE_POPULARITY: 0.059737±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998045±0.0000, DIVERSITY_HERFINDAHL: 0.999784±0.0000, COVERAGE_ITEM: 0.718475±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.506030±0.0005, SHANNON_ENTROPY: 12.992480±0.0011, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 4, 'shrink': 1485, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.052788±0.0018, PRECISION: 0.007647±0.0002, PRECISION_RECALL_MIN_DEN: 0.076468±0.0023, RECALL: 0.076468±0.0023, MAP: 0.035982±0.0015, MRR: 0.035982±0.0015, NDCG: 0.045515±0.0017, F1: 0.013903±0.0004, HIT_RATE: 0.076468±0.0023, ARHR: 0.035982±0.0015, RMSE: 0.985528±0.0005, NOVELTY: 0.007082±0.0000, AVERAGE_POPULARITY: 0.069856±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.974447±0.0004, DIVERSITY_HERFINDAHL: 0.997424±0.0000, COVERAGE_ITEM: 0.574512±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.405663±0.0010, SHANNON_ENTROPY: 11.805938±0.0130, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 29, 'shrink': 1203, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.053501±0.0019, PRECISION: 0.007584±0.0003, PRECISION_RECALL_MIN_DEN: 0.075843±0.0032, RECALL: 0.075843±0.0032, MAP: 0.038227±0.0009, MRR: 0.038227±0.0009, NDCG: 0.047066±0.0014, F1: 0.013790±0.0006, HIT_RATE: 0.075843±0.0032, ARHR: 0.038227±0.0009, RMSE: 3.708789±0.1147, NOVELTY: 0.005640±0.0000, AVERAGE_POPULARITY: 0.463940±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.949504±0.0004, DIVERSITY_HERFINDAHL: 0.994931±0.0000, COVERAGE_ITEM: 0.278140±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.177727±0.0004, SHANNON_ENTROPY: 9.308278±0.0064, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 130, 'shrink': 1989, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.058031±0.0006, PRECISION: 0.008022±0.0001, PRECISION_RECALL_MIN_DEN: 0.080217±0.0015, RECALL: 0.080217±0.0015, MAP: 0.041661±0.0010, MRR: 0.041661±0.0010, NDCG: 0.050769±0.0006, F1: 0.014585±0.0003, HIT_RATE: 0.080217±0.0015, ARHR: 0.041661±0.0010, RMSE: 0.988147±0.0002, NOVELTY: 0.006309±0.0000, AVERAGE_POPULARITY: 0.315697±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.975434±0.0002, DIVERSITY_HERFINDAHL: 0.997523±0.0000, COVERAGE_ITEM: 0.542222±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.319477±0.0007, SHANNON_ENTROPY: 11.067645±0.0093, 
