CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 23, 'shrink': 1165, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.065079±0.0018, PRECISION: 0.009113±0.0004, PRECISION_RECALL_MIN_DEN: 0.091129±0.0039, RECALL: 0.091129±0.0039, MAP: 0.046484±0.0013, MRR: 0.046484±0.0013, NDCG: 0.057001±0.0015, F1: 0.016569±0.0007, HIT_RATE: 0.091129±0.0039, ARHR: 0.046484±0.0013, RMSE: 0.991390±0.0002, NOVELTY: 0.006707±0.0000, AVERAGE_POPULARITY: 0.195789±0.0010, DIVERSITY_MEAN_INTER_LIST: 0.992036±0.0000, DIVERSITY_HERFINDAHL: 0.999183±0.0000, COVERAGE_ITEM: 0.522044±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.347942±0.0006, SHANNON_ENTROPY: 11.719604±0.0050, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 137, 'shrink': 860, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.053330±0.0012, PRECISION: 0.007497±0.0002, PRECISION_RECALL_MIN_DEN: 0.074969±0.0025, RECALL: 0.074969±0.0025, MAP: 0.038371±0.0009, MRR: 0.038371±0.0009, NDCG: 0.046986±0.0011, F1: 0.013631±0.0004, HIT_RATE: 0.074969±0.0025, ARHR: 0.038371±0.0009, RMSE: 0.898774±0.0014, NOVELTY: 0.005503±0.0000, AVERAGE_POPULARITY: 0.524044±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.928112±0.0006, DIVERSITY_HERFINDAHL: 0.992792±0.0001, COVERAGE_ITEM: 0.208867±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142043±0.0005, SHANNON_ENTROPY: 8.620694±0.0098, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 135, 'shrink': 1847, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.062127±0.0008, PRECISION: 0.008655±0.0002, PRECISION_RECALL_MIN_DEN: 0.086547±0.0019, RECALL: 0.086547±0.0019, MAP: 0.044149±0.0011, MRR: 0.044149±0.0011, NDCG: 0.054165±0.0010, F1: 0.015736±0.0003, HIT_RATE: 0.086547±0.0019, ARHR: 0.044149±0.0011, RMSE: 0.989442±0.0002, NOVELTY: 0.006134±0.0000, AVERAGE_POPULARITY: 0.363905±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.970038±0.0002, DIVERSITY_HERFINDAHL: 0.996984±0.0000, COVERAGE_ITEM: 0.417832±0.0025, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.249321±0.0009, SHANNON_ENTROPY: 10.382544±0.0110, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 61, 'shrink': 45, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.035680±0.0006, PRECISION: 0.004915±0.0001, PRECISION_RECALL_MIN_DEN: 0.049146±0.0014, RECALL: 0.049146±0.0014, MAP: 0.025660±0.0007, MRR: 0.025660±0.0007, NDCG: 0.031218±0.0007, F1: 0.008936±0.0003, HIT_RATE: 0.049146±0.0014, ARHR: 0.025660±0.0007, RMSE: 0.948291±0.0013, NOVELTY: 0.007656±0.0000, AVERAGE_POPULARITY: 0.056067±0.0004, DIVERSITY_MEAN_INTER_LIST: 0.998722±0.0000, DIVERSITY_HERFINDAHL: 0.999851±0.0000, COVERAGE_ITEM: 0.718486±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.560520±0.0008, SHANNON_ENTROPY: 13.204212±0.0041, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 110, 'shrink': 731, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.054177±0.0018, PRECISION: 0.007547±0.0003, PRECISION_RECALL_MIN_DEN: 0.075469±0.0029, RECALL: 0.075469±0.0029, MAP: 0.039062±0.0010, MRR: 0.039062±0.0010, NDCG: 0.047644±0.0013, F1: 0.013722±0.0005, HIT_RATE: 0.075469±0.0029, ARHR: 0.039062±0.0010, RMSE: 0.899207±0.0017, NOVELTY: 0.005553±0.0000, AVERAGE_POPULARITY: 0.498560±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.939425±0.0004, DIVERSITY_HERFINDAHL: 0.993923±0.0000, COVERAGE_ITEM: 0.214307±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151137±0.0005, SHANNON_ENTROPY: 8.843508±0.0065, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 129, 'shrink': 547, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.055065±0.0016, PRECISION: 0.007738±0.0003, PRECISION_RECALL_MIN_DEN: 0.077384±0.0028, RECALL: 0.077384±0.0028, MAP: 0.039916±0.0009, MRR: 0.039916±0.0009, NDCG: 0.048725±0.0013, F1: 0.014070±0.0005, HIT_RATE: 0.077384±0.0028, ARHR: 0.039916±0.0009, RMSE: 0.882393±0.0016, NOVELTY: 0.005564±0.0000, AVERAGE_POPULARITY: 0.492324±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.941685±0.0003, DIVERSITY_HERFINDAHL: 0.994149±0.0000, COVERAGE_ITEM: 0.214361±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.152422±0.0005, SHANNON_ENTROPY: 8.881622±0.0068, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 84, 'shrink': 1424, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.052224±0.0018, PRECISION: 0.007305±0.0003, PRECISION_RECALL_MIN_DEN: 0.073053±0.0030, RECALL: 0.073053±0.0030, MAP: 0.037438±0.0004, MRR: 0.037438±0.0004, NDCG: 0.045832±0.0009, F1: 0.013282±0.0005, HIT_RATE: 0.073053±0.0030, ARHR: 0.037438±0.0004, RMSE: 0.989785±0.0003, NOVELTY: 0.005537±0.0000, AVERAGE_POPULARITY: 0.509886±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.934592±0.0002, DIVERSITY_HERFINDAHL: 0.993440±0.0000, COVERAGE_ITEM: 0.218805±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150198±0.0005, SHANNON_ENTROPY: 8.788714±0.0089, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 37, 'shrink': 1289, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.053834±0.0025, PRECISION: 0.007680±0.0004, PRECISION_RECALL_MIN_DEN: 0.076801±0.0044, RECALL: 0.076801±0.0044, MAP: 0.039323±0.0013, MRR: 0.039323±0.0013, NDCG: 0.048103±0.0020, F1: 0.013964±0.0008, HIT_RATE: 0.076801±0.0044, ARHR: 0.039323±0.0013, RMSE: 0.946263±0.0015, NOVELTY: 0.005672±0.0000, AVERAGE_POPULARITY: 0.443913±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.958270±0.0003, DIVERSITY_HERFINDAHL: 0.995807±0.0000, COVERAGE_ITEM: 0.241946±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.175404±0.0007, SHANNON_ENTROPY: 9.350261±0.0027, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 123, 'shrink': 1389, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.051918±0.0014, PRECISION: 0.007247±0.0002, PRECISION_RECALL_MIN_DEN: 0.072470±0.0025, RECALL: 0.072470±0.0025, MAP: 0.037249±0.0005, MRR: 0.037249±0.0005, NDCG: 0.045554±0.0009, F1: 0.013176±0.0004, HIT_RATE: 0.072470±0.0025, ARHR: 0.037249±0.0005, RMSE: 0.988185±0.0003, NOVELTY: 0.005477±0.0000, AVERAGE_POPULARITY: 0.539947±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.919645±0.0006, DIVERSITY_HERFINDAHL: 0.991945±0.0001, COVERAGE_ITEM: 0.209765±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138951±0.0005, SHANNON_ENTROPY: 8.506722±0.0108, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 193, 'shrink': 482, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.061234±0.0012, PRECISION: 0.008480±0.0002, PRECISION_RECALL_MIN_DEN: 0.084798±0.0022, RECALL: 0.084798±0.0022, MAP: 0.043816±0.0012, MRR: 0.043816±0.0012, NDCG: 0.053496±0.0011, F1: 0.015418±0.0004, HIT_RATE: 0.084798±0.0022, ARHR: 0.043816±0.0012, RMSE: 0.969552±0.0006, NOVELTY: 0.006535±0.0000, AVERAGE_POPULARITY: 0.260796±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.986486±0.0001, DIVERSITY_HERFINDAHL: 0.998628±0.0000, COVERAGE_ITEM: 0.502806±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.322787±0.0009, SHANNON_ENTROPY: 11.346214±0.0053, 
CrossSearchBayesianSkopt: New best config found. Config 10: {'topK': 24, 'shrink': 1462, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.065713±0.0019, PRECISION: 0.009150±0.0004, PRECISION_RECALL_MIN_DEN: 0.091504±0.0042, RECALL: 0.091504±0.0042, MAP: 0.046866±0.0012, MRR: 0.046866±0.0012, NDCG: 0.057395±0.0014, F1: 0.016637±0.0008, HIT_RATE: 0.091504±0.0042, ARHR: 0.046866±0.0012, RMSE: 0.992688±0.0002, NOVELTY: 0.006645±0.0000, AVERAGE_POPULARITY: 0.210192±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.991014±0.0000, DIVERSITY_HERFINDAHL: 0.999081±0.0000, COVERAGE_ITEM: 0.509749±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.336201±0.0007, SHANNON_ENTROPY: 11.597550±0.0041, 
