CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 30, 'shrink': 1053, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.055343±0.0024, PRECISION: 0.007838±0.0004, PRECISION_RECALL_MIN_DEN: 0.078384±0.0039, RECALL: 0.078384±0.0039, MAP: 0.040208±0.0012, MRR: 0.040208±0.0012, NDCG: 0.049165±0.0018, F1: 0.014252±0.0007, HIT_RATE: 0.078384±0.0039, ARHR: 0.040208±0.0012, RMSE: 0.991193±0.0003, NOVELTY: 0.005714±0.0000, AVERAGE_POPULARITY: 0.423541±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.963802±0.0002, DIVERSITY_HERFINDAHL: 0.996360±0.0000, COVERAGE_ITEM: 0.246121±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.182290±0.0004, SHANNON_ENTROPY: 9.499282±0.0049, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 179, 'shrink': 921, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.062571±0.0007, PRECISION: 0.008767±0.0002, PRECISION_RECALL_MIN_DEN: 0.087672±0.0018, RECALL: 0.087672±0.0018, MAP: 0.044945±0.0010, MRR: 0.044945±0.0010, NDCG: 0.055005±0.0007, F1: 0.015940±0.0003, HIT_RATE: 0.087672±0.0018, ARHR: 0.044945±0.0010, RMSE: 0.979943±0.0004, NOVELTY: 0.006251±0.0000, AVERAGE_POPULARITY: 0.332295±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.976089±0.0002, DIVERSITY_HERFINDAHL: 0.997589±0.0000, COVERAGE_ITEM: 0.445050±0.0026, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.269837±0.0006, SHANNON_ENTROPY: 10.678152±0.0109, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 9, 'shrink': 1178, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.065880±0.0027, PRECISION: 0.009100±0.0004, PRECISION_RECALL_MIN_DEN: 0.091004±0.0039, RECALL: 0.091004±0.0039, MAP: 0.047229±0.0017, MRR: 0.047229±0.0017, NDCG: 0.057567±0.0019, F1: 0.016546±0.0007, HIT_RATE: 0.091004±0.0039, ARHR: 0.047229±0.0017, RMSE: 0.992775±0.0002, NOVELTY: 0.006767±0.0000, AVERAGE_POPULARITY: 0.172820±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.992837±0.0001, DIVERSITY_HERFINDAHL: 0.999263±0.0000, COVERAGE_ITEM: 0.534793±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.355459±0.0014, SHANNON_ENTROPY: 11.814224±0.0088, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 82, 'shrink': 1539, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.063686±0.0017, PRECISION: 0.008925±0.0004, PRECISION_RECALL_MIN_DEN: 0.089254±0.0043, RECALL: 0.089254±0.0043, MAP: 0.045653±0.0013, MRR: 0.045653±0.0013, NDCG: 0.055926±0.0017, F1: 0.016228±0.0008, HIT_RATE: 0.089254±0.0043, ARHR: 0.045653±0.0013, RMSE: 0.989722±0.0002, NOVELTY: 0.006331±0.0000, AVERAGE_POPULARITY: 0.300423±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.981573±0.0001, DIVERSITY_HERFINDAHL: 0.998137±0.0000, COVERAGE_ITEM: 0.449148±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.281954±0.0006, SHANNON_ENTROPY: 10.901839±0.0069, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 83, 'shrink': 274, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.059332±0.0015, PRECISION: 0.008255±0.0002, PRECISION_RECALL_MIN_DEN: 0.082549±0.0024, RECALL: 0.082549±0.0024, MAP: 0.042166±0.0017, MRR: 0.042166±0.0017, NDCG: 0.051698±0.0016, F1: 0.015009±0.0004, HIT_RATE: 0.082549±0.0024, ARHR: 0.042166±0.0017, RMSE: 0.968442±0.0007, NOVELTY: 0.007013±0.0000, AVERAGE_POPULARITY: 0.150354±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.995085±0.0000, DIVERSITY_HERFINDAHL: 0.999488±0.0000, COVERAGE_ITEM: 0.580784±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.411172±0.0006, SHANNON_ENTROPY: 12.237692±0.0046, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 98, 'shrink': 576, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.055495±0.0019, PRECISION: 0.007763±0.0003, PRECISION_RECALL_MIN_DEN: 0.077634±0.0025, RECALL: 0.077634±0.0025, MAP: 0.039841±0.0011, MRR: 0.039841±0.0011, NDCG: 0.048745±0.0014, F1: 0.014115±0.0005, HIT_RATE: 0.077634±0.0025, ARHR: 0.039841±0.0011, RMSE: 0.981851±0.0005, NOVELTY: 0.005596±0.0000, AVERAGE_POPULARITY: 0.476726±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.947622±0.0002, DIVERSITY_HERFINDAHL: 0.994742±0.0000, COVERAGE_ITEM: 0.217789±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158543±0.0006, SHANNON_ENTROPY: 9.017682±0.0073, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 119, 'shrink': 1061, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.052950±0.0016, PRECISION: 0.007401±0.0002, PRECISION_RECALL_MIN_DEN: 0.074011±0.0023, RECALL: 0.074011±0.0023, MAP: 0.038166±0.0007, MRR: 0.038166±0.0007, NDCG: 0.046611±0.0010, F1: 0.013457±0.0004, HIT_RATE: 0.074011±0.0023, ARHR: 0.038166±0.0007, RMSE: 0.985899±0.0004, NOVELTY: 0.005504±0.0000, AVERAGE_POPULARITY: 0.524758±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.927430±0.0004, DIVERSITY_HERFINDAHL: 0.992724±0.0000, COVERAGE_ITEM: 0.210597±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142966±0.0005, SHANNON_ENTROPY: 8.627324±0.0106, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 56, 'shrink': 919, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.054686±0.0019, PRECISION: 0.007655±0.0003, PRECISION_RECALL_MIN_DEN: 0.076551±0.0025, RECALL: 0.076551±0.0025, MAP: 0.039713±0.0008, MRR: 0.039713±0.0008, NDCG: 0.048380±0.0011, F1: 0.013918±0.0005, HIT_RATE: 0.076551±0.0025, ARHR: 0.039713±0.0008, RMSE: 0.988173±0.0003, NOVELTY: 0.005631±0.0000, AVERAGE_POPULARITY: 0.461491±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.953188±0.0003, DIVERSITY_HERFINDAHL: 0.995299±0.0000, COVERAGE_ITEM: 0.227034±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.166590±0.0005, SHANNON_ENTROPY: 9.175624±0.0081, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 120, 'shrink': 1847, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.062224±0.0013, PRECISION: 0.008705±0.0003, PRECISION_RECALL_MIN_DEN: 0.087047±0.0032, RECALL: 0.087047±0.0032, MAP: 0.044354±0.0010, MRR: 0.044354±0.0010, NDCG: 0.054427±0.0012, F1: 0.015827±0.0006, HIT_RATE: 0.087047±0.0032, ARHR: 0.044354±0.0010, RMSE: 0.989784±0.0002, NOVELTY: 0.006167±0.0000, AVERAGE_POPULARITY: 0.352439±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.972479±0.0003, DIVERSITY_HERFINDAHL: 0.997228±0.0000, COVERAGE_ITEM: 0.421909±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.254132±0.0010, SHANNON_ENTROPY: 10.471588±0.0122, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 87, 'shrink': 867, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.063765±0.0013, PRECISION: 0.008921±0.0003, PRECISION_RECALL_MIN_DEN: 0.089213±0.0027, RECALL: 0.089213±0.0027, MAP: 0.045526±0.0014, MRR: 0.045526±0.0014, NDCG: 0.055825±0.0015, F1: 0.016221±0.0005, HIT_RATE: 0.089213±0.0027, ARHR: 0.045526±0.0014, RMSE: 0.983972±0.0003, NOVELTY: 0.006487±0.0000, AVERAGE_POPULARITY: 0.259210±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.986717±0.0001, DIVERSITY_HERFINDAHL: 0.998651±0.0000, COVERAGE_ITEM: 0.480216±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.309464±0.0005, SHANNON_ENTROPY: 11.257096±0.0043, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 105, 'shrink': 1193, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.052747±0.0017, PRECISION: 0.007309±0.0002, PRECISION_RECALL_MIN_DEN: 0.073095±0.0025, RECALL: 0.073095±0.0025, MAP: 0.037859±0.0007, MRR: 0.037859±0.0007, NDCG: 0.046178±0.0010, F1: 0.013290±0.0005, HIT_RATE: 0.073095±0.0025, ARHR: 0.037859±0.0007, RMSE: 0.987409±0.0004, NOVELTY: 0.005514±0.0000, AVERAGE_POPULARITY: 0.520306±0.0029, DIVERSITY_MEAN_INTER_LIST: 0.929593±0.0004, DIVERSITY_HERFINDAHL: 0.992940±0.0000, COVERAGE_ITEM: 0.213506±0.0049, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145377±0.0005, SHANNON_ENTROPY: 8.679024±0.0077, 
