CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 195, 'shrink': 161, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.2594949699655607, 'tversky_beta': 1.8796558071589524} - results: ROC_AUC: 0.053529±0.0007, PRECISION: 0.007530±0.0002, PRECISION_RECALL_MIN_DEN: 0.075302±0.0024, RECALL: 0.075302±0.0024, MAP: 0.038184±0.0010, MRR: 0.038184±0.0010, NDCG: 0.046929±0.0010, F1: 0.013691±0.0004, HIT_RATE: 0.075302±0.0024, ARHR: 0.038184±0.0010, RMSE: 0.946386±0.0011, NOVELTY: 0.006811±0.0000, AVERAGE_POPULARITY: 0.231272±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.989697±0.0001, DIVERSITY_HERFINDAHL: 0.998949±0.0000, COVERAGE_ITEM: 0.564996±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.377207±0.0010, SHANNON_ENTROPY: 11.804890±0.0061, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 75, 'shrink': 392, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.5830566503894633, 'tversky_beta': 1.8105079037203182} - results: ROC_AUC: 0.057407±0.0017, PRECISION: 0.008055±0.0003, PRECISION_RECALL_MIN_DEN: 0.080550±0.0029, RECALL: 0.080550±0.0029, MAP: 0.041271±0.0008, MRR: 0.041271±0.0008, NDCG: 0.050522±0.0012, F1: 0.014645±0.0005, HIT_RATE: 0.080550±0.0029, ARHR: 0.041271±0.0008, RMSE: 0.984097±0.0005, NOVELTY: 0.005593±0.0000, AVERAGE_POPULARITY: 0.478786±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.948927±0.0003, DIVERSITY_HERFINDAHL: 0.994873±0.0000, COVERAGE_ITEM: 0.214912±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.157313±0.0004, SHANNON_ENTROPY: 9.016368±0.0091, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 161, 'shrink': 885, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.8531973379385684, 'tversky_beta': 0.8324186513999707} - results: ROC_AUC: 0.052247±0.0011, PRECISION: 0.007326±0.0003, PRECISION_RECALL_MIN_DEN: 0.073261±0.0025, RECALL: 0.073261±0.0025, MAP: 0.037371±0.0009, MRR: 0.037371±0.0009, NDCG: 0.045828±0.0011, F1: 0.013320±0.0005, HIT_RATE: 0.073261±0.0025, ARHR: 0.037371±0.0009, RMSE: 0.889481±0.0014, NOVELTY: 0.005460±0.0000, AVERAGE_POPULARITY: 0.547099±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.915552±0.0006, DIVERSITY_HERFINDAHL: 0.991536±0.0001, COVERAGE_ITEM: 0.203850±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.134397±0.0007, SHANNON_ENTROPY: 8.412716±0.0150, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 63, 'shrink': 197, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.4985292916219817, 'tversky_beta': 1.5896773578631886} - results: ROC_AUC: 0.061784±0.0017, PRECISION: 0.008613±0.0002, PRECISION_RECALL_MIN_DEN: 0.086131±0.0022, RECALL: 0.086131±0.0022, MAP: 0.044634±0.0010, MRR: 0.044634±0.0010, NDCG: 0.054410±0.0012, F1: 0.015660±0.0004, HIT_RATE: 0.086131±0.0022, ARHR: 0.044634±0.0010, RMSE: 0.983676±0.0005, NOVELTY: 0.005904±0.0000, AVERAGE_POPULARITY: 0.368442±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.974111±0.0001, DIVERSITY_HERFINDAHL: 0.997391±0.0000, COVERAGE_ITEM: 0.287678±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.206792±0.0005, SHANNON_ENTROPY: 9.972017±0.0062, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 100, 'shrink': 535, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.6979641776705587, 'tversky_beta': 1.3826341606164043} - results: ROC_AUC: 0.060993±0.0016, PRECISION: 0.008521±0.0003, PRECISION_RECALL_MIN_DEN: 0.085214±0.0025, RECALL: 0.085214±0.0025, MAP: 0.043455±0.0016, MRR: 0.043455±0.0016, NDCG: 0.053302±0.0016, F1: 0.015494±0.0005, HIT_RATE: 0.085214±0.0025, ARHR: 0.043455±0.0016, RMSE: 0.980482±0.0004, NOVELTY: 0.006871±0.0000, AVERAGE_POPULARITY: 0.175585±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.993627±0.0000, DIVERSITY_HERFINDAHL: 0.999342±0.0000, COVERAGE_ITEM: 0.555642±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.383300±0.0011, SHANNON_ENTROPY: 12.002919±0.0020, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 132, 'shrink': 1606, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.9786812590336003, 'tversky_beta': 0.1563747503510229} - results: ROC_AUC: 0.050294±0.0014, PRECISION: 0.007068±0.0002, PRECISION_RECALL_MIN_DEN: 0.070679±0.0025, RECALL: 0.070679±0.0025, MAP: 0.036020±0.0005, MRR: 0.036020±0.0005, NDCG: 0.044180±0.0009, F1: 0.012851±0.0004, HIT_RATE: 0.070679±0.0025, ARHR: 0.036020±0.0005, RMSE: 0.916218±0.0015, NOVELTY: 0.005457±0.0000, AVERAGE_POPULARITY: 0.551069±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.912732±0.0008, DIVERSITY_HERFINDAHL: 0.991254±0.0001, COVERAGE_ITEM: 0.209527±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.135756±0.0005, SHANNON_ENTROPY: 8.406804±0.0111, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 87, 'shrink': 435, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.13452091856506534, 'tversky_beta': 1.94345265062284} - results: ROC_AUC: 0.060660±0.0010, PRECISION: 0.008538±0.0002, PRECISION_RECALL_MIN_DEN: 0.085381±0.0023, RECALL: 0.085381±0.0023, MAP: 0.043000±0.0013, MRR: 0.043000±0.0013, NDCG: 0.052986±0.0013, F1: 0.015524±0.0004, HIT_RATE: 0.085381±0.0023, ARHR: 0.043000±0.0013, RMSE: 0.974874±0.0006, NOVELTY: 0.006498±0.0000, AVERAGE_POPULARITY: 0.270062±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.985768±0.0001, DIVERSITY_HERFINDAHL: 0.998556±0.0000, COVERAGE_ITEM: 0.490316±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.313275±0.0006, SHANNON_ENTROPY: 11.263662±0.0008, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 95, 'shrink': 1796, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.1215204472849711, 'tversky_beta': 0.10700424903888342} - results: ROC_AUC: 0.050997±0.0018, PRECISION: 0.007101±0.0003, PRECISION_RECALL_MIN_DEN: 0.071012±0.0030, RECALL: 0.071012±0.0030, MAP: 0.036443±0.0004, MRR: 0.036443±0.0004, NDCG: 0.044599±0.0009, F1: 0.012911±0.0005, HIT_RATE: 0.071012±0.0030, ARHR: 0.036443±0.0004, RMSE: 0.930215±0.0015, NOVELTY: 0.005513±0.0000, AVERAGE_POPULARITY: 0.522620±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.927600±0.0002, DIVERSITY_HERFINDAHL: 0.992741±0.0000, COVERAGE_ITEM: 0.218221±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146599±0.0004, SHANNON_ENTROPY: 8.676266±0.0092, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 168, 'shrink': 1945, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.4606577552630776, 'tversky_beta': 1.5554851024382093} - results: ROC_AUC: 0.049169±0.0013, PRECISION: 0.006939±0.0002, PRECISION_RECALL_MIN_DEN: 0.069388±0.0024, RECALL: 0.069388±0.0024, MAP: 0.034960±0.0008, MRR: 0.034960±0.0008, NDCG: 0.043060±0.0011, F1: 0.012616±0.0004, HIT_RATE: 0.069388±0.0024, ARHR: 0.034960±0.0008, RMSE: 0.989757±0.0003, NOVELTY: 0.005371±0.0000, AVERAGE_POPULARITY: 0.599972±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.881054±0.0007, DIVERSITY_HERFINDAHL: 0.988087±0.0001, COVERAGE_ITEM: 0.196907±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120613±0.0007, SHANNON_ENTROPY: 7.956027±0.0099, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 137, 'shrink': 328, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.1168342764148458, 'tversky_beta': 0.2269300001438455} - results: ROC_AUC: 0.056981±0.0018, PRECISION: 0.007955±0.0003, PRECISION_RECALL_MIN_DEN: 0.079550±0.0029, RECALL: 0.079550±0.0029, MAP: 0.041032±0.0015, MRR: 0.041032±0.0015, NDCG: 0.050107±0.0017, F1: 0.014464±0.0005, HIT_RATE: 0.079550±0.0029, ARHR: 0.041032±0.0015, RMSE: 0.824911±0.0013, NOVELTY: 0.005721±0.0000, AVERAGE_POPULARITY: 0.413519±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.963590±0.0002, DIVERSITY_HERFINDAHL: 0.996339±0.0000, COVERAGE_ITEM: 0.230635±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.177593±0.0005, SHANNON_ENTROPY: 9.431281±0.0092, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 100, 'shrink': 1518, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.36578035975322126, 'tversky_beta': 1.5544006698385404} - results: ROC_AUC: 0.050900±0.0016, PRECISION: 0.007135±0.0003, PRECISION_RECALL_MIN_DEN: 0.071345±0.0028, RECALL: 0.071345±0.0028, MAP: 0.036079±0.0007, MRR: 0.036079±0.0007, NDCG: 0.044396±0.0012, F1: 0.012972±0.0005, HIT_RATE: 0.071345±0.0028, ARHR: 0.036079±0.0007, RMSE: 0.933175±0.0017, NOVELTY: 0.005454±0.0000, AVERAGE_POPULARITY: 0.554555±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.912031±0.0006, DIVERSITY_HERFINDAHL: 0.991184±0.0001, COVERAGE_ITEM: 0.208813±0.0045, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136252±0.0005, SHANNON_ENTROPY: 8.406943±0.0074, 
