CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 3, 'shrink': 248, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.038919±0.0026, PRECISION: 0.006233±0.0003, PRECISION_RECALL_MIN_DEN: 0.062331±0.0028, RECALL: 0.062331±0.0028, MAP: 0.026240±0.0019, MRR: 0.026240±0.0019, NDCG: 0.034603±0.0021, F1: 0.011333±0.0005, HIT_RATE: 0.062331±0.0028, ARHR: 0.026240±0.0019, RMSE: 0.958203±0.0011, NOVELTY: 0.005476±0.0000, AVERAGE_POPULARITY: 0.478162±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.950211±0.0003, DIVERSITY_HERFINDAHL: 0.995000±0.0000, COVERAGE_ITEM: 0.071144±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.197447±0.0011, SHANNON_ENTROPY: 8.374802±0.0060, 
CrossSearchBayesianSkopt: New best config found. Config 1: {'topK': 36, 'shrink': 1242, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.047867±0.0023, PRECISION: 0.007240±0.0003, PRECISION_RECALL_MIN_DEN: 0.072403±0.0032, RECALL: 0.072403±0.0032, MAP: 0.032226±0.0018, MRR: 0.032226±0.0018, NDCG: 0.041623±0.0020, F1: 0.013164±0.0006, HIT_RATE: 0.072403±0.0032, ARHR: 0.032226±0.0018, RMSE: 0.977979±0.0006, NOVELTY: 0.006126±0.0000, AVERAGE_POPULARITY: 0.347130±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.967939±0.0001, DIVERSITY_HERFINDAHL: 0.996772±0.0000, COVERAGE_ITEM: 0.355718±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.226470±0.0007, SHANNON_ENTROPY: 10.075480±0.0083, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 26, 'shrink': 858, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.015698±0.0009, PRECISION: 0.002335±0.0001, PRECISION_RECALL_MIN_DEN: 0.023351±0.0012, RECALL: 0.023351±0.0012, MAP: 0.010674±0.0008, MRR: 0.010674±0.0008, NDCG: 0.013647±0.0008, F1: 0.004246±0.0002, HIT_RATE: 0.023351±0.0012, ARHR: 0.010674±0.0008, RMSE: 0.933745±0.0032, NOVELTY: 0.006877±0.0000, AVERAGE_POPULARITY: 0.013855±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998776±0.0000, DIVERSITY_HERFINDAHL: 0.999855±0.0000, COVERAGE_ITEM: 0.687310±0.0020, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.576901±0.0004, SHANNON_ENTROPY: 13.183569±0.0048, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 88, 'shrink': 1671, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.012346±0.0007, PRECISION: 0.001843±0.0001, PRECISION_RECALL_MIN_DEN: 0.018428±0.0013, RECALL: 0.018428±0.0013, MAP: 0.008788±0.0007, MRR: 0.008788±0.0007, NDCG: 0.011036±0.0007, F1: 0.003351±0.0002, HIT_RATE: 0.018428±0.0013, ARHR: 0.008788±0.0007, RMSE: 0.933565±0.0015, NOVELTY: 0.006213±0.0000, AVERAGE_POPULARITY: 0.009700±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998890±0.0000, DIVERSITY_HERFINDAHL: 0.999866±0.0000, COVERAGE_ITEM: 0.685883±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.594233±0.0008, SHANNON_ENTROPY: 13.228995±0.0016, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 141, 'shrink': 105, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.038598±0.0014, PRECISION: 0.005899±0.0002, PRECISION_RECALL_MIN_DEN: 0.058988±0.0022, RECALL: 0.058988±0.0022, MAP: 0.026576±0.0015, MRR: 0.026576±0.0015, NDCG: 0.034126±0.0016, F1: 0.010725±0.0004, HIT_RATE: 0.058988±0.0022, ARHR: 0.026576±0.0015, RMSE: 0.885212±0.0018, NOVELTY: 0.005246±0.0000, AVERAGE_POPULARITY: 0.297226±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.972649±0.0004, DIVERSITY_HERFINDAHL: 0.997243±0.0000, COVERAGE_ITEM: 0.421692±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.298465±0.0005, SHANNON_ENTROPY: 10.695182±0.0103, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 37, 'shrink': 939, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.011959±0.0007, PRECISION: 0.001780±0.0001, PRECISION_RECALL_MIN_DEN: 0.017796±0.0008, RECALL: 0.017796±0.0008, MAP: 0.008494±0.0008, MRR: 0.008494±0.0008, NDCG: 0.010664±0.0007, F1: 0.003236±0.0002, HIT_RATE: 0.017796±0.0008, ARHR: 0.008494±0.0008, RMSE: 0.935916±0.0017, NOVELTY: 0.005992±0.0000, AVERAGE_POPULARITY: 0.008552±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998857±0.0000, DIVERSITY_HERFINDAHL: 0.999863±0.0000, COVERAGE_ITEM: 0.663552±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.591135±0.0005, SHANNON_ENTROPY: 13.179474±0.0022, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 137, 'shrink': 469, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.042126±0.0019, PRECISION: 0.006400±0.0003, PRECISION_RECALL_MIN_DEN: 0.064002±0.0026, RECALL: 0.064002±0.0026, MAP: 0.029055±0.0016, MRR: 0.029055±0.0016, NDCG: 0.037196±0.0018, F1: 0.011637±0.0005, HIT_RATE: 0.064002±0.0026, ARHR: 0.029055±0.0016, RMSE: 0.932429±0.0012, NOVELTY: 0.006263±0.0000, AVERAGE_POPULARITY: 0.335527±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.970287±0.0003, DIVERSITY_HERFINDAHL: 0.997007±0.0000, COVERAGE_ITEM: 0.405050±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.257001±0.0003, SHANNON_ENTROPY: 10.398991±0.0055, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 180, 'shrink': 485, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.029268±0.0009, PRECISION: 0.004521±0.0002, PRECISION_RECALL_MIN_DEN: 0.045212±0.0017, RECALL: 0.045212±0.0017, MAP: 0.020419±0.0008, MRR: 0.020419±0.0008, NDCG: 0.026174±0.0008, F1: 0.008220±0.0003, HIT_RATE: 0.045212±0.0017, ARHR: 0.020419±0.0008, RMSE: 4.345572±0.0678, NOVELTY: 0.004998±0.0000, AVERAGE_POPULARITY: 0.767490±0.0043, DIVERSITY_MEAN_INTER_LIST: 0.719449±0.0018, DIVERSITY_HERFINDAHL: 0.971929±0.0002, COVERAGE_ITEM: 0.025055±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.102419±0.0012, SHANNON_ENTROPY: 5.844285±0.0078, 
CrossSearchBayesianSkopt: New best config found. Config 8: {'topK': 16, 'shrink': 146, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.049001±0.0023, PRECISION: 0.007349±0.0004, PRECISION_RECALL_MIN_DEN: 0.073487±0.0035, RECALL: 0.073487±0.0035, MAP: 0.033045±0.0016, MRR: 0.033045±0.0016, NDCG: 0.042519±0.0021, F1: 0.013361±0.0006, HIT_RATE: 0.073487±0.0035, ARHR: 0.033045±0.0016, RMSE: 0.884613±0.0021, NOVELTY: 0.006370±0.0000, AVERAGE_POPULARITY: 0.261043±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.981430±0.0001, DIVERSITY_HERFINDAHL: 0.998121±0.0000, COVERAGE_ITEM: 0.391403±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.266910±0.0008, SHANNON_ENTROPY: 10.696300±0.0045, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 44, 'shrink': 1145, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.049197±0.0021, PRECISION: 0.007647±0.0003, PRECISION_RECALL_MIN_DEN: 0.076468±0.0031, RECALL: 0.076468±0.0031, MAP: 0.032850±0.0018, MRR: 0.032850±0.0018, NDCG: 0.043016±0.0020, F1: 0.013903±0.0006, HIT_RATE: 0.076468±0.0031, ARHR: 0.032850±0.0018, RMSE: 0.921595±0.0015, NOVELTY: 0.005820±0.0000, AVERAGE_POPULARITY: 0.357588±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.970112±0.0001, DIVERSITY_HERFINDAHL: 0.996989±0.0000, COVERAGE_ITEM: 0.174404±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.191191±0.0009, SHANNON_ENTROPY: 9.418938±0.0058, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 21, 'shrink': 963, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.039416±0.0019, PRECISION: 0.006021±0.0003, PRECISION_RECALL_MIN_DEN: 0.060208±0.0027, RECALL: 0.060208±0.0027, MAP: 0.026624±0.0015, MRR: 0.026624±0.0015, NDCG: 0.034467±0.0017, F1: 0.010947±0.0005, HIT_RATE: 0.060208±0.0027, ARHR: 0.026624±0.0015, RMSE: 0.894635±0.0012, NOVELTY: 0.005374±0.0000, AVERAGE_POPULARITY: 0.532306±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.931942±0.0002, DIVERSITY_HERFINDAHL: 0.993173±0.0000, COVERAGE_ITEM: 0.059703±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.181902±0.0011, SHANNON_ENTROPY: 7.977584±0.0033, 
