CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 101, 'shrink': 950, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.047707±0.0022, PRECISION: 0.007416±0.0003, PRECISION_RECALL_MIN_DEN: 0.074164±0.0030, RECALL: 0.074164±0.0030, MAP: 0.032853±0.0020, MRR: 0.032853±0.0020, NDCG: 0.042449±0.0022, F1: 0.013484±0.0005, HIT_RATE: 0.074164±0.0030, ARHR: 0.032853±0.0020, RMSE: 0.972989±0.0004, NOVELTY: 0.005891±0.0000, AVERAGE_POPULARITY: 0.388002±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.963276±0.0002, DIVERSITY_HERFINDAHL: 0.996306±0.0000, COVERAGE_ITEM: 0.211960±0.0007, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.184693±0.0003, SHANNON_ENTROPY: 9.432566±0.0057, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 40, 'shrink': 289, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.045227±0.0015, PRECISION: 0.006992±0.0002, PRECISION_RECALL_MIN_DEN: 0.069919±0.0020, RECALL: 0.069919±0.0020, MAP: 0.030334±0.0016, MRR: 0.030334±0.0016, NDCG: 0.039557±0.0015, F1: 0.012712±0.0004, HIT_RATE: 0.069919±0.0020, ARHR: 0.030334±0.0016, RMSE: 0.963140±0.0010, NOVELTY: 0.006834±0.0000, AVERAGE_POPULARITY: 0.155921±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.991164±0.0000, DIVERSITY_HERFINDAHL: 0.999094±0.0000, COVERAGE_ITEM: 0.416156±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.311428±0.0007, SHANNON_ENTROPY: 11.325000±0.0080, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 4, 'shrink': 1838, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.041268±0.0015, PRECISION: 0.006558±0.0001, PRECISION_RECALL_MIN_DEN: 0.065583±0.0015, RECALL: 0.065583±0.0015, MAP: 0.027924±0.0012, MRR: 0.027924±0.0012, NDCG: 0.036660±0.0012, F1: 0.011924±0.0003, HIT_RATE: 0.065583±0.0015, ARHR: 0.027924±0.0012, RMSE: 0.994948±0.0001, NOVELTY: 0.005516±0.0000, AVERAGE_POPULARITY: 0.455453±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.954148±0.0002, DIVERSITY_HERFINDAHL: 0.995393±0.0000, COVERAGE_ITEM: 0.063574±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.228607±0.0015, SHANNON_ENTROPY: 8.455124±0.0073, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 106, 'shrink': 988, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.035115±0.0014, PRECISION: 0.005379±0.0001, PRECISION_RECALL_MIN_DEN: 0.053794±0.0015, RECALL: 0.053794±0.0015, MAP: 0.023938±0.0013, MRR: 0.023938±0.0013, NDCG: 0.030897±0.0013, F1: 0.009781±0.0003, HIT_RATE: 0.053794±0.0015, ARHR: 0.023938±0.0013, RMSE: 0.970164±0.0004, NOVELTY: 0.005170±0.0000, AVERAGE_POPULARITY: 0.649339±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.860310±0.0007, DIVERSITY_HERFINDAHL: 0.986012±0.0001, COVERAGE_ITEM: 0.041903±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139065±0.0009, SHANNON_ENTROPY: 7.007979±0.0050, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 147, 'shrink': 1307, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.045503±0.0023, PRECISION: 0.006888±0.0003, PRECISION_RECALL_MIN_DEN: 0.068880±0.0028, RECALL: 0.068880±0.0028, MAP: 0.031392±0.0020, MRR: 0.031392±0.0020, NDCG: 0.040135±0.0022, F1: 0.012524±0.0005, HIT_RATE: 0.068880±0.0028, ARHR: 0.031392±0.0020, RMSE: 0.974143±0.0003, NOVELTY: 0.005620±0.0000, AVERAGE_POPULARITY: 0.486762±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.934544±0.0003, DIVERSITY_HERFINDAHL: 0.993433±0.0000, COVERAGE_ITEM: 0.163915±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.149080±0.0003, SHANNON_ENTROPY: 8.640188±0.0040, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 133, 'shrink': 1175, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.046658±0.0022, PRECISION: 0.007010±0.0003, PRECISION_RECALL_MIN_DEN: 0.070099±0.0026, RECALL: 0.070099±0.0026, MAP: 0.031981±0.0016, MRR: 0.031981±0.0016, NDCG: 0.040886±0.0018, F1: 0.012745±0.0005, HIT_RATE: 0.070099±0.0026, ARHR: 0.031981±0.0016, RMSE: 0.973435±0.0004, NOVELTY: 0.005697±0.0000, AVERAGE_POPULARITY: 0.457902±0.0026, DIVERSITY_MEAN_INTER_LIST: 0.944561±0.0005, DIVERSITY_HERFINDAHL: 0.994435±0.0000, COVERAGE_ITEM: 0.179227±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.158901±0.0004, SHANNON_ENTROPY: 8.884287±0.0093, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 90, 'shrink': 1099, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.034909±0.0012, PRECISION: 0.005357±0.0001, PRECISION_RECALL_MIN_DEN: 0.053568±0.0011, RECALL: 0.053568±0.0011, MAP: 0.023769±0.0013, MRR: 0.023769±0.0013, NDCG: 0.030716±0.0012, F1: 0.009740±0.0002, HIT_RATE: 0.053568±0.0011, ARHR: 0.023769±0.0013, RMSE: 0.854215±0.0014, NOVELTY: 0.005183±0.0000, AVERAGE_POPULARITY: 0.641284±0.0033, DIVERSITY_MEAN_INTER_LIST: 0.867822±0.0006, DIVERSITY_HERFINDAHL: 0.986763±0.0001, COVERAGE_ITEM: 0.043028±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142476±0.0011, SHANNON_ENTROPY: 7.086586±0.0032, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 89, 'shrink': 1580, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.034347±0.0012, PRECISION: 0.005217±0.0001, PRECISION_RECALL_MIN_DEN: 0.052168±0.0011, RECALL: 0.052168±0.0011, MAP: 0.023366±0.0012, MRR: 0.023366±0.0012, NDCG: 0.030090±0.0011, F1: 0.009485±0.0002, HIT_RATE: 0.052168±0.0011, ARHR: 0.023366±0.0012, RMSE: 0.979052±0.0003, NOVELTY: 0.005152±0.0000, AVERAGE_POPULARITY: 0.660288±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.852799±0.0006, DIVERSITY_HERFINDAHL: 0.985261±0.0001, COVERAGE_ITEM: 0.040249±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.136021±0.0016, SHANNON_ENTROPY: 6.920416±0.0056, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 159, 'shrink': 1935, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.031983±0.0016, PRECISION: 0.004815±0.0002, PRECISION_RECALL_MIN_DEN: 0.048148±0.0022, RECALL: 0.048148±0.0022, MAP: 0.021823±0.0012, MRR: 0.021823±0.0012, NDCG: 0.027975±0.0013, F1: 0.008754±0.0004, HIT_RATE: 0.048148±0.0022, ARHR: 0.021823±0.0012, RMSE: 0.977198±0.0003, NOVELTY: 0.005063±0.0000, AVERAGE_POPULARITY: 0.718870±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.785480±0.0015, DIVERSITY_HERFINDAHL: 0.978530±0.0001, COVERAGE_ITEM: 0.031457±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.114866±0.0006, SHANNON_ENTROPY: 6.319729±0.0074, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 174, 'shrink': 652, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.035456±0.0022, PRECISION: 0.005334±0.0002, PRECISION_RECALL_MIN_DEN: 0.053342±0.0022, RECALL: 0.053342±0.0022, MAP: 0.024322±0.0014, MRR: 0.024322±0.0014, NDCG: 0.031102±0.0015, F1: 0.009699±0.0004, HIT_RATE: 0.053342±0.0022, ARHR: 0.024322±0.0014, RMSE: 0.778526±0.0022, NOVELTY: 0.005145±0.0000, AVERAGE_POPULARITY: 0.664487±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.840354±0.0008, DIVERSITY_HERFINDAHL: 0.984016±0.0001, COVERAGE_ITEM: 0.039654±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.130714±0.0005, SHANNON_ENTROPY: 6.825081±0.0037, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 116, 'shrink': 1516, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.046648±0.0023, PRECISION: 0.007145±0.0004, PRECISION_RECALL_MIN_DEN: 0.071454±0.0036, RECALL: 0.071454±0.0036, MAP: 0.032046±0.0022, MRR: 0.032046±0.0022, NDCG: 0.041224±0.0024, F1: 0.012992±0.0007, HIT_RATE: 0.071454±0.0036, ARHR: 0.032046±0.0022, RMSE: 0.979325±0.0003, NOVELTY: 0.005669±0.0000, AVERAGE_POPULARITY: 0.465777±0.0030, DIVERSITY_MEAN_INTER_LIST: 0.942387±0.0003, DIVERSITY_HERFINDAHL: 0.994217±0.0000, COVERAGE_ITEM: 0.167375±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.156868±0.0003, SHANNON_ENTROPY: 8.797911±0.0074, 
