CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 60, 'shrink': 538, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.049649±0.0024, PRECISION: 0.007760±0.0003, PRECISION_RECALL_MIN_DEN: 0.077597±0.0033, RECALL: 0.077597±0.0033, MAP: 0.033817±0.0024, MRR: 0.033817±0.0024, NDCG: 0.043987±0.0025, F1: 0.014109±0.0006, HIT_RATE: 0.077597±0.0033, ARHR: 0.033817±0.0024, RMSE: 0.968425±0.0006, NOVELTY: 0.006329±0.0000, AVERAGE_POPULARITY: 0.257718±0.0018, DIVERSITY_MEAN_INTER_LIST: 0.982819±0.0001, DIVERSITY_HERFINDAHL: 0.998260±0.0000, COVERAGE_ITEM: 0.298600±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.239898±0.0005, SHANNON_ENTROPY: 10.414601±0.0065, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 153, 'shrink': 1509, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.033143±0.0016, PRECISION: 0.005063±0.0002, PRECISION_RECALL_MIN_DEN: 0.050632±0.0024, RECALL: 0.050632±0.0024, MAP: 0.022671±0.0012, MRR: 0.022671±0.0012, NDCG: 0.029188±0.0014, F1: 0.009206±0.0004, HIT_RATE: 0.050632±0.0024, ARHR: 0.022671±0.0012, RMSE: 0.972929±0.0004, NOVELTY: 0.005086±0.0000, AVERAGE_POPULARITY: 0.703332±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.804005±0.0016, DIVERSITY_HERFINDAHL: 0.980382±0.0002, COVERAGE_ITEM: 0.033501±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.119877±0.0007, SHANNON_ENTROPY: 6.470723±0.0077, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 125, 'shrink': 257, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.040404±0.0014, PRECISION: 0.006016±0.0001, PRECISION_RECALL_MIN_DEN: 0.060163±0.0011, RECALL: 0.060163±0.0011, MAP: 0.027744±0.0017, MRR: 0.027744±0.0017, NDCG: 0.035328±0.0014, F1: 0.010939±0.0002, HIT_RATE: 0.060163±0.0011, ARHR: 0.027744±0.0017, RMSE: 0.944126±0.0008, NOVELTY: 0.005319±0.0000, AVERAGE_POPULARITY: 0.566390±0.0031, DIVERSITY_MEAN_INTER_LIST: 0.908086±0.0007, DIVERSITY_HERFINDAHL: 0.990788±0.0001, COVERAGE_ITEM: 0.058264±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.162229±0.0009, SHANNON_ENTROPY: 7.694236±0.0047, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 64, 'shrink': 1210, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.036365±0.0014, PRECISION: 0.005461±0.0001, PRECISION_RECALL_MIN_DEN: 0.054607±0.0015, RECALL: 0.054607±0.0015, MAP: 0.024958±0.0013, MRR: 0.024958±0.0013, NDCG: 0.031890±0.0013, F1: 0.009929±0.0003, HIT_RATE: 0.054607±0.0015, ARHR: 0.024958±0.0013, RMSE: 0.877384±0.0012, NOVELTY: 0.005223±0.0000, AVERAGE_POPULARITY: 0.617048±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.886424±0.0011, DIVERSITY_HERFINDAHL: 0.988622±0.0001, COVERAGE_ITEM: 0.046012±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.152711±0.0013, SHANNON_ENTROPY: 7.298849±0.0109, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 132, 'shrink': 568, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.037228±0.0022, PRECISION: 0.005605±0.0001, PRECISION_RECALL_MIN_DEN: 0.056052±0.0014, RECALL: 0.056052±0.0014, MAP: 0.025807±0.0017, MRR: 0.025807±0.0017, NDCG: 0.032862±0.0016, F1: 0.010191±0.0003, HIT_RATE: 0.056052±0.0014, ARHR: 0.025807±0.0017, RMSE: 0.956324±0.0005, NOVELTY: 0.005204±0.0000, AVERAGE_POPULARITY: 0.628915±0.0034, DIVERSITY_MEAN_INTER_LIST: 0.871837±0.0007, DIVERSITY_HERFINDAHL: 0.987164±0.0001, COVERAGE_ITEM: 0.044617±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.145642±0.0009, SHANNON_ENTROPY: 7.160624±0.0048, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 78, 'shrink': 845, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.036836±0.0013, PRECISION: 0.005583±0.0001, PRECISION_RECALL_MIN_DEN: 0.055827±0.0011, RECALL: 0.055827±0.0011, MAP: 0.025526±0.0013, MRR: 0.025526±0.0013, NDCG: 0.032587±0.0013, F1: 0.010150±0.0002, HIT_RATE: 0.055827±0.0011, ARHR: 0.025526±0.0013, RMSE: 0.970879±0.0004, NOVELTY: 0.005232±0.0000, AVERAGE_POPULARITY: 0.611871±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.888632±0.0006, DIVERSITY_HERFINDAHL: 0.988843±0.0001, COVERAGE_ITEM: 0.046499±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.155179±0.0019, SHANNON_ENTROPY: 7.335398±0.0063, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 161, 'shrink': 23, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.014875±0.0013, PRECISION: 0.002200±0.0001, PRECISION_RECALL_MIN_DEN: 0.021996±0.0015, RECALL: 0.021996±0.0015, MAP: 0.010375±0.0008, MRR: 0.010375±0.0008, NDCG: 0.013097±0.0009, F1: 0.003999±0.0003, HIT_RATE: 0.021996±0.0015, ARHR: 0.010375±0.0008, RMSE: 0.866295±0.0012, NOVELTY: 0.008400±0.0000, AVERAGE_POPULARITY: 0.019926±0.0002, DIVERSITY_MEAN_INTER_LIST: 0.998599±0.0000, DIVERSITY_HERFINDAHL: 0.999837±0.0000, COVERAGE_ITEM: 0.623368±0.0011, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.554623±0.0011, SHANNON_ENTROPY: 13.006001±0.0042, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 164, 'shrink': 891, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.034799±0.0021, PRECISION: 0.005266±0.0002, PRECISION_RECALL_MIN_DEN: 0.052665±0.0019, RECALL: 0.052665±0.0019, MAP: 0.023766±0.0014, MRR: 0.023766±0.0014, NDCG: 0.030517±0.0014, F1: 0.009575±0.0003, HIT_RATE: 0.052665±0.0019, ARHR: 0.023766±0.0014, RMSE: 0.961790±0.0005, NOVELTY: 0.005123±0.0000, AVERAGE_POPULARITY: 0.678832±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.828025±0.0012, DIVERSITY_HERFINDAHL: 0.982784±0.0001, COVERAGE_ITEM: 0.037178±0.0002, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126615±0.0005, SHANNON_ENTROPY: 6.693856±0.0060, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 145, 'shrink': 1063, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.034483±0.0018, PRECISION: 0.005285±0.0002, PRECISION_RECALL_MIN_DEN: 0.052846±0.0020, RECALL: 0.052846±0.0020, MAP: 0.023693±0.0013, MRR: 0.023693±0.0013, NDCG: 0.030482±0.0012, F1: 0.009608±0.0004, HIT_RATE: 0.052846±0.0020, ARHR: 0.023693±0.0013, RMSE: 0.967002±0.0004, NOVELTY: 0.005122±0.0000, AVERAGE_POPULARITY: 0.679427±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.829813±0.0013, DIVERSITY_HERFINDAHL: 0.982963±0.0001, COVERAGE_ITEM: 0.037188±0.0005, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.127198±0.0016, SHANNON_ENTROPY: 6.703085±0.0074, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 31, 'shrink': 194, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.045815±0.0020, PRECISION: 0.007150±0.0002, PRECISION_RECALL_MIN_DEN: 0.071500±0.0020, RECALL: 0.071500±0.0020, MAP: 0.030868±0.0018, MRR: 0.030868±0.0018, NDCG: 0.040334±0.0019, F1: 0.013000±0.0004, HIT_RATE: 0.071500±0.0020, ARHR: 0.030868±0.0018, RMSE: 0.966953±0.0007, NOVELTY: 0.005576±0.0000, AVERAGE_POPULARITY: 0.441426±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.956135±0.0003, DIVERSITY_HERFINDAHL: 0.995592±0.0000, COVERAGE_ITEM: 0.081298±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.209732±0.0012, SHANNON_ENTROPY: 8.636076±0.0073, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 39, 'shrink': 379, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.048525±0.0016, PRECISION: 0.007507±0.0003, PRECISION_RECALL_MIN_DEN: 0.075068±0.0027, RECALL: 0.075068±0.0027, MAP: 0.032516±0.0017, MRR: 0.032516±0.0017, NDCG: 0.042436±0.0016, F1: 0.013649±0.0005, HIT_RATE: 0.075068±0.0027, ARHR: 0.032516±0.0017, RMSE: 0.967081±0.0008, NOVELTY: 0.006633±0.0000, AVERAGE_POPULARITY: 0.189129±0.0013, DIVERSITY_MEAN_INTER_LIST: 0.988438±0.0000, DIVERSITY_HERFINDAHL: 0.998822±0.0000, COVERAGE_ITEM: 0.361244±0.0021, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.279031±0.0006, SHANNON_ENTROPY: 10.947079±0.0066, 
