CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 34, 'shrink': 1621, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 0.9413394924324887, 'tversky_beta': 0.36623648343388276} - results: ROC_AUC: 0.036681±0.0015, PRECISION: 0.005596±0.0002, PRECISION_RECALL_MIN_DEN: 0.055962±0.0023, RECALL: 0.055962±0.0023, MAP: 0.025661±0.0014, MRR: 0.025661±0.0014, NDCG: 0.032710±0.0014, F1: 0.010175±0.0004, HIT_RATE: 0.055962±0.0023, ARHR: 0.025661±0.0014, RMSE: 0.984122±0.0002, NOVELTY: 0.005277±0.0000, AVERAGE_POPULARITY: 0.583759±0.0032, DIVERSITY_MEAN_INTER_LIST: 0.908603±0.0002, DIVERSITY_HERFINDAHL: 0.990840±0.0000, COVERAGE_ITEM: 0.049689±0.0003, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.166749±0.0007, SHANNON_ENTROPY: 7.568835±0.0023, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 142, 'shrink': 1022, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.7265664454003746, 'tversky_beta': 1.6490885274282259} - results: ROC_AUC: 0.037097±0.0018, PRECISION: 0.005574±0.0002, PRECISION_RECALL_MIN_DEN: 0.055736±0.0017, RECALL: 0.055736±0.0017, MAP: 0.025567±0.0015, MRR: 0.025567±0.0015, NDCG: 0.032614±0.0014, F1: 0.010134±0.0003, HIT_RATE: 0.055736±0.0017, ARHR: 0.025567±0.0015, RMSE: 0.851853±0.0014, NOVELTY: 0.005190±0.0000, AVERAGE_POPULARITY: 0.637066±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.864963±0.0009, DIVERSITY_HERFINDAHL: 0.986477±0.0001, COVERAGE_ITEM: 0.043017±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.142438±0.0005, SHANNON_ENTROPY: 7.077774±0.0050, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 15, 'shrink': 1858, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.4207773843832937, 'tversky_beta': 0.22420426487905437} - results: ROC_AUC: 0.053247±0.0025, PRECISION: 0.008302±0.0003, PRECISION_RECALL_MIN_DEN: 0.083017±0.0028, RECALL: 0.083017±0.0028, MAP: 0.035858±0.0017, MRR: 0.035858±0.0017, NDCG: 0.046836±0.0019, F1: 0.015094±0.0005, HIT_RATE: 0.083017±0.0028, ARHR: 0.035858±0.0017, RMSE: 0.991128±0.0002, NOVELTY: 0.006072±0.0000, AVERAGE_POPULARITY: 0.310980±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.975915±0.0001, DIVERSITY_HERFINDAHL: 0.997569±0.0000, COVERAGE_ITEM: 0.202336±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.210406±0.0006, SHANNON_ENTROPY: 9.769918±0.0021, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 142, 'shrink': 1243, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.0081217559458222, 'tversky_beta': 1.5436857012436016} - results: ROC_AUC: 0.034262±0.0017, PRECISION: 0.005221±0.0001, PRECISION_RECALL_MIN_DEN: 0.052213±0.0014, RECALL: 0.052213±0.0014, MAP: 0.023531±0.0013, MRR: 0.023531±0.0013, NDCG: 0.030216±0.0011, F1: 0.009493±0.0003, HIT_RATE: 0.052213±0.0014, ARHR: 0.023531±0.0013, RMSE: 0.852454±0.0015, NOVELTY: 0.005113±0.0000, AVERAGE_POPULARITY: 0.685773±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.825397±0.0011, DIVERSITY_HERFINDAHL: 0.982521±0.0001, COVERAGE_ITEM: 0.036486±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126226±0.0014, SHANNON_ENTROPY: 6.661577±0.0050, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 152, 'shrink': 314, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.4866113769264089, 'tversky_beta': 1.8054566323532604} - results: ROC_AUC: 0.043541±0.0010, PRECISION: 0.006703±0.0001, PRECISION_RECALL_MIN_DEN: 0.067028±0.0008, RECALL: 0.067028±0.0008, MAP: 0.029602±0.0011, MRR: 0.029602±0.0011, NDCG: 0.038318±0.0009, F1: 0.012187±0.0002, HIT_RATE: 0.067028±0.0008, ARHR: 0.029602±0.0011, RMSE: 0.950969±0.0007, NOVELTY: 0.006767±0.0000, AVERAGE_POPULARITY: 0.200795±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.988768±0.0000, DIVERSITY_HERFINDAHL: 0.998854±0.0000, COVERAGE_ITEM: 0.452620±0.0010, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.318031±0.0005, SHANNON_ENTROPY: 11.321088±0.0036, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 114, 'shrink': 364, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.6506321193040868, 'tversky_beta': 1.081174643330305} - results: ROC_AUC: 0.046984±0.0017, PRECISION: 0.007335±0.0002, PRECISION_RECALL_MIN_DEN: 0.073351±0.0022, RECALL: 0.073351±0.0022, MAP: 0.031805±0.0022, MRR: 0.031805±0.0022, NDCG: 0.041461±0.0021, F1: 0.013337±0.0004, HIT_RATE: 0.073351±0.0022, ARHR: 0.031805±0.0022, RMSE: 0.945138±0.0008, NOVELTY: 0.006193±0.0000, AVERAGE_POPULARITY: 0.312551±0.0019, DIVERSITY_MEAN_INTER_LIST: 0.976617±0.0002, DIVERSITY_HERFINDAHL: 0.997640±0.0000, COVERAGE_ITEM: 0.305228±0.0015, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.224616±0.0005, SHANNON_ENTROPY: 10.190477±0.0076, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 124, 'shrink': 59, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.5164598433504685, 'tversky_beta': 1.0559270001757366} - results: ROC_AUC: 0.043084±0.0017, PRECISION: 0.006414±0.0001, PRECISION_RECALL_MIN_DEN: 0.064137±0.0006, RECALL: 0.064137±0.0006, MAP: 0.029710±0.0018, MRR: 0.029710±0.0018, NDCG: 0.037760±0.0015, F1: 0.011661±0.0001, HIT_RATE: 0.064137±0.0006, ARHR: 0.029710±0.0018, RMSE: 0.791245±0.0041, NOVELTY: 0.005386±0.0000, AVERAGE_POPULARITY: 0.555640±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.913346±0.0003, DIVERSITY_HERFINDAHL: 0.991314±0.0000, COVERAGE_ITEM: 0.088197±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.139408±0.0008, SHANNON_ENTROPY: 7.924013±0.0012, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 58, 'shrink': 1714, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 0.4296864937889945, 'tversky_beta': 0.8108435482779526} - results: ROC_AUC: 0.033720±0.0015, PRECISION: 0.005122±0.0002, PRECISION_RECALL_MIN_DEN: 0.051220±0.0016, RECALL: 0.051220±0.0016, MAP: 0.023266±0.0012, MRR: 0.023266±0.0012, NDCG: 0.029781±0.0012, F1: 0.009313±0.0003, HIT_RATE: 0.051220±0.0016, ARHR: 0.023266±0.0012, RMSE: 0.893690±0.0011, NOVELTY: 0.005161±0.0000, AVERAGE_POPULARITY: 0.656015±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.859461±0.0013, DIVERSITY_HERFINDAHL: 0.985927±0.0001, COVERAGE_ITEM: 0.041417±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.138200±0.0007, SHANNON_ENTROPY: 6.986111±0.0114, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 128, 'shrink': 1239, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.6258950191547248, 'tversky_beta': 0.6812355091877998} - results: ROC_AUC: 0.036169±0.0019, PRECISION: 0.005370±0.0002, PRECISION_RECALL_MIN_DEN: 0.053704±0.0017, RECALL: 0.053704±0.0017, MAP: 0.024736±0.0014, MRR: 0.024736±0.0014, NDCG: 0.031521±0.0014, F1: 0.009764±0.0003, HIT_RATE: 0.053704±0.0017, ARHR: 0.024736±0.0014, RMSE: 0.841413±0.0013, NOVELTY: 0.005178±0.0000, AVERAGE_POPULARITY: 0.641948±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.861461±0.0013, DIVERSITY_HERFINDAHL: 0.986127±0.0001, COVERAGE_ITEM: 0.041503±0.0001, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140066±0.0004, SHANNON_ENTROPY: 7.015204±0.0085, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 67, 'shrink': 699, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.027556248937043566, 'tversky_beta': 0.12560487582057459} - results: ROC_AUC: 0.046231±0.0024, PRECISION: 0.007240±0.0002, PRECISION_RECALL_MIN_DEN: 0.072403±0.0023, RECALL: 0.072403±0.0023, MAP: 0.031758±0.0023, MRR: 0.031758±0.0023, NDCG: 0.041192±0.0022, F1: 0.013164±0.0004, HIT_RATE: 0.072403±0.0023, ARHR: 0.031758±0.0023, RMSE: 0.956911±0.0007, NOVELTY: 0.005594±0.0000, AVERAGE_POPULARITY: 0.494140±0.0024, DIVERSITY_MEAN_INTER_LIST: 0.932023±0.0002, DIVERSITY_HERFINDAHL: 0.993181±0.0000, COVERAGE_ITEM: 0.143455±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.150604±0.0005, SHANNON_ENTROPY: 8.542360±0.0038, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 59, 'shrink': 257, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.32321851209735747, 'tversky_beta': 1.1860186790881058} - results: ROC_AUC: 0.047441±0.0020, PRECISION: 0.007453±0.0003, PRECISION_RECALL_MIN_DEN: 0.074526±0.0025, RECALL: 0.074526±0.0025, MAP: 0.031840±0.0019, MRR: 0.031840±0.0019, NDCG: 0.041764±0.0020, F1: 0.013550±0.0005, HIT_RATE: 0.074526±0.0025, ARHR: 0.031840±0.0019, RMSE: 0.946685±0.0010, NOVELTY: 0.006434±0.0000, AVERAGE_POPULARITY: 0.246888±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.984805±0.0001, DIVERSITY_HERFINDAHL: 0.998458±0.0000, COVERAGE_ITEM: 0.343877±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.259936±0.0005, SHANNON_ENTROPY: 10.694467±0.0069, 
