CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 26, 'shrink': 1826, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.3541614777281572, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066402±0.0014, PRECISION: 0.009077±0.0002, PRECISION_RECALL_MIN_DEN: 0.090773±0.0017, RECALL: 0.090773±0.0017, MAP: 0.048690±0.0013, MRR: 0.048690±0.0013, NDCG: 0.058625±0.0014, F1: 0.016504±0.0003, HIT_RATE: 0.090773±0.0017, ARHR: 0.048690±0.0013, RMSE: 2.542900±0.0245, NOVELTY: 0.005779±0.0000, AVERAGE_POPULARITY: 0.414377±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.963089±0.0003, DIVERSITY_HERFINDAHL: 0.996303±0.0000, COVERAGE_ITEM: 0.596659±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146136±0.0007, SHANNON_ENTROPY: 10.021466±0.0054, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 158, 'shrink': 1715, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.8265290553640872, 'feature_weighting': 'none'} - results: ROC_AUC: 0.065535±0.0010, PRECISION: 0.008842±0.0001, PRECISION_RECALL_MIN_DEN: 0.088416±0.0013, RECALL: 0.088416±0.0013, MAP: 0.048117±0.0010, MRR: 0.048117±0.0010, NDCG: 0.057656±0.0011, F1: 0.016076±0.0002, HIT_RATE: 0.088416±0.0013, ARHR: 0.048117±0.0010, RMSE: 0.926767±0.0007, NOVELTY: 0.005647±0.0000, AVERAGE_POPULARITY: 0.445236±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.953483±0.0003, DIVERSITY_HERFINDAHL: 0.995343±0.0000, COVERAGE_ITEM: 0.569570±0.0063, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124541±0.0007, SHANNON_ENTROPY: 9.563663±0.0088, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 53, 'shrink': 1904, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.1454378341677853, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.057793±0.0010, PRECISION: 0.007860±0.0001, PRECISION_RECALL_MIN_DEN: 0.078597±0.0011, RECALL: 0.078597±0.0011, MAP: 0.041859±0.0009, MRR: 0.041859±0.0009, NDCG: 0.050557±0.0009, F1: 0.014290±0.0002, HIT_RATE: 0.078597±0.0011, ARHR: 0.041859±0.0009, RMSE: 0.989034±0.0001, NOVELTY: 0.005647±0.0000, AVERAGE_POPULARITY: 0.061596±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.998284±0.0000, DIVERSITY_HERFINDAHL: 0.999823±0.0000, COVERAGE_ITEM: 0.906753±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.473581±0.0006, SHANNON_ENTROPY: 13.273139±0.0020, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 37, 'shrink': 1815, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4924234514282924, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.082705±0.0010, PRECISION: 0.011146±0.0001, PRECISION_RECALL_MIN_DEN: 0.111459±0.0007, RECALL: 0.111459±0.0007, MAP: 0.059965±0.0009, MRR: 0.059965±0.0009, NDCG: 0.072179±0.0008, F1: 0.020265±0.0001, HIT_RATE: 0.111459±0.0007, ARHR: 0.059965±0.0009, RMSE: 0.952116±0.0026, NOVELTY: 0.006201±0.0000, AVERAGE_POPULARITY: 0.303573±0.0021, DIVERSITY_MEAN_INTER_LIST: 0.981712±0.0001, DIVERSITY_HERFINDAHL: 0.998166±0.0000, COVERAGE_ITEM: 0.796215±0.0023, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.223824±0.0003, SHANNON_ENTROPY: 11.229445±0.0053, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 70, 'shrink': 1358, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.12893205648680464, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.060651±0.0008, PRECISION: 0.008273±0.0001, PRECISION_RECALL_MIN_DEN: 0.082732±0.0010, RECALL: 0.082732±0.0010, MAP: 0.044071±0.0006, MRR: 0.044071±0.0006, NDCG: 0.053211±0.0006, F1: 0.015042±0.0002, HIT_RATE: 0.082732±0.0010, ARHR: 0.044071±0.0006, RMSE: 0.926651±0.0013, NOVELTY: 0.006493±0.0000, AVERAGE_POPULARITY: 0.156694±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.996406±0.0000, DIVERSITY_HERFINDAHL: 0.999635±0.0000, COVERAGE_ITEM: 0.908354±0.0006, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.395424±0.0008, SHANNON_ENTROPY: 12.813895±0.0028, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 158, 'shrink': 1985, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.964333480162598, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.048165±0.0004, PRECISION: 0.006612±0.0001, PRECISION_RECALL_MIN_DEN: 0.066124±0.0012, RECALL: 0.066124±0.0012, MAP: 0.034155±0.0005, MRR: 0.034155±0.0005, NDCG: 0.041730±0.0005, F1: 0.012022±0.0002, HIT_RATE: 0.066124±0.0012, ARHR: 0.034155±0.0005, RMSE: 0.906648±0.0003, NOVELTY: 0.006527±0.0000, AVERAGE_POPULARITY: 0.112892±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.991972±0.0001, DIVERSITY_HERFINDAHL: 0.999192±0.0000, COVERAGE_ITEM: 0.693874±0.0053, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.213690±0.0009, SHANNON_ENTROPY: 11.500862±0.0074, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 160, 'shrink': 1502, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.0518538285277992, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.056525±0.0008, PRECISION: 0.007681±0.0001, PRECISION_RECALL_MIN_DEN: 0.076808±0.0007, RECALL: 0.076808±0.0007, MAP: 0.041146±0.0008, MRR: 0.041146±0.0008, NDCG: 0.049585±0.0007, F1: 0.013965±0.0001, HIT_RATE: 0.076808±0.0007, ARHR: 0.041146±0.0008, RMSE: 0.984938±0.0001, NOVELTY: 0.005288±0.0000, AVERAGE_POPULARITY: 0.061945±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.998324±0.0000, DIVERSITY_HERFINDAHL: 0.999827±0.0000, COVERAGE_ITEM: 0.905845±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.470628±0.0005, SHANNON_ENTROPY: 13.270682±0.0033, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 179, 'shrink': 1324, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.9105010102126947, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.052127±0.0006, PRECISION: 0.007006±0.0001, PRECISION_RECALL_MIN_DEN: 0.070065±0.0008, RECALL: 0.070065±0.0008, MAP: 0.038094±0.0009, MRR: 0.038094±0.0009, NDCG: 0.045670±0.0009, F1: 0.012739±0.0001, HIT_RATE: 0.070065±0.0008, ARHR: 0.038094±0.0009, RMSE: 0.983077±0.0001, NOVELTY: 0.005003±0.0000, AVERAGE_POPULARITY: 0.056762±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998350±0.0000, DIVERSITY_HERFINDAHL: 0.999829±0.0000, COVERAGE_ITEM: 0.862979±0.0004, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.471052±0.0010, SHANNON_ENTROPY: 13.220844±0.0034, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 62, 'shrink': 1002, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5077576343131476, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.043990±0.0005, PRECISION: 0.005998±0.0001, PRECISION_RECALL_MIN_DEN: 0.059984±0.0009, RECALL: 0.059984±0.0009, MAP: 0.031525±0.0005, MRR: 0.031525±0.0005, NDCG: 0.038268±0.0005, F1: 0.010906±0.0002, HIT_RATE: 0.059984±0.0009, ARHR: 0.031525±0.0005, RMSE: 0.918721±0.0002, NOVELTY: 0.006639±0.0000, AVERAGE_POPULARITY: 0.073434±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.994911±0.0001, DIVERSITY_HERFINDAHL: 0.999485±0.0000, COVERAGE_ITEM: 0.772241±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.277894±0.0006, SHANNON_ENTROPY: 12.124542±0.0062, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 64, 'shrink': 3, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.2792203646411602, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.037334±0.0006, PRECISION: 0.005006±0.0001, PRECISION_RECALL_MIN_DEN: 0.050063±0.0008, RECALL: 0.050063±0.0008, MAP: 0.027150±0.0005, MRR: 0.027150±0.0005, NDCG: 0.032587±0.0005, F1: 0.009102±0.0001, HIT_RATE: 0.050063±0.0008, ARHR: 0.027150±0.0005, RMSE: 42.524163±0.2611, NOVELTY: 0.006259±0.0000, AVERAGE_POPULARITY: 0.036961±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.999106±0.0000, DIVERSITY_HERFINDAHL: 0.999905±0.0000, COVERAGE_ITEM: 0.964347±0.0009, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.597534±0.0011, SHANNON_ENTROPY: 13.723944±0.0013, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 63, 'shrink': 1516, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.4511987656889858, 'feature_weighting': 'none'} - results: ROC_AUC: 0.062736±0.0015, PRECISION: 0.008549±0.0001, PRECISION_RECALL_MIN_DEN: 0.085488±0.0013, RECALL: 0.085488±0.0013, MAP: 0.046055±0.0013, MRR: 0.046055±0.0013, NDCG: 0.055367±0.0013, F1: 0.015543±0.0002, HIT_RATE: 0.085488±0.0013, ARHR: 0.046055±0.0013, RMSE: 0.988670±0.0001, NOVELTY: 0.005627±0.0000, AVERAGE_POPULARITY: 0.486295±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.936662±0.0004, DIVERSITY_HERFINDAHL: 0.993661±0.0000, COVERAGE_ITEM: 0.569830±0.0055, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126910±0.0007, SHANNON_ENTROPY: 9.392900±0.0082, 
