CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 26, 'shrink': 1826, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.066402±0.0014, PRECISION: 0.009077±0.0002, PRECISION_RECALL_MIN_DEN: 0.090773±0.0017, RECALL: 0.090773±0.0017, MAP: 0.048690±0.0013, MRR: 0.048690±0.0013, NDCG: 0.058625±0.0014, F1: 0.016504±0.0003, HIT_RATE: 0.090773±0.0017, ARHR: 0.048690±0.0013, RMSE: 2.542900±0.0245, NOVELTY: 0.005779±0.0000, AVERAGE_POPULARITY: 0.414377±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.963089±0.0003, DIVERSITY_HERFINDAHL: 0.996303±0.0000, COVERAGE_ITEM: 0.596659±0.0047, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.146136±0.0007, SHANNON_ENTROPY: 10.021466±0.0054, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 184, 'shrink': 1578, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.060033±0.0009, PRECISION: 0.008278±0.0001, PRECISION_RECALL_MIN_DEN: 0.082777±0.0011, RECALL: 0.082777±0.0011, MAP: 0.044078±0.0010, MRR: 0.044078±0.0010, NDCG: 0.053194±0.0010, F1: 0.015050±0.0002, HIT_RATE: 0.082777±0.0011, ARHR: 0.044078±0.0010, RMSE: 0.986018±0.0001, NOVELTY: 0.005425±0.0000, AVERAGE_POPULARITY: 0.584296±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.884107±0.0008, DIVERSITY_HERFINDAHL: 0.988406±0.0001, COVERAGE_ITEM: 0.516150±0.0060, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.097539±0.0005, SHANNON_ENTROPY: 8.388718±0.0095, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 183, 'shrink': 658, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.065912±0.0010, PRECISION: 0.009022±0.0001, PRECISION_RECALL_MIN_DEN: 0.090215±0.0010, RECALL: 0.090215±0.0010, MAP: 0.048137±0.0010, MRR: 0.048137±0.0010, NDCG: 0.058074±0.0010, F1: 0.016403±0.0002, HIT_RATE: 0.090215±0.0010, ARHR: 0.048137±0.0010, RMSE: 0.877585±0.0010, NOVELTY: 0.005509±0.0000, AVERAGE_POPULARITY: 0.522480±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.925733±0.0004, DIVERSITY_HERFINDAHL: 0.992568±0.0000, COVERAGE_ITEM: 0.540979±0.0068, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.107644±0.0006, SHANNON_ENTROPY: 8.945776±0.0085, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 159, 'shrink': 1145, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.063113±0.0011, PRECISION: 0.008715±0.0002, PRECISION_RECALL_MIN_DEN: 0.087151±0.0017, RECALL: 0.087151±0.0017, MAP: 0.046219±0.0009, MRR: 0.046219±0.0009, NDCG: 0.055864±0.0010, F1: 0.015846±0.0003, HIT_RATE: 0.087151±0.0017, ARHR: 0.046219±0.0009, RMSE: 1.040539±0.0064, NOVELTY: 0.005435±0.0000, AVERAGE_POPULARITY: 0.572903±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.898064±0.0003, DIVERSITY_HERFINDAHL: 0.989801±0.0000, COVERAGE_ITEM: 0.447353±0.0032, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.094636±0.0005, SHANNON_ENTROPY: 8.463481±0.0071, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 133, 'shrink': 324, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.063596±0.0009, PRECISION: 0.008768±0.0001, PRECISION_RECALL_MIN_DEN: 0.087675±0.0013, RECALL: 0.087675±0.0013, MAP: 0.046693±0.0008, MRR: 0.046693±0.0008, NDCG: 0.056350±0.0008, F1: 0.015941±0.0002, HIT_RATE: 0.087675±0.0013, ARHR: 0.046693±0.0008, RMSE: 17.981977±0.1439, NOVELTY: 0.005469±0.0000, AVERAGE_POPULARITY: 0.556734±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.907322±0.0003, DIVERSITY_HERFINDAHL: 0.990727±0.0000, COVERAGE_ITEM: 0.459843±0.0035, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.099456±0.0005, SHANNON_ENTROPY: 8.633189±0.0086, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 56, 'shrink': 1224, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.065452±0.0012, PRECISION: 0.008992±0.0002, PRECISION_RECALL_MIN_DEN: 0.089919±0.0016, RECALL: 0.089919±0.0016, MAP: 0.048077±0.0011, MRR: 0.048077±0.0011, NDCG: 0.057943±0.0012, F1: 0.016349±0.0003, HIT_RATE: 0.089919±0.0016, ARHR: 0.048077±0.0011, RMSE: 1.013546±0.0049, NOVELTY: 0.005641±0.0000, AVERAGE_POPULARITY: 0.478562±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.942637±0.0002, DIVERSITY_HERFINDAHL: 0.994258±0.0000, COVERAGE_ITEM: 0.525266±0.0052, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123896±0.0007, SHANNON_ENTROPY: 9.413349±0.0074, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 199, 'shrink': 98, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.063790±0.0012, PRECISION: 0.008687±0.0001, PRECISION_RECALL_MIN_DEN: 0.086866±0.0012, RECALL: 0.086866±0.0012, MAP: 0.046380±0.0011, MRR: 0.046380±0.0011, NDCG: 0.055955±0.0011, F1: 0.015794±0.0002, HIT_RATE: 0.086866±0.0012, ARHR: 0.046380±0.0011, RMSE: 0.942882±0.0003, NOVELTY: 0.004767±0.0000, AVERAGE_POPULARITY: 0.160475±0.0011, DIVERSITY_MEAN_INTER_LIST: 0.993760±0.0000, DIVERSITY_HERFINDAHL: 0.999370±0.0000, COVERAGE_ITEM: 0.835956±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.366443±0.0006, SHANNON_ENTROPY: 12.498745±0.0057, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 160, 'shrink': 1502, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.060350±0.0006, PRECISION: 0.008189±0.0001, PRECISION_RECALL_MIN_DEN: 0.081889±0.0009, RECALL: 0.081889±0.0009, MAP: 0.043623±0.0006, MRR: 0.043623±0.0006, NDCG: 0.052688±0.0005, F1: 0.014889±0.0002, HIT_RATE: 0.081889±0.0009, ARHR: 0.043623±0.0006, RMSE: 0.984981±0.0001, NOVELTY: 0.005714±0.0000, AVERAGE_POPULARITY: 0.068033±0.0006, DIVERSITY_MEAN_INTER_LIST: 0.998216±0.0000, DIVERSITY_HERFINDAHL: 0.999816±0.0000, COVERAGE_ITEM: 0.930489±0.0016, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.474504±0.0009, SHANNON_ENTROPY: 13.287922±0.0024, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 119, 'shrink': 1792, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.061104±0.0011, PRECISION: 0.008377±0.0002, PRECISION_RECALL_MIN_DEN: 0.083768±0.0017, RECALL: 0.083768±0.0017, MAP: 0.044673±0.0010, MRR: 0.044673±0.0010, NDCG: 0.053899±0.0010, F1: 0.015231±0.0003, HIT_RATE: 0.083768±0.0017, ARHR: 0.044673±0.0010, RMSE: 0.988779±0.0001, NOVELTY: 0.005504±0.0000, AVERAGE_POPULARITY: 0.545429±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.907882±0.0006, DIVERSITY_HERFINDAHL: 0.990783±0.0001, COVERAGE_ITEM: 0.536675±0.0044, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.108825±0.0006, SHANNON_ENTROPY: 8.802568±0.0105, 
CrossSearchBayesianSkopt: New best config found. Config 9: {'topK': 191, 'shrink': 1332, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'cosine', 'feature_weighting': 'none'} - results: ROC_AUC: 0.070880±0.0012, PRECISION: 0.009516±0.0001, PRECISION_RECALL_MIN_DEN: 0.095159±0.0013, RECALL: 0.095159±0.0013, MAP: 0.052012±0.0007, MRR: 0.052012±0.0007, NDCG: 0.062234±0.0008, F1: 0.017302±0.0002, HIT_RATE: 0.095159±0.0013, ARHR: 0.052012±0.0007, RMSE: 0.983844±0.0001, NOVELTY: 0.006345±0.0000, AVERAGE_POPULARITY: 0.299487±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.979828±0.0001, DIVERSITY_HERFINDAHL: 0.997977±0.0000, COVERAGE_ITEM: 0.841730±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.282259±0.0002, SHANNON_ENTROPY: 11.523623±0.0046, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 191, 'shrink': 1508, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'cosine', 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062479±0.0009, PRECISION: 0.008603±0.0001, PRECISION_RECALL_MIN_DEN: 0.086035±0.0012, RECALL: 0.086035±0.0012, MAP: 0.045690±0.0009, MRR: 0.045690±0.0009, NDCG: 0.055204±0.0009, F1: 0.015643±0.0002, HIT_RATE: 0.086035±0.0012, ARHR: 0.045690±0.0009, RMSE: 0.951654±0.0048, NOVELTY: 0.005402±0.0000, AVERAGE_POPULARITY: 0.588730±0.0048, DIVERSITY_MEAN_INTER_LIST: 0.888454±0.0003, DIVERSITY_HERFINDAHL: 0.988840±0.0000, COVERAGE_ITEM: 0.436042±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.089899±0.0006, SHANNON_ENTROPY: 8.294732±0.0073, 
