CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 26, 'shrink': 1826, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.067079±0.0014, PRECISION: 0.009093±0.0001, PRECISION_RECALL_MIN_DEN: 0.090933±0.0011, RECALL: 0.090933±0.0011, MAP: 0.049468±0.0013, MRR: 0.049468±0.0013, NDCG: 0.059264±0.0013, F1: 0.016533±0.0002, HIT_RATE: 0.090933±0.0011, ARHR: 0.049468±0.0013, RMSE: 0.963358±0.0005, NOVELTY: 0.005828±0.0000, AVERAGE_POPULARITY: 0.396305±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.969320±0.0002, DIVERSITY_HERFINDAHL: 0.996927±0.0000, COVERAGE_ITEM: 0.520443±0.0030, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143937±0.0005, SHANNON_ENTROPY: 10.040493±0.0038, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 136, 'shrink': 1837, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.064807±0.0012, PRECISION: 0.008846±0.0001, PRECISION_RECALL_MIN_DEN: 0.088461±0.0013, RECALL: 0.088461±0.0013, MAP: 0.047635±0.0011, MRR: 0.047635±0.0011, NDCG: 0.057272±0.0011, F1: 0.016084±0.0002, HIT_RATE: 0.088461±0.0013, ARHR: 0.047635±0.0011, RMSE: 0.943720±0.0005, NOVELTY: 0.005545±0.0000, AVERAGE_POPULARITY: 0.521989±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.927433±0.0007, DIVERSITY_HERFINDAHL: 0.992738±0.0001, COVERAGE_ITEM: 0.459995±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104452±0.0005, SHANNON_ENTROPY: 8.906587±0.0114, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 172, 'shrink': 21, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.073010±0.0013, PRECISION: 0.009705±0.0001, PRECISION_RECALL_MIN_DEN: 0.097050±0.0007, RECALL: 0.097050±0.0007, MAP: 0.053773±0.0012, MRR: 0.053773±0.0012, NDCG: 0.064049±0.0011, F1: 0.017645±0.0001, HIT_RATE: 0.097050±0.0007, ARHR: 0.053773±0.0012, RMSE: 0.968596±0.0002, NOVELTY: 0.006512±0.0000, AVERAGE_POPULARITY: 0.264991±0.0023, DIVERSITY_MEAN_INTER_LIST: 0.986033±0.0001, DIVERSITY_HERFINDAHL: 0.998598±0.0000, COVERAGE_ITEM: 0.806986±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.274153±0.0004, SHANNON_ENTROPY: 11.621445±0.0049, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 190, 'shrink': 312, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.071070±0.0013, PRECISION: 0.009647±0.0001, PRECISION_RECALL_MIN_DEN: 0.096469±0.0008, RECALL: 0.096469±0.0008, MAP: 0.052026±0.0011, MRR: 0.052026±0.0011, NDCG: 0.062540±0.0010, F1: 0.017540±0.0001, HIT_RATE: 0.096469±0.0008, ARHR: 0.052026±0.0011, RMSE: 0.873254±0.0009, NOVELTY: 0.005706±0.0000, AVERAGE_POPULARITY: 0.444917±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.956625±0.0002, DIVERSITY_HERFINDAHL: 0.995657±0.0000, COVERAGE_ITEM: 0.478216±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120371±0.0006, SHANNON_ENTROPY: 9.525745±0.0087, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 113, 'shrink': 366, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.071410±0.0010, PRECISION: 0.009628±0.0001, PRECISION_RECALL_MIN_DEN: 0.096275±0.0007, RECALL: 0.096275±0.0007, MAP: 0.052302±0.0010, MRR: 0.052302±0.0010, NDCG: 0.062719±0.0009, F1: 0.017505±0.0001, HIT_RATE: 0.096275±0.0007, ARHR: 0.052302±0.0010, RMSE: 0.894017±0.0009, NOVELTY: 0.005738±0.0000, AVERAGE_POPULARITY: 0.426995±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.962658±0.0001, DIVERSITY_HERFINDAHL: 0.996260±0.0000, COVERAGE_ITEM: 0.475383±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.124197±0.0005, SHANNON_ENTROPY: 9.674468±0.0062, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 33, 'shrink': 1492, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.079559±0.0010, PRECISION: 0.010484±0.0001, PRECISION_RECALL_MIN_DEN: 0.104841±0.0008, RECALL: 0.104841±0.0008, MAP: 0.058437±0.0007, MRR: 0.058437±0.0007, NDCG: 0.069483±0.0007, F1: 0.019062±0.0002, HIT_RATE: 0.104841±0.0008, ARHR: 0.058437±0.0007, RMSE: 0.992479±0.0001, NOVELTY: 0.006667±0.0000, AVERAGE_POPULARITY: 0.216073±0.0015, DIVERSITY_MEAN_INTER_LIST: 0.991714±0.0000, DIVERSITY_HERFINDAHL: 0.999166±0.0000, COVERAGE_ITEM: 0.769938±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.292417±0.0006, SHANNON_ENTROPY: 11.951906±0.0050, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 56, 'shrink': 1224, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.067615±0.0012, PRECISION: 0.009171±0.0001, PRECISION_RECALL_MIN_DEN: 0.091707±0.0011, RECALL: 0.091707±0.0011, MAP: 0.049699±0.0012, MRR: 0.049699±0.0012, NDCG: 0.059630±0.0012, F1: 0.016674±0.0002, HIT_RATE: 0.091707±0.0011, ARHR: 0.049699±0.0012, RMSE: 0.992039±0.0001, NOVELTY: 0.005715±0.0000, AVERAGE_POPULARITY: 0.439679±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.959104±0.0003, DIVERSITY_HERFINDAHL: 0.995905±0.0000, COVERAGE_ITEM: 0.482595±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125824±0.0005, SHANNON_ENTROPY: 9.633770±0.0066, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 158, 'shrink': 1985, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.064089±0.0013, PRECISION: 0.008763±0.0001, PRECISION_RECALL_MIN_DEN: 0.087630±0.0015, RECALL: 0.087630±0.0015, MAP: 0.047103±0.0011, MRR: 0.047103±0.0011, NDCG: 0.056667±0.0011, F1: 0.015933±0.0003, HIT_RATE: 0.087630±0.0015, ARHR: 0.047103±0.0011, RMSE: 0.992470±0.0001, NOVELTY: 0.005514±0.0000, AVERAGE_POPULARITY: 0.537398±0.0047, DIVERSITY_MEAN_INTER_LIST: 0.919757±0.0005, DIVERSITY_HERFINDAHL: 0.991970±0.0000, COVERAGE_ITEM: 0.455907±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100520±0.0006, SHANNON_ENTROPY: 8.759081±0.0105, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 196, 'shrink': 1854, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'dice'} - results: ROC_AUC: 0.063527±0.0012, PRECISION: 0.008659±0.0001, PRECISION_RECALL_MIN_DEN: 0.086593±0.0014, RECALL: 0.086593±0.0014, MAP: 0.046565±0.0012, MRR: 0.046565±0.0012, NDCG: 0.056021±0.0012, F1: 0.015744±0.0002, HIT_RATE: 0.086593±0.0014, ARHR: 0.046565±0.0012, RMSE: 0.939287±0.0006, NOVELTY: 0.005483±0.0000, AVERAGE_POPULARITY: 0.551661±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.912289±0.0005, DIVERSITY_HERFINDAHL: 0.991224±0.0001, COVERAGE_ITEM: 0.449743±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096194±0.0006, SHANNON_ENTROPY: 8.608617±0.0113, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 45, 'shrink': 470, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'dice'} - results: ROC_AUC: 0.075371±0.0008, PRECISION: 0.009974±0.0001, PRECISION_RECALL_MIN_DEN: 0.099738±0.0007, RECALL: 0.099738±0.0007, MAP: 0.055491±0.0008, MRR: 0.055491±0.0008, NDCG: 0.066010±0.0007, F1: 0.018134±0.0001, HIT_RATE: 0.099738±0.0007, ARHR: 0.055491±0.0008, RMSE: 0.982228±0.0002, NOVELTY: 0.006942±0.0000, AVERAGE_POPULARITY: 0.158771±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.995414±0.0000, DIVERSITY_HERFINDAHL: 0.999536±0.0000, COVERAGE_ITEM: 0.801071±0.0014, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.349070±0.0009, SHANNON_ENTROPY: 12.465775±0.0043, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 133, 'shrink': 219, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'dice'} - results: ROC_AUC: 0.073023±0.0011, PRECISION: 0.009800±0.0001, PRECISION_RECALL_MIN_DEN: 0.097995±0.0010, RECALL: 0.097995±0.0010, MAP: 0.053315±0.0010, MRR: 0.053315±0.0010, NDCG: 0.063916±0.0010, F1: 0.017817±0.0002, HIT_RATE: 0.097995±0.0010, ARHR: 0.053315±0.0010, RMSE: 0.979070±0.0002, NOVELTY: 0.005811±0.0000, AVERAGE_POPULARITY: 0.403670±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.967566±0.0002, DIVERSITY_HERFINDAHL: 0.996751±0.0000, COVERAGE_ITEM: 0.504288±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133853±0.0005, SHANNON_ENTROPY: 9.897156±0.0062, 
