CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 26, 'shrink': 1826, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067137±0.0014, PRECISION: 0.009109±0.0001, PRECISION_RECALL_MIN_DEN: 0.091092±0.0010, RECALL: 0.091092±0.0010, MAP: 0.049499±0.0013, MRR: 0.049499±0.0013, NDCG: 0.059324±0.0012, F1: 0.016562±0.0002, HIT_RATE: 0.091092±0.0010, ARHR: 0.049499±0.0013, RMSE: 0.962716±0.0005, NOVELTY: 0.005827±0.0000, AVERAGE_POPULARITY: 0.396859±0.0037, DIVERSITY_MEAN_INTER_LIST: 0.969148±0.0002, DIVERSITY_HERFINDAHL: 0.996909±0.0000, COVERAGE_ITEM: 0.520368±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.143839±0.0005, SHANNON_ENTROPY: 10.036034±0.0037, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 136, 'shrink': 1837, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.064888±0.0012, PRECISION: 0.008847±0.0001, PRECISION_RECALL_MIN_DEN: 0.088472±0.0013, RECALL: 0.088472±0.0013, MAP: 0.047716±0.0011, MRR: 0.047716±0.0011, NDCG: 0.057338±0.0011, F1: 0.016086±0.0002, HIT_RATE: 0.088472±0.0013, ARHR: 0.047716±0.0011, RMSE: 0.943086±0.0005, NOVELTY: 0.005544±0.0000, AVERAGE_POPULARITY: 0.522339±0.0049, DIVERSITY_MEAN_INTER_LIST: 0.927144±0.0008, DIVERSITY_HERFINDAHL: 0.992709±0.0001, COVERAGE_ITEM: 0.459876±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104395±0.0005, SHANNON_ENTROPY: 8.902817±0.0117, 
CrossSearchBayesianSkopt: New best config found. Config 2: {'topK': 172, 'shrink': 21, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.073921±0.0012, PRECISION: 0.009795±0.0001, PRECISION_RECALL_MIN_DEN: 0.097950±0.0007, RECALL: 0.097950±0.0007, MAP: 0.054578±0.0011, MRR: 0.054578±0.0011, NDCG: 0.064880±0.0010, F1: 0.017809±0.0001, HIT_RATE: 0.097950±0.0007, ARHR: 0.054578±0.0011, RMSE: 0.965803±0.0002, NOVELTY: 0.006540±0.0000, AVERAGE_POPULARITY: 0.259863±0.0022, DIVERSITY_MEAN_INTER_LIST: 0.986440±0.0001, DIVERSITY_HERFINDAHL: 0.998638±0.0000, COVERAGE_ITEM: 0.809689±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.277872±0.0005, SHANNON_ENTROPY: 11.664399±0.0044, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 190, 'shrink': 312, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.071591±0.0013, PRECISION: 0.009699±0.0001, PRECISION_RECALL_MIN_DEN: 0.096993±0.0008, RECALL: 0.096993±0.0008, MAP: 0.052353±0.0011, MRR: 0.052353±0.0011, NDCG: 0.062918±0.0010, F1: 0.017635±0.0002, HIT_RATE: 0.096993±0.0008, ARHR: 0.052353±0.0011, RMSE: 0.875105±0.0009, NOVELTY: 0.005706±0.0000, AVERAGE_POPULARITY: 0.445150±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.956378±0.0002, DIVERSITY_HERFINDAHL: 0.995632±0.0000, COVERAGE_ITEM: 0.477286±0.0033, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.120167±0.0006, SHANNON_ENTROPY: 9.519728±0.0084, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 113, 'shrink': 366, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.071751±0.0010, PRECISION: 0.009673±0.0001, PRECISION_RECALL_MIN_DEN: 0.096731±0.0007, RECALL: 0.096731±0.0007, MAP: 0.052485±0.0011, MRR: 0.052485±0.0011, NDCG: 0.062968±0.0010, F1: 0.017587±0.0001, HIT_RATE: 0.096731±0.0007, ARHR: 0.052485±0.0011, RMSE: 0.895364±0.0009, NOVELTY: 0.005737±0.0000, AVERAGE_POPULARITY: 0.427680±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.962323±0.0002, DIVERSITY_HERFINDAHL: 0.996227±0.0000, COVERAGE_ITEM: 0.474712±0.0029, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.123944±0.0005, SHANNON_ENTROPY: 9.665670±0.0065, 
CrossSearchBayesianSkopt: New best config found. Config 5: {'topK': 33, 'shrink': 1492, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.079715±0.0010, PRECISION: 0.010508±0.0001, PRECISION_RECALL_MIN_DEN: 0.105080±0.0008, RECALL: 0.105080±0.0008, MAP: 0.058638±0.0008, MRR: 0.058638±0.0008, NDCG: 0.069690±0.0008, F1: 0.019106±0.0001, HIT_RATE: 0.105080±0.0008, ARHR: 0.058638±0.0008, RMSE: 0.992286±0.0001, NOVELTY: 0.006657±0.0000, AVERAGE_POPULARITY: 0.218290±0.0016, DIVERSITY_MEAN_INTER_LIST: 0.991518±0.0000, DIVERSITY_HERFINDAHL: 0.999146±0.0000, COVERAGE_ITEM: 0.768597±0.0017, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.290448±0.0006, SHANNON_ENTROPY: 11.930705±0.0040, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 56, 'shrink': 1224, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.067684±0.0012, PRECISION: 0.009180±0.0001, PRECISION_RECALL_MIN_DEN: 0.091799±0.0010, RECALL: 0.091799±0.0010, MAP: 0.049753±0.0012, MRR: 0.049753±0.0012, NDCG: 0.059693±0.0011, F1: 0.016691±0.0002, HIT_RATE: 0.091799±0.0010, ARHR: 0.049753±0.0012, RMSE: 0.991772±0.0001, NOVELTY: 0.005714±0.0000, AVERAGE_POPULARITY: 0.440315±0.0039, DIVERSITY_MEAN_INTER_LIST: 0.958845±0.0003, DIVERSITY_HERFINDAHL: 0.995879±0.0000, COVERAGE_ITEM: 0.482422±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.125696±0.0005, SHANNON_ENTROPY: 9.627923±0.0067, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 158, 'shrink': 1985, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.064154±0.0012, PRECISION: 0.008764±0.0001, PRECISION_RECALL_MIN_DEN: 0.087641±0.0014, RECALL: 0.087641±0.0014, MAP: 0.047207±0.0011, MRR: 0.047207±0.0011, NDCG: 0.056750±0.0011, F1: 0.015935±0.0003, HIT_RATE: 0.087641±0.0014, ARHR: 0.047207±0.0011, RMSE: 0.992321±0.0001, NOVELTY: 0.005514±0.0000, AVERAGE_POPULARITY: 0.537675±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.919475±0.0004, DIVERSITY_HERFINDAHL: 0.991942±0.0000, COVERAGE_ITEM: 0.455777±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.100473±0.0005, SHANNON_ENTROPY: 8.755775±0.0103, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 196, 'shrink': 1854, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'jaccard'} - results: ROC_AUC: 0.063677±0.0011, PRECISION: 0.008667±0.0001, PRECISION_RECALL_MIN_DEN: 0.086673±0.0014, RECALL: 0.086673±0.0014, MAP: 0.046696±0.0012, MRR: 0.046696±0.0012, NDCG: 0.056143±0.0012, F1: 0.015759±0.0002, HIT_RATE: 0.086673±0.0014, ARHR: 0.046696±0.0012, RMSE: 0.938660±0.0006, NOVELTY: 0.005483±0.0000, AVERAGE_POPULARITY: 0.551857±0.0052, DIVERSITY_MEAN_INTER_LIST: 0.912034±0.0005, DIVERSITY_HERFINDAHL: 0.991198±0.0001, COVERAGE_ITEM: 0.449657±0.0039, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.096145±0.0006, SHANNON_ENTROPY: 8.605984±0.0115, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 45, 'shrink': 470, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'jaccard'} - results: ROC_AUC: 0.076217±0.0007, PRECISION: 0.010059±0.0001, PRECISION_RECALL_MIN_DEN: 0.100592±0.0008, RECALL: 0.100592±0.0008, MAP: 0.056275±0.0008, MRR: 0.056275±0.0008, NDCG: 0.066813±0.0007, F1: 0.018290±0.0001, HIT_RATE: 0.100592±0.0008, ARHR: 0.056275±0.0008, RMSE: 0.981417±0.0002, NOVELTY: 0.006925±0.0000, AVERAGE_POPULARITY: 0.161961±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.995226±0.0000, DIVERSITY_HERFINDAHL: 0.999517±0.0000, COVERAGE_ITEM: 0.798800±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.345167±0.0009, SHANNON_ENTROPY: 12.433616±0.0048, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 133, 'shrink': 219, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'jaccard'} - results: ROC_AUC: 0.073486±0.0010, PRECISION: 0.009861±0.0001, PRECISION_RECALL_MIN_DEN: 0.098610±0.0008, RECALL: 0.098610±0.0008, MAP: 0.053639±0.0010, MRR: 0.053639±0.0010, NDCG: 0.064310±0.0009, F1: 0.017929±0.0001, HIT_RATE: 0.098610±0.0008, ARHR: 0.053639±0.0010, RMSE: 0.977801±0.0002, NOVELTY: 0.005810±0.0000, AVERAGE_POPULARITY: 0.404050±0.0035, DIVERSITY_MEAN_INTER_LIST: 0.967322±0.0002, DIVERSITY_HERFINDAHL: 0.996727±0.0000, COVERAGE_ITEM: 0.503650±0.0019, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.133529±0.0004, SHANNON_ENTROPY: 9.889389±0.0059, 
