CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 26, 'shrink': 1826, 'normalize': False, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.3541614777281572, 'tversky_beta': 1.8367479743127013} - results: ROC_AUC: 0.068751±0.0012, PRECISION: 0.009347±0.0001, PRECISION_RECALL_MIN_DEN: 0.093473±0.0010, RECALL: 0.093473±0.0010, MAP: 0.050576±0.0012, MRR: 0.050576±0.0012, NDCG: 0.060707±0.0012, F1: 0.016995±0.0002, HIT_RATE: 0.093473±0.0010, ARHR: 0.050576±0.0012, RMSE: 0.967066±0.0004, NOVELTY: 0.005821±0.0000, AVERAGE_POPULARITY: 0.395123±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.970369±0.0001, DIVERSITY_HERFINDAHL: 0.997031±0.0000, COVERAGE_ITEM: 0.503769±0.0031, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.140686±0.0003, SHANNON_ENTROPY: 10.016048±0.0023, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 158, 'shrink': 1715, 'normalize': True, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'tversky', 'tversky_alpha': 1.8265290553640872, 'tversky_beta': 0.658383306983276} - results: ROC_AUC: 0.066416±0.0013, PRECISION: 0.009017±0.0001, PRECISION_RECALL_MIN_DEN: 0.090170±0.0011, RECALL: 0.090170±0.0011, MAP: 0.048789±0.0013, MRR: 0.048789±0.0013, NDCG: 0.058571±0.0012, F1: 0.016394±0.0002, HIT_RATE: 0.090170±0.0011, ARHR: 0.048789±0.0013, RMSE: 0.940397±0.0006, NOVELTY: 0.005583±0.0000, AVERAGE_POPULARITY: 0.497909±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.938628±0.0005, DIVERSITY_HERFINDAHL: 0.993857±0.0000, COVERAGE_ITEM: 0.458470±0.0043, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106518±0.0005, SHANNON_ENTROPY: 9.070319±0.0097, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 53, 'shrink': 1904, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.1454378341677853, 'tversky_beta': 1.1286971716728227} - results: ROC_AUC: 0.066678±0.0014, PRECISION: 0.009066±0.0001, PRECISION_RECALL_MIN_DEN: 0.090660±0.0010, RECALL: 0.090660±0.0010, MAP: 0.049105±0.0014, MRR: 0.049105±0.0014, NDCG: 0.058923±0.0013, F1: 0.016484±0.0002, HIT_RATE: 0.090660±0.0010, ARHR: 0.049105±0.0014, RMSE: 0.994184±0.0001, NOVELTY: 0.005709±0.0000, AVERAGE_POPULARITY: 0.445286±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.956726±0.0003, DIVERSITY_HERFINDAHL: 0.995667±0.0000, COVERAGE_ITEM: 0.488965±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126862±0.0004, SHANNON_ENTROPY: 9.612264±0.0056, 
CrossSearchBayesianSkopt: New best config found. Config 3: {'topK': 37, 'shrink': 1815, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.4924234514282924, 'tversky_beta': 1.9431622163404494} - results: ROC_AUC: 0.079498±0.0009, PRECISION: 0.010467±0.0000, PRECISION_RECALL_MIN_DEN: 0.104670±0.0004, RECALL: 0.104670±0.0004, MAP: 0.058535±0.0007, MRR: 0.058535±0.0007, NDCG: 0.069516±0.0006, F1: 0.019031±0.0001, HIT_RATE: 0.104670±0.0004, ARHR: 0.058535±0.0007, RMSE: 0.993909±0.0000, NOVELTY: 0.006698±0.0000, AVERAGE_POPULARITY: 0.210433±0.0017, DIVERSITY_MEAN_INTER_LIST: 0.992195±0.0000, DIVERSITY_HERFINDAHL: 0.999214±0.0000, COVERAGE_ITEM: 0.770857±0.0012, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.298274±0.0008, SHANNON_ENTROPY: 12.007769±0.0040, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 70, 'shrink': 1358, 'normalize': True, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 0.12893205648680464, 'tversky_beta': 1.4376035728733734} - results: ROC_AUC: 0.078926±0.0010, PRECISION: 0.010551±0.0001, PRECISION_RECALL_MIN_DEN: 0.105513±0.0011, RECALL: 0.105513±0.0011, MAP: 0.057652±0.0009, MRR: 0.057652±0.0009, NDCG: 0.069016±0.0009, F1: 0.019184±0.0002, HIT_RATE: 0.105513±0.0011, ARHR: 0.057652±0.0009, RMSE: 0.989645±0.0001, NOVELTY: 0.006361±0.0000, AVERAGE_POPULARITY: 0.302683±0.0025, DIVERSITY_MEAN_INTER_LIST: 0.982196±0.0001, DIVERSITY_HERFINDAHL: 0.998214±0.0000, COVERAGE_ITEM: 0.725720±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.238280±0.0003, SHANNON_ENTROPY: 11.242206±0.0028, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 158, 'shrink': 1985, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.964333480162598, 'tversky_beta': 1.8541226381215694} - results: ROC_AUC: 0.066655±0.0012, PRECISION: 0.009060±0.0001, PRECISION_RECALL_MIN_DEN: 0.090603±0.0012, RECALL: 0.090603±0.0012, MAP: 0.048936±0.0012, MRR: 0.048936±0.0012, NDCG: 0.058783±0.0011, F1: 0.016473±0.0002, HIT_RATE: 0.090603±0.0012, ARHR: 0.048936±0.0012, RMSE: 0.993691±0.0000, NOVELTY: 0.005565±0.0000, AVERAGE_POPULARITY: 0.508025±0.0044, DIVERSITY_MEAN_INTER_LIST: 0.934684±0.0004, DIVERSITY_HERFINDAHL: 0.993463±0.0000, COVERAGE_ITEM: 0.455485±0.0042, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.104538±0.0005, SHANNON_ENTROPY: 8.992598±0.0085, 
CrossSearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 160, 'shrink': 1502, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.0518538285277992, 'tversky_beta': 1.1878188526655737} - results: ROC_AUC: 0.065442±0.0012, PRECISION: 0.008943±0.0002, PRECISION_RECALL_MIN_DEN: 0.089429±0.0015, RECALL: 0.089429±0.0015, MAP: 0.048077±0.0012, MRR: 0.048077±0.0012, NDCG: 0.057838±0.0011, F1: 0.016260±0.0003, HIT_RATE: 0.089429±0.0015, ARHR: 0.048077±0.0012, RMSE: 0.990963±0.0001, NOVELTY: 0.005532±0.0000, AVERAGE_POPULARITY: 0.526078±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.926122±0.0005, DIVERSITY_HERFINDAHL: 0.992607±0.0000, COVERAGE_ITEM: 0.454588±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.101566±0.0005, SHANNON_ENTROPY: 8.846205±0.0089, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 179, 'shrink': 1324, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.9105010102126947, 'tversky_beta': 1.3318241548967766} - results: ROC_AUC: 0.067858±0.0011, PRECISION: 0.009207±0.0001, PRECISION_RECALL_MIN_DEN: 0.092072±0.0010, RECALL: 0.092072±0.0010, MAP: 0.049619±0.0009, MRR: 0.049619±0.0009, NDCG: 0.059664±0.0010, F1: 0.016740±0.0002, HIT_RATE: 0.092072±0.0010, ARHR: 0.049619±0.0009, RMSE: 0.991131±0.0001, NOVELTY: 0.005595±0.0000, AVERAGE_POPULARITY: 0.491503±0.0046, DIVERSITY_MEAN_INTER_LIST: 0.941251±0.0003, DIVERSITY_HERFINDAHL: 0.994120±0.0000, COVERAGE_ITEM: 0.456815±0.0036, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106916±0.0006, SHANNON_ENTROPY: 9.111793±0.0083, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 62, 'shrink': 1002, 'normalize': True, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.5077576343131476, 'tversky_beta': 1.3648199427452774} - results: ROC_AUC: 0.069875±0.0013, PRECISION: 0.009504±0.0001, PRECISION_RECALL_MIN_DEN: 0.095045±0.0010, RECALL: 0.095045±0.0010, MAP: 0.051295±0.0011, MRR: 0.051295±0.0011, NDCG: 0.061634±0.0010, F1: 0.017281±0.0002, HIT_RATE: 0.095045±0.0010, ARHR: 0.051295±0.0011, RMSE: 0.991729±0.0001, NOVELTY: 0.005744±0.0000, AVERAGE_POPULARITY: 0.423229±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.964021±0.0002, DIVERSITY_HERFINDAHL: 0.996397±0.0000, COVERAGE_ITEM: 0.476594±0.0041, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.126717±0.0004, SHANNON_ENTROPY: 9.726234±0.0048, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 64, 'shrink': 3, 'normalize': False, 'interactions_feature_weighting': 'BM25', 'similarity': 'tversky', 'tversky_alpha': 1.2792203646411602, 'tversky_beta': 1.1113432680159967} - results: ROC_AUC: 0.037020±0.0007, PRECISION: 0.004991±0.0001, PRECISION_RECALL_MIN_DEN: 0.049915±0.0006, RECALL: 0.049915±0.0006, MAP: 0.027431±0.0007, MRR: 0.027431±0.0007, NDCG: 0.032747±0.0007, F1: 0.009075±0.0001, HIT_RATE: 0.049915±0.0006, ARHR: 0.027431±0.0007, RMSE: 0.956547±0.0011, NOVELTY: 0.007418±0.0000, AVERAGE_POPULARITY: 0.063063±0.0005, DIVERSITY_MEAN_INTER_LIST: 0.998779±0.0000, DIVERSITY_HERFINDAHL: 0.999872±0.0000, COVERAGE_ITEM: 0.905726±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.512287±0.0007, SHANNON_ENTROPY: 13.436385±0.0031, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 63, 'shrink': 1516, 'normalize': False, 'interactions_feature_weighting': 'none', 'similarity': 'tversky', 'tversky_alpha': 1.4511987656889858, 'tversky_beta': 0.1954341080927185} - results: ROC_AUC: 0.066533±0.0013, PRECISION: 0.009034±0.0001, PRECISION_RECALL_MIN_DEN: 0.090341±0.0011, RECALL: 0.090341±0.0011, MAP: 0.048975±0.0012, MRR: 0.048975±0.0012, NDCG: 0.058752±0.0012, F1: 0.016426±0.0002, HIT_RATE: 0.090341±0.0011, ARHR: 0.048975±0.0012, RMSE: 0.991914±0.0001, NOVELTY: 0.005732±0.0000, AVERAGE_POPULARITY: 0.432504±0.0038, DIVERSITY_MEAN_INTER_LIST: 0.960327±0.0002, DIVERSITY_HERFINDAHL: 0.996027±0.0000, COVERAGE_ITEM: 0.489094±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.128436±0.0004, SHANNON_ENTROPY: 9.686657±0.0055, 
