CrossSearchBayesianSkopt: New best config found. Config 0: {'topK': 139, 'shrink': 1420, 'normalize': False, 'alpha_weight': 1.6, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.6803447963711181, 'feature_weighting': 'none'} - results: ROC_AUC: 0.073387±0.0005, PRECISION: 0.009985±0.0001, PRECISION_RECALL_MIN_DEN: 0.099852±0.0006, RECALL: 0.099852±0.0006, MAP: 0.053483±0.0005, MRR: 0.053483±0.0005, NDCG: 0.064448±0.0005, F1: 0.018155±0.0001, HIT_RATE: 0.099852±0.0006, ARHR: 0.053483±0.0005, RMSE: 0.962369±0.0002, NOVELTY: 0.005703±0.0000, AVERAGE_POPULARITY: 0.472488±0.0041, DIVERSITY_MEAN_INTER_LIST: 0.943153±0.0005, DIVERSITY_HERFINDAHL: 0.994310±0.0000, COVERAGE_ITEM: 0.448748±0.0024, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.132365±0.0009, SHANNON_ENTROPY: 9.430166±0.0106, 
CrossSearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 191, 'shrink': 547, 'normalize': True, 'alpha_weight': 0.26, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.7853296193369543, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.013430±0.0007, PRECISION: 0.002003±0.0001, PRECISION_RECALL_MIN_DEN: 0.020025±0.0012, RECALL: 0.020025±0.0012, MAP: 0.008913±0.0004, MRR: 0.008913±0.0004, NDCG: 0.011524±0.0006, F1: 0.003641±0.0002, HIT_RATE: 0.020025±0.0012, ARHR: 0.008913±0.0004, RMSE: 0.892574±0.0016, NOVELTY: 0.004893±0.0000, AVERAGE_POPULARITY: 0.008577±0.0001, DIVERSITY_MEAN_INTER_LIST: 0.998697±0.0000, DIVERSITY_HERFINDAHL: 0.999864±0.0000, COVERAGE_ITEM: 0.846640±0.0013, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.499937±0.0015, SHANNON_ENTROPY: 13.316600±0.0040, 
CrossSearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 146, 'shrink': 575, 'normalize': True, 'alpha_weight': 1.72, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.17323121425233803, 'feature_weighting': 'none'} - results: ROC_AUC: 0.073494±0.0006, PRECISION: 0.010085±0.0001, PRECISION_RECALL_MIN_DEN: 0.100854±0.0014, RECALL: 0.100854±0.0014, MAP: 0.053105±0.0003, MRR: 0.053105±0.0003, NDCG: 0.064384±0.0005, F1: 0.018337±0.0002, HIT_RATE: 0.100854±0.0014, ARHR: 0.053105±0.0003, RMSE: 0.950587±0.0002, NOVELTY: 0.005951±0.0000, AVERAGE_POPULARITY: 0.359837±0.0028, DIVERSITY_MEAN_INTER_LIST: 0.977548±0.0001, DIVERSITY_HERFINDAHL: 0.997749±0.0000, COVERAGE_ITEM: 0.468332±0.0040, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.163934±0.0007, SHANNON_ENTROPY: 10.356243±0.0031, 
CrossSearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 8, 'shrink': 1015, 'normalize': True, 'alpha_weight': 1.64, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5529287080624334, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.034053±0.0006, PRECISION: 0.004567±0.0000, PRECISION_RECALL_MIN_DEN: 0.045666±0.0004, RECALL: 0.045666±0.0004, MAP: 0.024676±0.0007, MRR: 0.024676±0.0007, NDCG: 0.029660±0.0006, F1: 0.008303±0.0001, HIT_RATE: 0.045666±0.0004, ARHR: 0.024676±0.0007, RMSE: 0.955075±0.0010, NOVELTY: 0.007902±0.0000, AVERAGE_POPULARITY: 0.029031±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.997652±0.0000, DIVERSITY_HERFINDAHL: 0.999760±0.0000, COVERAGE_ITEM: 0.776718±0.0028, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.454551±0.0016, SHANNON_ENTROPY: 12.995123±0.0038, 
CrossSearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 8, 'shrink': 209, 'normalize': True, 'alpha_weight': 1.12, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.051729270913861, 'feature_weighting': 'none'} - results: ROC_AUC: 0.067861±0.0013, PRECISION: 0.008991±0.0001, PRECISION_RECALL_MIN_DEN: 0.089908±0.0015, RECALL: 0.089908±0.0015, MAP: 0.049284±0.0008, MRR: 0.049284±0.0008, NDCG: 0.058961±0.0010, F1: 0.016347±0.0003, HIT_RATE: 0.089908±0.0015, ARHR: 0.049284±0.0008, RMSE: 0.978091±0.0002, NOVELTY: 0.006172±0.0000, AVERAGE_POPULARITY: 0.208706±0.0012, DIVERSITY_MEAN_INTER_LIST: 0.990618±0.0001, DIVERSITY_HERFINDAHL: 0.999056±0.0000, COVERAGE_ITEM: 0.682022±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.207435±0.0007, SHANNON_ENTROPY: 11.342249±0.0058, 
CrossSearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 111, 'shrink': 1507, 'normalize': False, 'alpha_weight': 1.56, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.7117909546704265, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.062267±0.0010, PRECISION: 0.008511±0.0002, PRECISION_RECALL_MIN_DEN: 0.085112±0.0016, RECALL: 0.085112±0.0016, MAP: 0.045865±0.0009, MRR: 0.045865±0.0009, NDCG: 0.055124±0.0010, F1: 0.015475±0.0003, HIT_RATE: 0.085112±0.0016, ARHR: 0.045865±0.0009, RMSE: 1.106726±0.0073, NOVELTY: 0.005511±0.0000, AVERAGE_POPULARITY: 0.545554±0.0050, DIVERSITY_MEAN_INTER_LIST: 0.913898±0.0004, DIVERSITY_HERFINDAHL: 0.991385±0.0000, COVERAGE_ITEM: 0.410749±0.0053, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.106142±0.0007, SHANNON_ENTROPY: 8.724469±0.0104, 
CrossSearchBayesianSkopt: New best config found. Config 6: {'topK': 7, 'shrink': 1563, 'normalize': True, 'alpha_weight': 1.0, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.1107598239843384, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.082832±0.0009, PRECISION: 0.010916±0.0001, PRECISION_RECALL_MIN_DEN: 0.109158±0.0010, RECALL: 0.109158±0.0010, MAP: 0.060198±0.0010, MRR: 0.060198±0.0010, NDCG: 0.071870±0.0009, F1: 0.019847±0.0002, HIT_RATE: 0.109158±0.0010, ARHR: 0.060198±0.0010, RMSE: 0.975011±0.0002, NOVELTY: 0.006620±0.0000, AVERAGE_POPULARITY: 0.191840±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.971891±0.0005, DIVERSITY_HERFINDAHL: 0.997184±0.0000, COVERAGE_ITEM: 0.679297±0.0022, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.203867±0.0008, SHANNON_ENTROPY: 10.945373±0.0082, 
CrossSearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 139, 'shrink': 1560, 'normalize': True, 'alpha_weight': 1.42, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.39623963936031, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.049560±0.0003, PRECISION: 0.006528±0.0001, PRECISION_RECALL_MIN_DEN: 0.065281±0.0006, RECALL: 0.065281±0.0006, MAP: 0.035976±0.0003, MRR: 0.035976±0.0003, NDCG: 0.042968±0.0002, F1: 0.011869±0.0001, HIT_RATE: 0.065281±0.0006, ARHR: 0.035976±0.0003, RMSE: 0.809602±0.0042, NOVELTY: 0.007068±0.0000, AVERAGE_POPULARITY: 0.083108±0.0009, DIVERSITY_MEAN_INTER_LIST: 0.994496±0.0001, DIVERSITY_HERFINDAHL: 0.999444±0.0000, COVERAGE_ITEM: 0.683006±0.0038, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.268374±0.0007, SHANNON_ENTROPY: 11.940863±0.0031, 
CrossSearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 72, 'shrink': 756, 'normalize': False, 'alpha_weight': 1.86, 'interactions_feature_weighting': 'none', 'similarity': 'asymmetric', 'asymmetric_alpha': 1.5053184628740626, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.070424±0.0005, PRECISION: 0.009313±0.0001, PRECISION_RECALL_MIN_DEN: 0.093131±0.0005, RECALL: 0.093131±0.0005, MAP: 0.051104±0.0007, MRR: 0.051104±0.0007, NDCG: 0.061117±0.0006, F1: 0.016933±0.0001, HIT_RATE: 0.093131±0.0005, ARHR: 0.051104±0.0007, RMSE: 0.941575±0.0007, NOVELTY: 0.007280±0.0000, AVERAGE_POPULARITY: 0.099203±0.0008, DIVERSITY_MEAN_INTER_LIST: 0.996887±0.0000, DIVERSITY_HERFINDAHL: 0.999683±0.0000, COVERAGE_ITEM: 0.748667±0.0018, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.404980±0.0007, SHANNON_ENTROPY: 12.688735±0.0028, 
CrossSearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 22, 'shrink': 435, 'normalize': False, 'alpha_weight': 1.52, 'interactions_feature_weighting': 'TF-IDF', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.4821600638882316, 'feature_weighting': 'TF-IDF'} - results: ROC_AUC: 0.064866±0.0016, PRECISION: 0.008777±0.0001, PRECISION_RECALL_MIN_DEN: 0.087766±0.0014, RECALL: 0.087766±0.0014, MAP: 0.047733±0.0014, MRR: 0.047733±0.0014, NDCG: 0.057199±0.0014, F1: 0.015958±0.0003, HIT_RATE: 0.087766±0.0014, ARHR: 0.047733±0.0014, RMSE: 13.548511±0.1449, NOVELTY: 0.005878±0.0000, AVERAGE_POPULARITY: 0.402673±0.0036, DIVERSITY_MEAN_INTER_LIST: 0.966066±0.0004, DIVERSITY_HERFINDAHL: 0.996601±0.0000, COVERAGE_ITEM: 0.589273±0.0034, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.151924±0.0008, SHANNON_ENTROPY: 10.120332±0.0067, 
CrossSearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 126, 'shrink': 804, 'normalize': True, 'alpha_weight': 0.82, 'interactions_feature_weighting': 'BM25', 'similarity': 'asymmetric', 'asymmetric_alpha': 0.20935366720350929, 'feature_weighting': 'BM25'} - results: ROC_AUC: 0.032118±0.0006, PRECISION: 0.004379±0.0000, PRECISION_RECALL_MIN_DEN: 0.043786±0.0004, RECALL: 0.043786±0.0004, MAP: 0.023369±0.0004, MRR: 0.023369±0.0004, NDCG: 0.028194±0.0004, F1: 0.007961±0.0001, HIT_RATE: 0.043786±0.0004, ARHR: 0.023369±0.0004, RMSE: 0.948594±0.0012, NOVELTY: 0.005498±0.0000, AVERAGE_POPULARITY: 0.031859±0.0003, DIVERSITY_MEAN_INTER_LIST: 0.999066±0.0000, DIVERSITY_HERFINDAHL: 0.999901±0.0000, COVERAGE_ITEM: 0.948462±0.0008, COVERAGE_USER: 1.000000±0.0000, DIVERSITY_GINI: 0.571107±0.0006, SHANNON_ENTROPY: 13.654526±0.0013, 
